mass,ta,tb,ewl,rmr
44.5,0,40.95,0.23,0.38
44.6,0,40.97,0.23,0.39
44.7,0,40.99,0.22,0.39
44.8,0,41.01,0.22,0.39
44.9,0,41.02,0.22,0.39
45,0,41.04,0.22,0.39
45.1,0,41.06,0.22,0.4
45.2,0,41.07,0.22,0.4
45.3,0,41.09,0.22,0.4
45.4,0,41.11,0.22,0.4
45.5,0,41.13,0.22,0.41
45.6,0,41.14,0.22,0.41
45.7,0,41.16,0.22,0.41
45.8,0,41.18,0.22,0.41
45.9,0,41.19,0.22,0.42
46,0,41.21,0.22,0.42
46.1,0,41.23,0.22,0.42
46.2,0,41.25,0.22,0.42
46.3,0,41.26,0.22,0.42
46.4,0,41.28,0.22,0.43
46.5,0,41.3,0.22,0.43
46.6,0,41.31,0.22,0.43
46.7,0,41.33,0.22,0.43
46.8,0,41.35,0.22,0.44
46.9,0,41.37,0.22,0.44
47,0,41.38,0.22,0.44
47.1,0,41.4,0.21,0.44
47.2,0,41.42,0.21,0.45
47.3,0,41.43,0.21,0.45
47.4,0,41.45,0.21,0.45
47.5,0,41.47,0.21,0.45
47.6,0,41.49,0.21,0.45
47.7,0,41.5,0.21,0.46
47.8,0,41.52,0.21,0.46
47.9,0,41.54,0.21,0.46
48,0,41.55,0.21,0.46
48.1,0,41.57,0.21,0.47
48.2,0,41.59,0.21,0.47
48.3,0,41.61,0.21,0.47
48.4,0,41.62,0.21,0.47
48.5,0,41.64,0.21,0.48
48.6,0,41.66,0.21,0.48
48.7,0,41.67,0.21,0.48
48.8,0,41.69,0.21,0.48
48.9,0,41.71,0.21,0.48
49,0,41.71,0.21,0.49
49.1,0,41.71,0.21,0.49
49.2,0,41.71,0.21,0.49
49.3,0,41.71,0.21,0.49
49.4,0,41.71,0.21,0.5
49.5,0,41.71,0.2,0.5
49.6,0,41.71,0.2,0.5
49.7,0,41.7,0.2,0.5
49.8,0,41.7,0.2,0.5
49.9,0,41.7,0.2,0.51
50,0,41.7,0.2,0.51
50.1,0,41.7,0.2,0.51
50.2,0,41.7,0.2,0.51
50.3,0,41.7,0.2,0.52
50.4,0,41.7,0.2,0.52
50.5,0,41.69,0.2,0.52
50.6,0,41.69,0.2,0.52
50.7,0,41.69,0.2,0.53
50.8,0,41.69,0.2,0.53
50.9,0,41.69,0.2,0.53
51,0,41.69,0.2,0.53
51.1,0,41.69,0.2,0.53
51.2,0,41.69,0.2,0.54
51.3,0,41.68,0.2,0.54
51.4,0,41.68,0.2,0.54
51.5,0,41.68,0.2,0.54
51.6,0,41.68,0.2,0.55
51.7,0,41.68,0.2,0.55
51.8,0,41.68,0.2,0.55
51.9,0,41.67,0.19,0.55
52,0,41.67,0.19,0.55
52.1,0,41.67,0.19,0.56
52.2,0,41.67,0.19,0.56
52.3,0,41.67,0.19,0.56
52.4,0,41.67,0.19,0.56
52.5,0,41.66,0.19,0.57
52.6,0,41.65,0.19,0.57
52.7,0,41.65,0.19,0.57
52.8,0,41.64,0.19,0.57
52.9,0,41.63,0.19,0.58
53,0,41.62,0.19,0.58
53.1,0,41.6,0.19,0.58
53.2,0,41.58,0.19,0.58
53.3,0,41.55,0.19,0.58
53.4,0,41.53,0.19,0.59
53.5,0,41.5,0.19,0.59
53.6,0,41.48,0.19,0.59
53.7,0,41.46,0.19,0.59
53.8,0,41.43,0.19,0.6
53.9,0,41.41,0.19,0.6
54,0,41.38,0.19,0.6
54.1,0,41.36,0.19,0.6
54.2,0,41.34,0.19,0.6
54.3,0,41.31,0.18,0.61
54.4,0,41.29,0.18,0.61
54.5,0,41.26,0.18,0.61
54.6,0,41.24,0.18,0.61
54.7,0,41.22,0.18,0.62
54.8,0,41.19,0.18,0.62
54.9,0,41.17,0.18,0.62
55,0,41.14,0.18,0.62
55.1,0,41.12,0.18,0.62
55.2,0,41.1,0.18,0.63
55.3,0,41.07,0.18,0.63
55.4,0,41.05,0.18,0.63
44.5,0.1,40.96,0.23,0.38
44.6,0.1,40.97,0.23,0.39
