mass,ta,tb,ewl,rmr
44.5,0,43.25,16.32,0.73
44.6,0,43.25,16.31,0.73
44.7,0,43.24,16.3,0.73
44.8,0,43.24,16.29,0.73
44.9,0,43.24,16.28,0.73
45,0,43.24,16.27,0.73
45.1,0,43.23,16.26,0.73
45.2,0,43.23,16.25,0.73
45.3,0,43.23,16.24,0.73
45.4,0,43.23,16.23,0.73
45.5,0,43.23,16.22,0.73
45.6,0,43.22,16.21,0.73
45.7,0,43.22,16.2,0.73
45.8,0,43.22,16.19,0.73
45.9,0,43.22,16.19,0.73
46,0,43.22,16.18,0.73
46.1,0,43.21,16.17,0.73
46.2,0,43.21,16.16,0.73
46.3,0,43.21,16.16,0.73
46.4,0,43.21,16.15,0.73
46.5,0,43.21,16.14,0.73
46.6,0,43.21,16.14,0.74
46.7,0,43.21,16.13,0.74
46.8,0,43.21,16.13,0.74
46.9,0,43.2,16.12,0.74
47,0,43.2,16.11,0.74
47.1,0,43.2,16.11,0.74
47.2,0,43.2,16.1,0.74
47.3,0,43.2,16.1,0.74
47.4,0,43.2,16.1,0.74
47.5,0,43.2,16.09,0.74
47.6,0,43.2,16.09,0.74
47.7,0,43.2,16.08,0.74
47.8,0,43.2,16.08,0.74
47.9,0,43.2,16.08,0.74
48,0,43.19,16.08,0.74
48.1,0,43.19,16.07,0.74
48.2,0,43.19,16.07,0.74
48.3,0,43.19,16.07,0.74
48.4,0,43.19,16.07,0.74
48.5,0,43.19,16.06,0.74
48.6,0,43.18,16.06,0.74
48.7,0,43.18,16.06,0.74
48.8,0,43.18,16.06,0.74
48.9,0,43.18,16.06,0.74
49,0,43.17,16.06,0.74
49.1,0,43.17,16.06,0.74
49.2,0,43.17,16.06,0.74
49.3,0,43.16,16.06,0.74
49.4,0,43.16,16.06,0.74
49.5,0,43.16,16.06,0.74
49.6,0,43.15,16.06,0.74
49.7,0,43.15,16.07,0.74
49.8,0,43.14,16.07,0.74
49.9,0,43.14,16.07,0.74
50,0,43.13,16.07,0.75
50.1,0,43.13,16.07,0.75
50.2,0,43.13,16.08,0.75
