mass,ta,tb,ewl,rmr
12.4,0,81.66,5.93,0.27
12.5,0,81.28,5.94,0.27
12.6,0,80.9,5.96,0.28
12.7,0,80.53,5.98,0.28
12.8,0,80.15,5.99,0.28
12.9,0,79.78,6.01,0.29
13,0,79.4,6.02,0.29
13.1,0,79.02,6.04,0.29
13.2,0,78.65,6.06,0.3
13.3,0,78.27,6.07,0.3
13.4,0,77.89,6.09,0.3
13.5,0,77.52,6.1,0.31
13.6,0,77.14,6.12,0.31
13.7,0,76.77,6.13,0.31
13.8,0,76.4,6.15,0.32
13.9,0,76.05,6.16,0.32
14,0,75.69,6.18,0.32
14.1,0,75.34,6.19,0.33
14.2,0,74.99,6.21,0.33
14.3,0,74.65,6.22,0.33
14.4,0,74.31,6.24,0.34
14.5,0,73.97,6.25,0.34
14.6,0,73.63,6.26,0.34
14.7,0,73.29,6.28,0.35
14.8,0,72.97,6.29,0.35
14.9,0,72.67,6.31,0.35
15,0,72.38,6.32,0.36
15.1,0,72.12,6.33,0.36
15.2,0,71.86,6.35,0.36
15.3,0,71.61,6.36,0.37
15.4,0,71.36,6.38,0.37
15.5,0,71.12,6.39,0.37
12.4,0.1,81.51,5.91,0.27
12.5,0.1,81.13,5.92,0.27
12.6,0.1,80.76,5.94,0.28
12.7,0.1,80.38,5.96,0.28
12.8,0.1,80,5.97,0.28
12.9,0.1,79.63,5.99,0.29
13,0.1,79.25,6.01,0.29
13.1,0.1,78.88,6.02,0.29
13.2,0.1,78.5,6.04,0.3
13.3,0.1,78.12,6.05,0.3
13.4,0.1,77.75,6.07,0.3
13.5,0.1,77.37,6.08,0.31
13.6,0.1,77,6.1,0.31
13.7,0.1,76.62,6.11,0.31
13.8,0.1,76.26,6.13,0.32
13.9,0.1,75.9,6.14,0.32
14,0.1,75.54,6.16,0.32
14.1,0.1,75.19,6.17,0.33
14.2,0.1,74.85,6.19,0.33
14.3,0.1,74.5,6.2,0.33
14.4,0.1,74.16,6.22,0.34
14.5,0.1,73.83,6.23,0.34
14.6,0.1,73.49,6.25,0.34
14.7,0.1,73.15,6.26,0.35
14.8,0.1,72.83,6.28,0.35
14.9,0.1,72.53,6.29,0.35
15,0.1,72.25,6.3,0.36
15.1,0.1,71.98,6.32,0.36
15.2,0.1,71.72,6.33,0.36
15.3,0.1,71.47,6.35,0.37
15.4,0.1,71.22,6.36,0.37
15.5,0.1,70.98,6.37,0.37
12.4,0.2,81.36,5.89,0.27
12.5,0.2,80.99,5.9,0.27
12.6,0.2,80.61,5.92,0.28
12.7,0.2,80.23,5.94,0.28
12.8,0.2,79.86,5.95,0.28
12.9,0.2,79.48,5.97,0.29
13,0.2,79.11,5.99,0.29
13.1,0.2,78.73,6,0.29
13.2,0.2,78.35,6.02,0.3
13.3,0.2,77.98,6.03,0.3
13.4,0.2,77.6,6.05,0.3
13.5,0.2,77.22,6.06,0.31
13.6,0.2,76.85,6.08,0.31
13.7,0.2,76.48,6.1,0.31
13.8,0.2,76.11,6.11,0.32
13.9,0.2,75.76,6.13,0.32
14,0.2,75.4,6.14,0.32
14.1,0.2,75.05,6.16,0.33
14.2,0.2,74.7,6.17,0.33
14.3,0.2,74.36,6.19,0.33
14.4,0.2,74.02,6.2,0.34
14.5,0.2,73.68,6.22,0.34
14.6,0.2,73.34,6.23,0.34
14.7,0.2,73.01,6.24,0.35
14.8,0.2,72.68,6.26,0.35
14.9,0.2,72.39,6.27,0.35
15,0.2,72.11,6.29,0.36
15.1,0.2,71.85,6.3,0.36
15.2,0.2,71.59,6.32,0.36
15.3,0.2,71.34,6.33,0.37
15.4,0.2,71.09,6.34,0.37
15.5,0.2,70.84,6.36,0.37
12.4,0.3,81.22,5.87,0.27
12.5,0.3,80.84,5.88,0.27
12.6,0.3,80.46,5.9,0.28
12.7,0.3,80.09,5.92,0.28
12.8,0.3,79.71,5.93,0.28
12.9,0.3,79.33,5.95,0.29
13,0.3,78.96,5.97,0.29
13.1,0.3,78.58,5.98,0.29
13.2,0.3,78.21,6,0.3
13.3,0.3,77.83,6.01,0.3
13.4,0.3,77.45,6.03,0.3
13.5,0.3,77.08,6.05,0.31
13.6,0.3,76.7,6.06,0.31
13.7,0.3,76.33,6.08,0.31
13.8,0.3,75.97,6.09,0.32
13.9,0.3,75.61,6.11,0.32
14,0.3,75.25,6.12,0.32
14.1,0.3,74.9,6.14,0.33
14.2,0.3,74.56,6.15,0.33
14.3,0.3,74.21,6.17,0.33
14.4,0.3,73.87,6.18,0.34
14.5,0.3,73.54,6.2,0.34
14.6,0.3,73.2,6.21,0.34
14.7,0.3,72.86,6.23,0.35
14.8,0.3,72.54,6.24,0.35
14.9,0.3,72.24,6.26,0.36
15,0.3,71.97,6.27,0.36
15.1,0.3,71.71,6.28,0.36
15.2,0.3,71.45,6.3,0.37
15.3,0.3,71.2,6.31,0.37
15.4,0.3,70.95,6.33,0.37
15.5,0.3,70.71,6.34,0.38
12.4,0.4,81.07,5.85,0.27
12.5,0.4,80.69,5.86,0.27
12.6,0.4,80.32,5.88,0.28
12.7,0.4,79.94,5.9,0.28
12.8,0.4,79.56,5.91,0.28
12.9,0.4,79.19,5.93,0.29
13,0.4,78.81,5.95,0.29
13.1,0.4,78.44,5.96,0.29
13.2,0.4,78.06,5.98,0.3
13.3,0.4,77.68,5.99,0.3
13.4,0.4,77.31,6.01,0.3
13.5,0.4,76.93,6.03,0.31
13.6,0.4,76.55,6.04,0.31
13.7,0.4,76.18,6.06,0.31
13.8,0.4,75.82,6.07,0.32
13.9,0.4,75.46,6.09,0.32
14,0.4,75.11,6.1,0.33
14.1,0.4,74.76,6.12,0.33
14.2,0.4,74.41,6.13,0.33
14.3,0.4,74.07,6.15,0.34
14.4,0.4,73.73,6.16,0.34
14.5,0.4,73.39,6.18,0.34
14.6,0.4,73.05,6.19,0.35
14.7,0.4,72.72,6.21,0.35
14.8,0.4,72.4,6.22,0.35
14.9,0.4,72.1,6.24,0.36
15,0.4,71.83,6.25,0.36
15.1,0.4,71.57,6.27,0.36
15.2,0.4,71.31,6.28,0.37
15.3,0.4,71.06,6.3,0.37
15.4,0.4,70.82,6.31,0.37
15.5,0.4,70.57,6.32,0.38
12.4,0.5,80.92,5.83,0.27
12.5,0.5,80.55,5.84,0.27
12.6,0.5,80.17,5.86,0.28
12.7,0.5,79.79,5.88,0.28
12.8,0.5,79.42,5.89,0.28
12.9,0.5,79.04,5.91,0.29
13,0.5,78.66,5.93,0.29
13.1,0.5,78.29,5.94,0.3
13.2,0.5,77.91,5.96,0.3
13.3,0.5,77.54,5.97,0.3
13.4,0.5,77.16,5.99,0.31
13.5,0.5,76.78,6.01,0.31
13.6,0.5,76.41,6.02,0.31
13.7,0.5,76.04,6.04,0.32
13.8,0.5,75.67,6.05,0.32
13.9,0.5,75.32,6.07,0.32
14,0.5,74.96,6.09,0.33
14.1,0.5,74.61,6.1,0.33
14.2,0.5,74.27,6.12,0.33
14.3,0.5,73.92,6.13,0.34
14.4,0.5,73.59,6.15,0.34
14.5,0.5,73.25,6.16,0.34
14.6,0.5,72.91,6.18,0.35
14.7,0.5,72.57,6.19,0.35
14.8,0.5,72.26,6.21,0.35
14.9,0.5,71.97,6.22,0.36
15,0.5,71.69,6.24,0.36
15.1,0.5,71.43,6.25,0.36
15.2,0.5,71.18,6.26,0.37
15.3,0.5,70.93,6.28,0.37
15.4,0.5,70.68,6.29,0.37
15.5,0.5,70.44,6.31,0.38
12.4,0.6,80.77,5.8,0.27
12.5,0.6,80.4,5.82,0.28
12.6,0.6,80.02,5.84,0.28
12.7,0.6,79.65,5.86,0.28
12.8,0.6,79.27,5.87,0.29
12.9,0.6,78.89,5.89,0.29
13,0.6,78.52,5.91,0.29
13.1,0.6,78.14,5.92,0.3
13.2,0.6,77.77,5.94,0.3
13.3,0.6,77.39,5.95,0.3
13.4,0.6,77.01,5.97,0.31
13.5,0.6,76.64,5.99,0.31
13.6,0.6,76.26,6,0.31
13.7,0.6,75.89,6.02,0.32
13.8,0.6,75.53,6.03,0.32
13.9,0.6,75.17,6.05,0.32
14,0.6,74.82,6.07,0.33
14.1,0.6,74.47,6.08,0.33
14.2,0.6,74.12,6.1,0.33
14.3,0.6,73.78,6.11,0.34
14.4,0.6,73.44,6.13,0.34
14.5,0.6,73.1,6.14,0.34
14.6,0.6,72.76,6.16,0.35
14.7,0.6,72.43,6.17,0.35
14.8,0.6,72.12,6.19,0.35
14.9,0.6,71.83,6.2,0.36
15,0.6,71.55,6.22,0.36
15.1,0.6,71.3,6.23,0.36
15.2,0.6,71.04,6.25,0.37
15.3,0.6,70.79,6.26,0.37
15.4,0.6,70.54,6.28,0.37
15.5,0.6,70.3,6.29,0.38
12.4,0.7,80.63,5.78,0.27
12.5,0.7,80.25,5.8,0.28
12.6,0.7,79.88,5.82,0.28
12.7,0.7,79.5,5.83,0.28
12.8,0.7,79.12,5.85,0.29
12.9,0.7,78.75,5.87,0.29
13,0.7,78.37,5.88,0.29
13.1,0.7,78,5.9,0.3
13.2,0.7,77.62,5.92,0.3
13.3,0.7,77.24,5.93,0.3
13.4,0.7,76.87,5.95,0.31
13.5,0.7,76.49,5.97,0.31
13.6,0.7,76.11,5.98,0.31
13.7,0.7,75.74,6,0.32
13.8,0.7,75.38,6.02,0.32
13.9,0.7,75.03,6.03,0.32
14,0.7,74.67,6.05,0.33
14.1,0.7,74.32,6.06,0.33
14.2,0.7,73.98,6.08,0.33
14.3,0.7,73.63,6.09,0.34
14.4,0.7,73.3,6.11,0.34
14.5,0.7,72.96,6.12,0.34
14.6,0.7,72.62,6.14,0.35
14.7,0.7,72.29,6.15,0.35
14.8,0.7,71.98,6.17,0.35
14.9,0.7,71.69,6.18,0.36
15,0.7,71.42,6.2,0.36
15.1,0.7,71.16,6.21,0.36
15.2,0.7,70.9,6.23,0.37
15.3,0.7,70.65,6.24,0.37
15.4,0.7,70.41,6.26,0.37
15.5,0.7,70.16,6.27,0.38
12.4,0.8,80.48,5.76,0.27
12.5,0.8,80.11,5.78,0.28
12.6,0.8,79.73,5.79,0.28
12.7,0.8,79.35,5.81,0.28
12.8,0.8,78.98,5.83,0.29
12.9,0.8,78.6,5.85,0.29
13,0.8,78.22,5.86,0.29
13.1,0.8,77.85,5.88,0.3
13.2,0.8,77.47,5.9,0.3
13.3,0.8,77.1,5.91,0.3
13.4,0.8,76.72,5.93,0.31
13.5,0.8,76.34,5.95,0.31
13.6,0.8,75.97,5.96,0.31
13.7,0.8,75.6,5.98,0.32
13.8,0.8,75.24,5.99,0.32
13.9,0.8,74.88,6.01,0.32
14,0.8,74.52,6.03,0.33
14.1,0.8,74.18,6.04,0.33
14.2,0.8,73.83,6.06,0.33
14.3,0.8,73.49,6.07,0.34
14.4,0.8,73.15,6.09,0.34
14.5,0.8,72.81,6.11,0.34
14.6,0.8,72.47,6.12,0.35
