mass,ta,tb,ewl,rmr
12.4,0,40.5,0.14,0.3
12.5,0,40.5,0.14,0.3
12.6,0,40.5,0.14,0.3
12.7,0,40.69,0.14,0.28
12.8,0,40.69,0.14,0.28
12.9,0,41.2,0.13,0.34
13,0,41.2,0.13,0.38
13.1,0,41.2,0.13,0.38
13.2,0,41.2,0.14,0.32
13.3,0,41.2,0.14,0.32
13.4,0,40.63,0.14,0.32
13.5,0,40.63,0.14,0.32
13.6,0,40.63,0.14,0.32
13.7,0,40.63,0.14,0.32
13.8,0,40.63,0.14,0.32
13.9,0,40.63,0.14,0.32
14,0,40.63,0.14,0.32
14.1,0,40.63,0.14,0.34
14.2,0,40.63,0.14,0.34
14.3,0,40.63,0.14,0.34
14.4,0,40.63,0.14,0.34
14.5,0,40.63,0.14,0.34
14.6,0,40.63,0.14,0.34
14.7,0,40.63,0.14,0.34
14.8,0,40.63,0.14,0.34
14.9,0,40.63,0.14,0.34
15,0,40.63,0.14,0.34
15.1,0,40.63,0.12,0.34
15.2,0,40.63,0.12,0.34
15.3,0,40.63,0.12,0.34
15.4,0,40.63,0.12,0.34
15.5,0,40.63,0.12,0.34
12.4,0.1,40.5,0.14,0.3
12.5,0.1,40.5,0.14,0.3
12.6,0.1,40.5,0.14,0.3
12.7,0.1,40.69,0.14,0.28
12.8,0.1,40.69,0.14,0.28
12.9,0.1,41.2,0.13,0.34
13,0.1,41.2,0.13,0.38
13.1,0.1,41.2,0.13,0.38
13.2,0.1,41.2,0.14,0.32
13.3,0.1,41.2,0.14,0.32
13.4,0.1,40.63,0.14,0.32
13.5,0.1,40.63,0.14,0.32
13.6,0.1,40.63,0.14,0.32
13.7,0.1,40.63,0.14,0.32
13.8,0.1,40.63,0.14,0.32
13.9,0.1,40.63,0.14,0.32
14,0.1,40.63,0.14,0.32
14.1,0.1,40.63,0.14,0.34
14.2,0.1,40.63,0.14,0.34
14.3,0.1,40.63,0.14,0.34
14.4,0.1,40.63,0.14,0.34
14.5,0.1,40.63,0.14,0.34
14.6,0.1,40.63,0.14,0.34
14.7,0.1,40.63,0.14,0.34
14.8,0.1,40.63,0.14,0.34
14.9,0.1,40.63,0.14,0.34
15,0.1,40.63,0.14,0.34
15.1,0.1,40.63,0.12,0.34
15.2,0.1,40.63,0.12,0.34
15.3,0.1,40.63,0.12,0.34
15.4,0.1,40.63,0.12,0.34
15.5,0.1,40.63,0.12,0.34
12.4,0.2,40.5,0.14,0.3
12.5,0.2,40.5,0.14,0.3
12.6,0.2,40.5,0.14,0.3
12.7,0.2,40.69,0.14,0.28
12.8,0.2,40.69,0.14,0.28
12.9,0.2,41.2,0.13,0.34
13,0.2,41.2,0.13,0.38
13.1,0.2,41.2,0.13,0.38
13.2,0.2,41.2,0.14,0.32
13.3,0.2,41.2,0.14,0.32
13.4,0.2,40.63,0.14,0.32
13.5,0.2,40.63,0.14,0.32
13.6,0.2,40.63,0.14,0.32
13.7,0.2,40.63,0.14,0.32
13.8,0.2,40.63,0.14,0.32
13.9,0.2,40.63,0.14,0.32
14,0.2,40.63,0.14,0.32
14.1,0.2,40.63,0.14,0.34
14.2,0.2,40.63,0.14,0.34
14.3,0.2,40.63,0.14,0.34
14.4,0.2,40.63,0.14,0.34
14.5,0.2,40.63,0.14,0.34
14.6,0.2,40.63,0.14,0.34
14.7,0.2,40.63,0.14,0.34
14.8,0.2,40.63,0.14,0.34
14.9,0.2,40.63,0.14,0.34
15,0.2,40.63,0.14,0.34
15.1,0.2,40.63,0.12,0.34
15.2,0.2,40.63,0.12,0.34
15.3,0.2,40.63,0.12,0.34
15.4,0.2,40.63,0.12,0.34
15.5,0.2,40.63,0.12,0.34
12.4,0.3,40.5,0.14,0.3
12.5,0.3,40.5,0.14,0.3
12.6,0.3,40.5,0.14,0.3
12.7,0.3,40.69,0.14,0.28
12.8,0.3,40.69,0.14,0.28
12.9,0.3,41.2,0.13,0.34
13,0.3,41.2,0.13,0.38
13.1,0.3,41.2,0.13,0.38
13.2,0.3,41.2,0.14,0.32
13.3,0.3,41.2,0.14,0.32
13.4,0.3,40.63,0.14,0.32
13.5,0.3,40.63,0.14,0.32
13.6,0.3,40.63,0.14,0.32
13.7,0.3,40.63,0.14,0.32
13.8,0.3,40.63,0.14,0.32
13.9,0.3,40.63,0.14,0.32
14,0.3,40.63,0.14,0.32
14.1,0.3,40.63,0.14,0.34
14.2,0.3,40.63,0.14,0.34
14.3,0.3,40.63,0.14,0.34
14.4,0.3,40.63,0.14,0.34
14.5,0.3,40.63,0.14,0.34
14.6,0.3,40.63,0.14,0.34
14.7,0.3,40.63,0.14,0.34
14.8,0.3,40.63,0.14,0.34
14.9,0.3,40.63,0.14,0.34
15,0.3,40.63,0.14,0.34
15.1,0.3,40.63,0.12,0.34
15.2,0.3,40.63,0.12,0.34
15.3,0.3,40.63,0.12,0.34
15.4,0.3,40.63,0.12,0.34
15.5,0.3,40.63,0.12,0.34
12.4,0.4,40.5,0.14,0.3
12.5,0.4,40.5,0.14,0.3
12.6,0.4,40.5,0.14,0.3
12.7,0.4,40.69,0.14,0.28
12.8,0.4,40.69,0.14,0.28
12.9,0.4,41.2,0.13,0.34
13,0.4,41.2,0.13,0.38
13.1,0.4,41.2,0.13,0.38
13.2,0.4,41.2,0.14,0.32
13.3,0.4,41.2,0.14,0.32
13.4,0.4,40.63,0.14,0.32
13.5,0.4,40.63,0.14,0.32
13.6,0.4,40.63,0.14,0.32
13.7,0.4,40.63,0.14,0.32
13.8,0.4,40.63,0.14,0.32
13.9,0.4,40.63,0.14,0.32
14,0.4,40.63,0.14,0.32
14.1,0.4,40.63,0.14,0.34
14.2,0.4,40.63,0.14,0.34
14.3,0.4,40.63,0.14,0.34
14.4,0.4,40.63,0.14,0.34
14.5,0.4,40.63,0.14,0.34
14.6,0.4,40.63,0.14,0.34
14.7,0.4,40.63,0.14,0.34
14.8,0.4,40.63,0.14,0.34
14.9,0.4,40.63,0.14,0.34
15,0.4,40.63,0.14,0.34
15.1,0.4,40.63,0.12,0.34
15.2,0.4,40.63,0.12,0.34
