mass,ta,tb,ewl,rmr
12.4,0,51.55,3.69,1.19
12.5,0,51.55,3.69,1.19
12.6,0,51.54,3.68,1.2
12.7,0,51.54,3.68,1.2
12.8,0,51.53,3.68,1.2
12.9,0,51.53,3.68,1.2
13,0,51.52,3.68,1.2
13.1,0,51.51,3.68,1.2
13.2,0,51.5,3.67,1.21
13.3,0,51.49,3.67,1.21
13.4,0,51.48,3.67,1.21
13.5,0,51.46,3.67,1.21
13.6,0,51.45,3.67,1.21
13.7,0,51.43,3.67,1.21
13.8,0,51.42,3.67,1.21
13.9,0,51.4,3.67,1.21
14,0,51.38,3.67,1.21
14.1,0,51.36,3.67,1.21
14.2,0,51.34,3.67,1.21
14.3,0,51.31,3.67,1.21
14.4,0,51.29,3.67,1.21
14.5,0,51.27,3.67,1.2
14.6,0,51.24,3.67,1.2
14.7,0,51.21,3.68,1.2
14.8,0,51.18,3.68,1.2
14.9,0,51.15,3.68,1.2
15,0,51.12,3.68,1.2
15.1,0,51.09,3.68,1.2
15.2,0,51.06,3.68,1.19
15.3,0,51.02,3.69,1.19
15.4,0,50.99,3.69,1.19
15.5,0,50.95,3.69,1.19
12.4,0.1,51.47,3.67,1.19
12.5,0.1,51.47,3.66,1.19
12.6,0.1,51.47,3.66,1.19
12.7,0.1,51.46,3.66,1.19
12.8,0.1,51.46,3.66,1.19
12.9,0.1,51.45,3.66,1.2
13,0.1,51.45,3.65,1.2
13.1,0.1,51.44,3.65,1.2
13.2,0.1,51.43,3.65,1.2
13.3,0.1,51.42,3.65,1.2
13.4,0.1,51.4,3.65,1.2
13.5,0.1,51.39,3.65,1.2
13.6,0.1,51.37,3.65,1.2
13.7,0.1,51.36,3.65,1.2
13.8,0.1,51.34,3.65,1.2
13.9,0.1,51.32,3.65,1.2
14,0.1,51.3,3.65,1.2
14.1,0.1,51.28,3.65,1.2
14.2,0.1,51.26,3.65,1.2
14.3,0.1,51.24,3.65,1.2
14.4,0.1,51.22,3.65,1.2
14.5,0.1,51.19,3.65,1.2
