mass,ta,tb,ewl,rmr
12.4,0,39.4,3.57,-0.12
12.5,0,40.84,3.58,-0.18
12.6,0,42.2,3.59,-0.24
12.7,0,43.48,3.6,-0.3
12.8,0,44.67,3.61,-0.35
12.9,0,45.78,3.62,-0.4
13,0,46.81,3.62,-0.45
13.1,0,47.76,3.63,-0.5
13.2,0,48.63,3.64,-0.55
13.3,0,49.42,3.65,-0.59
13.4,0,50.13,3.66,-0.63
13.5,0,50.76,3.67,-0.66
13.6,0,51.32,3.68,-0.7
13.7,0,51.8,3.69,-0.73
13.8,0,52.2,3.7,-0.76
13.9,0,52.53,3.71,-0.78
14,0,52.78,3.72,-0.8
14.1,0,52.96,3.73,-0.82
14.2,0,53.06,3.75,-0.83
14.3,0,53.09,3.76,-0.84
14.4,0,53.05,3.77,-0.85
14.5,0,52.93,3.78,-0.85
14.6,0,52.75,3.79,-0.85
14.7,0,52.49,3.8,-0.85
14.8,0,52.16,3.81,-0.84
14.9,0,51.76,3.82,-0.83
15,0,51.29,3.84,-0.81
15.1,0,50.76,3.85,-0.79
15.2,0,50.15,3.86,-0.77
15.3,0,49.48,3.87,-0.74
15.4,0,48.74,3.89,-0.71
15.5,0,47.94,3.9,-0.67
12.4,0.1,39.39,3.55,-0.11
12.5,0.1,40.82,3.56,-0.17
12.6,0.1,42.18,3.57,-0.23
12.7,0.1,43.45,3.57,-0.29
12.8,0.1,44.64,3.58,-0.34
12.9,0.1,45.75,3.59,-0.4
13,0.1,46.77,3.6,-0.45
13.1,0.1,47.72,3.61,-0.49
13.2,0.1,48.58,3.62,-0.54
13.3,0.1,49.37,3.63,-0.58
13.4,0.1,50.08,3.64,-0.62
13.5,0.1,50.71,3.65,-0.65
13.6,0.1,51.27,3.66,-0.69
13.7,0.1,51.74,3.67,-0.72
13.8,0.1,52.14,3.68,-0.74
13.9,0.1,52.47,3.69,-0.77
14,0.1,52.72,3.7,-0.79
14.1,0.1,52.89,3.71,-0.81
14.2,0.1,53,3.72,-0.82
14.3,0.1,53.03,3.73,-0.83
14.4,0.1,52.98,3.74,-0.84
14.5,0.1,52.87,3.76,-0.84
14.6,0.1,52.68,3.77,-0.84
14.7,0.1,52.42,3.78,-0.84
14.8,0.1,52.09,3.79,-0.83
14.9,0.1,51.7,3.8,-0.82
15,0.1,51.23,3.81,-0.8
15.1,0.1,50.69,3.83,-0.78
15.2,0.1,50.09,3.84,-0.76
15.3,0.1,49.42,3.85,-0.73
15.4,0.1,48.68,3.86,-0.7
15.5,0.1,47.88,3.88,-0.66
12.4,0.2,39.37,3.53,-0.1
12.5,0.2,40.81,3.53,-0.17
12.6,0.2,42.16,3.54,-0.22
12.7,0.2,43.42,3.55,-0.28
12.8,0.2,44.61,3.56,-0.34
12.9,0.2,45.71,3.57,-0.39
13,0.2,46.73,3.58,-0.44
13.1,0.2,47.68,3.59,-0.48
13.2,0.2,48.54,3.6,-0.53
13.3,0.2,49.33,3.61,-0.57
13.4,0.2,50.03,3.62,-0.61
13.5,0.2,50.66,3.63,-0.64
13.6,0.2,51.21,3.64,-0.68
13.7,0.2,51.69,3.65,-0.71
13.8,0.2,52.08,3.66,-0.73
13.9,0.2,52.41,3.67,-0.76
14,0.2,52.66,3.68,-0.78
14.1,0.2,52.83,3.69,-0.8
14.2,0.2,52.93,3.7,-0.81
14.3,0.2,52.96,3.71,-0.82
14.4,0.2,52.92,3.72,-0.83
14.5,0.2,52.8,3.73,-0.83
14.6,0.2,52.61,3.74,-0.83
14.7,0.2,52.35,3.76,-0.83
14.8,0.2,52.03,3.77,-0.82
14.9,0.2,51.63,3.78,-0.81
15,0.2,51.16,3.79,-0.79
15.1,0.2,50.63,3.8,-0.77
15.2,0.2,50.03,3.81,-0.75
15.3,0.2,49.36,3.83,-0.72
15.4,0.2,48.62,3.84,-0.69
15.5,0.2,47.82,3.85,-0.65
12.4,0.3,39.36,3.5,-0.1
12.5,0.3,40.79,3.51,-0.16
12.6,0.3,42.13,3.52,-0.22
12.7,0.3,43.4,3.53,-0.27
12.8,0.3,44.58,3.54,-0.33
12.9,0.3,45.68,3.55,-0.38
13,0.3,46.7,3.56,-0.43
13.1,0.3,47.64,3.57,-0.48
13.2,0.3,48.5,3.58,-0.52
13.3,0.3,49.28,3.58,-0.56
13.4,0.3,49.98,3.59,-0.6
13.5,0.3,50.61,3.6,-0.63
13.6,0.3,51.16,3.61,-0.67
13.7,0.3,51.63,3.62,-0.7
13.8,0.3,52.03,3.63,-0.72
13.9,0.3,52.35,3.64,-0.75
14,0.3,52.6,3.66,-0.77
14.1,0.3,52.77,3.67,-0.78
14.2,0.3,52.87,3.68,-0.8
14.3,0.3,52.9,3.69,-0.81
14.4,0.3,52.85,3.7,-0.82
14.5,0.3,52.73,3.71,-0.82
14.6,0.3,52.55,3.72,-0.82
14.7,0.3,52.29,3.73,-0.81
14.8,0.3,51.96,3.74,-0.81
14.9,0.3,51.56,3.76,-0.79
15,0.3,51.1,3.77,-0.78
15.1,0.3,50.56,3.78,-0.76
15.2,0.3,49.96,3.79,-0.73
15.3,0.3,49.29,3.8,-0.71
15.4,0.3,48.56,3.82,-0.67
15.5,0.3,47.76,3.83,-0.64
12.4,0.4,39.35,3.48,-0.09
12.5,0.4,40.77,3.49,-0.15
12.6,0.4,42.11,3.5,-0.21
12.7,0.4,43.37,3.51,-0.27
12.8,0.4,44.55,3.52,-0.32
12.9,0.4,45.64,3.53,-0.37
13,0.4,46.66,3.53,-0.42
13.1,0.4,47.6,3.54,-0.47
13.2,0.4,48.45,3.55,-0.51
13.3,0.4,49.23,3.56,-0.55
13.4,0.4,49.93,3.57,-0.59
13.5,0.4,50.56,3.58,-0.63
13.6,0.4,51.1,3.59,-0.66
13.7,0.4,51.57,3.6,-0.69
