mass,ta,tb,ewl,rmr
43.1,0,39.07,0.21,0.88
43.2,0,39.07,0.21,0.88
43.3,0,39.39,0.2,0.84
43.4,0,39.39,0.2,0.84
43.5,0,39.39,0.2,0.84
43.6,0,39.39,0.2,0.84
43.7,0,39.39,0.2,0.84
43.8,0,39.39,0.15,0.86
43.9,0,39.39,0.15,0.86
44,0,39.39,0.15,0.86
44.1,0,39.39,0.15,0.86
44.2,0,39.39,0.15,0.86
44.3,0,39.39,0.15,0.86
44.4,0,39.39,0.15,0.86
44.5,0,39.39,0.15,0.86
44.6,0,39.91,0.22,1.04
44.7,0,39.91,0.22,1.04
44.8,0,39.91,0.22,1.04
44.9,0,39.91,0.22,1.04
45,0,39.91,0.22,1.04
45.1,0,39.91,0.22,1.04
45.2,0,39.91,0.22,1.04
45.3,0,39.91,0.22,1.04
45.4,0,39.91,0.22,1.04
45.5,0,39.91,0.22,1.04
45.6,0,40.26,0.27,1.06
45.7,0,40.26,0.27,1.06
45.8,0,40.26,0.27,1.06
45.9,0,40.26,0.27,1.06
46,0,40.26,0.27,1.06
46.1,0,40.26,0.27,1.06
46.2,0,40.26,0.27,1.06
46.3,0,40.26,0.27,1.06
46.4,0,38.94,0.27,1.04
46.5,0,38.94,0.27,1.04
46.6,0,38.94,0.27,1.04
46.7,0,38.94,0.27,1.04
46.8,0,38.94,0.27,1.04
46.9,0,38.94,0.27,1.04
47,0,38.94,0.27,1.04
47.1,0,38.94,0.27,1.04
47.2,0,38.94,0.27,1.04
47.3,0,38.94,0.27,1.04
47.4,0,38.94,0.27,1.04
47.5,0,39.81,0.3,1.04
47.6,0,39.81,0.3,1.04
47.7,0,39.81,0.3,1.04
47.8,0,39.81,0.3,1.04
47.9,0,39.81,0.3,1.04
48,0,39.81,0.3,1.04
48.1,0,39.81,0.3,1.04
48.2,0,39.81,0.3,1.04
48.3,0,39.81,0.3,1.04
48.4,0,39.93,0.28,0.99
48.5,0,39.93,0.28,0.99
48.6,0,39.93,0.28,0.99
48.7,0,39.93,0.28,0.99
48.8,0,39.75,0.23,0.96
43.1,0.1,39.07,0.21,0.88
43.2,0.1,39.07,0.21,0.88
43.3,0.1,39.39,0.2,0.84
43.4,0.1,39.39,0.2,0.84
43.5,0.1,39.39,0.2,0.84
43.6,0.1,39.39,0.2,0.84
43.7,0.1,39.39,0.2,0.84
43.8,0.1,39.39,0.15,0.86
43.9,0.1,39.39,0.15,0.86
44,0.1,39.39,0.15,0.86
44.1,0.1,39.39,0.15,0.86
44.2,0.1,39.39,0.15,0.86
44.3,0.1,39.39,0.15,0.86
44.4,0.1,39.39,0.15,0.86
44.5,0.1,39.39,0.15,0.86
44.6,0.1,39.91,0.22,1.04
44.7,0.1,39.91,0.22,1.04
44.8,0.1,39.91,0.22,1.04
44.9,0.1,39.91,0.22,1.04
45,0.1,39.91,0.22,1.04
45.1,0.1,39.91,0.22,1.04
45.2,0.1,39.91,0.22,1.04
45.3,0.1,39.91,0.22,1.04
45.4,0.1,39.91,0.22,1.04
45.5,0.1,39.91,0.22,1.04
45.6,0.1,40.26,0.27,1.06
45.7,0.1,40.26,0.27,1.06
45.8,0.1,40.26,0.27,1.06
45.9,0.1,40.26,0.27,1.06
46,0.1,40.26,0.27,1.06
46.1,0.1,40.26,0.27,1.06
46.2,0.1,40.26,0.27,1.06
46.3,0.1,40.26,0.27,1.06
46.4,0.1,38.94,0.27,1.04
46.5,0.1,38.94,0.27,1.04
46.6,0.1,38.94,0.27,1.04
46.7,0.1,38.94,0.27,1.04
46.8,0.1,38.94,0.27,1.04
46.9,0.1,38.94,0.27,1.04
47,0.1,38.94,0.27,1.04
47.1,0.1,38.94,0.27,1.04
47.2,0.1,38.94,0.27,1.04
47.3,0.1,38.94,0.27,1.04
47.4,0.1,38.94,0.27,1.04
47.5,0.1,39.81,0.3,1.04
47.6,0.1,39.81,0.3,1.04
47.7,0.1,39.81,0.3,1.04
47.8,0.1,39.81,0.3,1.04
47.9,0.1,39.81,0.3,1.04
48,0.1,39.81,0.3,1.04
48.1,0.1,39.81,0.3,1.04
48.2,0.1,39.81,0.3,1.04
48.3,0.1,39.81,0.3,1.04
48.4,0.1,39.93,0.28,0.99
48.5,0.1,39.93,0.28,0.99
48.6,0.1,39.93,0.28,0.99
48.7,0.1,39.93,0.28,0.99
48.8,0.1,39.75,0.23,0.96
43.1,0.2,39.07,0.21,0.88
43.2,0.2,39.07,0.21,0.88
43.3,0.2,39.39,0.2,0.84
43.4,0.2,39.39,0.2,0.84
43.5,0.2,39.39,0.2,0.84
43.6,0.2,39.39,0.2,0.84
43.7,0.2,39.39,0.2,0.84
43.8,0.2,39.39,0.15,0.86
43.9,0.2,39.39,0.15,0.86
44,0.2,39.39,0.15,0.86
44.1,0.2,39.39,0.15,0.86
44.2,0.2,39.39,0.15,0.86
44.3,0.2,39.39,0.15,0.86
44.4,0.2,39.39,0.15,0.86
44.5,0.2,39.39,0.15,0.86
44.6,0.2,39.91,0.22,1.04
44.7,0.2,39.91,0.22,1.04
44.8,0.2,39.91,0.22,1.04
44.9,0.2,39.91,0.22,1.04
45,0.2,39.91,0.22,1.04
45.1,0.2,39.91,0.22,1.04
45.2,0.2,39.91,0.22,1.04
45.3,0.2,39.91,0.22,1.04
45.4,0.2,39.91,0.22,1.04
45.5,0.2,39.91,0.22,1.04
45.6,0.2,40.26,0.27,1.06
45.7,0.2,40.26,0.27,1.06
45.8,0.2,40.26,0.27,1.06
45.9,0.2,40.26,0.27,1.06
46,0.2,40.26,0.27,1.06
46.1,0.2,40.26,0.27,1.06
46.2,0.2,40.26,0.27,1.06
46.3,0.2,40.26,0.27,1.06
46.4,0.2,38.94,0.27,1.04
46.5,0.2,38.94,0.27,1.04
46.6,0.2,38.94,0.27,1.04
46.7,0.2,38.94,0.27,1.04
46.8,0.2,38.94,0.27,1.04
46.9,0.2,38.94,0.27,1.04
47,0.2,38.94,0.27,1.04
47.1,0.2,38.94,0.27,1.04
47.2,0.2,38.94,0.27,1.04
47.3,0.2,38.94,0.27,1.04
47.4,0.2,38.94,0.27,1.04
47.5,0.2,39.81,0.3,1.04
47.6,0.2,39.81,0.3,1.04
47.7,0.2,39.81,0.3,1.04
47.8,0.2,39.81,0.3,1.04
47.9,0.2,39.81,0.3,1.04
48,0.2,39.81,0.3,1.04
48.1,0.2,39.81,0.3,1.04
48.2,0.2,39.81,0.3,1.04
48.3,0.2,39.81,0.3,1.04
48.4,0.2,39.93,0.28,0.99
48.5,0.2,39.93,0.28,0.99
48.6,0.2,39.93,0.28,0.99
48.7,0.2,39.93,0.28,0.99
48.8,0.2,39.75,0.23,0.96
43.1,0.3,39.07,0.21,0.88
43.2,0.3,39.07,0.21,0.88
43.3,0.3,39.39,0.2,0.84
43.4,0.3,39.39,0.2,0.84
43.5,0.3,39.39,0.2,0.84
43.6,0.3,39.39,0.2,0.84
43.7,0.3,39.39,0.2,0.84
43.8,0.3,39.39,0.15,0.86
43.9,0.3,39.39,0.15,0.86
44,0.3,39.39,0.15,0.86
44.1,0.3,39.39,0.15,0.86
44.2,0.3,39.39,0.15,0.86
44.3,0.3,39.39,0.15,0.86
44.4,0.3,39.39,0.15,0.86
44.5,0.3,39.39,0.15,0.86
44.6,0.3,39.91,0.22,1.04
44.7,0.3,39.91,0.22,1.04
44.8,0.3,39.91,0.22,1.04
44.9,0.3,39.91,0.22,1.04
45,0.3,39.91,0.22,1.04
45.1,0.3,39.91,0.22,1.04
45.2,0.3,39.91,0.22,1.04
45.3,0.3,39.91,0.22,1.04
45.4,0.3,39.91,0.22,1.04
45.5,0.3,39.91,0.22,1.04
45.6,0.3,40.26,0.27,1.06
45.7,0.3,40.26,0.27,1.06
45.8,0.3,40.26,0.27,1.06
45.9,0.3,40.26,0.27,1.06
46,0.3,40.26,0.27,1.06
46.1,0.3,40.26,0.27,1.06
46.2,0.3,40.26,0.27,1.06
46.3,0.3,40.26,0.27,1.06
46.4,0.3,38.94,0.27,1.04
46.5,0.3,38.94,0.27,1.04
46.6,0.3,38.94,0.27,1.04
46.7,0.3,38.94,0.27,1.04
46.8,0.3,38.94,0.27,1.04
46.9,0.3,38.94,0.27,1.04
47,0.3,38.94,0.27,1.04
47.1,0.3,38.94,0.27,1.04
47.2,0.3,38.94,0.27,1.04
47.3,0.3,38.94,0.27,1.04
47.4,0.3,38.94,0.27,1.04
47.5,0.3,39.81,0.3,1.04
47.6,0.3,39.81,0.3,1.04
47.7,0.3,39.81,0.3,1.04
47.8,0.3,39.81,0.3,1.04
47.9,0.3,39.81,0.3,1.04
48,0.3,39.81,0.3,1.04
48.1,0.3,39.81,0.3,1.04
48.2,0.3,39.81,0.3,1.04
48.3,0.3,39.81,0.3,1.04
48.4,0.3,39.93,0.28,0.99
48.5,0.3,39.93,0.28,0.99
48.6,0.3,39.93,0.28,0.99
48.7,0.3,39.93,0.28,0.99
48.8,0.3,39.75,0.23,0.96
43.1,0.4,39.07,0.21,0.88
43.2,0.4,39.07,0.21,0.88
43.3,0.4,39.39,0.2,0.84
43.4,0.4,39.39,0.2,0.84
43.5,0.4,39.39,0.2,0.84
43.6,0.4,39.39,0.2,0.84
43.7,0.4,39.39,0.2,0.84
43.8,0.4,39.39,0.15,0.86
43.9,0.4,39.39,0.15,0.86
44,0.4,39.39,0.15,0.86
44.1,0.4,39.39,0.15,0.86
44.2,0.4,39.39,0.15,0.86
44.3,0.4,39.39,0.15,0.86
44.4,0.4,39.39,0.15,0.86
44.5,0.4,39.39,0.15,0.86
44.6,0.4,39.91,0.22,1.04
44.7,0.4,39.91,0.22,1.04
44.8,0.4,39.91,0.22,1.04
44.9,0.4,39.91,0.22,1.04
45,0.4,39.91,0.22,1.04
45.1,0.4,39.91,0.22,1.04
45.2,0.4,39.91,0.22,1.04
45.3,0.4,39.91,0.22,1.04
45.4,0.4,39.91,0.22,1.04
45.5,0.4,39.91,0.22,1.04
45.6,0.4,40.26,0.27,1.06
45.7,0.4,40.26,0.27,1.06
45.8,0.4,40.26,0.27,1.06
45.9,0.4,40.26,0.27,1.06
46,0.4,40.26,0.27,1.06
46.1,0.4,40.26,0.27,1.06
46.2,0.4,40.26,0.27,1.06
46.3,0.4,40.26,0.27,1.06
46.4,0.4,38.94,0.27,1.04
46.5,0.4,38.94,0.27,1.04
46.6,0.4,38.94,0.27,1.04
46.7,0.4,38.94,0.27,1.04
46.8,0.4,38.94,0.27,1.04
46.9,0.4,38.94,0.27,1.04
47,0.4,38.94,0.27,1.04
47.1,0.4,38.94,0.27,1.04
47.2,0.4,38.94,0.27,1.04
47.3,0.4,38.94,0.27,1.04
47.4,0.4,38.94,0.27,1.04
47.5,0.4,39.81,0.3,1.04
47.6,0.4,39.81,0.3,1.04
47.7,0.4,39.81,0.3,1.04
47.8,0.4,39.81,0.3,1.04
47.9,0.4,39.81,0.3,1.04
48,0.4,39.81,0.3,1.04
48.1,0.4,39.81,0.3,1.04
48.2,0.4,39.81,0.3,1.04
48.3,0.4,39.81,0.3,1.04
48.4,0.4,39.93,0.28,0.99
48.5,0.4,39.93,0.28,0.99
48.6,0.4,39.93,0.28,0.99
48.7,0.4,39.93,0.28,0.99
48.8,0.4,39.75,0.23,0.96
43.1,0.5,39.07,0.21,0.88
43.2,0.5,39.07,0.21,0.88
43.3,0.5,39.39,0.2,0.84
43.4,0.5,39.39,0.2,0.84
43.5,0.5,39.39,0.2,0.84
43.6,0.5,39.39,0.2,0.84
43.7,0.5,39.39,0.2,0.84
43.8,0.5,39.39,0.15,0.86
43.9,0.5,39.39,0.15,0.86
44,0.5,39.39,0.15,0.86
44.1,0.5,39.39,0.15,0.86
44.2,0.5,39.39,0.15,0.86
44.3,0.5,39.39,0.15,0.86
44.4,0.5,39.39,0.15,0.86
44.5,0.5,39.39,0.15,0.86
44.6,0.5,39.91,0.22,1.04
44.7,0.5,39.91,0.22,1.04
44.8,0.5,39.91,0.22,1.04
44.9,0.5,39.91,0.22,1.04
45,0.5,39.91,0.22,1.04
45.1,0.5,39.91,0.22,1.04
45.2,0.5,39.91,0.22,1.04
45.3,0.5,39.91,0.22,1.04
45.4,0.5,39.91,0.22,1.04
45.5,0.5,39.91,0.22,1.04
45.6,0.5,40.26,0.27,1.06
