mass,ta,tb,ewl,rmr
43.1,0,40.9,5.06,2.75
43.2,0,41.06,5.1,2.75
43.3,0,41.07,5.15,2.76
43.4,0,41.07,5.19,2.76
43.5,0,41.26,5.23,2.77
43.6,0,41.08,5.27,2.77
43.7,0,41.08,5.3,2.78
43.8,0,41.09,5.34,2.78
43.9,0,41.09,5.37,2.78
44,0,40.91,5.4,2.78
44.1,0,41.1,5.43,2.78
44.2,0,41.1,5.46,2.78
44.3,0,41.11,5.49,2.78
44.4,0,41.11,5.52,2.78
44.5,0,41.12,5.54,2.78
44.6,0,41.12,5.56,2.78
44.7,0,41.13,5.59,2.78
44.8,0,41.13,5.61,2.77
44.9,0,41.14,5.62,2.77
45,0,41.15,5.64,2.77
45.1,0,41.31,5.66,2.76
45.2,0,41.16,5.67,2.75
45.3,0,41.16,5.69,2.75
45.4,0,41.17,5.7,2.74
45.5,0,41.17,5.71,2.73
45.6,0,41.18,5.72,2.73
45.7,0,41.18,5.73,2.72
45.8,0,41.19,5.73,2.71
45.9,0,41.2,5.74,2.7
46,0,41.6,5.74,2.69
46.1,0,41.21,5.75,2.68
46.2,0,41.21,5.75,2.67
46.3,0,41.21,5.75,2.66
46.4,0,41.22,5.75,2.65
46.5,0,41.22,5.75,2.63
46.6,0,41.22,5.74,2.62
46.7,0,40.67,5.74,2.61
46.8,0,41.23,5.73,2.6
46.9,0,41.24,5.73,2.58
47,0,41.25,5.72,2.57
47.1,0,41.26,5.71,2.55
47.2,0,41.26,5.7,2.54
47.3,0,41.27,5.69,2.52
47.4,0,41.28,5.67,2.51
47.5,0,41.29,5.66,2.49
47.6,0,41.29,5.64,2.47
47.7,0,41.3,5.63,2.46
47.8,0,41.31,5.61,2.44
47.9,0,41.31,5.59,2.42
48,0,41.32,5.57,2.4
48.1,0,41.32,5.55,2.39
48.2,0,41.33,5.53,2.37
48.3,0,41.34,5.5,2.35
48.4,0,41.35,5.48,2.33
48.5,0,41.36,5.45,2.31
48.6,0,41.58,5.43,2.29
48.7,0,41.38,5.4,2.27
48.8,0,41.34,5.37,2.25
43.1,0.1,40.88,5.02,2.74
43.2,0.1,41.04,5.07,2.75
43.3,0.1,41.04,5.11,2.75
43.4,0.1,41.05,5.15,2.76
43.5,0.1,41.24,5.19,2.76
43.6,0.1,41.06,5.23,2.77
43.7,0.1,41.06,5.27,2.77
43.8,0.1,41.06,5.3,2.77
43.9,0.1,41.06,5.34,2.78
44,0.1,40.88,5.37,2.78
44.1,0.1,41.07,5.4,2.78
44.2,0.1,41.08,5.43,2.78
44.3,0.1,41.08,5.45,2.78
44.4,0.1,41.09,5.48,2.78
44.5,0.1,41.09,5.5,2.78
44.6,0.1,41.1,5.53,2.78
44.7,0.1,41.1,5.55,2.77
44.8,0.1,41.11,5.57,2.77
44.9,0.1,41.12,5.59,2.77
45,0.1,41.12,5.61,2.76
45.1,0.1,41.29,5.62,2.76
45.2,0.1,41.13,5.64,2.75
45.3,0.1,41.14,5.65,2.74
45.4,0.1,41.14,5.66,2.74
45.5,0.1,41.15,5.67,2.73
45.6,0.1,41.15,5.68,2.72
45.7,0.1,41.16,5.69,2.71
45.8,0.1,41.17,5.7,2.71
45.9,0.1,41.17,5.7,2.7
46,0.1,41.58,5.71,2.69
46.1,0.1,41.18,5.71,2.68
46.2,0.1,41.19,5.71,2.67
46.3,0.1,41.19,5.71,2.65
46.4,0.1,41.19,5.71,2.64
46.5,0.1,41.2,5.71,2.63
46.6,0.1,41.2,5.7,2.62
46.7,0.1,40.64,5.7,2.6
46.8,0.1,41.21,5.7,2.59
46.9,0.1,41.22,5.69,2.58
47,0.1,41.23,5.68,2.56
47.1,0.1,41.23,5.67,2.55
47.2,0.1,41.24,5.66,2.53
47.3,0.1,41.25,5.65,2.52
47.4,0.1,41.25,5.64,2.5
47.5,0.1,41.26,5.62,2.49
47.6,0.1,41.27,5.61,2.47
47.7,0.1,41.28,5.59,2.45
47.8,0.1,41.28,5.57,2.43
47.9,0.1,41.29,5.55,2.42
48,0.1,41.3,5.53,2.4
48.1,0.1,41.29,5.51,2.38
48.2,0.1,41.31,5.49,2.36
48.3,0.1,41.32,5.47,2.34
48.4,0.1,41.33,5.44,2.32
48.5,0.1,41.34,5.42,2.3
48.6,0.1,41.55,5.39,2.28
48.7,0.1,41.35,5.36,2.26
48.8,0.1,41.31,5.33,2.24
43.1,0.2,40.86,4.99,2.74
43.2,0.2,41.01,5.03,2.74
43.3,0.2,41.02,5.08,2.75
43.4,0.2,41.03,5.12,2.76
43.5,0.2,41.22,5.16,2.76
43.6,0.2,41.03,5.2,2.76
43.7,0.2,41.04,5.23,2.77
43.8,0.2,41.04,5.27,2.77
43.9,0.2,41.04,5.3,2.77
44,0.2,40.86,5.33,2.77
44.1,0.2,41.05,5.36,2.78
44.2,0.2,41.06,5.39,2.78
44.3,0.2,41.06,5.42,2.78
44.4,0.2,41.07,5.44,2.77
44.5,0.2,41.07,5.47,2.77
44.6,0.2,41.08,5.49,2.77
44.7,0.2,41.08,5.51,2.77
44.8,0.2,41.09,5.53,2.76
44.9,0.2,41.09,5.55,2.76
45,0.2,41.1,5.57,2.76
45.1,0.2,41.27,5.58,2.75
45.2,0.2,41.11,5.6,2.75
45.3,0.2,41.11,5.61,2.74
45.4,0.2,41.12,5.62,2.73
45.5,0.2,41.12,5.63,2.73
45.6,0.2,41.13,5.64,2.72
45.7,0.2,41.13,5.65,2.71
45.8,0.2,41.14,5.66,2.7
45.9,0.2,41.15,5.66,2.69
46,0.2,41.55,5.67,2.68
46.1,0.2,41.16,5.67,2.67
46.2,0.2,41.16,5.67,2.66
46.3,0.2,41.17,5.67,2.65
46.4,0.2,41.17,5.67,2.64
46.5,0.2,41.17,5.67,2.63
46.6,0.2,41.17,5.67,2.61
46.7,0.2,40.62,5.66,2.6
46.8,0.2,41.18,5.66,2.59
46.9,0.2,41.19,5.65,2.57
47,0.2,41.2,5.64,2.56
47.1,0.2,41.21,5.63,2.54
47.2,0.2,41.22,5.62,2.53
47.3,0.2,41.22,5.61,2.51
47.4,0.2,41.23,5.6,2.5
47.5,0.2,41.24,5.59,2.48
47.6,0.2,41.25,5.57,2.46
47.7,0.2,41.25,5.55,2.45
47.8,0.2,41.26,5.54,2.43
47.9,0.2,41.27,5.52,2.41
48,0.2,41.27,5.5,2.39
48.1,0.2,41.27,5.48,2.38
48.2,0.2,41.29,5.45,2.36
48.3,0.2,41.3,5.43,2.34
48.4,0.2,41.3,5.41,2.32
48.5,0.2,41.31,5.38,2.3
48.6,0.2,41.53,5.35,2.28
48.7,0.2,41.33,5.32,2.26
48.8,0.2,41.29,5.29,2.24
43.1,0.3,40.83,4.95,2.73
43.2,0.3,40.99,5,2.74
43.3,0.3,41,5.04,2.75
43.4,0.3,41,5.08,2.75
43.5,0.3,41.19,5.12,2.76
43.6,0.3,41.01,5.16,2.76
43.7,0.3,41.01,5.2,2.76
43.8,0.3,41.02,5.23,2.77
43.9,0.3,41.02,5.27,2.77
44,0.3,40.83,5.3,2.77
44.1,0.3,41.03,5.33,2.77
44.2,0.3,41.03,5.36,2.77
44.3,0.3,41.04,5.38,2.77
44.4,0.3,41.04,5.41,2.77
44.5,0.3,41.05,5.43,2.77
44.6,0.3,41.05,5.46,2.77
44.7,0.3,41.06,5.48,2.76
