mass,ta,tb,ewl,rmr
43.1,0,40.67,-53.94,0.89
43.2,0,40.7,-54.36,0.89
43.3,0,40.72,-54.77,0.89
43.4,0,40.75,-55.16,0.89
43.5,0,40.78,-55.54,0.89
43.6,0,40.81,-55.91,0.89
43.7,0,40.84,-56.26,0.89
43.8,0,40.86,-56.6,0.89
43.9,0,40.89,-56.93,0.89
44,0,40.92,-57.25,0.89
44.1,0,40.95,-57.55,0.89
44.2,0,40.98,-57.85,0.89
44.3,0,41.01,-58.13,0.89
44.4,0,41.04,-58.4,0.89
44.5,0,41.06,-58.66,0.89
44.6,0,41.09,-58.92,0.89
44.7,0,41.12,-59.16,0.89
44.8,0,41.15,-59.39,0.89
44.9,0,41.18,-59.61,0.89
45,0,41.21,-59.82,0.89
45.1,0,41.24,-60.03,0.89
45.2,0,41.27,-60.23,0.89
45.3,0,41.3,-60.42,0.89
45.4,0,41.33,-60.6,0.89
45.5,0,41.36,-60.77,0.89
45.6,0,41.38,-60.94,0.89
45.7,0,41.41,-61.1,0.89
45.8,0,41.44,-61.25,0.89
45.9,0,41.47,-61.4,0.89
46,0,41.5,-61.54,0.89
46.1,0,41.53,-61.68,0.89
46.2,0,41.56,-61.81,0.89
46.3,0,41.59,-61.94,0.89
46.4,0,41.62,-62.07,0.89
46.5,0,41.65,-62.19,0.89
46.6,0,41.68,-62.31,0.89
46.7,0,41.71,-62.43,0.89
46.8,0,41.74,-62.54,0.89
46.9,0,41.77,-62.65,0.89
47,0,41.8,-62.76,0.89
47.1,0,41.83,-62.87,0.89
47.2,0,41.86,-62.98,0.89
47.3,0,41.9,-63.09,0.89
47.4,0,41.93,-63.2,0.89
47.5,0,41.96,-63.31,0.89
47.6,0,41.99,-63.42,0.89
47.7,0,42.02,-63.53,0.89
47.8,0,42.05,-63.64,0.89
47.9,0,42.08,-63.76,0.89
48,0,42.11,-63.88,0.89
48.1,0,42.14,-64.01,0.89
48.2,0,42.17,-64.13,0.89
48.3,0,42.2,-64.27,0.89
48.4,0,42.24,-64.4,0.89
48.5,0,42.27,-64.55,0.89
48.6,0,42.3,-64.7,0.89
