mass,ta,tb,ewl,rmr
8.3,0,35.11,4.2,0.2
8.4,0,35.35,4.2,0.2
8.5,0,35.6,4.2,0.2
8.6,0,35.84,4.2,0.21
8.7,0,36.09,4.2,0.21
8.8,0,36.33,4.2,0.21
8.9,0,36.57,4.2,0.21
9,0,36.75,4.2,0.21
9.1,0,36.93,4.19,0.21
9.2,0,37.11,4.19,0.21
9.3,0,37.28,4.19,0.21
9.4,0,37.46,4.19,0.21
9.5,0,37.64,4.19,0.21
9.6,0,37.81,4.19,0.21
9.7,0,37.99,4.19,0.21
9.8,0,38.17,4.19,0.21
9.9,0,38.34,4.19,0.21
10,0,38.52,4.19,0.21
10.1,0,38.7,4.18,0.21
8.3,0.1,35.12,4.04,0.2
8.4,0.1,35.36,4.04,0.2
8.5,0.1,35.61,4.04,0.2
8.6,0.1,35.85,4.04,0.21
8.7,0.1,36.1,4.04,0.21
8.8,0.1,36.34,4.04,0.21
8.9,0.1,36.58,4.04,0.21
9,0.1,36.76,4.04,0.21
9.1,0.1,36.94,4.04,0.21
9.2,0.1,37.12,4.04,0.21
9.3,0.1,37.29,4.04,0.21
9.4,0.1,37.47,4.04,0.21
9.5,0.1,37.65,4.04,0.21
9.6,0.1,37.82,4.04,0.21
9.7,0.1,38,4.03,0.21
9.8,0.1,38.18,4.03,0.21
9.9,0.1,38.35,4.03,0.21
10,0.1,38.53,4.03,0.21
10.1,0.1,38.71,4.03,0.21
8.3,0.2,35.13,3.88,0.2
8.4,0.2,35.37,3.88,0.2
8.5,0.2,35.62,3.88,0.2
8.6,0.2,35.86,3.88,0.21
8.7,0.2,36.11,3.88,0.21
8.8,0.2,36.35,3.88,0.21
8.9,0.2,36.59,3.88,0.21
9,0.2,36.77,3.88,0.21
9.1,0.2,36.95,3.88,0.21
9.2,0.2,37.13,3.88,0.21
9.3,0.2,37.3,3.88,0.21
9.4,0.2,37.48,3.88,0.21
9.5,0.2,37.66,3.87,0.21
9.6,0.2,37.83,3.87,0.21
9.7,0.2,38.01,3.87,0.21
9.8,0.2,38.19,3.87,0.21
9.9,0.2,38.36,3.87,0.21
10,0.2,38.54,3.87,0.21
10.1,0.2,38.72,3.87,0.21
8.3,0.3,35.14,3.7,0.2
8.4,0.3,35.38,3.7,0.2
8.5,0.3,35.63,3.7,0.2
8.6,0.3,35.87,3.71,0.21
