mass,ta,tb,ewl,rmr
8.3,0,41.83,-0.69,0.26
8.4,0,41.85,-0.68,0.26
8.5,0,41.86,-0.68,0.26
8.6,0,41.87,-0.68,0.26
8.7,0,41.87,-0.68,0.26
8.8,0,41.87,-0.68,0.26
8.9,0,41.85,-0.68,0.26
9,0,41.83,-0.68,0.26
9.1,0,41.82,-0.68,0.26
9.2,0,41.8,-0.67,0.26
9.3,0,41.79,-0.67,0.26
9.4,0,41.79,-0.67,0.26
9.5,0,41.8,-0.67,0.26
9.6,0,41.82,-0.67,0.26
9.7,0,41.84,-0.67,0.26
9.8,0,41.87,-0.67,0.26
9.9,0,41.9,-0.67,0.26
10,0,41.94,-0.66,0.26
10.1,0,41.98,-0.66,0.26
8.3,0.1,41.82,-0.68,0.26
8.4,0.1,41.84,-0.68,0.26
8.5,0.1,41.85,-0.68,0.26
8.6,0.1,41.86,-0.68,0.26
8.7,0.1,41.87,-0.68,0.26
8.8,0.1,41.86,-0.68,0.26
8.9,0.1,41.84,-0.68,0.26
9,0.1,41.83,-0.67,0.26
9.1,0.1,41.81,-0.67,0.26
9.2,0.1,41.79,-0.67,0.26
9.3,0.1,41.78,-0.67,0.26
9.4,0.1,41.78,-0.67,0.26
9.5,0.1,41.79,-0.67,0.26
9.6,0.1,41.81,-0.67,0.26
9.7,0.1,41.83,-0.67,0.26
9.8,0.1,41.86,-0.66,0.26
9.9,0.1,41.89,-0.66,0.26
10,0.1,41.93,-0.66,0.26
10.1,0.1,41.97,-0.66,0.26
8.3,0.2,41.81,-0.68,0.26
8.4,0.2,41.83,-0.68,0.26
8.5,0.2,41.85,-0.68,0.26
8.6,0.2,41.86,-0.68,0.26
8.7,0.2,41.86,-0.68,0.26
8.8,0.2,41.85,-0.67,0.26
8.9,0.2,41.83,-0.67,0.26
9,0.2,41.82,-0.67,0.26
9.1,0.2,41.8,-0.67,0.26
9.2,0.2,41.78,-0.67,0.26
9.3,0.2,41.77,-0.67,0.26
9.4,0.2,41.77,-0.67,0.26
9.5,0.2,41.78,-0.67,0.26
9.6,0.2,41.8,-0.66,0.26
9.7,0.2,41.82,-0.66,0.26
9.8,0.2,41.85,-0.66,0.26
9.9,0.2,41.88,-0.66,0.26
10,0.2,41.92,-0.66,0.26
10.1,0.2,41.96,-0.66,0.26
8.3,0.3,41.8,-0.68,0.26
8.4,0.3,41.82,-0.68,0.26
8.5,0.3,41.84,-0.68,0.26
8.6,0.3,41.85,-0.67,0.26
8.7,0.3,41.85,-0.67,0.26
8.8,0.3,41.84,-0.67,0.26
8.9,0.3,41.83,-0.67,0.26
9,0.3,41.81,-0.67,0.26
9.1,0.3,41.79,-0.67,0.26
9.2,0.3,41.77,-0.67,0.26
9.3,0.3,41.76,-0.67,0.26
9.4,0.3,41.76,-0.66,0.26
9.5,0.3,41.77,-0.66,0.26
9.6,0.3,41.79,-0.66,0.26
9.7,0.3,41.81,-0.66,0.26
9.8,0.3,41.84,-0.66,0.26
9.9,0.3,41.88,-0.66,0.26
10,0.3,41.91,-0.66,0.26
10.1,0.3,41.95,-0.66,0.26
8.3,0.4,41.79,-0.68,0.26
8.4,0.4,41.81,-0.67,0.26
8.5,0.4,41.83,-0.67,0.26
8.6,0.4,41.84,-0.67,0.26
8.7,0.4,41.84,-0.67,0.26
8.8,0.4,41.83,-0.67,0.26
8.9,0.4,41.82,-0.67,0.26
9,0.4,41.8,-0.67,0.26
9.1,0.4,41.78,-0.67,0.26
9.2,0.4,41.76,-0.66,0.26
9.3,0.4,41.76,-0.66,0.26
9.4,0.4,41.75,-0.66,0.26
9.5,0.4,41.76,-0.66,0.26
9.6,0.4,41.78,-0.66,0.26
9.7,0.4,41.8,-0.66,0.26
9.8,0.4,41.83,-0.66,0.26
9.9,0.4,41.87,-0.66,0.26
10,0.4,41.9,-0.65,0.26
10.1,0.4,41.94,-0.65,0.26
8.3,0.5,41.78,-0.67,0.26
8.4,0.5,41.8,-0.67,0.26
8.5,0.5,41.82,-0.67,0.26
8.6,0.5,41.83,-0.67,0.26
8.7,0.5,41.83,-0.67,0.26
8.8,0.5,41.82,-0.67,0.26
8.9,0.5,41.81,-0.67,0.26
9,0.5,41.79,-0.66,0.26
9.1,0.5,41.77,-0.66,0.26
9.2,0.5,41.76,-0.66,0.26
