mass,ta,tb,ewl,rmr
8.3,0,64.7,5.25,-1.88
8.4,0,67.14,5.25,-1.82
8.5,0,69.26,5.25,-1.78
8.6,0,71.09,5.25,-1.74
8.7,0,72.65,5.25,-1.72
8.8,0,73.95,5.24,-1.71
8.9,0,75.01,5.23,-1.72
9,0,75.85,5.23,-1.73
9.1,0,76.49,5.22,-1.75
9.2,0,76.94,5.21,-1.78
9.3,0,77.24,5.21,-1.81
9.4,0,77.39,5.21,-1.86
9.5,0,77.41,5.21,-1.9
9.6,0,77.32,5.21,-1.95
9.7,0,77.15,5.21,-2.01
9.8,0,76.9,5.23,-2.07
9.9,0,76.61,5.24,-2.12
10,0,76.28,5.26,-2.18
10.1,0,75.93,5.29,-2.24
8.3,0.1,64.46,5.21,-1.86
8.4,0.1,66.89,5.21,-1.8
8.5,0.1,69.01,5.21,-1.76
8.6,0.1,70.84,5.21,-1.72
8.7,0.1,72.39,5.21,-1.7
8.8,0.1,73.69,5.2,-1.69
8.9,0.1,74.74,5.2,-1.69
9,0.1,75.58,5.19,-1.71
9.1,0.1,76.22,5.18,-1.73
9.2,0.1,76.67,5.17,-1.76
9.3,0.1,76.96,5.17,-1.79
9.4,0.1,77.11,5.17,-1.83
9.5,0.1,77.13,5.17,-1.88
9.6,0.1,77.04,5.17,-1.93
9.7,0.1,76.87,5.18,-1.98
9.8,0.1,76.62,5.19,-2.04
9.9,0.1,76.33,5.2,-2.1
10,0.1,76,5.22,-2.16
10.1,0.1,75.66,5.25,-2.22
8.3,0.2,64.22,5.17,-1.84
8.4,0.2,66.65,5.17,-1.78
8.5,0.2,68.76,5.17,-1.73
8.6,0.2,70.59,5.17,-1.7
8.7,0.2,72.13,5.17,-1.68
8.8,0.2,73.42,5.16,-1.67
8.9,0.2,74.48,5.16,-1.67
9,0.2,75.31,5.15,-1.69
9.1,0.2,75.95,5.14,-1.71
9.2,0.2,76.4,5.14,-1.73
9.3,0.2,76.69,5.13,-1.77
9.4,0.2,76.83,5.13,-1.81
9.5,0.2,76.85,5.13,-1.86
9.6,0.2,76.77,5.13,-1.91
9.7,0.2,76.59,5.14,-1.96
9.8,0.2,76.35,5.15,-2.02
9.9,0.2,76.05,5.16,-2.08
10,0.2,75.72,5.18,-2.13
10.1,0.2,75.38,5.21,-2.19
8.3,0.3,63.98,5.13,-1.82
8.4,0.3,66.4,5.13,-1.76
8.5,0.3,68.51,5.13,-1.71
8.6,0.3,70.33,5.13,-1.68
8.7,0.3,71.88,5.13,-1.66
8.8,0.3,73.16,5.12,-1.65
8.9,0.3,74.21,5.12,-1.65
9,0.3,75.04,5.11,-1.66
9.1,0.3,75.68,5.1,-1.68
9.2,0.3,76.13,5.1,-1.71
9.3,0.3,76.41,5.09,-1.75
9.4,0.3,76.56,5.09,-1.79
9.5,0.3,76.58,5.09,-1.83
9.6,0.3,76.49,5.09,-1.89
9.7,0.3,76.31,5.1,-1.94
9.8,0.3,76.07,5.11,-2
9.9,0.3,75.77,5.12,-2.05
10,0.3,75.45,5.15,-2.11
10.1,0.3,75.11,5.17,-2.17
8.3,0.4,63.74,5.09,-1.8
8.4,0.4,66.16,5.09,-1.74
8.5,0.4,68.27,5.1,-1.69
