mass,ta,tb,ewl,rmr
21.8,0,39.69,0.27,0.74
21.9,0,39.69,0.27,0.74
22,0,39.66,0.26,0.67
22.1,0,39.66,0.26,0.67
22.2,0,39.66,0.26,0.67
22.3,0,39.66,0.26,0.67
22.4,0,39.66,0.26,0.67
22.5,0,39.66,0.26,0.67
22.6,0,39.66,0.26,0.67
22.7,0,39.66,0.26,0.67
22.8,0,39.66,0.26,0.66
22.9,0,40.33,0.21,0.66
23,0,40.33,0.21,0.66
23.1,0,40.33,0.21,0.66
23.2,0,40.33,0.21,0.66
23.3,0,40.33,0.21,0.66
23.4,0,40.33,0.21,0.66
23.5,0,40.33,0.21,0.66
23.6,0,40.33,0.21,0.66
23.7,0,40.33,0.21,0.66
23.8,0,40.84,0.22,0.66
23.9,0,40.84,0.22,0.66
24,0,40.84,0.22,0.66
24.1,0,40.84,0.22,0.66
24.2,0,40.84,0.22,0.66
24.3,0,40.84,0.22,0.66
24.4,0,40.84,0.22,0.66
24.5,0,40.84,0.22,0.66
24.6,0,40.84,0.22,0.66
24.7,0,40.84,0.22,0.66
24.8,0,40.84,0.22,0.66
24.9,0,40.84,0.22,0.66
25,0,40.84,0.22,0.66
25.1,0,40.84,0.22,0.66
25.2,0,40.84,0.22,0.66
25.3,0,40.23,0.23,0.65
25.4,0,40.23,0.23,0.65
25.5,0,40.23,0.23,0.65
25.6,0,40.23,0.23,0.65
25.7,0,40.23,0.23,0.65
25.8,0,40.23,0.23,0.65
25.9,0,40.23,0.23,0.65
26,0,40.23,0.23,0.65
26.1,0,40.23,0.23,0.65
26.2,0,40.23,0.23,0.65
26.3,0,40.23,0.23,0.65
26.4,0,40.23,0.23,0.65
26.5,0,40.23,0.23,0.65
26.6,0,40.23,0.23,0.65
26.7,0,40.23,0.23,0.65
26.8,0,40.23,0.23,0.65
26.9,0,40.23,0.23,0.65
27,0,40.23,0.23,0.65
27.1,0,40.23,0.23,0.65
27.2,0,40.23,0.23,0.65
27.3,0,39.67,0.22,0.64
27.4,0,39.67,0.22,0.64
27.5,0,39.67,0.22,0.64
27.6,0,39.67,0.22,0.64
27.7,0,39.67,0.22,0.64
27.8,0,39.67,0.22,0.64
27.9,0,39.67,0.22,0.64
28,0,39.67,0.22,0.64
28.1,0,39.67,0.22,0.64
28.2,0,39.67,0.22,0.64
28.3,0,40.22,0.4,0.76
28.4,0,40.22,0.4,0.76
28.5,0,40.22,0.4,0.76
28.6,0,40.22,0.4,0.76
28.7,0,40.22,0.4,0.76
28.8,0,40.22,0.4,0.76
28.9,0,40.22,0.4,0.76
29,0,41.5,0.4,0.79
29.1,0,41.5,0.4,0.79
29.2,0,41.5,0.4,0.79
29.3,0,41.5,0.4,0.79
29.4,0,41.5,0.4,0.79
21.8,0.1,39.69,0.27,0.74
21.9,0.1,39.69,0.27,0.74
22,0.1,39.66,0.26,0.67
22.1,0.1,39.66,0.26,0.67
22.2,0.1,39.66,0.26,0.67
22.3,0.1,39.66,0.26,0.67
22.4,0.1,39.66,0.26,0.67
22.5,0.1,39.66,0.26,0.67
22.6,0.1,39.66,0.26,0.67
22.7,0.1,39.66,0.26,0.67
22.8,0.1,39.66,0.26,0.66
22.9,0.1,40.33,0.21,0.66
