mass,ta,tb,ewl,rmr
21.8,0,58.77,5.25,-0.5
21.9,0,58.94,5.24,-0.49
22,0,59.1,5.23,-0.49
22.1,0,59.26,5.22,-0.49
22.2,0,59.41,5.21,-0.49
22.3,0,59.55,5.2,-0.49
22.4,0,59.69,5.19,-0.49
22.5,0,59.82,5.18,-0.48
22.6,0,59.94,5.16,-0.48
22.7,0,60.06,5.15,-0.48
22.8,0,60.17,5.14,-0.48
22.9,0,60.28,5.13,-0.48
23,0,60.39,5.12,-0.47
23.1,0,60.49,5.11,-0.47
23.2,0,60.58,5.11,-0.47
23.3,0,60.67,5.1,-0.47
23.4,0,60.76,5.09,-0.47
23.5,0,60.85,5.08,-0.46
23.6,0,60.93,5.07,-0.46
23.7,0,61,5.06,-0.46
23.8,0,61.08,5.05,-0.46
23.9,0,61.15,5.04,-0.46
24,0,61.22,5.04,-0.45
24.1,0,61.29,5.03,-0.45
24.2,0,61.36,5.02,-0.45
24.3,0,61.43,5.01,-0.45
24.4,0,61.49,5.01,-0.45
24.5,0,61.55,5,-0.44
24.6,0,61.62,4.99,-0.44
24.7,0,61.68,4.98,-0.44
24.8,0,61.74,4.98,-0.44
24.9,0,61.81,4.97,-0.44
25,0,61.87,4.97,-0.43
25.1,0,61.93,4.96,-0.43
25.2,0,62,4.95,-0.43
25.3,0,62.07,4.95,-0.43
25.4,0,62.13,4.94,-0.43
25.5,0,62.2,4.94,-0.42
25.6,0,62.28,4.93,-0.42
25.7,0,62.35,4.93,-0.42
25.8,0,62.43,4.92,-0.42
25.9,0,62.51,4.92,-0.42
26,0,62.59,4.91,-0.42
26.1,0,62.67,4.91,-0.41
26.2,0,62.76,4.9,-0.41
26.3,0,62.86,4.9,-0.41
26.4,0,62.95,4.9,-0.41
26.5,0,63.05,4.89,-0.41
26.6,0,63.16,4.89,-0.4
26.7,0,63.27,4.89,-0.4
26.8,0,63.39,4.88,-0.4
26.9,0,63.51,4.88,-0.4
27,0,63.64,4.88,-0.4
27.1,0,63.77,4.88,-0.39
27.2,0,63.91,4.87,-0.39
27.3,0,64.05,4.87,-0.39
27.4,0,64.2,4.87,-0.39
27.5,0,64.36,4.87,-0.39
27.6,0,64.53,4.87,-0.38
27.7,0,64.7,4.86,-0.38
27.8,0,64.88,4.86,-0.38
27.9,0,65.07,4.86,-0.38
28,0,65.27,4.86,-0.38
28.1,0,65.48,4.86,-0.37
28.2,0,65.69,4.86,-0.37
28.3,0,65.92,4.86,-0.37
28.4,0,66.15,4.86,-0.37
28.5,0,66.39,4.86,-0.37
28.6,0,66.64,4.86,-0.36
28.7,0,66.91,4.86,-0.36
28.8,0,67.18,4.86,-0.36
28.9,0,67.46,4.86,-0.36
29,0,67.75,4.86,-0.36
29.1,0,68.06,4.86,-0.35
29.2,0,68.38,4.86,-0.35
29.3,0,68.7,4.86,-0.35
29.4,0,69.04,4.87,-0.35
21.8,0.1,58.6,5.22,-0.49
21.9,0.1,58.77,5.21,-0.49
22,0.1,58.93,5.2,-0.49
22.1,0.1,59.09,5.19,-0.49
22.2,0.1,59.23,5.17,-0.49
22.3,0.1,59.38,5.16,-0.48
22.4,0.1,59.51,5.15,-0.48
22.5,0.1,59.64,5.14,-0.48
22.6,0.1,59.77,5.13,-0.48
22.7,0.1,59.88,5.12,-0.48
22.8,0.1,60,5.11,-0.47
22.9,0.1,60.11,5.1,-0.47
23,0.1,60.21,5.09,-0.47
23.1,0.1,60.31,5.08,-0.47
23.2,0.1,60.4,5.07,-0.47
23.3,0.1,60.49,5.06,-0.46
23.4,0.1,60.58,5.05,-0.46
23.5,0.1,60.67,5.04,-0.46
23.6,0.1,60.75,5.04,-0.46
23.7,0.1,60.82,5.03,-0.46
23.8,0.1,60.9,5.02,-0.45
23.9,0.1,60.97,5.01,-0.45
24,0.1,61.04,5,-0.45
24.1,0.1,61.11,5,-0.45
24.2,0.1,61.18,4.99,-0.45
24.3,0.1,61.24,4.98,-0.44
24.4,0.1,61.31,4.97,-0.44
24.5,0.1,61.37,4.97,-0.44
24.6,0.1,61.43,4.96,-0.44
24.7,0.1,61.5,4.95,-0.44
24.8,0.1,61.56,4.95,-0.44
24.9,0.1,61.62,4.94,-0.43
25,0.1,61.68,4.93,-0.43
25.1,0.1,61.75,4.93,-0.43
25.2,0.1,61.81,4.92,-0.43
25.3,0.1,61.88,4.91,-0.43
25.4,0.1,61.95,4.91,-0.42
25.5,0.1,62.02,4.9,-0.42
25.6,0.1,62.09,4.9,-0.42
25.7,0.1,62.16,4.89,-0.42
25.8,0.1,62.24,4.89,-0.42
25.9,0.1,62.31,4.88,-0.41
26,0.1,62.4,4.88,-0.41
26.1,0.1,62.48,4.88,-0.41
26.2,0.1,62.57,4.87,-0.41
26.3,0.1,62.66,4.87,-0.41
26.4,0.1,62.76,4.86,-0.4
26.5,0.1,62.86,4.86,-0.4
26.6,0.1,62.97,4.86,-0.4
26.7,0.1,63.08,4.85,-0.4
26.8,0.1,63.19,4.85,-0.4
26.9,0.1,63.31,4.85,-0.39
27,0.1,63.44,4.85,-0.39
27.1,0.1,63.57,4.84,-0.39
27.2,0.1,63.71,4.84,-0.39
27.3,0.1,63.85,4.84,-0.39
