mass,ta,tb,ewl,rmr
6.4,0,39.23,0.1,-0.11
6.5,0,39.23,0.1,-0.13
6.6,0,39.23,0.1,-0.16
6.7,0,39.23,0.1,-0.18
6.8,0,39.23,0.1,-0.2
6.9,0,39.23,0.1,-0.23
7,0,39.23,0.1,-0.25
7.1,0,39.23,0.1,-0.27
7.2,0,39.23,0.1,-0.3
7.3,0,39.23,0.1,-0.32
7.4,0,39.23,0.1,-0.34
7.5,0,39.23,0.1,-0.36
6.4,0.1,39.23,0.1,-0.07
6.5,0.1,39.23,0.1,-0.09
6.6,0.1,39.23,0.1,-0.12
6.7,0.1,39.23,0.1,-0.14
6.8,0.1,39.23,0.1,-0.17
6.9,0.1,39.23,0.1,-0.19
7,0.1,39.23,0.1,-0.21
7.1,0.1,39.23,0.1,-0.24
7.2,0.1,39.23,0.1,-0.26
7.3,0.1,39.23,0.1,-0.29
7.4,0.1,39.23,0.1,-0.31
7.5,0.1,39.23,0.1,-0.34
6.4,0.2,39.23,0.1,-0.02
6.5,0.2,39.23,0.1,-0.04
6.6,0.2,39.23,0.1,-0.07
6.7,0.2,39.23,0.1,-0.1
6.8,0.2,39.23,0.1,-0.12
6.9,0.2,39.23,0.1,-0.15
7,0.2,39.23,0.1,-0.18
7.1,0.2,39.23,0.1,-0.2
7.2,0.2,39.23,0.1,-0.22
7.3,0.2,39.23,0.1,-0.25
7.4,0.2,39.23,0.1,-0.27
7.5,0.2,39.23,0.1,-0.29
6.4,0.3,39.23,0.1,0.03
6.5,0.3,39.23,0.1,0.01
6.6,0.3,39.23,0.1,-0.02
6.7,0.3,39.23,0.1,-0.04
6.8,0.3,39.23,0.1,-0.07
6.9,0.3,39.23,0.1,-0.09
7,0.3,39.23,0.1,-0.12
7.1,0.3,39.23,0.1,-0.14
7.2,0.3,39.23,0.1,-0.17
7.3,0.3,39.23,0.1,-0.19
7.4,0.3,39.23,0.1,-0.22
7.5,0.3,39.23,0.1,-0.25
6.4,0.4,39.23,0.1,0.08
6.5,0.4,39.23,0.1,0.06
6.6,0.4,39.23,0.1,0.04
6.7,0.4,39.23,0.1,0.01
6.8,0.4,39.23,0.1,-0.01
6.9,0.4,39.23,0.1,-0.04
7,0.4,39.23,0.1,-0.06
7.1,0.4,39.23,0.1,-0.09
7.2,0.4,39.23,0.1,-0.11
7.3,0.4,39.23,0.1,-0.14
7.4,0.4,39.23,0.1,-0.16
