mass,ta,tb,ewl,rmr
6.4,0,39.4,0.1,0.26
6.5,0,39.58,0.08,0.26
6.6,0,39.86,0.09,0.26
6.7,0,39.86,0.09,0.26
6.8,0,39.86,0.09,0.26
6.9,0,39.79,0.08,0.26
7,0,39.79,0.08,0.26
7.1,0,39.79,0.08,0.26
7.2,0,39.79,0.09,0.26
7.3,0,39.79,0.1,0.26
7.4,0,39.75,0.11,0.26
7.5,0,39.75,0.11,0.26
6.4,0.1,39.4,0.1,0.26
6.5,0.1,39.58,0.08,0.26
6.6,0.1,39.86,0.09,0.26
6.7,0.1,39.86,0.09,0.26
6.8,0.1,39.86,0.09,0.26
6.9,0.1,39.79,0.08,0.26
7,0.1,39.79,0.08,0.26
7.1,0.1,39.79,0.08,0.26
7.2,0.1,39.79,0.09,0.26
7.3,0.1,39.79,0.1,0.26
7.4,0.1,39.75,0.11,0.26
7.5,0.1,39.75,0.11,0.26
6.4,0.2,39.4,0.1,0.26
6.5,0.2,39.58,0.08,0.26
6.6,0.2,39.86,0.09,0.26
6.7,0.2,39.86,0.09,0.26
6.8,0.2,39.86,0.09,0.26
6.9,0.2,39.79,0.08,0.26
7,0.2,39.79,0.08,0.26
7.1,0.2,39.79,0.08,0.26
7.2,0.2,39.79,0.09,0.26
7.3,0.2,39.79,0.1,0.26
7.4,0.2,39.75,0.11,0.26
7.5,0.2,39.75,0.11,0.26
6.4,0.3,39.4,0.1,0.26
6.5,0.3,39.58,0.08,0.26
6.6,0.3,39.86,0.09,0.26
6.7,0.3,39.86,0.09,0.26
6.8,0.3,39.86,0.09,0.26
6.9,0.3,39.79,0.08,0.26
7,0.3,39.79,0.08,0.26
7.1,0.3,39.79,0.08,0.26
7.2,0.3,39.79,0.09,0.26
7.3,0.3,39.79,0.1,0.26
7.4,0.3,39.75,0.11,0.26
7.5,0.3,39.75,0.11,0.26
6.4,0.4,39.4,0.1,0.26
6.5,0.4,39.58,0.08,0.26
6.6,0.4,39.86,0.09,0.26
6.7,0.4,39.86,0.09,0.26
6.8,0.4,39.86,0.09,0.26
6.9,0.4,39.79,0.08,0.26
7,0.4,39.79,0.08,0.26
7.1,0.4,39.79,0.08,0.26
7.2,0.4,39.79,0.09,0.26
7.3,0.4,39.79,0.1,0.26
7.4,0.4,39.75,0.11,0.26
7.5,0.4,39.75,0.11,0.26
6.4,0.5,39.4,0.1,0.26
6.5,0.5,39.58,0.08,0.26
6.6,0.5,39.86,0.09,0.26
6.7,0.5,39.86,0.09,0.26
6.8,0.5,39.86,0.09,0.26
6.9,0.5,39.79,0.08,0.26
7,0.5,39.79,0.08,0.26
7.1,0.5,39.79,0.08,0.26
7.2,0.5,39.79,0.09,0.26
7.3,0.5,39.79,0.1,0.26
7.4,0.5,39.75,0.11,0.26
7.5,0.5,39.75,0.11,0.26
6.4,0.6,39.4,0.1,0.26
6.5,0.6,39.58,0.08,0.26
6.6,0.6,39.86,0.09,0.26
6.7,0.6,39.86,0.09,0.26
6.8,0.6,39.86,0.09,0.26
6.9,0.6,39.79,0.08,0.26
7,0.6,39.79,0.08,0.26
7.1,0.6,39.79,0.08,0.26
7.2,0.6,39.79,0.09,0.26
7.3,0.6,39.79,0.1,0.26
7.4,0.6,39.75,0.11,0.26
7.5,0.6,39.75,0.11,0.26
6.4,0.7,39.4,0.1,0.26
6.5,0.7,39.58,0.08,0.26
6.6,0.7,39.86,0.09,0.26
6.7,0.7,39.86,0.09,0.26
6.8,0.7,39.86,0.09,0.26
6.9,0.7,39.79,0.08,0.26
7,0.7,39.79,0.08,0.26
7.1,0.7,39.79,0.08,0.26
7.2,0.7,39.79,0.09,0.26
7.3,0.7,39.79,0.1,0.26
7.4,0.7,39.75,0.11,0.26
7.5,0.7,39.75,0.11,0.26
6.4,0.8,39.4,0.1,0.26
6.5,0.8,39.58,0.08,0.26
6.6,0.8,39.86,0.09,0.26
6.7,0.8,39.86,0.09,0.26
6.8,0.8,39.86,0.09,0.26
6.9,0.8,39.79,0.08,0.26
7,0.8,39.79,0.08,0.26
7.1,0.8,39.79,0.08,0.26
7.2,0.8,39.79,0.09,0.26
7.3,0.8,39.79,0.1,0.26
7.4,0.8,39.75,0.11,0.26
7.5,0.8,39.75,0.11,0.26
6.4,0.9,39.4,0.1,0.26
6.5,0.9,39.58,0.08,0.26
6.6,0.9,39.86,0.09,0.26
6.7,0.9,39.86,0.09,0.26
6.8,0.9,39.86,0.09,0.26
6.9,0.9,39.79,0.08,0.26
7,0.9,39.79,0.08,0.26
7.1,0.9,39.79,0.08,0.26
7.2,0.9,39.79,0.09,0.26
7.3,0.9,39.79,0.1,0.26
7.4,0.9,39.75,0.11,0.26
7.5,0.9,39.75,0.11,0.26
6.4,1,39.4,0.1,0.26
6.5,1,39.58,0.08,0.26
6.6,1,39.86,0.09,0.26
6.7,1,39.86,0.09,0.26
6.8,1,39.86,0.09,0.26
6.9,1,39.79,0.08,0.26
7,1,39.79,0.08,0.26
7.1,1,39.79,0.08,0.26
7.2,1,39.79,0.09,0.26
7.3,1,39.79,0.1,0.26
7.4,1,39.75,0.11,0.26
7.5,1,39.75,0.11,0.26
6.4,1.1,39.4,0.1,0.26
6.5,1.1,39.58,0.08,0.26
6.6,1.1,39.86,0.09,0.26
6.7,1.1,39.86,0.09,0.26
6.8,1.1,39.86,0.09,0.26
6.9,1.1,39.79,0.08,0.26
7,1.1,39.79,0.08,0.26
7.1,1.1,39.79,0.08,0.26
7.2,1.1,39.79,0.09,0.26
7.3,1.1,39.79,0.1,0.26
7.4,1.1,39.75,0.11,0.26
7.5,1.1,39.75,0.11,0.26
6.4,1.2,39.4,0.1,0.26
6.5,1.2,39.58,0.08,0.26
