mass,ta,tb,ewl,rmr
6.4,0,41.83,2.21,0.26
6.5,0,41.83,2.22,0.26
6.6,0,41.83,2.22,0.26
6.7,0,41.83,2.24,0.26
6.8,0,41.83,2.25,0.26
6.9,0,41.83,2.27,0.26
7,0,41.83,2.29,0.26
7.1,0,41.83,2.31,0.26
7.2,0,41.83,2.33,0.26
7.3,0,41.83,2.36,0.26
7.4,0,41.83,2.39,0.26
7.5,0,41.83,2.43,0.26
6.4,0.1,41.83,2.19,0.26
6.5,0.1,41.83,2.2,0.26
6.6,0.1,41.83,2.21,0.26
6.7,0.1,41.83,2.22,0.26
6.8,0.1,41.83,2.24,0.26
6.9,0.1,41.83,2.25,0.26
7,0.1,41.83,2.27,0.26
7.1,0.1,41.83,2.3,0.26
7.2,0.1,41.83,2.32,0.26
7.3,0.1,41.83,2.35,0.26
7.4,0.1,41.83,2.38,0.26
7.5,0.1,41.83,2.41,0.26
6.4,0.2,41.83,2.18,0.26
6.5,0.2,41.83,2.19,0.26
6.6,0.2,41.83,2.2,0.26
6.7,0.2,41.83,2.21,0.26
6.8,0.2,41.83,2.22,0.26
6.9,0.2,41.83,2.24,0.26
7,0.2,41.83,2.26,0.26
7.1,0.2,41.83,2.28,0.26
7.2,0.2,41.83,2.31,0.26
7.3,0.2,41.83,2.33,0.26
7.4,0.2,41.83,2.36,0.26
7.5,0.2,41.83,2.4,0.26
6.4,0.3,41.83,2.17,0.26
6.5,0.3,41.83,2.17,0.26
6.6,0.3,41.83,2.18,0.26
6.7,0.3,41.83,2.19,0.26
6.8,0.3,41.83,2.21,0.26
6.9,0.3,41.83,2.22,0.26
7,0.3,41.83,2.24,0.26
7.1,0.3,41.83,2.27,0.26
7.2,0.3,41.83,2.29,0.26
7.3,0.3,41.83,2.32,0.26
7.4,0.3,41.83,2.35,0.26
7.5,0.3,41.83,2.38,0.26
6.4,0.4,41.83,2.15,0.26
6.5,0.4,41.83,2.16,0.26
6.6,0.4,41.83,2.17,0.26
6.7,0.4,41.83,2.18,0.26
6.8,0.4,41.83,2.19,0.26
6.9,0.4,41.83,2.21,0.26
7,0.4,41.83,2.23,0.26
7.1,0.4,41.83,2.25,0.26
7.2,0.4,41.83,2.28,0.26
7.3,0.4,41.83,2.3,0.26
7.4,0.4,41.83,2.33,0.26
7.5,0.4,41.83,2.37,0.26
