mass,ta,tb,ewl,rmr
10.4,0,44,-0.27,0.1
10.5,0,44.12,-0.23,0.1
10.6,0,44.24,-0.19,0.11
10.7,0,44.37,-0.16,0.12
10.8,0,44.49,-0.13,0.12
10.9,0,44.61,-0.1,0.13
11,0,44.73,-0.05,0.14
11.1,0,44.85,0.01,0.14
11.2,0,44.97,0.04,0.15
11.3,0,45.09,0.07,0.16
11.4,0,45.21,0.1,0.16
11.5,0,45.34,0.12,0.17
11.6,0,45.46,0.15,0.18
11.7,0,45.58,0.17,0.18
10.4,0.1,43.99,-0.27,0.1
10.5,0.1,44.11,-0.23,0.1
10.6,0.1,44.23,-0.19,0.11
10.7,0.1,44.35,-0.16,0.12
10.8,0.1,44.47,-0.13,0.12
10.9,0.1,44.59,-0.1,0.13
11,0.1,44.71,-0.05,0.14
11.1,0.1,44.84,0.01,0.14
11.2,0.1,44.96,0.04,0.15
11.3,0.1,45.08,0.07,0.16
11.4,0.1,45.2,0.1,0.16
11.5,0.1,45.32,0.12,0.17
11.6,0.1,45.44,0.15,0.18
11.7,0.1,45.56,0.17,0.18
10.4,0.2,43.97,-0.27,0.1
10.5,0.2,44.09,-0.22,0.1
10.6,0.2,44.21,-0.19,0.11
10.7,0.2,44.34,-0.16,0.12
10.8,0.2,44.46,-0.13,0.12
10.9,0.2,44.58,-0.1,0.13
11,0.2,44.7,-0.05,0.14
11.1,0.2,44.82,0.01,0.14
11.2,0.2,44.94,0.04,0.15
11.3,0.2,45.06,0.07,0.16
11.4,0.2,45.18,0.1,0.16
11.5,0.2,45.31,0.12,0.17
11.6,0.2,45.43,0.15,0.18
11.7,0.2,45.55,0.17,0.18
10.4,0.3,43.96,-0.27,0.1
10.5,0.3,44.08,-0.22,0.11
10.6,0.3,44.2,-0.19,0.11
10.7,0.3,44.32,-0.16,0.12
10.8,0.3,44.44,-0.13,0.13
10.9,0.3,44.56,-0.1,0.13
11,0.3,44.68,-0.05,0.14
11.1,0.3,44.81,0.01,0.14
11.2,0.3,44.93,0.04,0.15
11.3,0.3,45.05,0.07,0.16
11.4,0.3,45.17,0.1,0.16
11.5,0.3,45.29,0.12,0.17
11.6,0.3,45.41,0.15,0.18
11.7,0.3,45.53,0.17,0.18
10.4,0.4,43.94,-0.27,0.1
10.5,0.4,44.06,-0.22,0.11
10.6,0.4,44.18,-0.19,0.11
10.7,0.4,44.31,-0.16,0.12
10.8,0.4,44.43,-0.13,0.13
10.9,0.4,44.55,-0.1,0.13
11,0.4,44.67,-0.06,0.14
11.1,0.4,44.79,0.01,0.15
11.2,0.4,44.91,0.04,0.15
11.3,0.4,45.03,0.07,0.16
11.4,0.4,45.15,0.1,0.17
11.5,0.4,45.28,0.12,0.17
11.6,0.4,45.4,0.15,0.18
11.7,0.4,45.52,0.17,0.18
10.4,0.5,43.93,-0.27,0.1
10.5,0.5,44.05,-0.22,0.11
10.6,0.5,44.17,-0.19,0.11
10.7,0.5,44.29,-0.16,0.12
10.8,0.5,44.41,-0.13,0.13
10.9,0.5,44.53,-0.1,0.13
11,0.5,44.65,-0.06,0.14
11.1,0.5,44.78,0.01,0.15
11.2,0.5,44.9,0.04,0.15
11.3,0.5,45.02,0.07,0.16
11.4,0.5,45.14,0.1,0.17
11.5,0.5,45.26,0.12,0.17
11.6,0.5,45.38,0.15,0.18
11.7,0.5,45.5,0.17,0.19
10.4,0.6,43.91,-0.27,0.1
10.5,0.6,44.03,-0.22,0.11
10.6,0.6,44.15,-0.19,0.11
10.7,0.6,44.28,-0.16,0.12
10.8,0.6,44.4,-0.13,0.13
10.9,0.6,44.52,-0.1,0.13
11,0.6,44.64,-0.06,0.14
11.1,0.6,44.76,0.01,0.15
11.2,0.6,44.88,0.04,0.15
11.3,0.6,45,0.07,0.16
11.4,0.6,45.12,0.1,0.17
11.5,0.6,45.25,0.12,0.17
11.6,0.6,45.37,0.15,0.18
11.7,0.6,45.49,0.17,0.19
10.4,0.7,43.9,-0.27,0.1
10.5,0.7,44.02,-0.22,0.11
10.6,0.7,44.14,-0.19,0.12
10.7,0.7,44.26,-0.16,0.12
10.8,0.7,44.38,-0.13,0.13
10.9,0.7,44.5,-0.1,0.13
11,0.7,44.62,-0.05,0.14
11.1,0.7,44.75,0.01,0.15
11.2,0.7,44.87,0.04,0.15
11.3,0.7,44.99,0.07,0.16
11.4,0.7,45.11,0.1,0.17
11.5,0.7,45.23,0.12,0.17
11.6,0.7,45.35,0.15,0.18
11.7,0.7,45.47,0.17,0.19
10.4,0.8,43.88,-0.27,0.1
10.5,0.8,44,-0.22,0.11
10.6,0.8,44.12,-0.19,0.12
10.7,0.8,44.25,-0.16,0.12
10.8,0.8,44.37,-0.13,0.13
10.9,0.8,44.49,-0.1,0.14
11,0.8,44.61,-0.05,0.14
11.1,0.8,44.73,0.01,0.15
11.2,0.8,44.85,0.04,0.16
11.3,0.8,44.97,0.07,0.16
11.4,0.8,45.09,0.1,0.17
11.5,0.8,45.22,0.12,0.17
11.6,0.8,45.34,0.15,0.18
11.7,0.8,45.46,0.17,0.19
10.4,0.9,43.87,-0.27,0.1
10.5,0.9,43.99,-0.22,0.11
10.6,0.9,44.11,-0.19,0.12
10.7,0.9,44.23,-0.16,0.12
10.8,0.9,44.35,-0.13,0.13
10.9,0.9,44.47,-0.1,0.14
11,0.9,44.59,-0.05,0.14
11.1,0.9,44.72,0.01,0.15
11.2,0.9,44.84,0.04,0.16
11.3,0.9,44.96,0.07,0.16
11.4,0.9,45.08,0.1,0.17
11.5,0.9,45.2,0.12,0.18
11.6,0.9,45.32,0.15,0.18
11.7,0.9,45.44,0.17,0.19
10.4,1,43.85,-0.27,0.1
10.5,1,43.97,-0.22,0.11
10.6,1,44.09,-0.19,0.12
10.7,1,44.22,-0.16,0.12
10.8,1,44.34,-0.13,0.13
10.9,1,44.46,-0.1,0.14
11,1,44.58,-0.05,0.14
11.1,1,44.7,0.01,0.15
11.2,1,44.82,0.04,0.16
11.3,1,44.94,0.07,0.16
11.4,1,45.06,0.1,0.17
11.5,1,45.19,0.12,0.18
11.6,1,45.31,0.15,0.18
11.7,1,45.43,0.17,0.19
10.4,1.1,43.84,-0.27,0.11
10.5,1.1,43.96,-0.22,0.11
10.6,1.1,44.08,-0.19,0.12
10.7,1.1,44.2,-0.16,0.12
10.8,1.1,44.32,-0.13,0.13
10.9,1.1,44.44,-0.1,0.14
11,1.1,44.56,-0.05,0.14
11.1,1.1,44.69,0.01,0.15
11.2,1.1,44.81,0.04,0.16
11.3,1.1,44.93,0.07,0.16
11.4,1.1,45.05,0.1,0.17
11.5,1.1,45.17,0.12,0.18
11.6,1.1,45.29,0.15,0.18
11.7,1.1,45.41,0.17,0.19
10.4,1.2,43.82,-0.27,0.11
10.5,1.2,43.94,-0.22,0.11
