mass,ta,tb,ewl,rmr
10.4,0,40.83,0.13,0.4
10.5,0,40.83,0.14,0.43
10.6,0,40.89,0.14,0.41
10.7,0,40.89,0.14,0.41
10.8,0,40.9,0.14,0.41
10.9,0,40.9,0.14,0.4
11,0,40.9,0.14,0.4
11.1,0,41.03,0.14,0.4
11.2,0,41.11,0.14,0.41
11.3,0,41.11,0.14,0.4
11.4,0,41.11,0.14,0.4
11.5,0,41.11,0.14,0.52
11.6,0,41.11,0.22,0.51
11.7,0,41.11,0.22,0.51
10.4,0.1,40.83,0.13,0.4
10.5,0.1,40.83,0.14,0.43
10.6,0.1,40.89,0.14,0.41
10.7,0.1,40.89,0.14,0.41
10.8,0.1,40.9,0.14,0.41
10.9,0.1,40.9,0.14,0.4
11,0.1,40.9,0.14,0.4
11.1,0.1,41.03,0.14,0.4
11.2,0.1,41.11,0.14,0.41
11.3,0.1,41.11,0.14,0.4
11.4,0.1,41.11,0.14,0.4
11.5,0.1,41.11,0.14,0.52
11.6,0.1,41.11,0.22,0.51
11.7,0.1,41.11,0.22,0.51
10.4,0.2,40.83,0.13,0.4
10.5,0.2,40.83,0.14,0.43
10.6,0.2,40.89,0.14,0.41
10.7,0.2,40.89,0.14,0.41
10.8,0.2,40.9,0.14,0.41
10.9,0.2,40.9,0.14,0.4
11,0.2,40.9,0.14,0.4
11.1,0.2,41.03,0.14,0.4
11.2,0.2,41.11,0.14,0.41
11.3,0.2,41.11,0.14,0.4
11.4,0.2,41.11,0.14,0.4
11.5,0.2,41.11,0.14,0.52
11.6,0.2,41.11,0.22,0.51
11.7,0.2,41.11,0.22,0.51
10.4,0.3,40.83,0.13,0.4
10.5,0.3,40.83,0.14,0.43
10.6,0.3,40.89,0.14,0.41
10.7,0.3,40.89,0.14,0.41
10.8,0.3,40.9,0.14,0.41
10.9,0.3,40.9,0.14,0.4
11,0.3,40.9,0.14,0.4
11.1,0.3,41.03,0.14,0.4
11.2,0.3,41.11,0.14,0.41
11.3,0.3,41.11,0.14,0.4
11.4,0.3,41.11,0.14,0.4
11.5,0.3,41.11,0.14,0.52
11.6,0.3,41.11,0.22,0.51
11.7,0.3,41.11,0.22,0.51
10.4,0.4,40.83,0.13,0.4
10.5,0.4,40.83,0.14,0.43
10.6,0.4,40.89,0.14,0.41
10.7,0.4,40.89,0.14,0.41
10.8,0.4,40.9,0.14,0.41
10.9,0.4,40.9,0.14,0.4
11,0.4,40.9,0.14,0.4
11.1,0.4,41.03,0.14,0.4
11.2,0.4,41.11,0.14,0.41
11.3,0.4,41.11,0.14,0.4
11.4,0.4,41.11,0.14,0.4
11.5,0.4,41.11,0.14,0.52
11.6,0.4,41.11,0.22,0.51
11.7,0.4,41.11,0.22,0.51
10.4,0.5,40.83,0.13,0.4
10.5,0.5,40.83,0.14,0.43
10.6,0.5,40.89,0.14,0.41
10.7,0.5,40.89,0.14,0.41
10.8,0.5,40.9,0.14,0.41
10.9,0.5,40.9,0.14,0.4
11,0.5,40.9,0.14,0.4
11.1,0.5,41.03,0.14,0.4
11.2,0.5,41.11,0.14,0.41
11.3,0.5,41.11,0.14,0.4
11.4,0.5,41.11,0.14,0.4
11.5,0.5,41.11,0.14,0.52
11.6,0.5,41.11,0.22,0.51
11.7,0.5,41.11,0.22,0.51
10.4,0.6,40.83,0.13,0.4
10.5,0.6,40.83,0.14,0.43
10.6,0.6,40.89,0.14,0.41
10.7,0.6,40.89,0.14,0.41
10.8,0.6,40.9,0.14,0.41
10.9,0.6,40.9,0.14,0.4
11,0.6,40.9,0.14,0.4
11.1,0.6,41.03,0.14,0.4
11.2,0.6,41.11,0.14,0.41
11.3,0.6,41.11,0.14,0.4
11.4,0.6,41.11,0.14,0.4
11.5,0.6,41.11,0.14,0.52
11.6,0.6,41.11,0.22,0.51
11.7,0.6,41.11,0.22,0.51
10.4,0.7,40.83,0.13,0.4
10.5,0.7,40.83,0.14,0.43
10.6,0.7,40.89,0.14,0.41
10.7,0.7,40.89,0.14,0.41
10.8,0.7,40.9,0.14,0.41
10.9,0.7,40.9,0.14,0.4
11,0.7,40.9,0.14,0.4
11.1,0.7,41.03,0.14,0.4
11.2,0.7,41.11,0.14,0.41
11.3,0.7,41.11,0.14,0.4
11.4,0.7,41.11,0.14,0.4
11.5,0.7,41.11,0.14,0.52
11.6,0.7,41.11,0.22,0.51
11.7,0.7,41.11,0.22,0.51
10.4,0.8,40.83,0.13,0.4
10.5,0.8,40.83,0.14,0.43
10.6,0.8,40.89,0.14,0.41
10.7,0.8,40.89,0.14,0.41
10.8,0.8,40.9,0.14,0.41
10.9,0.8,40.9,0.14,0.4
11,0.8,40.9,0.14,0.4
11.1,0.8,41.03,0.14,0.4
11.2,0.8,41.11,0.14,0.41
11.3,0.8,41.11,0.14,0.4
11.4,0.8,41.11,0.14,0.4
11.5,0.8,41.11,0.14,0.52
11.6,0.8,41.11,0.22,0.51
11.7,0.8,41.11,0.22,0.51
10.4,0.9,40.83,0.13,0.4
10.5,0.9,40.83,0.14,0.43
10.6,0.9,40.89,0.14,0.41
10.7,0.9,40.89,0.14,0.41
10.8,0.9,40.9,0.14,0.41
10.9,0.9,40.9,0.14,0.4
11,0.9,40.9,0.14,0.4
11.1,0.9,41.03,0.14,0.4
11.2,0.9,41.11,0.14,0.41
11.3,0.9,41.11,0.14,0.4
11.4,0.9,41.11,0.14,0.4
11.5,0.9,41.11,0.14,0.52
11.6,0.9,41.11,0.22,0.51
11.7,0.9,41.11,0.22,0.51
10.4,1,40.83,0.13,0.4
10.5,1,40.83,0.14,0.43
10.6,1,40.89,0.14,0.41
10.7,1,40.89,0.14,0.41
10.8,1,40.9,0.14,0.41
10.9,1,40.9,0.14,0.4
11,1,40.9,0.14,0.4
11.1,1,41.03,0.14,0.4
11.2,1,41.11,0.14,0.41
11.3,1,41.11,0.14,0.4
11.4,1,41.11,0.14,0.4
11.5,1,41.11,0.14,0.52
11.6,1,41.11,0.22,0.51
11.7,1,41.11,0.22,0.51
10.4,1.1,40.83,0.13,0.4
10.5,1.1,40.83,0.14,0.43
10.6,1.1,40.89,0.14,0.41
10.7,1.1,40.89,0.14,0.41
10.8,1.1,40.9,0.14,0.41
10.9,1.1,40.9,0.14,0.4
11,1.1,40.9,0.14,0.4
11.1,1.1,41.03,0.14,0.4
11.2,1.1,41.11,0.14,0.41
11.3,1.1,41.11,0.14,0.4
11.4,1.1,41.11,0.14,0.4
11.5,1.1,41.11,0.14,0.52
11.6,1.1,41.11,0.22,0.51
11.7,1.1,41.11,0.22,0.51
10.4,1.2,40.83,0.13,0.4
10.5,1.2,40.83,0.14,0.43
10.6,1.2,40.89,0.14,0.41
10.7,1.2,40.89,0.14,0.41
10.8,1.2,40.9,0.14,0.41
10.9,1.2,40.9,0.14,0.4
11,1.2,40.9,0.14,0.4
