mass,ta,tb,ewl,rmr
10.4,0,52.1,2.85,1.61
10.5,0,52.06,2.85,1.61
10.6,0,52.03,2.84,1.6
10.7,0,52.01,2.85,1.6
10.8,0,52,2.85,1.6
10.9,0,51.99,2.86,1.6
11,0,51.99,2.86,1.6
11.1,0,52,2.88,1.61
11.2,0,52.01,2.89,1.62
11.3,0,52.04,2.91,1.62
11.4,0,52.07,2.93,1.64
11.5,0,52.11,2.95,1.66
11.6,0,52.16,2.98,1.68
11.7,0,52.22,3.01,1.7
10.4,0.1,52.03,2.83,1.6
10.5,0.1,51.99,2.83,1.6
10.6,0.1,51.96,2.83,1.6
10.7,0.1,51.93,2.83,1.59
10.8,0.1,51.92,2.83,1.59
10.9,0.1,51.91,2.84,1.59
11,0.1,51.91,2.85,1.59
11.1,0.1,51.92,2.86,1.6
11.2,0.1,51.94,2.87,1.61
11.3,0.1,51.96,2.89,1.62
11.4,0.1,51.99,2.91,1.63
11.5,0.1,52.04,2.93,1.65
11.6,0.1,52.08,2.96,1.67
11.7,0.1,52.14,2.99,1.69
10.4,0.2,51.95,2.81,1.6
10.5,0.2,51.91,2.81,1.6
10.6,0.2,51.88,2.81,1.59
10.7,0.2,51.86,2.81,1.58
10.8,0.2,51.84,2.81,1.58
10.9,0.2,51.84,2.82,1.58
11,0.2,51.84,2.83,1.59
11.1,0.2,51.84,2.84,1.59
11.2,0.2,51.86,2.85,1.61
11.3,0.2,51.89,2.87,1.61
11.4,0.2,51.92,2.89,1.63
11.5,0.2,51.96,2.92,1.65
11.6,0.2,52.01,2.94,1.66
11.7,0.2,52.06,2.97,1.68
10.4,0.3,51.87,2.8,1.59
10.5,0.3,51.83,2.79,1.59
10.6,0.3,51.8,2.79,1.58
10.7,0.3,51.78,2.79,1.58
10.8,0.3,51.77,2.79,1.58
10.9,0.3,51.76,2.8,1.58
11,0.3,51.76,2.81,1.58
11.1,0.3,51.77,2.82,1.59
11.2,0.3,51.79,2.84,1.6
11.3,0.3,51.81,2.85,1.6
11.4,0.3,51.84,2.87,1.62
11.5,0.3,51.88,2.9,1.64
11.6,0.3,51.93,2.92,1.65
11.7,0.3,51.99,2.95,1.67
10.4,0.4,51.8,2.78,1.58
10.5,0.4,51.76,2.77,1.58
10.6,0.4,51.73,2.77,1.57
10.7,0.4,51.7,2.77,1.57
10.8,0.4,51.69,2.78,1.57
10.9,0.4,51.68,2.78,1.57
11,0.4,51.68,2.79,1.57
11.1,0.4,51.69,2.8,1.58
11.2,0.4,51.71,2.82,1.59
11.3,0.4,51.73,2.84,1.6
11.4,0.4,51.77,2.86,1.61
11.5,0.4,51.81,2.88,1.63
11.6,0.4,51.85,2.91,1.65
11.7,0.4,51.91,2.93,1.67
10.4,0.5,51.72,2.76,1.58
10.5,0.5,51.68,2.75,1.58
10.6,0.5,51.65,2.75,1.57
10.7,0.5,51.63,2.75,1.56
10.8,0.5,51.61,2.76,1.56
10.9,0.5,51.61,2.76,1.56
11,0.5,51.61,2.77,1.56
11.1,0.5,51.62,2.78,1.57
11.2,0.5,51.63,2.8,1.58
11.3,0.5,51.66,2.82,1.59
11.4,0.5,51.69,2.84,1.61
11.5,0.5,51.73,2.86,1.63
11.6,0.5,51.78,2.89,1.64
11.7,0.5,51.83,2.92,1.66
10.4,0.6,51.65,2.74,1.57
10.5,0.6,51.61,2.74,1.57
10.6,0.6,51.58,2.73,1.56
10.7,0.6,51.55,2.74,1.56
10.8,0.6,51.54,2.74,1.55
10.9,0.6,51.53,2.74,1.56
11,0.6,51.53,2.75,1.56
11.1,0.6,51.54,2.77,1.56
11.2,0.6,51.56,2.78,1.58
11.3,0.6,51.58,2.8,1.58
11.4,0.6,51.61,2.82,1.6
11.5,0.6,51.66,2.84,1.62
11.6,0.6,51.7,2.87,1.63
11.7,0.6,51.76,2.9,1.65
10.4,0.7,51.57,2.72,1.56
10.5,0.7,51.53,2.72,1.56
10.6,0.7,51.5,2.72,1.55
10.7,0.7,51.48,2.72,1.55
10.8,0.7,51.46,2.72,1.55
10.9,0.7,51.46,2.73,1.55
11,0.7,51.46,2.74,1.55
11.1,0.7,51.47,2.75,1.56
11.2,0.7,51.48,2.76,1.57
