mass,ta,tb,ewl,rmr
10.4,0,50.04,3.22,0.02
10.5,0,50.27,3.2,0.03
10.6,0,50.51,3.17,0.04
10.7,0,50.78,3.15,0.05
10.8,0,51.06,3.13,0.06
10.9,0,51.37,3.12,0.07
11,0,51.69,3.11,0.08
11.1,0,52.04,3.1,0.09
11.2,0,52.4,3.09,0.09
11.3,0,52.78,3.09,0.1
11.4,0,53.19,3.09,0.11
11.5,0,53.61,3.1,0.12
11.6,0,54.06,3.1,0.13
11.7,0,54.52,3.11,0.14
10.4,0.1,49.97,3.2,0.02
10.5,0.1,50.19,3.17,0.03
10.6,0.1,50.44,3.15,0.04
10.7,0.1,50.7,3.13,0.05
10.8,0.1,50.99,3.11,0.06
10.9,0.1,51.29,3.1,0.07
11,0.1,51.61,3.09,0.08
11.1,0.1,51.96,3.08,0.09
11.2,0.1,52.32,3.07,0.1
11.3,0.1,52.7,3.07,0.1
11.4,0.1,53.11,3.07,0.11
11.5,0.1,53.53,3.08,0.12
11.6,0.1,53.97,3.08,0.13
11.7,0.1,54.44,3.09,0.14
10.4,0.2,49.9,3.18,0.02
10.5,0.2,50.12,3.15,0.03
10.6,0.2,50.36,3.13,0.04
10.7,0.2,50.63,3.11,0.05
10.8,0.2,50.91,3.09,0.06
10.9,0.2,51.21,3.08,0.07
11,0.2,51.54,3.07,0.08
11.1,0.2,51.88,3.06,0.09
11.2,0.2,52.24,3.05,0.1
11.3,0.2,52.63,3.05,0.11
11.4,0.2,53.03,3.05,0.12
11.5,0.2,53.45,3.06,0.12
11.6,0.2,53.89,3.06,0.13
11.7,0.2,54.36,3.07,0.14
10.4,0.3,49.82,3.16,0.02
10.5,0.3,50.05,3.14,0.03
10.6,0.3,50.29,3.11,0.04
10.7,0.3,50.55,3.09,0.05
10.8,0.3,50.84,3.07,0.06
10.9,0.3,51.14,3.06,0.07
11,0.3,51.46,3.05,0.08
11.1,0.3,51.8,3.04,0.09
11.2,0.3,52.17,3.03,0.1
11.3,0.3,52.55,3.03,0.11
11.4,0.3,52.95,3.03,0.12
11.5,0.3,53.37,3.04,0.13
11.6,0.3,53.81,3.04,0.13
11.7,0.3,54.27,3.05,0.14
10.4,0.4,49.75,3.14,0.02
10.5,0.4,49.98,3.12,0.03
10.6,0.4,50.22,3.09,0.04
10.7,0.4,50.48,3.07,0.05
10.8,0.4,50.76,3.05,0.06
10.9,0.4,51.06,3.04,0.07
11,0.4,51.38,3.03,0.08
11.1,0.4,51.73,3.02,0.09
11.2,0.4,52.09,3.02,0.1
11.3,0.4,52.47,3.01,0.11
11.4,0.4,52.87,3.01,0.12
11.5,0.4,53.29,3.02,0.13
11.6,0.4,53.73,3.02,0.14
11.7,0.4,54.19,3.03,0.15
10.4,0.5,49.68,3.12,0.02
10.5,0.5,49.9,3.1,0.03
10.6,0.5,50.14,3.07,0.04
10.7,0.5,50.41,3.05,0.05
10.8,0.5,50.69,3.03,0.06
10.9,0.5,50.99,3.02,0.07
11,0.5,51.31,3.01,0.08
11.1,0.5,51.65,3,0.09
11.2,0.5,52.01,3,0.1
11.3,0.5,52.39,2.99,0.11
11.4,0.5,52.79,2.99,0.12
11.5,0.5,53.21,3,0.13
11.6,0.5,53.65,3.01,0.14
11.7,0.5,54.11,3.02,0.15
10.4,0.6,49.61,3.1,0.03
10.5,0.6,49.83,3.08,0.04
10.6,0.6,50.07,3.05,0.04
10.7,0.6,50.33,3.03,0.05
10.8,0.6,50.61,3.02,0.06
10.9,0.6,50.91,3,0.07
11,0.6,51.23,2.99,0.08
11.1,0.6,51.57,2.98,0.09
11.2,0.6,51.93,2.98,0.1
11.3,0.6,52.31,2.97,0.11
11.4,0.6,52.71,2.98,0.12
11.5,0.6,53.13,2.98,0.13
11.6,0.6,53.57,2.99,0.14
11.7,0.6,54.03,3,0.15
10.4,0.7,49.54,3.08,0.03
10.5,0.7,49.76,3.06,0.04
10.6,0.7,50,3.03,0.05
10.7,0.7,50.26,3.01,0.05
10.8,0.7,50.54,3,0.06
10.9,0.7,50.84,2.98,0.07
11,0.7,51.16,2.97,0.08
11.1,0.7,51.5,2.96,0.09
11.2,0.7,51.86,2.96,0.1
11.3,0.7,52.23,2.96,0.11
11.4,0.7,52.63,2.96,0.12
11.5,0.7,53.05,2.96,0.13
11.6,0.7,53.49,2.97,0.14
11.7,0.7,53.95,2.98,0.15
10.4,0.8,49.47,3.06,0.03
10.5,0.8,49.69,3.04,0.04
10.6,0.8,49.93,3.01,0.05
10.7,0.8,50.19,2.99,0.06
10.8,0.8,50.47,2.98,0.06
10.9,0.8,50.76,2.96,0.07
11,0.8,51.08,2.95,0.08
11.1,0.8,51.42,2.94,0.09
11.2,0.8,51.78,2.94,0.1
11.3,0.8,52.16,2.94,0.11
11.4,0.8,52.56,2.94,0.12
11.5,0.8,52.97,2.94,0.13
11.6,0.8,53.41,2.95,0.14
11.7,0.8,53.87,2.96,0.15
10.4,0.9,49.4,3.04,0.03
10.5,0.9,49.62,3.02,0.04
10.6,0.9,49.86,2.99,0.05
10.7,0.9,50.11,2.97,0.06
10.8,0.9,50.39,2.96,0.07
10.9,0.9,50.69,2.94,0.08
11,0.9,51.01,2.93,0.08
11.1,0.9,51.35,2.92,0.09
11.2,0.9,51.7,2.92,0.1
11.3,0.9,52.08,2.92,0.11
11.4,0.9,52.48,2.92,0.12
11.5,0.9,52.89,2.92,0.13
11.6,0.9,53.33,2.93,0.14
11.7,0.9,53.79,2.94,0.15
10.4,1,49.33,3.02,0.03
10.5,1,49.55,3,0.04
10.6,1,49.79,2.97,0.05
10.7,1,50.04,2.95,0.06
10.8,1,50.32,2.94,0.07
10.9,1,50.62,2.92,0.08
11,1,50.93,2.91,0.09
11.1,1,51.27,2.9,0.09
11.2,1,51.63,2.9,0.1
11.3,1,52,2.9,0.11
11.4,1,52.4,2.9,0.12
11.5,1,52.82,2.9,0.13
11.6,1,53.25,2.91,0.14
11.7,1,53.71,2.92,0.15
10.4,1.1,49.26,3,0.03
10.5,1.1,49.48,2.98,0.04
10.6,1.1,49.71,2.96,0.05
10.7,1.1,49.97,2.94,0.06
10.8,1.1,50.25,2.92,0.07
10.9,1.1,50.54,2.9,0.08
11,1.1,50.86,2.89,0.09
11.1,1.1,51.2,2.89,0.1
11.2,1.1,51.55,2.88,0.11
11.3,1.1,51.93,2.88,0.11
11.4,1.1,52.32,2.88,0.12
11.5,1.1,52.74,2.88,0.13
11.6,1.1,53.17,2.89,0.14
11.7,1.1,53.63,2.9,0.15
10.4,1.2,49.19,2.98,0.03
10.5,1.2,49.41,2.96,0.04
10.6,1.2,49.64,2.94,0.05
10.7,1.2,49.9,2.92,0.06
10.8,1.2,50.17,2.9,0.07
10.9,1.2,50.47,2.89,0.08
11,1.2,50.79,2.87,0.09
11.1,1.2,51.12,2.87,0.1
11.2,1.2,51.48,2.86,0.11
11.3,1.2,51.85,2.86,0.12
11.4,1.2,52.25,2.86,0.12
11.5,1.2,52.66,2.87,0.13
11.6,1.2,53.09,2.87,0.14
11.7,1.2,53.55,2.88,0.15
10.4,1.3,49.12,2.97,0.03
10.5,1.3,49.34,2.94,0.04
10.6,1.3,49.57,2.92,0.05
10.7,1.3,49.83,2.9,0.06
10.8,1.3,50.1,2.88,0.07
10.9,1.3,50.4,2.87,0.08
11,1.3,50.71,2.86,0.09
11.1,1.3,51.05,2.85,0.1
11.2,1.3,51.4,2.84,0.11
11.3,1.3,51.77,2.84,0.12
11.4,1.3,52.17,2.84,0.13
11.5,1.3,52.58,2.85,0.14
11.6,1.3,53.02,2.85,0.14
11.7,1.3,53.47,2.87,0.15
10.4,1.4,49.05,2.95,0.03
10.5,1.4,49.27,2.92,0.04
10.6,1.4,49.5,2.9,0.05
10.7,1.4,49.76,2.88,0.06
10.8,1.4,50.03,2.86,0.07
10.9,1.4,50.32,2.85,0.08
11,1.4,50.64,2.84,0.09
11.1,1.4,50.97,2.83,0.1
11.2,1.4,51.33,2.82,0.11
11.3,1.4,51.7,2.82,0.12
11.4,1.4,52.09,2.82,0.13
11.5,1.4,52.51,2.83,0.14
11.6,1.4,52.94,2.84,0.15
11.7,1.4,53.39,2.85,0.15
10.4,1.5,48.99,2.93,0.03
10.5,1.5,49.2,2.9,0.04
10.6,1.5,49.43,2.88,0.05
10.7,1.5,49.69,2.86,0.06
10.8,1.5,49.96,2.84,0.07
10.9,1.5,50.25,2.83,0.08
11,1.5,50.57,2.82,0.09
11.1,1.5,50.9,2.81,0.1
11.2,1.5,51.25,2.81,0.11
11.3,1.5,51.62,2.8,0.12
11.4,1.5,52.02,2.81,0.13
11.5,1.5,52.43,2.81,0.14
11.6,1.5,52.86,2.82,0.15
11.7,1.5,53.31,2.83,0.16
10.4,1.6,48.92,2.91,0.04
10.5,1.6,49.13,2.88,0.04
10.6,1.6,49.36,2.86,0.05
10.7,1.6,49.62,2.84,0.06
10.8,1.6,49.89,2.82,0.07
10.9,1.6,50.18,2.81,0.08
11,1.6,50.49,2.8,0.09
11.1,1.6,50.82,2.79,0.1
11.2,1.6,51.18,2.79,0.11
11.3,1.6,51.55,2.79,0.12
11.4,1.6,51.94,2.79,0.13
11.5,1.6,52.35,2.79,0.14
11.6,1.6,52.78,2.8,0.15
11.7,1.6,53.23,2.81,0.16
10.4,1.7,48.85,2.89,0.04
10.5,1.7,49.06,2.86,0.05
10.6,1.7,49.29,2.84,0.06
10.7,1.7,49.55,2.82,0.06
10.8,1.7,49.82,2.8,0.07
10.9,1.7,50.11,2.79,0.08
11,1.7,50.42,2.78,0.09
11.1,1.7,50.75,2.77,0.1
11.2,1.7,51.1,2.77,0.11
11.3,1.7,51.47,2.77,0.12
11.4,1.7,51.86,2.77,0.13
11.5,1.7,52.27,2.77,0.14
11.6,1.7,52.71,2.78,0.15
11.7,1.7,53.16,2.79,0.16
10.4,1.8,48.78,2.87,0.04
10.5,1.8,48.99,2.84,0.05
10.6,1.8,49.22,2.82,0.06
10.7,1.8,49.48,2.8,0.07
10.8,1.8,49.75,2.79,0.07
10.9,1.8,50.04,2.77,0.08
11,1.8,50.35,2.76,0.09
11.1,1.8,50.68,2.75,0.1
11.2,1.8,51.03,2.75,0.11
11.3,1.8,51.4,2.75,0.12
11.4,1.8,51.79,2.75,0.13
11.5,1.8,52.2,2.75,0.14
11.6,1.8,52.63,2.76,0.15
11.7,1.8,53.08,2.77,0.16
10.4,1.9,48.71,2.85,0.04
10.5,1.9,48.93,2.83,0.05
10.6,1.9,49.16,2.8,0.06
10.7,1.9,49.41,2.78,0.07
10.8,1.9,49.68,2.77,0.08
10.9,1.9,49.97,2.75,0.09
11,1.9,50.28,2.74,0.09
11.1,1.9,50.61,2.74,0.1
11.2,1.9,50.95,2.73,0.11
11.3,1.9,51.32,2.73,0.12
11.4,1.9,51.71,2.73,0.13
11.5,1.9,52.12,2.74,0.14
11.6,1.9,52.55,2.74,0.15
11.7,1.9,53,2.76,0.16
10.4,2,48.65,2.83,0.04
10.5,2,48.86,2.81,0.05
10.6,2,49.09,2.78,0.06
10.7,2,49.34,2.76,0.07
10.8,2,49.61,2.75,0.08
10.9,2,49.89,2.73,0.09
11,2,50.2,2.72,0.1
11.1,2,50.53,2.72,0.1
11.2,2,50.88,2.71,0.11
11.3,2,51.25,2.71,0.12
11.4,2,51.64,2.71,0.13
11.5,2,52.05,2.72,0.14
11.6,2,52.47,2.73,0.15
11.7,2,52.92,2.74,0.16
10.4,2.1,48.58,2.81,0.04
10.5,2.1,48.79,2.79,0.05
10.6,2.1,49.02,2.77,0.06
10.7,2.1,49.27,2.75,0.07
10.8,2.1,49.54,2.73,0.08
10.9,2.1,49.82,2.72,0.09
11,2.1,50.13,2.71,0.1
11.1,2.1,50.46,2.7,0.11
11.2,2.1,50.81,2.69,0.11
11.3,2.1,51.18,2.69,0.12
11.4,2.1,51.56,2.7,0.13
11.5,2.1,51.97,2.7,0.14
11.6,2.1,52.4,2.71,0.15
11.7,2.1,52.85,2.72,0.16
10.4,2.2,48.51,2.79,0.04
10.5,2.2,48.72,2.77,0.05
10.6,2.2,48.95,2.75,0.06
10.7,2.2,49.2,2.73,0.07
10.8,2.2,49.47,2.71,0.08
10.9,2.2,49.75,2.7,0.09
11,2.2,50.06,2.69,0.1
11.1,2.2,50.39,2.68,0.11
11.2,2.2,50.74,2.68,0.12
11.3,2.2,51.1,2.68,0.13
11.4,2.2,51.49,2.68,0.13
11.5,2.2,51.9,2.68,0.14
11.6,2.2,52.32,2.69,0.15
11.7,2.2,52.77,2.7,0.16
10.4,2.3,48.45,2.78,0.04
10.5,2.3,48.66,2.75,0.05
10.6,2.3,48.88,2.73,0.06
10.7,2.3,49.13,2.71,0.07
10.8,2.3,49.4,2.69,0.08
10.9,2.3,49.68,2.68,0.09
11,2.3,49.99,2.67,0.1
11.1,2.3,50.32,2.66,0.11
11.2,2.3,50.66,2.66,0.12
11.3,2.3,51.03,2.66,0.13
11.4,2.3,51.41,2.66,0.14
11.5,2.3,51.82,2.66,0.14
11.6,2.3,52.25,2.67,0.15
11.7,2.3,52.69,2.68,0.16
10.4,2.4,48.38,2.76,0.04
10.5,2.4,48.59,2.73,0.05
10.6,2.4,48.81,2.71,0.06
10.7,2.4,49.06,2.69,0.07
10.8,2.4,49.33,2.67,0.08
10.9,2.4,49.61,2.66,0.09
11,2.4,49.92,2.65,0.1
11.1,2.4,50.24,2.64,0.11
11.2,2.4,50.59,2.64,0.12
