mass,ta,tb,ewl,rmr
10.4,0,39.53,0.17,0.34
10.5,0,39.53,0.17,0.34
10.6,0,39.74,0.17,0.34
10.7,0,39.74,0.17,0.34
10.8,0,39.74,0.17,0.34
10.9,0,38.93,0.17,0.34
11,0,38.93,0.17,0.34
11.1,0,39.45,0.17,0.34
11.2,0,39.45,0.17,0.34
11.3,0,39.45,0.17,0.34
11.4,0,40.57,0.17,0.34
11.5,0,40.57,0.17,0.34
11.6,0,40.57,0.17,0.34
11.7,0,40.79,0.16,0.36
11.8,0,40.79,0.16,0.36
11.9,0,40.79,0.16,0.36
12,0,40.16,0.16,0.34
12.1,0,40.16,0.16,0.34
12.2,0,40.16,0.16,0.34
12.3,0,40.13,0.16,0.34
12.4,0,41.85,0.16,0.34
12.5,0,41.85,0.16,0.34
12.6,0,41.23,0.16,0.34
12.7,0,41.23,0.16,0.34
10.4,0.1,39.53,0.17,0.34
10.5,0.1,39.53,0.17,0.34
10.6,0.1,39.74,0.17,0.34
10.7,0.1,39.74,0.17,0.34
10.8,0.1,39.74,0.17,0.34
10.9,0.1,38.93,0.17,0.34
11,0.1,38.93,0.17,0.34
11.1,0.1,39.45,0.17,0.34
11.2,0.1,39.45,0.17,0.34
11.3,0.1,39.45,0.17,0.34
11.4,0.1,40.57,0.17,0.34
11.5,0.1,40.57,0.17,0.34
11.6,0.1,40.57,0.17,0.34
11.7,0.1,40.79,0.16,0.36
11.8,0.1,40.79,0.16,0.36
11.9,0.1,40.79,0.16,0.36
12,0.1,40.16,0.16,0.34
12.1,0.1,40.16,0.16,0.34
12.2,0.1,40.16,0.16,0.34
12.3,0.1,40.13,0.16,0.34
12.4,0.1,41.85,0.16,0.34
12.5,0.1,41.85,0.16,0.34
12.6,0.1,41.23,0.16,0.34
12.7,0.1,41.23,0.16,0.34
10.4,0.2,39.53,0.17,0.34
10.5,0.2,39.53,0.17,0.34
10.6,0.2,39.74,0.17,0.34
10.7,0.2,39.74,0.17,0.34
10.8,0.2,39.74,0.17,0.34
10.9,0.2,38.93,0.17,0.34
11,0.2,38.93,0.17,0.34
11.1,0.2,39.45,0.17,0.34
11.2,0.2,39.45,0.17,0.34
11.3,0.2,39.45,0.17,0.34
11.4,0.2,40.57,0.17,0.34
11.5,0.2,40.57,0.17,0.34
11.6,0.2,40.57,0.17,0.34
11.7,0.2,40.79,0.16,0.36
11.8,0.2,40.79,0.16,0.36
11.9,0.2,40.79,0.16,0.36
12,0.2,40.16,0.16,0.34
12.1,0.2,40.16,0.16,0.34
12.2,0.2,40.16,0.16,0.34
12.3,0.2,40.13,0.16,0.34
12.4,0.2,41.85,0.16,0.34
12.5,0.2,41.85,0.16,0.34
12.6,0.2,41.23,0.16,0.34
12.7,0.2,41.23,0.16,0.34
10.4,0.3,39.53,0.17,0.34
10.5,0.3,39.53,0.17,0.34
10.6,0.3,39.74,0.17,0.34
10.7,0.3,39.74,0.17,0.34
10.8,0.3,39.74,0.17,0.34
10.9,0.3,38.93,0.17,0.34
11,0.3,38.93,0.17,0.34
11.1,0.3,39.45,0.17,0.34
11.2,0.3,39.45,0.17,0.34
11.3,0.3,39.45,0.17,0.34
11.4,0.3,40.57,0.17,0.34
11.5,0.3,40.57,0.17,0.34
11.6,0.3,40.57,0.17,0.34
11.7,0.3,40.79,0.16,0.36
11.8,0.3,40.79,0.16,0.36
11.9,0.3,40.79,0.16,0.36
12,0.3,40.16,0.16,0.34
12.1,0.3,40.16,0.16,0.34
12.2,0.3,40.16,0.16,0.34
12.3,0.3,40.13,0.16,0.34
12.4,0.3,41.85,0.16,0.34
12.5,0.3,41.85,0.16,0.34
12.6,0.3,41.23,0.16,0.34
12.7,0.3,41.23,0.16,0.34
10.4,0.4,39.53,0.17,0.34
10.5,0.4,39.53,0.17,0.34
10.6,0.4,39.74,0.17,0.34
10.7,0.4,39.74,0.17,0.34
10.8,0.4,39.74,0.17,0.34
10.9,0.4,38.93,0.17,0.34
11,0.4,38.93,0.17,0.34
11.1,0.4,39.45,0.17,0.34
11.2,0.4,39.45,0.17,0.34
11.3,0.4,39.45,0.17,0.34
11.4,0.4,40.57,0.17,0.34
11.5,0.4,40.57,0.17,0.34
11.6,0.4,40.57,0.17,0.34
11.7,0.4,40.79,0.16,0.36
11.8,0.4,40.79,0.16,0.36
11.9,0.4,40.79,0.16,0.36
12,0.4,40.16,0.16,0.34
12.1,0.4,40.16,0.16,0.34
12.2,0.4,40.16,0.16,0.34
12.3,0.4,40.13,0.16,0.34
12.4,0.4,41.85,0.16,0.34
12.5,0.4,41.85,0.16,0.34
12.6,0.4,41.23,0.16,0.34
12.7,0.4,41.23,0.16,0.34
10.4,0.5,39.53,0.17,0.34
10.5,0.5,39.53,0.17,0.34
10.6,0.5,39.74,0.17,0.34
10.7,0.5,39.74,0.17,0.34
10.8,0.5,39.74,0.17,0.34
10.9,0.5,38.93,0.17,0.34
11,0.5,38.93,0.17,0.34
11.1,0.5,39.45,0.17,0.34
11.2,0.5,39.45,0.17,0.34
11.3,0.5,39.45,0.17,0.34
11.4,0.5,40.57,0.17,0.34
11.5,0.5,40.57,0.17,0.34
11.6,0.5,40.57,0.17,0.34
11.7,0.5,40.79,0.16,0.36
11.8,0.5,40.79,0.16,0.36
11.9,0.5,40.79,0.16,0.36
12,0.5,40.16,0.16,0.34
12.1,0.5,40.16,0.16,0.34
12.2,0.5,40.16,0.16,0.34
12.3,0.5,40.13,0.16,0.34
12.4,0.5,41.85,0.16,0.34
12.5,0.5,41.85,0.16,0.34
12.6,0.5,41.23,0.16,0.34
12.7,0.5,41.23,0.16,0.34
10.4,0.6,39.53,0.17,0.34
10.5,0.6,39.53,0.17,0.34
10.6,0.6,39.74,0.17,0.34
10.7,0.6,39.74,0.17,0.34
10.8,0.6,39.74,0.17,0.34
10.9,0.6,38.93,0.17,0.34
11,0.6,38.93,0.17,0.34
11.1,0.6,39.45,0.17,0.34
11.2,0.6,39.45,0.17,0.34
11.3,0.6,39.45,0.17,0.34
11.4,0.6,40.57,0.17,0.34
11.5,0.6,40.57,0.17,0.34
11.6,0.6,40.57,0.17,0.34
11.7,0.6,40.79,0.16,0.36
11.8,0.6,40.79,0.16,0.36
11.9,0.6,40.79,0.16,0.36
12,0.6,40.16,0.16,0.34
12.1,0.6,40.16,0.16,0.34
12.2,0.6,40.16,0.16,0.34
12.3,0.6,40.13,0.16,0.34
12.4,0.6,41.85,0.16,0.34
12.5,0.6,41.85,0.16,0.34
12.6,0.6,41.23,0.16,0.34
12.7,0.6,41.23,0.16,0.34
10.4,0.7,39.53,0.17,0.34
10.5,0.7,39.53,0.17,0.34
10.6,0.7,39.74,0.17,0.34
10.7,0.7,39.74,0.17,0.34
10.8,0.7,39.74,0.17,0.34
10.9,0.7,38.93,0.17,0.34
11,0.7,38.93,0.17,0.34
11.1,0.7,39.45,0.17,0.34
11.2,0.7,39.45,0.17,0.34
11.3,0.7,39.45,0.17,0.34
11.4,0.7,40.57,0.17,0.34
11.5,0.7,40.57,0.17,0.34
11.6,0.7,40.57,0.17,0.34
11.7,0.7,40.79,0.16,0.36
11.8,0.7,40.79,0.16,0.36
11.9,0.7,40.79,0.16,0.36
12,0.7,40.16,0.16,0.34
12.1,0.7,40.16,0.16,0.34
12.2,0.7,40.16,0.16,0.34
12.3,0.7,40.13,0.16,0.34
12.4,0.7,41.85,0.16,0.34
12.5,0.7,41.85,0.16,0.34
12.6,0.7,41.23,0.16,0.34
12.7,0.7,41.23,0.16,0.34
10.4,0.8,39.53,0.17,0.34
10.5,0.8,39.53,0.17,0.34
10.6,0.8,39.74,0.17,0.34
10.7,0.8,39.74,0.17,0.34
10.8,0.8,39.74,0.17,0.34
10.9,0.8,38.93,0.17,0.34
11,0.8,38.93,0.17,0.34
11.1,0.8,39.45,0.17,0.34
11.2,0.8,39.45,0.17,0.34
11.3,0.8,39.45,0.17,0.34
11.4,0.8,40.57,0.17,0.34
11.5,0.8,40.57,0.17,0.34
11.6,0.8,40.57,0.17,0.34
11.7,0.8,40.79,0.16,0.36
11.8,0.8,40.79,0.16,0.36
11.9,0.8,40.79,0.16,0.36
12,0.8,40.16,0.16,0.34
12.1,0.8,40.16,0.16,0.34
12.2,0.8,40.16,0.16,0.34
12.3,0.8,40.13,0.16,0.34
12.4,0.8,41.85,0.16,0.34
12.5,0.8,41.85,0.16,0.34
12.6,0.8,41.23,0.16,0.34
12.7,0.8,41.23,0.16,0.34
10.4,0.9,39.53,0.17,0.34
10.5,0.9,39.53,0.17,0.34
10.6,0.9,39.74,0.17,0.34
10.7,0.9,39.74,0.17,0.34
10.8,0.9,39.74,0.17,0.34
10.9,0.9,38.93,0.17,0.34
11,0.9,38.93,0.17,0.34
11.1,0.9,39.45,0.17,0.34
11.2,0.9,39.45,0.17,0.34
11.3,0.9,39.45,0.17,0.34
11.4,0.9,40.57,0.17,0.34
11.5,0.9,40.57,0.17,0.34
11.6,0.9,40.57,0.17,0.34
11.7,0.9,40.79,0.16,0.36
11.8,0.9,40.79,0.16,0.36
11.9,0.9,40.79,0.16,0.36
12,0.9,40.16,0.16,0.34
12.1,0.9,40.16,0.16,0.34
12.2,0.9,40.16,0.16,0.34
12.3,0.9,40.13,0.16,0.34
12.4,0.9,41.85,0.16,0.34
12.5,0.9,41.85,0.16,0.34
12.6,0.9,41.23,0.16,0.34
12.7,0.9,41.23,0.16,0.34
10.4,1,39.53,0.17,0.34
10.5,1,39.53,0.17,0.34
10.6,1,39.74,0.17,0.34
10.7,1,39.74,0.17,0.34
10.8,1,39.74,0.17,0.34
10.9,1,38.93,0.17,0.34
11,1,38.93,0.17,0.34
11.1,1,39.45,0.17,0.34
11.2,1,39.45,0.17,0.34
11.3,1,39.45,0.17,0.34
11.4,1,40.57,0.17,0.34
11.5,1,40.57,0.17,0.34
11.6,1,40.57,0.17,0.34
11.7,1,40.79,0.16,0.36
11.8,1,40.79,0.16,0.36
11.9,1,40.79,0.16,0.36
12,1,40.16,0.16,0.34
12.1,1,40.16,0.16,0.34
12.2,1,40.16,0.16,0.34
12.3,1,40.13,0.16,0.34
12.4,1,41.85,0.16,0.34
12.5,1,41.85,0.16,0.34
12.6,1,41.23,0.16,0.34
12.7,1,41.23,0.16,0.34
10.4,1.1,39.53,0.17,0.34
10.5,1.1,39.53,0.17,0.34
10.6,1.1,39.74,0.17,0.34
10.7,1.1,39.74,0.17,0.34
10.8,1.1,39.74,0.17,0.34
10.9,1.1,38.93,0.17,0.34
11,1.1,38.93,0.17,0.34
11.1,1.1,39.45,0.17,0.34
11.2,1.1,39.45,0.17,0.34
11.3,1.1,39.45,0.17,0.34
11.4,1.1,40.57,0.17,0.34
11.5,1.1,40.57,0.17,0.34
11.6,1.1,40.57,0.17,0.34
11.7,1.1,40.79,0.16,0.36
11.8,1.1,40.79,0.16,0.36
11.9,1.1,40.79,0.16,0.36
12,1.1,40.16,0.16,0.34
12.1,1.1,40.16,0.16,0.34
12.2,1.1,40.16,0.16,0.34
12.3,1.1,40.13,0.16,0.34
12.4,1.1,41.85,0.16,0.34
12.5,1.1,41.85,0.16,0.34
12.6,1.1,41.23,0.16,0.34
12.7,1.1,41.23,0.16,0.34
10.4,1.2,39.53,0.17,0.34
10.5,1.2,39.53,0.17,0.34
10.6,1.2,39.74,0.17,0.34
10.7,1.2,39.74,0.17,0.34
10.8,1.2,39.74,0.17,0.34
10.9,1.2,38.93,0.17,0.34
11,1.2,38.93,0.17,0.34
11.1,1.2,39.45,0.17,0.34
11.2,1.2,39.45,0.17,0.34
11.3,1.2,39.45,0.17,0.34
11.4,1.2,40.57,0.17,0.34
11.5,1.2,40.57,0.17,0.34
11.6,1.2,40.57,0.17,0.34
11.7,1.2,40.79,0.16,0.36
11.8,1.2,40.79,0.16,0.36
11.9,1.2,40.79,0.16,0.36
12,1.2,40.16,0.16,0.34
12.1,1.2,40.16,0.16,0.34
12.2,1.2,40.16,0.16,0.34
12.3,1.2,40.13,0.16,0.34
12.4,1.2,41.85,0.16,0.34
12.5,1.2,41.85,0.16,0.34
12.6,1.2,41.23,0.16,0.34
12.7,1.2,41.23,0.16,0.34
10.4,1.3,39.53,0.17,0.34
10.5,1.3,39.53,0.17,0.34
10.6,1.3,39.74,0.17,0.34
10.7,1.3,39.74,0.17,0.34
10.8,1.3,39.74,0.17,0.34
10.9,1.3,38.93,0.17,0.34
11,1.3,38.93,0.17,0.34
11.1,1.3,39.45,0.17,0.34
11.2,1.3,39.45,0.17,0.34
11.3,1.3,39.45,0.17,0.34
11.4,1.3,40.57,0.17,0.34
11.5,1.3,40.57,0.17,0.34
11.6,1.3,40.57,0.17,0.34
11.7,1.3,40.79,0.16,0.36
11.8,1.3,40.79,0.16,0.36
11.9,1.3,40.79,0.16,0.36
12,1.3,40.16,0.16,0.34
12.1,1.3,40.16,0.16,0.34
12.2,1.3,40.16,0.16,0.34
12.3,1.3,40.13,0.16,0.34
12.4,1.3,41.85,0.16,0.34
12.5,1.3,41.85,0.16,0.34
12.6,1.3,41.23,0.16,0.34
12.7,1.3,41.23,0.16,0.34
10.4,1.4,39.53,0.17,0.34
10.5,1.4,39.53,0.17,0.34
10.6,1.4,39.74,0.17,0.34
10.7,1.4,39.74,0.17,0.34
10.8,1.4,39.74,0.17,0.34
10.9,1.4,38.93,0.17,0.34
11,1.4,38.93,0.17,0.34
11.1,1.4,39.45,0.17,0.34
11.2,1.4,39.45,0.17,0.34
11.3,1.4,39.45,0.17,0.34
11.4,1.4,40.57,0.17,0.34
11.5,1.4,40.57,0.17,0.34
11.6,1.4,40.57,0.17,0.34
11.7,1.4,40.79,0.16,0.36
11.8,1.4,40.79,0.16,0.36
11.9,1.4,40.79,0.16,0.36
12,1.4,40.16,0.16,0.34
12.1,1.4,40.16,0.16,0.34
12.2,1.4,40.16,0.16,0.34
12.3,1.4,40.13,0.16,0.34
12.4,1.4,41.85,0.16,0.34
12.5,1.4,41.85,0.16,0.34
12.6,1.4,41.23,0.16,0.34
12.7,1.4,41.23,0.16,0.34
10.4,1.5,39.53,0.17,0.34
10.5,1.5,39.53,0.17,0.34
10.6,1.5,39.74,0.17,0.34
10.7,1.5,39.74,0.17,0.34
10.8,1.5,39.74,0.17,0.34
10.9,1.5,38.93,0.17,0.34
11,1.5,38.93,0.17,0.34
11.1,1.5,39.45,0.17,0.34
11.2,1.5,39.45,0.17,0.34
11.3,1.5,39.45,0.17,0.34
11.4,1.5,40.57,0.17,0.34
11.5,1.5,40.57,0.17,0.34
11.6,1.5,40.57,0.17,0.34
11.7,1.5,40.79,0.16,0.36
11.8,1.5,40.79,0.16,0.36
11.9,1.5,40.79,0.16,0.36
12,1.5,40.16,0.16,0.34
12.1,1.5,40.16,0.16,0.34
12.2,1.5,40.16,0.16,0.34
12.3,1.5,40.13,0.16,0.34
12.4,1.5,41.85,0.16,0.34
12.5,1.5,41.85,0.16,0.34
12.6,1.5,41.23,0.16,0.34
12.7,1.5,41.23,0.16,0.34
10.4,1.6,39.53,0.17,0.34
10.5,1.6,39.53,0.17,0.34
10.6,1.6,39.74,0.17,0.34
10.7,1.6,39.74,0.17,0.34
10.8,1.6,39.74,0.17,0.34
10.9,1.6,38.93,0.17,0.34
11,1.6,38.93,0.17,0.34
11.1,1.6,39.45,0.17,0.34
11.2,1.6,39.45,0.17,0.34
11.3,1.6,39.45,0.17,0.34
11.4,1.6,40.57,0.17,0.34
11.5,1.6,40.57,0.17,0.34
11.6,1.6,40.57,0.17,0.34
11.7,1.6,40.79,0.16,0.36
11.8,1.6,40.79,0.16,0.36
11.9,1.6,40.79,0.16,0.36
12,1.6,40.16,0.16,0.34
12.1,1.6,40.16,0.16,0.34
12.2,1.6,40.16,0.16,0.34
12.3,1.6,40.13,0.16,0.34
12.4,1.6,41.85,0.16,0.34
12.5,1.6,41.85,0.16,0.34
12.6,1.6,41.23,0.16,0.34
12.7,1.6,41.23,0.16,0.34
10.4,1.7,39.53,0.17,0.34
10.5,1.7,39.53,0.17,0.34
10.6,1.7,39.74,0.17,0.34
10.7,1.7,39.74,0.17,0.34
10.8,1.7,39.74,0.17,0.34
10.9,1.7,38.93,0.17,0.34
11,1.7,38.93,0.17,0.34
11.1,1.7,39.45,0.17,0.34
11.2,1.7,39.45,0.17,0.34
11.3,1.7,39.45,0.17,0.34
11.4,1.7,40.57,0.17,0.34
11.5,1.7,40.57,0.17,0.34
11.6,1.7,40.57,0.17,0.34
11.7,1.7,40.79,0.16,0.36
11.8,1.7,40.79,0.16,0.36
11.9,1.7,40.79,0.16,0.36
12,1.7,40.16,0.16,0.34
12.1,1.7,40.16,0.16,0.34
12.2,1.7,40.16,0.16,0.34
12.3,1.7,40.13,0.16,0.34
12.4,1.7,41.85,0.16,0.34
12.5,1.7,41.85,0.16,0.34
12.6,1.7,41.23,0.16,0.34
