mass,ta,tb,ewl,rmr
10.4,0,49.22,0.07,0.29
10.5,0,49.3,0.07,0.29
10.6,0,49.38,0.07,0.29
10.7,0,49.45,0.07,0.29
10.8,0,49.49,0.08,0.29
10.9,0,49.5,0.08,0.29
11,0,49.51,0.08,0.29
11.1,0,49.58,0.08,0.29
11.2,0,49.68,0.08,0.29
11.3,0,49.76,0.08,0.3
11.4,0,49.82,0.08,0.3
11.5,0,49.89,0.09,0.3
11.6,0,49.96,0.09,0.3
11.7,0,50.01,0.09,0.31
11.8,0,50.02,0.09,0.31
11.9,0,50.03,0.1,0.31
12,0,50.05,0.1,0.32
12.1,0,50.06,0.1,0.32
12.2,0,50.08,0.1,0.33
12.3,0,50.13,0.11,0.33
12.4,0,50.2,0.11,0.34
12.5,0,50.23,0.11,0.35
12.6,0,50.25,0.11,0.36
12.7,0,50.27,0.12,0.37
10.4,0.1,49.15,0.07,0.29
10.5,0.1,49.23,0.07,0.29
10.6,0.1,49.31,0.07,0.29
10.7,0.1,49.38,0.07,0.29
10.8,0.1,49.42,0.08,0.29
10.9,0.1,49.43,0.08,0.29
11,0.1,49.45,0.08,0.29
11.1,0.1,49.51,0.08,0.29
11.2,0.1,49.61,0.08,0.3
11.3,0.1,49.69,0.08,0.3
11.4,0.1,49.75,0.08,0.3
11.5,0.1,49.82,0.09,0.3
11.6,0.1,49.89,0.09,0.3
11.7,0.1,49.94,0.09,0.31
11.8,0.1,49.95,0.09,0.31
11.9,0.1,49.96,0.1,0.31
12,0.1,49.98,0.1,0.32
12.1,0.1,49.99,0.1,0.32
12.2,0.1,50.01,0.1,0.33
12.3,0.1,50.06,0.11,0.33
12.4,0.1,50.13,0.11,0.34
12.5,0.1,50.16,0.11,0.35
12.6,0.1,50.18,0.11,0.36
12.7,0.1,50.21,0.12,0.37
10.4,0.2,49.09,0.07,0.29
10.5,0.2,49.16,0.07,0.29
10.6,0.2,49.25,0.07,0.29
10.7,0.2,49.31,0.07,0.29
10.8,0.2,49.36,0.08,0.29
10.9,0.2,49.37,0.08,0.29
11,0.2,49.38,0.08,0.29
11.1,0.2,49.45,0.08,0.29
11.2,0.2,49.55,0.08,0.3
11.3,0.2,49.63,0.08,0.3
11.4,0.2,49.69,0.08,0.3
11.5,0.2,49.75,0.09,0.3
11.6,0.2,49.83,0.09,0.3
11.7,0.2,49.88,0.09,0.31
11.8,0.2,49.89,0.09,0.31
11.9,0.2,49.89,0.1,0.31
12,0.2,49.91,0.1,0.32
12.1,0.2,49.93,0.1,0.32
12.2,0.2,49.94,0.1,0.33
12.3,0.2,49.99,0.11,0.33
12.4,0.2,50.06,0.11,0.34
12.5,0.2,50.1,0.11,0.35
12.6,0.2,50.12,0.11,0.36
12.7,0.2,50.14,0.12,0.37
10.4,0.3,49.02,0.07,0.29
10.5,0.3,49.1,0.07,0.29
10.6,0.3,49.18,0.07,0.29
10.7,0.3,49.25,0.07,0.29
10.8,0.3,49.29,0.08,0.29
10.9,0.3,49.3,0.08,0.29
11,0.3,49.31,0.08,0.29
11.1,0.3,49.38,0.08,0.29
11.2,0.3,49.48,0.08,0.3
11.3,0.3,49.56,0.08,0.3
11.4,0.3,49.62,0.08,0.3
11.5,0.3,49.69,0.09,0.3
11.6,0.3,49.76,0.09,0.31
11.7,0.3,49.81,0.09,0.31
11.8,0.3,49.82,0.09,0.31
11.9,0.3,49.83,0.1,0.31
12,0.3,49.85,0.1,0.32
12.1,0.3,49.86,0.1,0.32
12.2,0.3,49.88,0.1,0.33
12.3,0.3,49.93,0.11,0.33
12.4,0.3,50,0.11,0.34
12.5,0.3,50.03,0.11,0.35
12.6,0.3,50.05,0.12,0.36
12.7,0.3,50.07,0.12,0.37
10.4,0.4,48.95,0.07,0.29
10.5,0.4,49.03,0.07,0.29
10.6,0.4,49.11,0.07,0.29
10.7,0.4,49.18,0.07,0.29
10.8,0.4,49.22,0.08,0.29
10.9,0.4,49.23,0.08,0.29
11,0.4,49.24,0.08,0.29
11.1,0.4,49.31,0.08,0.29
11.2,0.4,49.41,0.08,0.3
11.3,0.4,49.49,0.08,0.3
11.4,0.4,49.56,0.08,0.3
11.5,0.4,49.62,0.09,0.3
11.6,0.4,49.7,0.09,0.31
11.7,0.4,49.75,0.09,0.31
11.8,0.4,49.75,0.09,0.31
11.9,0.4,49.76,0.1,0.31
12,0.4,49.78,0.1,0.32
12.1,0.4,49.79,0.1,0.32
12.2,0.4,49.81,0.1,0.33
12.3,0.4,49.86,0.11,0.33
12.4,0.4,49.93,0.11,0.34
12.5,0.4,49.96,0.11,0.35
12.6,0.4,49.98,0.12,0.36
12.7,0.4,50.01,0.12,0.37
10.4,0.5,48.89,0.07,0.29
10.5,0.5,48.97,0.07,0.29
10.6,0.5,49.05,0.07,0.29
10.7,0.5,49.12,0.07,0.29
10.8,0.5,49.16,0.08,0.29
10.9,0.5,49.17,0.08,0.29
11,0.5,49.18,0.08,0.29
11.1,0.5,49.25,0.08,0.29
11.2,0.5,49.35,0.08,0.3
11.3,0.5,49.43,0.08,0.3
11.4,0.5,49.49,0.08,0.3
11.5,0.5,49.56,0.09,0.3
11.6,0.5,49.63,0.09,0.31
11.7,0.5,49.68,0.09,0.31
11.8,0.5,49.69,0.09,0.31
11.9,0.5,49.7,0.1,0.31
12,0.5,49.71,0.1,0.32
12.1,0.5,49.73,0.1,0.32
12.2,0.5,49.74,0.1,0.33
12.3,0.5,49.79,0.11,0.33
12.4,0.5,49.87,0.11,0.34
12.5,0.5,49.9,0.11,0.35
12.6,0.5,49.92,0.12,0.36
12.7,0.5,49.94,0.12,0.37
10.4,0.6,48.82,0.07,0.29
10.5,0.6,48.9,0.07,0.29
10.6,0.6,48.98,0.07,0.29
10.7,0.6,49.05,0.07,0.29
10.8,0.6,49.09,0.08,0.29
10.9,0.6,49.1,0.08,0.29
11,0.6,49.11,0.08,0.29
11.1,0.6,49.18,0.08,0.29
11.2,0.6,49.28,0.08,0.3
11.3,0.6,49.36,0.08,0.3
11.4,0.6,49.42,0.08,0.3
11.5,0.6,49.49,0.09,0.3
