mass,ta,tb,ewl,rmr
10.4,0,39,1.68,0.8
10.5,0,39.25,1.7,0.8
10.6,0,39.5,1.71,0.81
10.7,0,39.75,1.72,0.81
10.8,0,39.99,1.73,0.82
10.9,0,40.24,1.74,0.82
11,0,40.48,1.76,0.82
11.1,0,40.72,1.77,0.83
11.2,0,40.95,1.78,0.83
11.3,0,41.18,1.79,0.84
11.4,0,41.42,1.81,0.84
11.5,0,41.65,1.82,0.85
11.6,0,41.87,1.83,0.85
11.7,0,42.1,1.84,0.86
11.8,0,42.32,1.86,0.86
11.9,0,42.54,1.87,0.87
12,0,42.76,1.88,0.87
12.1,0,42.97,1.9,0.88
12.2,0,43.19,1.91,0.88
12.3,0,43.4,1.92,0.89
12.4,0,43.61,1.94,0.9
12.5,0,43.82,1.95,0.9
12.6,0,44.02,1.96,0.91
12.7,0,44.22,1.98,0.91
10.4,0.1,38.98,1.67,0.79
10.5,0.1,39.23,1.68,0.8
10.6,0.1,39.48,1.7,0.8
10.7,0.1,39.73,1.71,0.81
10.8,0.1,39.97,1.72,0.81
10.9,0.1,40.22,1.73,0.82
11,0.1,40.45,1.74,0.82
11.1,0.1,40.69,1.76,0.83
11.2,0.1,40.93,1.77,0.83
11.3,0.1,41.16,1.78,0.84
11.4,0.1,41.39,1.79,0.84
11.5,0.1,41.62,1.81,0.85
11.6,0.1,41.85,1.82,0.85
11.7,0.1,42.07,1.83,0.86
11.8,0.1,42.29,1.84,0.86
11.9,0.1,42.51,1.86,0.87
12,0.1,42.73,1.87,0.87
12.1,0.1,42.95,1.88,0.88
12.2,0.1,43.16,1.9,0.88
12.3,0.1,43.37,1.91,0.89
12.4,0.1,43.58,1.92,0.89
12.5,0.1,43.79,1.94,0.9
12.6,0.1,43.99,1.95,0.9
12.7,0.1,44.19,1.97,0.91
10.4,0.2,38.96,1.66,0.79
10.5,0.2,39.21,1.67,0.8
10.6,0.2,39.46,1.68,0.8
10.7,0.2,39.71,1.7,0.81
10.8,0.2,39.95,1.71,0.81
10.9,0.2,40.19,1.72,0.81
11,0.2,40.43,1.73,0.82
11.1,0.2,40.67,1.74,0.82
11.2,0.2,40.91,1.76,0.83
11.3,0.2,41.14,1.77,0.83
11.4,0.2,41.37,1.78,0.84
11.5,0.2,41.6,1.79,0.84
11.6,0.2,41.82,1.81,0.85
11.7,0.2,42.05,1.82,0.85
11.8,0.2,42.27,1.83,0.86
11.9,0.2,42.49,1.84,0.86
12,0.2,42.7,1.86,0.87
12.1,0.2,42.92,1.87,0.87
12.2,0.2,43.13,1.88,0.88
12.3,0.2,43.34,1.9,0.88
12.4,0.2,43.55,1.91,0.89
12.5,0.2,43.76,1.93,0.9
12.6,0.2,43.96,1.94,0.9
12.7,0.2,44.16,1.95,0.91
10.4,0.3,38.94,1.65,0.79
10.5,0.3,39.19,1.66,0.79
10.6,0.3,39.44,1.67,0.8
10.7,0.3,39.69,1.68,0.8
10.8,0.3,39.93,1.7,0.81
10.9,0.3,40.17,1.71,0.81
11,0.3,40.41,1.72,0.82
11.1,0.3,40.65,1.73,0.82
11.2,0.3,40.88,1.74,0.83
11.3,0.3,41.11,1.76,0.83
11.4,0.3,41.34,1.77,0.84
11.5,0.3,41.57,1.78,0.84
11.6,0.3,41.8,1.79,0.85
11.7,0.3,42.02,1.81,0.85
11.8,0.3,42.24,1.82,0.86
11.9,0.3,42.46,1.83,0.86
12,0.3,42.68,1.85,0.87
12.1,0.3,42.89,1.86,0.87
12.2,0.3,43.11,1.87,0.88
12.3,0.3,43.32,1.89,0.88
12.4,0.3,43.52,1.9,0.89
12.5,0.3,43.73,1.91,0.89
12.6,0.3,43.93,1.93,0.9
12.7,0.3,44.13,1.94,0.9
10.4,0.4,38.93,1.64,0.79
10.5,0.4,39.18,1.65,0.79
10.6,0.4,39.42,1.66,0.8
10.7,0.4,39.67,1.67,0.8
10.8,0.4,39.91,1.68,0.8
10.9,0.4,40.15,1.7,0.81
11,0.4,40.39,1.71,0.81
11.1,0.4,40.63,1.72,0.82
11.2,0.4,40.86,1.73,0.82
11.3,0.4,41.09,1.74,0.83
11.4,0.4,41.32,1.76,0.83
11.5,0.4,41.55,1.77,0.84
11.6,0.4,41.77,1.78,0.84
11.7,0.4,42,1.79,0.85
11.8,0.4,42.22,1.81,0.85
11.9,0.4,42.44,1.82,0.86
12,0.4,42.65,1.83,0.86
12.1,0.4,42.87,1.85,0.87
12.2,0.4,43.08,1.86,0.87
12.3,0.4,43.29,1.87,0.88
12.4,0.4,43.49,1.89,0.88
12.5,0.4,43.7,1.9,0.89
12.6,0.4,43.9,1.91,0.9
12.7,0.4,44.1,1.93,0.9
10.4,0.5,38.91,1.63,0.78
10.5,0.5,39.16,1.64,0.79
10.6,0.5,39.4,1.65,0.79
10.7,0.5,39.65,1.66,0.8
10.8,0.5,39.89,1.67,0.8
10.9,0.5,40.13,1.68,0.81
11,0.5,40.37,1.7,0.81
11.1,0.5,40.6,1.71,0.82
11.2,0.5,40.84,1.72,0.82
11.3,0.5,41.07,1.73,0.83
11.4,0.5,41.3,1.74,0.83
11.5,0.5,41.52,1.76,0.84
11.6,0.5,41.75,1.77,0.84
11.7,0.5,41.97,1.78,0.85
11.8,0.5,42.19,1.8,0.85
11.9,0.5,42.41,1.81,0.86
12,0.5,42.63,1.82,0.86
12.1,0.5,42.84,1.83,0.87
12.2,0.5,43.05,1.85,0.87
12.3,0.5,43.26,1.86,0.88
12.4,0.5,43.47,1.88,0.88
12.5,0.5,43.67,1.89,0.89
12.6,0.5,43.87,1.9,0.89
12.7,0.5,44.07,1.92,0.9
10.4,0.6,38.89,1.61,0.78
10.5,0.6,39.14,1.63,0.79
10.6,0.6,39.38,1.64,0.79
10.7,0.6,39.63,1.65,0.79
10.8,0.6,39.87,1.66,0.8
10.9,0.6,40.11,1.67,0.8
11,0.6,40.35,1.68,0.81
11.1,0.6,40.58,1.7,0.81
11.2,0.6,40.81,1.71,0.82
11.3,0.6,41.05,1.72,0.82
11.4,0.6,41.27,1.73,0.83
11.5,0.6,41.5,1.75,0.83
11.6,0.6,41.72,1.76,0.84
11.7,0.6,41.95,1.77,0.84
11.8,0.6,42.17,1.78,0.85
11.9,0.6,42.38,1.8,0.85
12,0.6,42.6,1.81,0.86
12.1,0.6,42.81,1.82,0.86
12.2,0.6,43.02,1.84,0.87
12.3,0.6,43.23,1.85,0.87
12.4,0.6,43.44,1.86,0.88
12.5,0.6,43.64,1.88,0.88
12.6,0.6,43.84,1.89,0.89
12.7,0.6,44.04,1.9,0.89
10.4,0.7,38.87,1.6,0.78
10.5,0.7,39.12,1.61,0.78
10.6,0.7,39.36,1.63,0.79
10.7,0.7,39.61,1.64,0.79
10.8,0.7,39.85,1.65,0.8
10.9,0.7,40.09,1.66,0.8
11,0.7,40.33,1.67,0.81
11.1,0.7,40.56,1.68,0.81
11.2,0.7,40.79,1.7,0.82
11.3,0.7,41.02,1.71,0.82
11.4,0.7,41.25,1.72,0.83
11.5,0.7,41.48,1.73,0.83
11.6,0.7,41.7,1.75,0.84
11.7,0.7,41.92,1.76,0.84
11.8,0.7,42.14,1.77,0.85
11.9,0.7,42.36,1.78,0.85
12,0.7,42.57,1.8,0.86
12.1,0.7,42.78,1.81,0.86
12.2,0.7,43,1.82,0.87
12.3,0.7,43.2,1.84,0.87
12.4,0.7,43.41,1.85,0.88
12.5,0.7,43.61,1.86,0.88
12.6,0.7,43.81,1.88,0.89
12.7,0.7,44.01,1.89,0.89
10.4,0.8,38.85,1.59,0.78
10.5,0.8,39.1,1.6,0.78
10.6,0.8,39.35,1.61,0.79
10.7,0.8,39.59,1.63,0.79
10.8,0.8,39.83,1.64,0.79
10.9,0.8,40.07,1.65,0.8
11,0.8,40.3,1.66,0.8
11.1,0.8,40.54,1.67,0.81
11.2,0.8,40.77,1.68,0.81
11.3,0.8,41,1.7,0.82
11.4,0.8,41.23,1.71,0.82
11.5,0.8,41.45,1.72,0.83
11.6,0.8,41.68,1.73,0.83
11.7,0.8,41.9,1.75,0.84
11.8,0.8,42.12,1.76,0.84
11.9,0.8,42.33,1.77,0.85
12,0.8,42.55,1.79,0.85
12.1,0.8,42.76,1.8,0.86
12.2,0.8,42.97,1.81,0.86
12.3,0.8,43.18,1.83,0.87
12.4,0.8,43.38,1.84,0.87
12.5,0.8,43.58,1.85,0.88
12.6,0.8,43.79,1.87,0.88
12.7,0.8,43.98,1.88,0.89
10.4,0.9,38.84,1.58,0.77
10.5,0.9,39.08,1.59,0.78
10.6,0.9,39.33,1.6,0.78
10.7,0.9,39.57,1.61,0.79
10.8,0.9,39.81,1.63,0.79
10.9,0.9,40.05,1.64,0.8
11,0.9,40.28,1.65,0.8
11.1,0.9,40.52,1.66,0.81
11.2,0.9,40.75,1.67,0.81
11.3,0.9,40.98,1.69,0.82
11.4,0.9,41.2,1.7,0.82
11.5,0.9,41.43,1.71,0.82
11.6,0.9,41.65,1.72,0.83
11.7,0.9,41.87,1.73,0.83
11.8,0.9,42.09,1.75,0.84
11.9,0.9,42.31,1.76,0.84
12,0.9,42.52,1.77,0.85
12.1,0.9,42.73,1.79,0.85
12.2,0.9,42.94,1.8,0.86
12.3,0.9,43.15,1.81,0.87
12.4,0.9,43.35,1.83,0.87
