mass,ta,tb,ewl,rmr
34.7,0,46.89,0.23,0.88
34.8,0,46.52,0.23,0.89
34.9,0,46.15,0.24,0.9
35,0,45.79,0.25,0.91
35.1,0,45.42,0.25,0.92
35.2,0,45.07,0.26,0.93
35.3,0,44.72,0.27,0.93
35.4,0,44.37,0.27,0.94
35.5,0,44.03,0.28,0.95
35.6,0,43.68,0.29,0.95
35.7,0,43.34,0.29,0.96
35.8,0,43,0.3,0.96
35.9,0,42.67,0.31,0.97
36,0,42.59,0.31,0.97
36.1,0,42.72,0.32,0.98
36.2,0,42.96,0.33,0.98
36.3,0,43.42,0.33,0.98
36.4,0,44.05,0.34,0.98
36.5,0,44.74,0.35,0.98
36.6,0,45.44,0.35,0.98
36.7,0,46.16,0.36,0.98
36.8,0,46.91,0.37,0.98
36.9,0,47.68,0.37,0.98
37,0,48.45,0.38,0.98
37.1,0,49.22,0.39,0.98
37.2,0,50.09,0.39,0.97
37.3,0,50.97,0.4,0.97
37.4,0,51.85,0.41,0.97
37.5,0,52.74,0.41,0.97
37.6,0,53.65,0.42,0.96
37.7,0,54.18,0.43,0.96
37.8,0,54.25,0.43,0.96
37.9,0,54.33,0.44,0.96
38,0,54.44,0.45,0.95
38.1,0,54.59,0.45,0.95
38.2,0,54.73,0.46,0.95
38.3,0,54.82,0.47,0.95
38.4,0,54.83,0.47,0.94
38.5,0,54.77,0.48,0.94
38.6,0,54.8,0.49,0.94
38.7,0,55.13,0.49,0.94
38.8,0,55.47,0.5,0.93
38.9,0,55.81,0.51,0.93
39,0,56.16,0.51,0.93
39.1,0,56.52,0.52,0.93
39.2,0,56.88,0.53,0.92
34.7,0.1,46.86,0.22,0.87
34.8,0.1,46.49,0.23,0.88
34.9,0.1,46.12,0.24,0.9
35,0.1,45.76,0.24,0.91
35.1,0.1,45.4,0.25,0.91
35.2,0.1,45.04,0.26,0.92
35.3,0.1,44.69,0.26,0.93
35.4,0.1,44.35,0.27,0.94
35.5,0.1,44,0.28,0.95
35.6,0.1,43.66,0.28,0.95
35.7,0.1,43.31,0.29,0.96
35.8,0.1,42.97,0.3,0.96
35.9,0.1,42.63,0.3,0.97
36,0.1,42.54,0.31,0.97
36.1,0.1,42.65,0.32,0.97
36.2,0.1,42.9,0.32,0.98
36.3,0.1,43.37,0.33,0.98
36.4,0.1,44,0.34,0.98
36.5,0.1,44.69,0.34,0.98
36.6,0.1,45.39,0.35,0.98
36.7,0.1,46.12,0.36,0.98
36.8,0.1,46.87,0.36,0.98
36.9,0.1,47.64,0.37,0.98
37,0.1,48.41,0.38,0.98
37.1,0.1,49.18,0.38,0.97
37.2,0.1,50.04,0.39,0.97
37.3,0.1,50.92,0.4,0.97
37.4,0.1,51.8,0.4,0.97
37.5,0.1,52.69,0.41,0.97
37.6,0.1,53.6,0.42,0.96
37.7,0.1,54.13,0.42,0.96
37.8,0.1,54.2,0.43,0.96
37.9,0.1,54.28,0.44,0.96
38,0.1,54.4,0.44,0.95
38.1,0.1,54.55,0.45,0.95
38.2,0.1,54.68,0.46,0.95
38.3,0.1,54.77,0.46,0.95
38.4,0.1,54.78,0.47,0.94
38.5,0.1,54.72,0.48,0.94
38.6,0.1,54.75,0.48,0.94
38.7,0.1,55.08,0.49,0.94
38.8,0.1,55.42,0.5,0.93
38.9,0.1,55.76,0.5,0.93
39,0.1,56.11,0.51,0.93
39.1,0.1,56.47,0.52,0.93
39.2,0.1,56.83,0.52,0.92
34.7,0.2,46.83,0.22,0.87
34.8,0.2,46.46,0.22,0.88
34.9,0.2,46.1,0.23,0.89
35,0.2,45.73,0.24,0.9
35.1,0.2,45.37,0.24,0.91
35.2,0.2,45.01,0.25,0.92
35.3,0.2,44.66,0.26,0.93
35.4,0.2,44.32,0.26,0.94
35.5,0.2,43.97,0.27,0.95
35.6,0.2,43.63,0.28,0.95
35.7,0.2,43.28,0.28,0.96
35.8,0.2,42.94,0.29,0.96
35.9,0.2,42.61,0.3,0.97
36,0.2,42.48,0.3,0.97
36.1,0.2,42.59,0.31,0.97
36.2,0.2,42.84,0.32,0.98
36.3,0.2,43.32,0.32,0.98
36.4,0.2,43.95,0.33,0.98
36.5,0.2,44.64,0.34,0.98
36.6,0.2,45.34,0.34,0.98
36.7,0.2,46.07,0.35,0.98
36.8,0.2,46.82,0.36,0.98
36.9,0.2,47.59,0.36,0.98
37,0.2,48.36,0.37,0.98
37.1,0.2,49.13,0.38,0.97
37.2,0.2,49.99,0.38,0.97
37.3,0.2,50.86,0.39,0.97
37.4,0.2,51.75,0.4,0.97
37.5,0.2,52.64,0.41,0.97
37.6,0.2,53.55,0.41,0.96
37.7,0.2,54.09,0.42,0.96
37.8,0.2,54.16,0.43,0.96
37.9,0.2,54.24,0.43,0.96
38,0.2,54.35,0.44,0.95
38.1,0.2,54.5,0.45,0.95
38.2,0.2,54.63,0.45,0.95
38.3,0.2,54.72,0.46,0.94
38.4,0.2,54.72,0.47,0.94
38.5,0.2,54.66,0.47,0.94
38.6,0.2,54.69,0.48,0.94
38.7,0.2,55.03,0.49,0.94
38.8,0.2,55.37,0.49,0.93
38.9,0.2,55.71,0.5,0.93
39,0.2,56.06,0.51,0.93
39.1,0.2,56.42,0.51,0.93
39.2,0.2,56.77,0.52,0.92
34.7,0.3,46.8,0.21,0.87
34.8,0.3,46.44,0.22,0.88
34.9,0.3,46.07,0.23,0.89
35,0.3,45.7,0.23,0.9
35.1,0.3,45.34,0.24,0.91
35.2,0.3,44.98,0.25,0.92
35.3,0.3,44.63,0.25,0.93
35.4,0.3,44.29,0.26,0.94
35.5,0.3,43.94,0.27,0.94
35.6,0.3,43.6,0.27,0.95
35.7,0.3,43.26,0.28,0.96
35.8,0.3,42.91,0.29,0.96
35.9,0.3,42.58,0.29,0.97
36,0.3,42.43,0.3,0.97
36.1,0.3,42.52,0.31,0.97
36.2,0.3,42.77,0.31,0.97
36.3,0.3,43.27,0.32,0.98
36.4,0.3,43.9,0.33,0.98
36.5,0.3,44.59,0.33,0.98
36.6,0.3,45.3,0.34,0.98
36.7,0.3,46.02,0.35,0.98
36.8,0.3,46.77,0.35,0.98
36.9,0.3,47.54,0.36,0.98
37,0.3,48.31,0.37,0.98
37.1,0.3,49.08,0.37,0.97
37.2,0.3,49.94,0.38,0.97
37.3,0.3,50.81,0.39,0.97
37.4,0.3,51.7,0.39,0.97
37.5,0.3,52.59,0.4,0.97
37.6,0.3,53.5,0.41,0.96
37.7,0.3,54.04,0.41,0.96
37.8,0.3,54.11,0.42,0.96
37.9,0.3,54.19,0.43,0.96
38,0.3,54.3,0.43,0.95
38.1,0.3,54.45,0.44,0.95
