mass,ta,tb,ewl,rmr
34.7,0,40.46,0.21,0.71
34.8,0,40.46,0.21,0.71
34.9,0,40.46,0.21,0.71
35,0,39.21,0.22,0.63
35.1,0,39.21,0.22,0.63
35.2,0,39.21,0.22,0.63
35.3,0,39.21,0.22,0.63
35.4,0,39.21,0.22,0.63
35.5,0,39.73,0.22,0.63
35.6,0,39.73,0.22,0.63
35.7,0,39.73,0.22,0.63
35.8,0,39.73,0.22,0.63
35.9,0,39.73,0.22,0.63
36,0,39.73,0.22,0.63
36.1,0,39.73,0.22,0.63
36.2,0,39.73,0.22,0.63
36.3,0,41.29,0.22,0.69
36.4,0,41.29,0.22,0.69
36.5,0,41.29,0.22,0.69
36.6,0,41.29,0.22,0.69
36.7,0,41.29,0.22,0.69
36.8,0,41.29,0.22,0.69
36.9,0,41.29,0.22,0.69
37,0,41.29,0.22,0.69
37.1,0,41.29,0.22,0.69
37.2,0,41.29,0.22,0.69
37.3,0,41.29,0.22,0.69
37.4,0,41.53,0.34,0.87
37.5,0,41.53,0.34,0.87
37.6,0,41.53,0.34,0.87
37.7,0,41.53,0.34,0.87
37.8,0,41.53,0.34,0.87
37.9,0,41.53,0.34,0.87
38,0,39.67,0.34,0.81
38.1,0,39.67,0.34,0.81
38.2,0,39.67,0.34,0.81
38.3,0,39.67,0.34,0.81
38.4,0,39.67,0.34,0.81
38.5,0,39.67,0.34,0.81
38.6,0,39.67,0.34,0.81
38.7,0,42.74,0.43,1.06
38.8,0,42.74,0.43,1.06
38.9,0,42.74,0.43,1.06
39,0,42.74,0.43,1.06
39.1,0,42.74,0.43,1.06
39.2,0,42.74,0.43,1.06
34.7,0.1,40.46,0.21,0.71
34.8,0.1,40.46,0.21,0.71
34.9,0.1,40.46,0.21,0.71
35,0.1,39.21,0.22,0.63
35.1,0.1,39.21,0.22,0.63
35.2,0.1,39.21,0.22,0.63
35.3,0.1,39.21,0.22,0.63
35.4,0.1,39.21,0.22,0.63
35.5,0.1,39.73,0.22,0.63
35.6,0.1,39.73,0.22,0.63
35.7,0.1,39.73,0.22,0.63
35.8,0.1,39.73,0.22,0.63
35.9,0.1,39.73,0.22,0.63
36,0.1,39.73,0.22,0.63
36.1,0.1,39.73,0.22,0.63
36.2,0.1,39.73,0.22,0.63
36.3,0.1,41.29,0.22,0.69
36.4,0.1,41.29,0.22,0.69
36.5,0.1,41.29,0.22,0.69
36.6,0.1,41.29,0.22,0.69
36.7,0.1,41.29,0.22,0.69
36.8,0.1,41.29,0.22,0.69
36.9,0.1,41.29,0.22,0.69
37,0.1,41.29,0.22,0.69
37.1,0.1,41.29,0.22,0.69
37.2,0.1,41.29,0.22,0.69
37.3,0.1,41.29,0.22,0.69
37.4,0.1,41.53,0.34,0.87
37.5,0.1,41.53,0.34,0.87
37.6,0.1,41.53,0.34,0.87
37.7,0.1,41.53,0.34,0.87
37.8,0.1,41.53,0.34,0.87
37.9,0.1,41.53,0.34,0.87
38,0.1,39.67,0.34,0.81
38.1,0.1,39.67,0.34,0.81
38.2,0.1,39.67,0.34,0.81
38.3,0.1,39.67,0.34,0.81
38.4,0.1,39.67,0.34,0.81
38.5,0.1,39.67,0.34,0.81
38.6,0.1,39.67,0.34,0.81
38.7,0.1,42.74,0.43,1.06
38.8,0.1,42.74,0.43,1.06
38.9,0.1,42.74,0.43,1.06
39,0.1,42.74,0.43,1.06
39.1,0.1,42.74,0.43,1.06
39.2,0.1,42.74,0.43,1.06
34.7,0.2,40.46,0.21,0.71
34.8,0.2,40.46,0.21,0.71
34.9,0.2,40.46,0.21,0.71
35,0.2,39.21,0.22,0.63
35.1,0.2,39.21,0.22,0.63
35.2,0.2,39.21,0.22,0.63
35.3,0.2,39.21,0.22,0.63
35.4,0.2,39.21,0.22,0.63
35.5,0.2,39.73,0.22,0.63
35.6,0.2,39.73,0.22,0.63
35.7,0.2,39.73,0.22,0.63
35.8,0.2,39.73,0.22,0.63
35.9,0.2,39.73,0.22,0.63
36,0.2,39.73,0.22,0.63
36.1,0.2,39.73,0.22,0.63
36.2,0.2,39.73,0.22,0.63
36.3,0.2,41.29,0.22,0.69
36.4,0.2,41.29,0.22,0.69
36.5,0.2,41.29,0.22,0.69
36.6,0.2,41.29,0.22,0.69
36.7,0.2,41.29,0.22,0.69
36.8,0.2,41.29,0.22,0.69
36.9,0.2,41.29,0.22,0.69
37,0.2,41.29,0.22,0.69
37.1,0.2,41.29,0.22,0.69
37.2,0.2,41.29,0.22,0.69
37.3,0.2,41.29,0.22,0.69
37.4,0.2,41.53,0.34,0.87
37.5,0.2,41.53,0.34,0.87
37.6,0.2,41.53,0.34,0.87
37.7,0.2,41.53,0.34,0.87
37.8,0.2,41.53,0.34,0.87
37.9,0.2,41.53,0.34,0.87
38,0.2,39.67,0.34,0.81
38.1,0.2,39.67,0.34,0.81
38.2,0.2,39.67,0.34,0.81
38.3,0.2,39.67,0.34,0.81
38.4,0.2,39.67,0.34,0.81
38.5,0.2,39.67,0.34,0.81
38.6,0.2,39.67,0.34,0.81
38.7,0.2,42.74,0.43,1.06
38.8,0.2,42.74,0.43,1.06
38.9,0.2,42.74,0.43,1.06
39,0.2,42.74,0.43,1.06
39.1,0.2,42.74,0.43,1.06
39.2,0.2,42.74,0.43,1.06
34.7,0.3,40.46,0.21,0.71
34.8,0.3,40.46,0.21,0.71
34.9,0.3,40.46,0.21,0.71
35,0.3,39.21,0.22,0.63
35.1,0.3,39.21,0.22,0.63
35.2,0.3,39.21,0.22,0.63
35.3,0.3,39.21,0.22,0.63
35.4,0.3,39.21,0.22,0.63
35.5,0.3,39.73,0.22,0.63
35.6,0.3,39.73,0.22,0.63
35.7,0.3,39.73,0.22,0.63
35.8,0.3,39.73,0.22,0.63
35.9,0.3,39.73,0.22,0.63
36,0.3,39.73,0.22,0.63
36.1,0.3,39.73,0.22,0.63
36.2,0.3,39.73,0.22,0.63
36.3,0.3,41.29,0.22,0.69
36.4,0.3,41.29,0.22,0.69
36.5,0.3,41.29,0.22,0.69
36.6,0.3,41.29,0.22,0.69
36.7,0.3,41.29,0.22,0.69
36.8,0.3,41.29,0.22,0.69
36.9,0.3,41.29,0.22,0.69
37,0.3,41.29,0.22,0.69
37.1,0.3,41.29,0.22,0.69
37.2,0.3,41.29,0.22,0.69
37.3,0.3,41.29,0.22,0.69
37.4,0.3,41.53,0.34,0.87
37.5,0.3,41.53,0.34,0.87
37.6,0.3,41.53,0.34,0.87
37.7,0.3,41.53,0.34,0.87
37.8,0.3,41.53,0.34,0.87
37.9,0.3,41.53,0.34,0.87
38,0.3,39.67,0.34,0.81
38.1,0.3,39.67,0.34,0.81
38.2,0.3,39.67,0.34,0.81
38.3,0.3,39.67,0.34,0.81
38.4,0.3,39.67,0.34,0.81
38.5,0.3,39.67,0.34,0.81
38.6,0.3,39.67,0.34,0.81
38.7,0.3,42.74,0.43,1.06
38.8,0.3,42.74,0.43,1.06
38.9,0.3,42.74,0.43,1.06
39,0.3,42.74,0.43,1.06
39.1,0.3,42.74,0.43,1.06
39.2,0.3,42.74,0.43,1.06
34.7,0.4,40.46,0.21,0.71
34.8,0.4,40.46,0.21,0.71
34.9,0.4,40.46,0.21,0.71
35,0.4,39.21,0.22,0.63
