mass,ta,tb,ewl,rmr
34.7,0,44.84,5.12,2.6
34.8,0,44.99,5.1,2.6
34.9,0,45.14,5.09,2.59
35,0,45.3,5.07,2.59
35.1,0,45.46,5.06,2.59
35.2,0,45.62,5.05,2.58
35.3,0,45.78,5.03,2.58
35.4,0,45.95,5.02,2.58
35.5,0,46.12,5.01,2.58
35.6,0,46.29,5,2.58
35.7,0,46.46,4.99,2.58
35.8,0,46.63,4.98,2.58
35.9,0,46.81,4.97,2.59
36,0,46.99,4.96,2.59
36.1,0,47.17,4.95,2.59
36.2,0,47.35,4.94,2.59
36.3,0,47.54,4.93,2.6
36.4,0,47.73,4.93,2.6
36.5,0,47.92,4.92,2.61
36.6,0,48.11,4.91,2.62
36.7,0,48.31,4.91,2.62
36.8,0,48.5,4.9,2.63
36.9,0,48.7,4.9,2.64
37,0,48.9,4.89,2.65
37.1,0,49.11,4.89,2.66
37.2,0,49.31,4.88,2.67
37.3,0,49.52,4.88,2.68
37.4,0,49.73,4.88,2.69
37.5,0,49.94,4.87,2.7
37.6,0,50.16,4.87,2.71
37.7,0,50.38,4.87,2.72
37.8,0,50.6,4.87,2.74
37.9,0,50.82,4.87,2.75
38,0,51.04,4.87,2.77
38.1,0,51.27,4.87,2.78
38.2,0,51.5,4.87,2.8
38.3,0,51.73,4.87,2.81
38.4,0,51.96,4.87,2.83
38.5,0,52.19,4.88,2.85
38.6,0,52.43,4.88,2.87
38.7,0,52.67,4.88,2.89
38.8,0,52.91,4.88,2.9
38.9,0,53.16,4.89,2.92
39,0,53.4,4.89,2.95
39.1,0,53.65,4.9,2.97
39.2,0,53.9,4.9,2.99
34.7,0.1,44.79,5.08,2.59
34.8,0.1,44.94,5.07,2.58
34.9,0.1,45.1,5.05,2.58
35,0.1,45.25,5.04,2.58
35.1,0.1,45.41,5.03,2.57
35.2,0.1,45.57,5.01,2.57
35.3,0.1,45.73,5,2.57
35.4,0.1,45.9,4.99,2.57
35.5,0.1,46.07,4.98,2.57
35.6,0.1,46.24,4.97,2.57
35.7,0.1,46.41,4.96,2.57
35.8,0.1,46.58,4.95,2.57
35.9,0.1,46.76,4.94,2.57
36,0.1,46.94,4.93,2.58
36.1,0.1,47.12,4.92,2.58
36.2,0.1,47.3,4.91,2.58
36.3,0.1,47.49,4.9,2.59
36.4,0.1,47.67,4.89,2.59
36.5,0.1,47.86,4.89,2.6
36.6,0.1,48.06,4.88,2.6
36.7,0.1,48.25,4.87,2.61
36.8,0.1,48.45,4.87,2.62
36.9,0.1,48.65,4.86,2.63
37,0.1,48.85,4.86,2.64
37.1,0.1,49.05,4.86,2.64
37.2,0.1,49.26,4.85,2.65
37.3,0.1,49.46,4.85,2.66
37.4,0.1,49.67,4.85,2.68
37.5,0.1,49.89,4.84,2.69
37.6,0.1,50.1,4.84,2.7
37.7,0.1,50.32,4.84,2.71
37.8,0.1,50.54,4.84,2.73
37.9,0.1,50.76,4.84,2.74
38,0.1,50.98,4.84,2.75
38.1,0.1,51.21,4.84,2.77
38.2,0.1,51.43,4.84,2.79
38.3,0.1,51.66,4.84,2.8
38.4,0.1,51.9,4.84,2.82
38.5,0.1,52.13,4.84,2.84
38.6,0.1,52.37,4.85,2.85
38.7,0.1,52.61,4.85,2.87
38.8,0.1,52.85,4.85,2.89
38.9,0.1,53.09,4.86,2.91
39,0.1,53.34,4.86,2.93
39.1,0.1,53.59,4.87,2.95
39.2,0.1,53.84,4.87,2.98
34.7,0.2,44.75,5.05,2.58
34.8,0.2,44.9,5.04,2.57
34.9,0.2,45.05,5.02,2.57
35,0.2,45.21,5.01,2.57
35.1,0.2,45.36,4.99,2.56
35.2,0.2,45.52,4.98,2.56
35.3,0.2,45.69,4.97,2.56
35.4,0.2,45.85,4.96,2.56
35.5,0.2,46.02,4.95,2.56
35.6,0.2,46.19,4.93,2.56
35.7,0.2,46.36,4.92,2.56
35.8,0.2,46.53,4.91,2.56
35.9,0.2,46.71,4.9,2.56
36,0.2,46.89,4.89,2.56
36.1,0.2,47.07,4.89,2.57
36.2,0.2,47.25,4.88,2.57
36.3,0.2,47.43,4.87,2.58
36.4,0.2,47.62,4.86,2.58
36.5,0.2,47.81,4.86,2.59
36.6,0.2,48,4.85,2.59
36.7,0.2,48.2,4.84,2.6
36.8,0.2,48.39,4.84,2.61
36.9,0.2,48.59,4.83,2.62
37,0.2,48.79,4.83,2.62
37.1,0.2,48.99,4.82,2.63
37.2,0.2,49.2,4.82,2.64
37.3,0.2,49.41,4.82,2.65
37.4,0.2,49.62,4.81,2.66
37.5,0.2,49.83,4.81,2.68
37.6,0.2,50.04,4.81,2.69
37.7,0.2,50.26,4.81,2.7
37.8,0.2,50.48,4.81,2.71
37.9,0.2,50.7,4.81,2.73
38,0.2,50.92,4.81,2.74
38.1,0.2,51.15,4.81,2.76
38.2,0.2,51.37,4.81,2.77
38.3,0.2,51.6,4.81,2.79
38.4,0.2,51.84,4.81,2.81
38.5,0.2,52.07,4.81,2.82
38.6,0.2,52.31,4.81,2.84
38.7,0.2,52.54,4.82,2.86
38.8,0.2,52.79,4.82,2.88
38.9,0.2,53.03,4.82,2.9
39,0.2,53.27,4.83,2.92
39.1,0.2,53.52,4.83,2.94
39.2,0.2,53.77,4.84,2.96
34.7,0.3,44.7,5.02,2.57
34.8,0.3,44.85,5,2.56
34.9,0.3,45,4.99,2.56
35,0.3,45.16,4.97,2.55
35.1,0.3,45.32,4.96,2.55
35.2,0.3,45.48,4.95,2.55
35.3,0.3,45.64,4.94,2.55
35.4,0.3,45.8,4.92,2.55
35.5,0.3,45.97,4.91,2.55
35.6,0.3,46.14,4.9,2.55
35.7,0.3,46.31,4.89,2.55
35.8,0.3,46.48,4.88,2.55
35.9,0.3,46.66,4.87,2.55
36,0.3,46.84,4.86,2.55
36.1,0.3,47.02,4.85,2.56
36.2,0.3,47.2,4.84,2.56
36.3,0.3,47.38,4.84,2.56
36.4,0.3,47.57,4.83,2.57
36.5,0.3,47.76,4.82,2.58
