mass,ta,tb,ewl,rmr
8.2,0,35.03,-2.14,0.25
8.3,0,35.17,-2.16,0.25
8.4,0,35.31,-2.18,0.25
8.5,0,35.45,-2.2,0.25
8.6,0,35.6,-2.23,0.25
8.7,0,35.75,-2.25,0.25
8.8,0,35.9,-2.27,0.25
8.9,0,36.05,-2.29,0.25
9,0,36.21,-2.31,0.25
9.1,0,36.36,-2.33,0.25
9.2,0,36.52,-2.35,0.25
9.3,0,36.68,-2.37,0.25
9.4,0,36.84,-2.39,0.25
9.5,0,36.99,-2.41,0.25
9.6,0,37.15,-2.43,0.25
9.7,0,37.3,-2.44,0.25
9.8,0,37.44,-2.46,0.25
9.9,0,37.58,-2.48,0.25
10,0,37.71,-2.5,0.25
10.1,0,37.82,-2.51,0.25
10.2,0,37.91,-2.53,0.25
10.3,0,37.98,-2.55,0.25
10.4,0,38.01,-2.56,0.25
10.5,0,38.01,-2.58,0.25
10.6,0,37.96,-2.6,0.25
8.2,0.1,35.04,-1.68,0.25
8.3,0.1,35.18,-1.71,0.25
8.4,0.1,35.32,-1.74,0.25
8.5,0.1,35.47,-1.76,0.25
8.6,0.1,35.61,-1.79,0.25
8.7,0.1,35.76,-1.81,0.25
8.8,0.1,35.91,-1.84,0.25
8.9,0.1,36.07,-1.86,0.25
9,0.1,36.22,-1.89,0.25
9.1,0.1,36.38,-1.91,0.25
9.2,0.1,36.53,-1.94,0.25
9.3,0.1,36.69,-1.96,0.25
9.4,0.1,36.85,-1.98,0.25
9.5,0.1,37.01,-2.01,0.25
9.6,0.1,37.16,-2.03,0.25
9.7,0.1,37.31,-2.05,0.25
9.8,0.1,37.46,-2.08,0.25
9.9,0.1,37.6,-2.1,0.25
10,0.1,37.72,-2.12,0.25
10.1,0.1,37.83,-2.14,0.25
10.2,0.1,37.93,-2.16,0.25
10.3,0.1,37.99,-2.19,0.25
10.4,0.1,38.03,-2.21,0.25
10.5,0.1,38.02,-2.23,0.25
10.6,0.1,37.97,-2.25,0.25
8.2,0.2,35.05,-1.21,0.25
8.3,0.2,35.19,-1.23,0.25
8.4,0.2,35.33,-1.26,0.25
8.5,0.2,35.48,-1.28,0.25
8.6,0.2,35.63,-1.31,0.25
8.7,0.2,35.78,-1.33,0.25
8.8,0.2,35.93,-1.36,0.25
8.9,0.2,36.08,-1.38,0.25
9,0.2,36.24,-1.41,0.25
9.1,0.2,36.39,-1.43,0.25
9.2,0.2,36.55,-1.46,0.25
9.3,0.2,36.71,-1.49,0.25
9.4,0.2,36.86,-1.51,0.25
9.5,0.2,37.02,-1.54,0.25
9.6,0.2,37.17,-1.56,0.25
9.7,0.2,37.33,-1.59,0.25
9.8,0.2,37.47,-1.61,0.25
9.9,0.2,37.61,-1.64,0.25
10,0.2,37.74,-1.66,0.25
10.1,0.2,37.85,-1.69,0.25
10.2,0.2,37.94,-1.71,0.25
10.3,0.2,38.01,-1.74,0.25
10.4,0.2,38.04,-1.76,0.25
10.5,0.2,38.03,-1.79,0.25
10.6,0.2,37.98,-1.81,0.25
8.2,0.3,35.06,-0.8,0.25
8.3,0.3,35.2,-0.82,0.25
8.4,0.3,35.35,-0.84,0.25
8.5,0.3,35.49,-0.86,0.25
8.6,0.3,35.64,-0.88,0.25
8.7,0.3,35.79,-0.9,0.25
8.8,0.3,35.94,-0.92,0.25
8.9,0.3,36.09,-0.95,0.25
9,0.3,36.25,-0.97,0.25
9.1,0.3,36.41,-0.99,0.25
9.2,0.3,36.56,-1.01,0.25
9.3,0.3,36.72,-1.03,0.25
9.4,0.3,36.88,-1.05,0.25
9.5,0.3,37.03,-1.08,0.25
9.6,0.3,37.19,-1.1,0.25
9.7,0.3,37.34,-1.12,0.25
9.8,0.3,37.49,-1.15,0.25
9.9,0.3,37.62,-1.17,0.25
10,0.3,37.75,-1.19,0.25
10.1,0.3,37.86,-1.22,0.25
10.2,0.3,37.95,-1.24,0.25
10.3,0.3,38.02,-1.26,0.25
10.4,0.3,38.05,-1.29,0.25
10.5,0.3,38.05,-1.31,0.25
10.6,0.3,38,-1.34,0.25
8.2,0.4,35.08,-0.5,0.25
8.3,0.4,35.22,-0.51,0.25
8.4,0.4,35.36,-0.53,0.25
8.5,0.4,35.5,-0.54,0.25
8.6,0.4,35.65,-0.56,0.25
8.7,0.4,35.8,-0.58,0.25
8.8,0.4,35.95,-0.59,0.25
8.9,0.4,36.11,-0.61,0.25
9,0.4,36.26,-0.62,0.25
9.1,0.4,36.42,-0.64,0.25
9.2,0.4,36.58,-0.66,0.25
9.3,0.4,36.73,-0.67,0.25
9.4,0.4,36.89,-0.69,0.25
9.5,0.4,37.05,-0.71,0.25
9.6,0.4,37.2,-0.72,0.25
9.7,0.4,37.35,-0.74,0.25
9.8,0.4,37.5,-0.76,0.25
9.9,0.4,37.64,-0.78,0.25
10,0.4,37.76,-0.8,0.25
10.1,0.4,37.88,-0.82,0.25
10.2,0.4,37.97,-0.83,0.25
10.3,0.4,38.03,-0.85,0.25
10.4,0.4,38.06,-0.87,0.25
10.5,0.4,38.06,-0.89,0.25
10.6,0.4,38.01,-0.91,0.25
8.2,0.5,35.09,-0.28,0.25
8.3,0.5,35.23,-0.29,0.25
8.4,0.5,35.37,-0.3,0.25
8.5,0.5,35.52,-0.31,0.25
8.6,0.5,35.67,-0.32,0.25
8.7,0.5,35.82,-0.33,0.25
8.8,0.5,35.97,-0.35,0.25
8.9,0.5,36.12,-0.36,0.25
9,0.5,36.28,-0.37,0.25
9.1,0.5,36.43,-0.38,0.25
9.2,0.5,36.59,-0.39,0.25
9.3,0.5,36.75,-0.41,0.25
9.4,0.5,36.91,-0.42,0.25
9.5,0.5,37.06,-0.43,0.25
9.6,0.5,37.22,-0.45,0.25
9.7,0.5,37.37,-0.46,0.25
9.8,0.5,37.51,-0.47,0.25
9.9,0.5,37.65,-0.49,0.25
10,0.5,37.78,-0.5,0.25
10.1,0.5,37.89,-0.51,0.25
10.2,0.5,37.98,-0.53,0.25
10.3,0.5,38.04,-0.54,0.25
10.4,0.5,38.08,-0.56,0.25
10.5,0.5,38.07,-0.57,0.25
10.6,0.5,38.02,-0.59,0.25
8.2,0.6,35.1,-0.13,0.25
8.3,0.6,35.24,-0.14,0.25
8.4,0.6,35.38,-0.15,0.25
8.5,0.6,35.53,-0.15,0.25
8.6,0.6,35.68,-0.16,0.25
8.7,0.6,35.83,-0.17,0.25
8.8,0.6,35.98,-0.18,0.25
8.9,0.6,36.13,-0.19,0.25
9,0.6,36.29,-0.19,0.25
9.1,0.6,36.45,-0.2,0.25
9.2,0.6,36.6,-0.21,0.25
9.3,0.6,36.76,-0.22,0.25
9.4,0.6,36.92,-0.23,0.25
9.5,0.6,37.08,-0.24,0.25
9.6,0.6,37.23,-0.25,0.25
9.7,0.6,37.38,-0.26,0.25
9.8,0.6,37.53,-0.27,0.25
9.9,0.6,37.67,-0.28,0.25
10,0.6,37.79,-0.29,0.25
10.1,0.6,37.9,-0.3,0.25
10.2,0.6,37.99,-0.31,0.25
10.3,0.6,38.06,-0.32,0.25
10.4,0.6,38.09,-0.33,0.25
10.5,0.6,38.08,-0.34,0.25
10.6,0.6,38.03,-0.35,0.25
8.2,0.7,35.11,-0.04,0.25
8.3,0.7,35.25,-0.05,0.25
8.4,0.7,35.4,-0.05,0.25
8.5,0.7,35.54,-0.05,0.25
8.6,0.7,35.69,-0.06,0.25
8.7,0.7,35.84,-0.06,0.25
8.8,0.7,35.99,-0.07,0.25
8.9,0.7,36.15,-0.08,0.25
9,0.7,36.3,-0.08,0.25
9.1,0.7,36.46,-0.09,0.25
9.2,0.7,36.62,-0.09,0.25
9.3,0.7,36.78,-0.1,0.25
9.4,0.7,36.93,-0.1,0.25
9.5,0.7,37.09,-0.11,0.25
9.6,0.7,37.25,-0.12,0.25
9.7,0.7,37.4,-0.12,0.25
9.8,0.7,37.54,-0.13,0.25
9.9,0.7,37.68,-0.14,0.25
10,0.7,37.81,-0.14,0.25
10.1,0.7,37.92,-0.15,0.25
10.2,0.7,38.01,-0.16,0.25
10.3,0.7,38.07,-0.16,0.25
10.4,0.7,38.1,-0.17,0.25
10.5,0.7,38.09,-0.18,0.25
10.6,0.7,38.04,-0.19,0.25
8.2,0.8,35.12,0.01,0.25
8.3,0.8,35.26,0.01,0.25
8.4,0.8,35.41,0.01,0.25
8.5,0.8,35.56,0.01,0.25
8.6,0.8,35.7,0,0.25
8.7,0.8,35.85,-0,0.25
8.8,0.8,36.01,-0,0.25
8.9,0.8,36.16,-0.01,0.25
9,0.8,36.32,-0.01,0.25
9.1,0.8,36.47,-0.01,0.25
9.2,0.8,36.63,-0.02,0.25
9.3,0.8,36.79,-0.02,0.25
9.4,0.8,36.95,-0.03,0.25
9.5,0.8,37.11,-0.03,0.25
9.6,0.8,37.26,-0.03,0.25
9.7,0.8,37.41,-0.04,0.25
9.8,0.8,37.56,-0.04,0.25
9.9,0.8,37.7,-0.05,0.25
10,0.8,37.82,-0.05,0.25
10.1,0.8,37.93,-0.06,0.25
10.2,0.8,38.02,-0.06,0.25
10.3,0.8,38.08,-0.06,0.25
10.4,0.8,38.11,-0.07,0.25
10.5,0.8,38.1,-0.07,0.25
10.6,0.8,38.05,-0.08,0.25
8.2,0.9,35.14,0.05,0.25
8.3,0.9,35.28,0.05,0.25
8.4,0.9,35.42,0.04,0.25
8.5,0.9,35.57,0.04,0.25
8.6,0.9,35.72,0.04,0.25
8.7,0.9,35.87,0.04,0.25
8.8,0.9,36.02,0.04,0.25
8.9,0.9,36.17,0.03,0.25
9,0.9,36.33,0.03,0.25
9.1,0.9,36.49,0.03,0.25
9.2,0.9,36.65,0.03,0.25
9.3,0.9,36.8,0.02,0.25
9.4,0.9,36.96,0.02,0.25
9.5,0.9,37.12,0.02,0.25
9.6,0.9,37.27,0.02,0.25
9.7,0.9,37.43,0.01,0.25
9.8,0.9,37.57,0.01,0.25
9.9,0.9,37.71,0.01,0.25
10,0.9,37.84,0.01,0.25
10.1,0.9,37.95,0,0.25
10.2,0.9,38.03,-0,0.25
10.3,0.9,38.1,-0,0.25
10.4,0.9,38.13,-0.01,0.25
10.5,0.9,38.12,-0.01,0.25
10.6,0.9,38.06,-0.01,0.25
8.2,1,35.15,0.07,0.25
8.3,1,35.29,0.07,0.25
8.4,1,35.43,0.07,0.25
8.5,1,35.58,0.06,0.25
8.6,1,35.73,0.06,0.25
8.7,1,35.88,0.06,0.25
8.8,1,36.03,0.06,0.25
8.9,1,36.19,0.06,0.25
9,1,36.34,0.06,0.25
9.1,1,36.5,0.06,0.25
9.2,1,36.66,0.05,0.25
9.3,1,36.82,0.05,0.25
9.4,1,36.98,0.05,0.25
9.5,1,37.13,0.05,0.25
9.6,1,37.29,0.05,0.25
9.7,1,37.44,0.05,0.25
9.8,1,37.59,0.04,0.25
9.9,1,37.72,0.04,0.25
10,1,37.85,0.04,0.25
10.1,1,37.96,0.04,0.25
10.2,1,38.05,0.04,0.25
10.3,1,38.11,0.03,0.26
10.4,1,38.14,0.03,0.26
10.5,1,38.13,0.03,0.26
10.6,1,38.07,0.03,0.26
8.2,1.1,35.16,0.08,0.25
8.3,1.1,35.3,0.08,0.25
8.4,1.1,35.45,0.08,0.25
8.5,1.1,35.59,0.08,0.25
8.6,1.1,35.74,0.08,0.25
8.7,1.1,35.89,0.08,0.25
8.8,1.1,36.05,0.08,0.25
8.9,1.1,36.2,0.08,0.25
9,1.1,36.36,0.07,0.25
9.1,1.1,36.51,0.07,0.25
9.2,1.1,36.67,0.07,0.25
9.3,1.1,36.83,0.07,0.25
9.4,1.1,36.99,0.07,0.25
9.5,1.1,37.15,0.07,0.25
9.6,1.1,37.3,0.07,0.25
9.7,1.1,37.46,0.07,0.25
9.8,1.1,37.6,0.06,0.26
9.9,1.1,37.74,0.06,0.26
10,1.1,37.86,0.06,0.26
10.1,1.1,37.97,0.06,0.26
10.2,1.1,38.06,0.06,0.26
10.3,1.1,38.12,0.06,0.26
10.4,1.1,38.15,0.06,0.26
10.5,1.1,38.14,0.05,0.26
10.6,1.1,38.08,0.05,0.26
8.2,1.2,35.17,0.09,0.25
8.3,1.2,35.31,0.09,0.25
8.4,1.2,35.46,0.09,0.25
8.5,1.2,35.61,0.09,0.25
8.6,1.2,35.76,0.09,0.25
8.7,1.2,35.91,0.09,0.25
8.8,1.2,36.06,0.09,0.25
8.9,1.2,36.21,0.09,0.25
9,1.2,36.37,0.09,0.25
9.1,1.2,36.53,0.08,0.25
9.2,1.2,36.69,0.08,0.25
9.3,1.2,36.85,0.08,0.26
9.4,1.2,37.01,0.08,0.26
9.5,1.2,37.16,0.08,0.26
9.6,1.2,37.32,0.08,0.26
9.7,1.2,37.47,0.08,0.26
9.8,1.2,37.62,0.08,0.26
9.9,1.2,37.75,0.08,0.26
10,1.2,37.88,0.08,0.26
10.1,1.2,37.99,0.08,0.26
10.2,1.2,38.08,0.07,0.26
10.3,1.2,38.14,0.07,0.26
10.4,1.2,38.16,0.07,0.26
10.5,1.2,38.15,0.07,0.26
10.6,1.2,38.1,0.07,0.26
8.2,1.3,35.18,0.1,0.25
8.3,1.3,35.33,0.1,0.25
8.4,1.3,35.47,0.1,0.25
8.5,1.3,35.62,0.1,0.25
8.6,1.3,35.77,0.1,0.25
8.7,1.3,35.92,0.1,0.25
8.8,1.3,36.07,0.09,0.26
8.9,1.3,36.23,0.09,0.26
9,1.3,36.38,0.09,0.26
9.1,1.3,36.54,0.09,0.26
9.2,1.3,36.7,0.09,0.26
9.3,1.3,36.86,0.09,0.26
9.4,1.3,37.02,0.09,0.26
9.5,1.3,37.18,0.09,0.26
9.6,1.3,37.33,0.09,0.26
9.7,1.3,37.48,0.09,0.26
9.8,1.3,37.63,0.09,0.26
9.9,1.3,37.77,0.09,0.26
10,1.3,37.89,0.09,0.26
10.1,1.3,38,0.09,0.26
10.2,1.3,38.09,0.08,0.26
10.3,1.3,38.15,0.08,0.26
10.4,1.3,38.18,0.08,0.26
10.5,1.3,38.16,0.08,0.26
10.6,1.3,38.11,0.08,0.26
8.2,1.4,35.2,0.1,0.25
8.3,1.4,35.34,0.1,0.26
8.4,1.4,35.48,0.1,0.26
8.5,1.4,35.63,0.1,0.26
8.6,1.4,35.78,0.1,0.26
8.7,1.4,35.93,0.1,0.26
8.8,1.4,36.09,0.1,0.26
8.9,1.4,36.24,0.1,0.26
9,1.4,36.4,0.1,0.26
9.1,1.4,36.56,0.1,0.26
9.2,1.4,36.72,0.1,0.26
9.3,1.4,36.87,0.1,0.26
9.4,1.4,37.03,0.1,0.26
9.5,1.4,37.19,0.1,0.26
9.6,1.4,37.35,0.1,0.26
9.7,1.4,37.5,0.1,0.26
9.8,1.4,37.64,0.09,0.26
9.9,1.4,37.78,0.09,0.26
10,1.4,37.91,0.09,0.26
10.1,1.4,38.02,0.09,0.26
10.2,1.4,38.1,0.09,0.26
10.3,1.4,38.16,0.09,0.26
10.4,1.4,38.19,0.09,0.26
10.5,1.4,38.18,0.09,0.26
10.6,1.4,38.12,0.09,0.26
8.2,1.5,35.21,0.11,0.26
8.3,1.5,35.35,0.11,0.26
8.4,1.5,35.5,0.11,0.26
8.5,1.5,35.64,0.11,0.26
8.6,1.5,35.79,0.11,0.26
8.7,1.5,35.95,0.1,0.26
8.8,1.5,36.1,0.1,0.26
8.9,1.5,36.25,0.1,0.26
9,1.5,36.41,0.1,0.26
9.1,1.5,36.57,0.1,0.26
9.2,1.5,36.73,0.1,0.26
9.3,1.5,36.89,0.1,0.26
9.4,1.5,37.05,0.1,0.26
9.5,1.5,37.21,0.1,0.26
9.6,1.5,37.36,0.1,0.26
9.7,1.5,37.51,0.1,0.26
9.8,1.5,37.66,0.1,0.26
9.9,1.5,37.8,0.1,0.26
10,1.5,37.92,0.1,0.26
10.1,1.5,38.03,0.1,0.26
10.2,1.5,38.12,0.1,0.26
10.3,1.5,38.18,0.1,0.26
10.4,1.5,38.2,0.1,0.26
10.5,1.5,38.19,0.1,0.26
10.6,1.5,38.13,0.1,0.26
8.2,1.6,35.22,0.11,0.26
8.3,1.6,35.36,0.11,0.26
8.4,1.6,35.51,0.11,0.26
8.5,1.6,35.66,0.11,0.26
8.6,1.6,35.81,0.11,0.26
8.7,1.6,35.96,0.11,0.26
8.8,1.6,36.11,0.11,0.26
8.9,1.6,36.27,0.11,0.26
9,1.6,36.43,0.11,0.26
9.1,1.6,36.58,0.11,0.26
