mass,ta,tb,ewl,rmr
8.2,0,38.82,0.16,0.32
8.3,0,38.82,0.16,0.32
8.4,0,38.82,0.16,0.32
8.5,0,38.82,0.16,0.32
8.6,0,38.82,0.16,0.32
8.7,0,38.82,0.16,0.32
8.8,0,38.82,0.16,0.32
8.9,0,38.82,0.16,0.32
9,0,38.82,0.16,0.32
9.1,0,38.82,0.16,0.32
9.2,0,39.72,0.13,0.3
9.3,0,39.72,0.13,0.3
9.4,0,39.72,0.13,0.3
9.5,0,39.72,0.13,0.3
9.6,0,39.72,0.13,0.3
9.7,0,39.72,0.13,0.3
9.8,0,39.72,0.13,0.3
9.9,0,39.72,0.13,0.3
10,0,39.72,0.13,0.3
10.1,0,39.72,0.13,0.3
10.2,0,39.72,0.13,0.3
10.3,0,39.72,0.13,0.3
10.4,0,39.43,0.11,0.3
10.5,0,39.43,0.11,0.3
10.6,0,39.36,0.12,0.31
8.2,0.1,38.82,0.16,0.32
8.3,0.1,38.82,0.16,0.32
8.4,0.1,38.82,0.16,0.32
8.5,0.1,38.82,0.16,0.32
8.6,0.1,38.82,0.16,0.32
8.7,0.1,38.82,0.16,0.32
8.8,0.1,38.82,0.16,0.32
8.9,0.1,38.82,0.16,0.32
9,0.1,38.82,0.16,0.32
9.1,0.1,38.82,0.16,0.32
9.2,0.1,39.72,0.13,0.3
9.3,0.1,39.72,0.13,0.3
9.4,0.1,39.72,0.13,0.3
9.5,0.1,39.72,0.13,0.3
9.6,0.1,39.72,0.13,0.3
9.7,0.1,39.72,0.13,0.3
9.8,0.1,39.72,0.13,0.3
9.9,0.1,39.72,0.13,0.3
10,0.1,39.72,0.13,0.3
10.1,0.1,39.72,0.13,0.3
10.2,0.1,39.72,0.13,0.3
10.3,0.1,39.72,0.13,0.3
10.4,0.1,39.43,0.11,0.3
10.5,0.1,39.43,0.11,0.3
10.6,0.1,39.36,0.12,0.31
8.2,0.2,38.82,0.16,0.32
8.3,0.2,38.82,0.16,0.32
8.4,0.2,38.82,0.16,0.32
8.5,0.2,38.82,0.16,0.32
8.6,0.2,38.82,0.16,0.32
8.7,0.2,38.82,0.16,0.32
8.8,0.2,38.82,0.16,0.32
8.9,0.2,38.82,0.16,0.32
9,0.2,38.82,0.16,0.32
9.1,0.2,38.82,0.16,0.32
9.2,0.2,39.72,0.13,0.3
9.3,0.2,39.72,0.13,0.3
9.4,0.2,39.72,0.13,0.3
9.5,0.2,39.72,0.13,0.3
9.6,0.2,39.72,0.13,0.3
9.7,0.2,39.72,0.13,0.3
9.8,0.2,39.72,0.13,0.3
9.9,0.2,39.72,0.13,0.3
10,0.2,39.72,0.13,0.3
10.1,0.2,39.72,0.13,0.3
10.2,0.2,39.72,0.13,0.3
10.3,0.2,39.72,0.13,0.3
10.4,0.2,39.43,0.11,0.3
10.5,0.2,39.43,0.11,0.3
10.6,0.2,39.36,0.12,0.31
8.2,0.3,38.82,0.16,0.32
8.3,0.3,38.82,0.16,0.32
8.4,0.3,38.82,0.16,0.32
8.5,0.3,38.82,0.16,0.32
8.6,0.3,38.82,0.16,0.32
8.7,0.3,38.82,0.16,0.32
8.8,0.3,38.82,0.16,0.32
8.9,0.3,38.82,0.16,0.32
9,0.3,38.82,0.16,0.32
9.1,0.3,38.82,0.16,0.32
9.2,0.3,39.72,0.13,0.3
9.3,0.3,39.72,0.13,0.3
9.4,0.3,39.72,0.13,0.3
9.5,0.3,39.72,0.13,0.3
9.6,0.3,39.72,0.13,0.3
9.7,0.3,39.72,0.13,0.3
9.8,0.3,39.72,0.13,0.3
9.9,0.3,39.72,0.13,0.3
10,0.3,39.72,0.13,0.3
10.1,0.3,39.72,0.13,0.3
10.2,0.3,39.72,0.13,0.3
10.3,0.3,39.72,0.13,0.3
10.4,0.3,39.43,0.11,0.3
10.5,0.3,39.43,0.11,0.3
10.6,0.3,39.36,0.12,0.31
8.2,0.4,38.82,0.16,0.32
8.3,0.4,38.82,0.16,0.32
8.4,0.4,38.82,0.16,0.32
8.5,0.4,38.82,0.16,0.32
8.6,0.4,38.82,0.16,0.32
8.7,0.4,38.82,0.16,0.32
8.8,0.4,38.82,0.16,0.32
8.9,0.4,38.82,0.16,0.32
9,0.4,38.82,0.16,0.32
9.1,0.4,38.82,0.16,0.32
9.2,0.4,39.72,0.13,0.3
9.3,0.4,39.72,0.13,0.3
9.4,0.4,39.72,0.13,0.3
9.5,0.4,39.72,0.13,0.3
9.6,0.4,39.72,0.13,0.3
9.7,0.4,39.72,0.13,0.3
9.8,0.4,39.72,0.13,0.3
9.9,0.4,39.72,0.13,0.3
10,0.4,39.72,0.13,0.3
10.1,0.4,39.72,0.13,0.3
10.2,0.4,39.72,0.13,0.3
10.3,0.4,39.72,0.13,0.3
10.4,0.4,39.43,0.11,0.3
10.5,0.4,39.43,0.11,0.3
10.6,0.4,39.36,0.12,0.31
8.2,0.5,38.82,0.16,0.32
8.3,0.5,38.82,0.16,0.32
8.4,0.5,38.82,0.16,0.32
8.5,0.5,38.82,0.16,0.32
8.6,0.5,38.82,0.16,0.32
8.7,0.5,38.82,0.16,0.32
8.8,0.5,38.82,0.16,0.32
8.9,0.5,38.82,0.16,0.32
9,0.5,38.82,0.16,0.32
9.1,0.5,38.82,0.16,0.32
9.2,0.5,39.72,0.13,0.3
