mass,ta,tb,ewl,rmr
8.2,0,41.06,4.31,0.36
8.3,0,41.32,4.32,0.36
8.4,0,41.57,4.32,0.36
8.5,0,41.79,4.33,0.36
8.6,0,42,4.34,0.36
8.7,0,42.18,4.35,0.36
8.8,0,42.35,4.35,0.36
8.9,0,42.49,4.36,0.36
9,0,42.62,4.36,0.36
9.1,0,42.73,4.37,0.36
9.2,0,42.81,4.37,0.36
9.3,0,42.88,4.38,0.36
9.4,0,42.93,4.38,0.36
9.5,0,42.96,4.38,0.36
9.6,0,42.97,4.39,0.36
9.7,0,42.96,4.39,0.36
9.8,0,42.93,4.39,0.36
9.9,0,42.88,4.39,0.36
10,0,42.81,4.4,0.36
10.1,0,42.72,4.4,0.36
10.2,0,42.61,4.4,0.36
10.3,0,42.48,4.4,0.36
10.4,0,42.33,4.4,0.36
10.5,0,42.17,4.4,0.36
10.6,0,41.98,4.4,0.36
8.2,0.1,41.04,4.28,0.36
8.3,0.1,41.3,4.29,0.36
8.4,0.1,41.54,4.3,0.36
8.5,0.1,41.77,4.31,0.36
8.6,0.1,41.97,4.31,0.36
8.7,0.1,42.16,4.32,0.36
8.8,0.1,42.32,4.33,0.36
8.9,0.1,42.47,4.33,0.36
9,0.1,42.59,4.34,0.36
9.1,0.1,42.7,4.34,0.36
9.2,0.1,42.79,4.35,0.36
9.3,0.1,42.86,4.35,0.36
9.4,0.1,42.9,4.35,0.36
9.5,0.1,42.93,4.36,0.36
9.6,0.1,42.94,4.36,0.36
9.7,0.1,42.93,4.36,0.36
9.8,0.1,42.9,4.37,0.36
9.9,0.1,42.85,4.37,0.36
10,0.1,42.78,4.37,0.36
10.1,0.1,42.69,4.37,0.36
10.2,0.1,42.58,4.37,0.36
10.3,0.1,42.46,4.37,0.36
10.4,0.1,42.31,4.37,0.36
10.5,0.1,42.14,4.37,0.36
10.6,0.1,41.96,4.37,0.36
8.2,0.2,41.01,4.26,0.36
8.3,0.2,41.27,4.26,0.36
8.4,0.2,41.52,4.27,0.36
8.5,0.2,41.74,4.28,0.36
8.6,0.2,41.95,4.29,0.36
8.7,0.2,42.13,4.29,0.36
8.8,0.2,42.3,4.3,0.36
8.9,0.2,42.44,4.31,0.36
9,0.2,42.57,4.31,0.36
9.1,0.2,42.68,4.32,0.36
9.2,0.2,42.76,4.32,0.36
9.3,0.2,42.83,4.32,0.36
9.4,0.2,42.88,4.33,0.36
9.5,0.2,42.91,4.33,0.36
9.6,0.2,42.92,4.34,0.36
9.7,0.2,42.91,4.34,0.36
9.8,0.2,42.88,4.34,0.36
9.9,0.2,42.83,4.34,0.36
10,0.2,42.76,4.34,0.36
10.1,0.2,42.67,4.35,0.36
10.2,0.2,42.56,4.35,0.36
10.3,0.2,42.43,4.35,0.36
10.4,0.2,42.28,4.35,0.36
10.5,0.2,42.12,4.35,0.36
