mass,ta,tb,ewl,rmr
8.2,0,43.16,4.48,1.05
8.3,0,43.28,4.46,1.04
8.4,0,43.41,4.43,1.03
8.5,0,43.53,4.41,1.02
8.6,0,43.65,4.38,1.01
8.7,0,43.78,4.36,1
8.8,0,43.91,4.34,0.99
8.9,0,44.04,4.31,0.98
9,0,44.17,4.29,0.97
9.1,0,44.3,4.26,0.96
9.2,0,44.43,4.24,0.95
9.3,0,44.56,4.22,0.94
9.4,0,44.7,4.19,0.93
9.5,0,44.84,4.17,0.92
9.6,0,44.98,4.14,0.91
9.7,0,45.12,4.12,0.89
9.8,0,45.26,4.1,0.88
9.9,0,45.4,4.07,0.87
10,0,45.55,4.05,0.86
10.1,0,45.69,4.02,0.85
10.2,0,45.84,4,0.84
10.3,0,45.99,3.98,0.83
10.4,0,46.14,3.95,0.81
10.5,0,46.29,3.93,0.8
10.6,0,46.44,3.9,0.79
8.2,0.1,43.12,4.45,1.05
8.3,0.1,43.24,4.43,1.04
8.4,0.1,43.36,4.41,1.03
8.5,0.1,43.49,4.38,1.02
8.6,0.1,43.61,4.36,1.01
8.7,0.1,43.74,4.33,1
8.8,0.1,43.86,4.31,0.99
8.9,0.1,43.99,4.29,0.98
9,0.1,44.12,4.26,0.97
9.1,0.1,44.25,4.24,0.96
9.2,0.1,44.38,4.21,0.95
9.3,0.1,44.52,4.19,0.94
9.4,0.1,44.65,4.17,0.92
9.5,0.1,44.79,4.14,0.91
9.6,0.1,44.93,4.12,0.9
9.7,0.1,45.07,4.09,0.89
9.8,0.1,45.21,4.07,0.88
9.9,0.1,45.35,4.05,0.87
10,0.1,45.5,4.02,0.86
10.1,0.1,45.64,4,0.85
10.2,0.1,45.79,3.97,0.83
10.3,0.1,45.94,3.95,0.82
10.4,0.1,46.09,3.93,0.81
10.5,0.1,46.24,3.9,0.8
10.6,0.1,46.39,3.88,0.79
8.2,0.2,43.08,4.43,1.04
8.3,0.2,43.2,4.4,1.03
8.4,0.2,43.32,4.38,1.02
8.5,0.2,43.44,4.36,1.01
8.6,0.2,43.57,4.33,1
8.7,0.2,43.69,4.31,0.99
8.8,0.2,43.82,4.29,0.98
8.9,0.2,43.95,4.26,0.97
9,0.2,44.08,4.24,0.96
9.1,0.2,44.21,4.21,0.95
9.2,0.2,44.34,4.19,0.94
9.3,0.2,44.47,4.17,0.93
9.4,0.2,44.61,4.14,0.92
9.5,0.2,44.74,4.12,0.91
9.6,0.2,44.88,4.09,0.9
9.7,0.2,45.02,4.07,0.89
9.8,0.2,45.16,4.05,0.88
9.9,0.2,45.31,4.02,0.86
10,0.2,45.45,4,0.85
10.1,0.2,45.59,3.97,0.84
10.2,0.2,45.74,3.95,0.83
10.3,0.2,45.89,3.93,0.82
10.4,0.2,46.04,3.9,0.81
10.5,0.2,46.19,3.88,0.8
10.6,0.2,46.34,3.86,0.78
8.2,0.3,43.04,4.4,1.04
8.3,0.3,43.15,4.38,1.03
8.4,0.3,43.28,4.36,1.02
8.5,0.3,43.4,4.33,1.01
8.6,0.3,43.52,4.31,1
8.7,0.3,43.65,4.28,0.99
8.8,0.3,43.77,4.26,0.98
8.9,0.3,43.9,4.24,0.97
9,0.3,44.03,4.21,0.96
9.1,0.3,44.16,4.19,0.95
9.2,0.3,44.29,4.16,0.94
9.3,0.3,44.43,4.14,0.93
9.4,0.3,44.56,4.12,0.92
9.5,0.3,44.7,4.09,0.91
9.6,0.3,44.84,4.07,0.89
9.7,0.3,44.98,4.05,0.88
9.8,0.3,45.12,4.02,0.87
9.9,0.3,45.26,4,0.86
10,0.3,45.4,3.97,0.85
10.1,0.3,45.55,3.95,0.84
10.2,0.3,45.69,3.93,0.83
10.3,0.3,45.84,3.9,0.82
10.4,0.3,45.99,3.88,0.8
10.5,0.3,46.14,3.86,0.79
10.6,0.3,46.29,3.83,0.78
8.2,0.4,42.99,4.38,1.04
8.3,0.4,43.11,4.35,1.03
8.4,0.4,43.23,4.33,1.02
8.5,0.4,43.35,4.31,1.01
8.6,0.4,43.48,4.28,1
8.7,0.4,43.6,4.26,0.99
8.8,0.4,43.73,4.24,0.98
8.9,0.4,43.86,4.21,0.97
9,0.4,43.99,4.19,0.96
9.1,0.4,44.12,4.16,0.95
9.2,0.4,44.25,4.14,0.93
9.3,0.4,44.38,4.12,0.92
9.4,0.4,44.52,4.09,0.91
9.5,0.4,44.65,4.07,0.9
9.6,0.4,44.79,4.04,0.89
9.7,0.4,44.93,4.02,0.88
9.8,0.4,45.07,4,0.87
9.9,0.4,45.21,3.97,0.86
10,0.4,45.35,3.95,0.85
10.1,0.4,45.5,3.93,0.84
10.2,0.4,45.65,3.9,0.82
10.3,0.4,45.79,3.88,0.81
10.4,0.4,45.94,3.86,0.8
10.5,0.4,46.09,3.83,0.79
10.6,0.4,46.24,3.81,0.78
8.2,0.5,42.95,4.35,1.03
8.3,0.5,43.07,4.33,1.02
8.4,0.5,43.19,4.31,1.01
8.5,0.5,43.31,4.28,1
8.6,0.5,43.43,4.26,0.99
8.7,0.5,43.56,4.23,0.98
8.8,0.5,43.69,4.21,0.97
8.9,0.5,43.81,4.19,0.96
9,0.5,43.94,4.16,0.95
9.1,0.5,44.07,4.14,0.94
9.2,0.5,44.2,4.12,0.93
9.3,0.5,44.34,4.09,0.92
9.4,0.5,44.47,4.07,0.91
9.5,0.5,44.61,4.04,0.9
9.6,0.5,44.74,4.02,0.89
9.7,0.5,44.88,4,0.88
9.8,0.5,45.02,3.97,0.87
9.9,0.5,45.16,3.95,0.85
10,0.5,45.31,3.93,0.84
10.1,0.5,45.45,3.9,0.83
10.2,0.5,45.6,3.88,0.82
10.3,0.5,45.75,3.85,0.81
10.4,0.5,45.89,3.83,0.8
10.5,0.5,46.04,3.81,0.78
10.6,0.5,46.2,3.78,0.77
8.2,0.6,42.91,4.33,1.03
8.3,0.6,43.03,4.3,1.02
8.4,0.6,43.15,4.28,1.01
8.5,0.6,43.27,4.26,1
8.6,0.6,43.39,4.23,0.99
8.7,0.6,43.52,4.21,0.98
8.8,0.6,43.64,4.19,0.97
8.9,0.6,43.77,4.16,0.96
9,0.6,43.9,4.14,0.95
9.1,0.6,44.03,4.11,0.94
9.2,0.6,44.16,4.09,0.93
9.3,0.6,44.29,4.07,0.92
9.4,0.6,44.43,4.04,0.91
9.5,0.6,44.56,4.02,0.89
9.6,0.6,44.7,4,0.88
9.7,0.6,44.84,3.97,0.87
9.8,0.6,44.98,3.95,0.86
9.9,0.6,45.12,3.93,0.85
10,0.6,45.26,3.9,0.84
10.1,0.6,45.41,3.88,0.83
10.2,0.6,45.55,3.85,0.82
10.3,0.6,45.7,3.83,0.8
10.4,0.6,45.85,3.81,0.79
10.5,0.6,46,3.78,0.78
10.6,0.6,46.15,3.76,0.77
8.2,0.7,42.87,4.3,1.02
8.3,0.7,42.98,4.28,1.01
8.4,0.7,43.1,4.26,1
8.5,0.7,43.23,4.23,0.99
8.6,0.7,43.35,4.21,0.98
8.7,0.7,43.47,4.18,0.97
8.8,0.7,43.6,4.16,0.96
8.9,0.7,43.72,4.14,0.95
9,0.7,43.85,4.11,0.94
9.1,0.7,43.98,4.09,0.93
9.2,0.7,44.11,4.07,0.92
9.3,0.7,44.25,4.04,0.91
9.4,0.7,44.38,4.02,0.9
9.5,0.7,44.52,4,0.89
9.6,0.7,44.65,3.97,0.88
9.7,0.7,44.79,3.95,0.87
9.8,0.7,44.93,3.92,0.86
9.9,0.7,45.07,3.9,0.85
10,0.7,45.21,3.88,0.84
10.1,0.7,45.36,3.85,0.82
10.2,0.7,45.5,3.83,0.81
10.3,0.7,45.65,3.81,0.8
10.4,0.7,45.8,3.78,0.79
10.5,0.7,45.95,3.76,0.78
10.6,0.7,46.1,3.74,0.77
8.2,0.8,42.82,4.28,1.02
8.3,0.8,42.94,4.25,1.01
8.4,0.8,43.06,4.23,1
8.5,0.8,43.18,4.21,0.99
8.6,0.8,43.31,4.18,0.98
8.7,0.8,43.43,4.16,0.97
8.8,0.8,43.55,4.14,0.96
8.9,0.8,43.68,4.11,0.95
9,0.8,43.81,4.09,0.94
9.1,0.8,43.94,4.07,0.93
9.2,0.8,44.07,4.04,0.92
9.3,0.8,44.2,4.02,0.91
9.4,0.8,44.34,3.99,0.9
9.5,0.8,44.47,3.97,0.89
9.6,0.8,44.61,3.95,0.88
9.7,0.8,44.75,3.92,0.87
9.8,0.8,44.88,3.9,0.85
9.9,0.8,45.03,3.88,0.84
10,0.8,45.17,3.85,0.83
10.1,0.8,45.31,3.83,0.82
10.2,0.8,45.46,3.81,0.81
10.3,0.8,45.6,3.78,0.8
10.4,0.8,45.75,3.76,0.79
10.5,0.8,45.9,3.74,0.77
10.6,0.8,46.05,3.71,0.76
8.2,0.9,42.78,4.25,1.02
8.3,0.9,42.9,4.23,1.01
8.4,0.9,43.02,4.21,1
8.5,0.9,43.14,4.18,0.99
8.6,0.9,43.26,4.16,0.98
8.7,0.9,43.39,4.13,0.97
8.8,0.9,43.51,4.11,0.96
8.9,0.9,43.64,4.09,0.95
9,0.9,43.77,4.06,0.94
9.1,0.9,43.89,4.04,0.93
9.2,0.9,44.03,4.02,0.92
9.3,0.9,44.16,3.99,0.91
9.4,0.9,44.29,3.97,0.89
9.5,0.9,44.43,3.95,0.88
9.6,0.9,44.56,3.92,0.87
9.7,0.9,44.7,3.9,0.86
9.8,0.9,44.84,3.88,0.85
9.9,0.9,44.98,3.85,0.84
10,0.9,45.12,3.83,0.83
