mass,ta,tb,ewl,rmr
10.4,0,-13.18,-1.57,0.04
10.5,0,-13.22,-1.57,0.04
10.6,0,-13.25,-1.57,0.04
10.7,0,-13.28,-1.57,0.04
10.8,0,-13.3,-1.57,0.04
10.9,0,-13.33,-1.57,0.04
11,0,-13.36,-1.57,0.04
11.1,0,-13.38,-1.57,0.04
11.2,0,-13.41,-1.57,0.04
11.3,0,-13.43,-1.57,0.04
11.4,0,-13.45,-1.57,0.04
11.5,0,-13.47,-1.57,0.04
11.6,0,-13.49,-1.57,0.04
11.7,0,-13.51,-1.57,0.04
11.8,0,-13.53,-1.57,0.04
11.9,0,-13.55,-1.57,0.04
12,0,-13.56,-1.57,0.04
12.1,0,-13.58,-1.57,0.04
10.4,0.1,-12.47,-1.57,0.04
10.5,0.1,-12.51,-1.57,0.04
10.6,0.1,-12.54,-1.57,0.04
10.7,0.1,-12.57,-1.57,0.04
10.8,0.1,-12.6,-1.57,0.04
10.9,0.1,-12.63,-1.57,0.04
11,0.1,-12.66,-1.57,0.04
11.1,0.1,-12.69,-1.57,0.04
11.2,0.1,-12.72,-1.57,0.04
11.3,0.1,-12.74,-1.57,0.04
11.4,0.1,-12.77,-1.57,0.04
11.5,0.1,-12.79,-1.57,0.04
11.6,0.1,-12.81,-1.57,0.04
11.7,0.1,-12.84,-1.57,0.04
11.8,0.1,-12.86,-1.57,0.04
11.9,0.1,-12.88,-1.57,0.04
12,0.1,-12.9,-1.57,0.04
12.1,0.1,-12.92,-1.57,0.04
10.4,0.2,-11.79,-1.57,0.04
10.5,0.2,-11.82,-1.57,0.04
10.6,0.2,-11.86,-1.57,0.04
10.7,0.2,-11.89,-1.57,0.04
10.8,0.2,-11.92,-1.57,0.04
10.9,0.2,-11.95,-1.57,0.04
11,0.2,-11.99,-1.57,0.04
11.1,0.2,-12.01,-1.57,0.04
11.2,0.2,-12.04,-1.57,0.04
11.3,0.2,-12.07,-1.57,0.04
11.4,0.2,-12.1,-1.57,0.04
11.5,0.2,-12.12,-1.57,0.04
11.6,0.2,-12.15,-1.57,0.04
11.7,0.2,-12.17,-1.57,0.04
11.8,0.2,-12.2,-1.56,0.04
11.9,0.2,-12.22,-1.56,0.04
12,0.2,-12.24,-1.56,0.04
12.1,0.2,-12.27,-1.56,0.04
10.4,0.3,-11.13,-1.56,0.04
10.5,0.3,-11.17,-1.56,0.04
10.6,0.3,-11.2,-1.56,0.04
10.7,0.3,-11.24,-1.56,0.04
10.8,0.3,-11.27,-1.56,0.04
10.9,0.3,-11.3,-1.56,0.04
11,0.3,-11.33,-1.56,0.04
11.1,0.3,-11.37,-1.56,0.04
11.2,0.3,-11.4,-1.56,0.04
11.3,0.3,-11.43,-1.56,0.04
11.4,0.3,-11.45,-1.56,0.04
11.5,0.3,-11.48,-1.56,0.04
11.6,0.3,-11.51,-1.56,0.04
11.7,0.3,-11.54,-1.56,0.04
11.8,0.3,-11.56,-1.56,0.04
11.9,0.3,-11.59,-1.56,0.04
12,0.3,-11.61,-1.56,0.04
12.1,0.3,-11.63,-1.56,0.04
10.4,0.4,-10.51,-1.56,0.04
10.5,0.4,-10.55,-1.56,0.04
10.6,0.4,-10.58,-1.56,0.04
10.7,0.4,-10.62,-1.56,0.04
10.8,0.4,-10.65,-1.56,0.04
10.9,0.4,-10.68,-1.56,0.04
11,0.4,-10.72,-1.56,0.04
11.1,0.4,-10.75,-1.56,0.04
11.2,0.4,-10.78,-1.56,0.04
11.3,0.4,-10.81,-1.56,0.04
11.4,0.4,-10.84,-1.56,0.04
11.5,0.4,-10.87,-1.56,0.04
11.6,0.4,-10.9,-1.56,0.04
11.7,0.4,-10.92,-1.56,0.04
