mass,ta,tb,ewl,rmr
10.4,0,40.28,0.06,0.34
10.5,0,40.28,0.06,0.34
10.6,0,40.28,0.06,0.34
10.7,0,40.28,0.06,0.34
10.8,0,40.28,0.06,0.34
10.9,0,40.28,0.06,0.34
11,0,40.28,0.06,0.34
11.1,0,40.28,0.06,0.34
11.2,0,40.28,0.06,0.34
11.3,0,40.29,0.1,0.34
11.4,0,40.29,0.1,0.34
11.5,0,40.29,0.1,0.34
11.6,0,40.29,0.1,0.34
11.7,0,40.28,0.12,0.34
11.8,0,40.32,0.12,0.34
11.9,0,40.23,0.12,0.34
12,0,40.23,0.12,0.34
12.1,0,40.23,0.12,0.34
10.4,0.1,40.28,0.06,0.34
10.5,0.1,40.28,0.06,0.34
10.6,0.1,40.28,0.06,0.34
10.7,0.1,40.28,0.06,0.34
10.8,0.1,40.28,0.06,0.34
10.9,0.1,40.28,0.06,0.34
11,0.1,40.28,0.06,0.34
11.1,0.1,40.28,0.06,0.34
11.2,0.1,40.28,0.06,0.34
11.3,0.1,40.29,0.1,0.34
11.4,0.1,40.29,0.1,0.34
11.5,0.1,40.29,0.1,0.34
11.6,0.1,40.29,0.1,0.34
11.7,0.1,40.28,0.12,0.34
11.8,0.1,40.32,0.12,0.34
11.9,0.1,40.23,0.12,0.34
12,0.1,40.23,0.12,0.34
12.1,0.1,40.23,0.12,0.34
10.4,0.2,40.28,0.06,0.34
10.5,0.2,40.28,0.06,0.34
10.6,0.2,40.28,0.06,0.34
10.7,0.2,40.28,0.06,0.34
10.8,0.2,40.28,0.06,0.34
10.9,0.2,40.28,0.06,0.34
11,0.2,40.28,0.06,0.34
11.1,0.2,40.28,0.06,0.34
11.2,0.2,40.28,0.06,0.34
11.3,0.2,40.29,0.1,0.34
11.4,0.2,40.29,0.1,0.34
11.5,0.2,40.29,0.1,0.34
11.6,0.2,40.29,0.1,0.34
11.7,0.2,40.28,0.12,0.34
11.8,0.2,40.32,0.12,0.34
11.9,0.2,40.23,0.12,0.34
12,0.2,40.23,0.12,0.34
12.1,0.2,40.23,0.12,0.34
10.4,0.3,40.28,0.06,0.34
10.5,0.3,40.28,0.06,0.34
10.6,0.3,40.28,0.06,0.34
10.7,0.3,40.28,0.06,0.34
10.8,0.3,40.28,0.06,0.34
10.9,0.3,40.28,0.06,0.34
11,0.3,40.28,0.06,0.34
11.1,0.3,40.28,0.06,0.34
11.2,0.3,40.28,0.06,0.34
11.3,0.3,40.29,0.1,0.34
11.4,0.3,40.29,0.1,0.34
11.5,0.3,40.29,0.1,0.34
11.6,0.3,40.29,0.1,0.34
11.7,0.3,40.28,0.12,0.34
11.8,0.3,40.32,0.12,0.34
11.9,0.3,40.23,0.12,0.34
12,0.3,40.23,0.12,0.34
12.1,0.3,40.23,0.12,0.34
10.4,0.4,40.28,0.06,0.34
10.5,0.4,40.28,0.06,0.34
10.6,0.4,40.28,0.06,0.34
10.7,0.4,40.28,0.06,0.34
10.8,0.4,40.28,0.06,0.34
10.9,0.4,40.28,0.06,0.34
11,0.4,40.28,0.06,0.34
11.1,0.4,40.28,0.06,0.34
11.2,0.4,40.28,0.06,0.34
11.3,0.4,40.29,0.1,0.34
11.4,0.4,40.29,0.1,0.34
11.5,0.4,40.29,0.1,0.34
11.6,0.4,40.29,0.1,0.34
11.7,0.4,40.28,0.12,0.34
11.8,0.4,40.32,0.12,0.34
11.9,0.4,40.23,0.12,0.34
12,0.4,40.23,0.12,0.34
12.1,0.4,40.23,0.12,0.34
10.4,0.5,40.28,0.06,0.34
10.5,0.5,40.28,0.06,0.34
10.6,0.5,40.28,0.06,0.34
10.7,0.5,40.28,0.06,0.34
10.8,0.5,40.28,0.06,0.34
10.9,0.5,40.28,0.06,0.34
11,0.5,40.28,0.06,0.34
11.1,0.5,40.28,0.06,0.34
11.2,0.5,40.28,0.06,0.34
11.3,0.5,40.29,0.1,0.34
11.4,0.5,40.29,0.1,0.34
11.5,0.5,40.29,0.1,0.34
11.6,0.5,40.29,0.1,0.34
11.7,0.5,40.28,0.12,0.34
11.8,0.5,40.32,0.12,0.34
11.9,0.5,40.23,0.12,0.34
12,0.5,40.23,0.12,0.34
12.1,0.5,40.23,0.12,0.34
10.4,0.6,40.28,0.06,0.34
10.5,0.6,40.28,0.06,0.34
10.6,0.6,40.28,0.06,0.34
10.7,0.6,40.28,0.06,0.34
10.8,0.6,40.28,0.06,0.34
10.9,0.6,40.28,0.06,0.34
11,0.6,40.28,0.06,0.34
11.1,0.6,40.28,0.06,0.34
11.2,0.6,40.28,0.06,0.34
11.3,0.6,40.29,0.1,0.34
11.4,0.6,40.29,0.1,0.34
11.5,0.6,40.29,0.1,0.34
11.6,0.6,40.29,0.1,0.34
11.7,0.6,40.28,0.12,0.34
11.8,0.6,40.32,0.12,0.34
11.9,0.6,40.23,0.12,0.34
12,0.6,40.23,0.12,0.34
12.1,0.6,40.23,0.12,0.34
10.4,0.7,40.28,0.06,0.34
10.5,0.7,40.28,0.06,0.34
10.6,0.7,40.28,0.06,0.34
10.7,0.7,40.28,0.06,0.34
10.8,0.7,40.28,0.06,0.34
10.9,0.7,40.28,0.06,0.34
11,0.7,40.28,0.06,0.34
11.1,0.7,40.28,0.06,0.34
11.2,0.7,40.28,0.06,0.34
11.3,0.7,40.29,0.1,0.34
11.4,0.7,40.29,0.1,0.34
11.5,0.7,40.29,0.1,0.34
11.6,0.7,40.29,0.1,0.34
11.7,0.7,40.28,0.12,0.34
11.8,0.7,40.32,0.12,0.34
11.9,0.7,40.23,0.12,0.34
12,0.7,40.23,0.12,0.34
12.1,0.7,40.23,0.12,0.34
10.4,0.8,40.28,0.06,0.34
10.5,0.8,40.28,0.06,0.34
10.6,0.8,40.28,0.06,0.34
10.7,0.8,40.28,0.06,0.34
10.8,0.8,40.28,0.06,0.34
10.9,0.8,40.28,0.06,0.34
11,0.8,40.28,0.06,0.34
11.1,0.8,40.28,0.06,0.34
11.2,0.8,40.28,0.06,0.34
11.3,0.8,40.29,0.1,0.34
11.4,0.8,40.29,0.1,0.34
11.5,0.8,40.29,0.1,0.34
11.6,0.8,40.29,0.1,0.34
11.7,0.8,40.28,0.12,0.34
11.8,0.8,40.32,0.12,0.34
11.9,0.8,40.23,0.12,0.34
12,0.8,40.23,0.12,0.34
12.1,0.8,40.23,0.12,0.34
10.4,0.9,40.28,0.06,0.34
10.5,0.9,40.28,0.06,0.34
10.6,0.9,40.28,0.06,0.34
10.7,0.9,40.28,0.06,0.34
10.8,0.9,40.28,0.06,0.34
10.9,0.9,40.28,0.06,0.34
11,0.9,40.28,0.06,0.34
11.1,0.9,40.28,0.06,0.34
11.2,0.9,40.28,0.06,0.34
11.3,0.9,40.29,0.1,0.34
11.4,0.9,40.29,0.1,0.34
11.5,0.9,40.29,0.1,0.34
11.6,0.9,40.29,0.1,0.34
11.7,0.9,40.28,0.12,0.34
11.8,0.9,40.32,0.12,0.34
11.9,0.9,40.23,0.12,0.34
12,0.9,40.23,0.12,0.34
12.1,0.9,40.23,0.12,0.34
10.4,1,40.28,0.06,0.34
10.5,1,40.28,0.06,0.34
10.6,1,40.28,0.06,0.34
10.7,1,40.28,0.06,0.34
10.8,1,40.28,0.06,0.34
10.9,1,40.28,0.06,0.34
11,1,40.28,0.06,0.34
11.1,1,40.28,0.06,0.34
11.2,1,40.28,0.06,0.34
11.3,1,40.29,0.1,0.34
11.4,1,40.29,0.1,0.34
11.5,1,40.29,0.1,0.34
11.6,1,40.29,0.1,0.34
11.7,1,40.28,0.12,0.34
11.8,1,40.32,0.12,0.34
11.9,1,40.23,0.12,0.34
12,1,40.23,0.12,0.34
12.1,1,40.23,0.12,0.34
10.4,1.1,40.28,0.06,0.34
10.5,1.1,40.28,0.06,0.34
10.6,1.1,40.28,0.06,0.34
10.7,1.1,40.28,0.06,0.34
10.8,1.1,40.28,0.06,0.34
10.9,1.1,40.28,0.06,0.34
11,1.1,40.28,0.06,0.34
11.1,1.1,40.28,0.06,0.34
11.2,1.1,40.28,0.06,0.34
11.3,1.1,40.29,0.1,0.34
11.4,1.1,40.29,0.1,0.34
11.5,1.1,40.29,0.1,0.34
11.6,1.1,40.29,0.1,0.34
11.7,1.1,40.28,0.12,0.34
11.8,1.1,40.32,0.12,0.34
11.9,1.1,40.23,0.12,0.34
12,1.1,40.23,0.12,0.34
12.1,1.1,40.23,0.12,0.34
10.4,1.2,40.28,0.06,0.34
10.5,1.2,40.28,0.06,0.34
10.6,1.2,40.28,0.06,0.34
10.7,1.2,40.28,0.06,0.34
10.8,1.2,40.28,0.06,0.34
10.9,1.2,40.28,0.06,0.34
11,1.2,40.28,0.06,0.34
11.1,1.2,40.28,0.06,0.34
11.2,1.2,40.28,0.06,0.34
11.3,1.2,40.29,0.1,0.34
11.4,1.2,40.29,0.1,0.34
11.5,1.2,40.29,0.1,0.34
11.6,1.2,40.29,0.1,0.34
