mass,ta,tb,ewl,rmr
10.4,0,44.1,-1.26,-0.05
10.5,0,44.1,-1.25,-0.05
10.6,0,44.1,-1.25,-0.04
10.7,0,44.11,-1.24,-0.04
10.8,0,44.11,-1.23,-0.03
10.9,0,44.11,-1.23,-0.03
11,0,44.11,-1.22,-0.03
11.1,0,44.11,-1.21,-0.02
11.2,0,44.11,-1.21,-0.02
11.3,0,44.11,-1.2,-0.02
11.4,0,44.11,-1.19,-0.01
11.5,0,44.11,-1.19,-0.01
11.6,0,44.11,-1.18,-0
11.7,0,44.11,-1.17,0
11.8,0,44.11,-1.16,0
11.9,0,44.11,-1.16,0.01
12,0,44.11,-1.15,0.01
12.1,0,44.11,-1.14,0.02
10.4,0.1,44.1,-1.26,-0.05
10.5,0.1,44.1,-1.25,-0.04
10.6,0.1,44.1,-1.24,-0.04
10.7,0.1,44.1,-1.24,-0.04
10.8,0.1,44.1,-1.23,-0.03
10.9,0.1,44.1,-1.22,-0.03
11,0.1,44.1,-1.22,-0.03
11.1,0.1,44.11,-1.21,-0.02
11.2,0.1,44.11,-1.2,-0.02
11.3,0.1,44.11,-1.2,-0.01
11.4,0.1,44.11,-1.19,-0.01
11.5,0.1,44.11,-1.18,-0.01
11.6,0.1,44.11,-1.17,-0
11.7,0.1,44.11,-1.17,0
11.8,0.1,44.11,-1.16,0
11.9,0.1,44.11,-1.15,0.01
12,0.1,44.11,-1.15,0.01
12.1,0.1,44.11,-1.14,0.02
10.4,0.2,44.1,-1.25,-0.05
10.5,0.2,44.1,-1.25,-0.04
10.6,0.2,44.1,-1.24,-0.04
10.7,0.2,44.1,-1.23,-0.04
10.8,0.2,44.1,-1.23,-0.03
10.9,0.2,44.1,-1.22,-0.03
11,0.2,44.1,-1.21,-0.02
11.1,0.2,44.1,-1.2,-0.02
11.2,0.2,44.1,-1.2,-0.02
11.3,0.2,44.1,-1.19,-0.01
11.4,0.2,44.1,-1.18,-0.01
11.5,0.2,44.1,-1.18,-0.01
11.6,0.2,44.11,-1.17,-0
11.7,0.2,44.11,-1.16,0
11.8,0.2,44.11,-1.16,0.01
11.9,0.2,44.11,-1.15,0.01
12,0.2,44.11,-1.14,0.01
12.1,0.2,44.11,-1.14,0.02
10.4,0.3,44.1,-1.25,-0.05
10.5,0.3,44.1,-1.24,-0.04
10.6,0.3,44.1,-1.23,-0.04
10.7,0.3,44.1,-1.23,-0.04
10.8,0.3,44.1,-1.22,-0.03
10.9,0.3,44.1,-1.21,-0.03
11,0.3,44.1,-1.21,-0.02
11.1,0.3,44.1,-1.2,-0.02
11.2,0.3,44.1,-1.19,-0.02
11.3,0.3,44.1,-1.19,-0.01
11.4,0.3,44.1,-1.18,-0.01
11.5,0.3,44.1,-1.17,-0
11.6,0.3,44.1,-1.17,-0
11.7,0.3,44.1,-1.16,0
11.8,0.3,44.1,-1.15,0.01
11.9,0.3,44.1,-1.15,0.01
12,0.3,44.1,-1.14,0.01
12.1,0.3,44.1,-1.13,0.02
10.4,0.4,44.09,-1.24,-0.05
10.5,0.4,44.09,-1.24,-0.04
10.6,0.4,44.09,-1.23,-0.04
10.7,0.4,44.09,-1.22,-0.03
10.8,0.4,44.1,-1.22,-0.03
10.9,0.4,44.1,-1.21,-0.03
11,0.4,44.1,-1.2,-0.02
11.1,0.4,44.1,-1.2,-0.02
11.2,0.4,44.1,-1.19,-0.01
11.3,0.4,44.1,-1.18,-0.01
11.4,0.4,44.1,-1.18,-0.01
11.5,0.4,44.1,-1.17,-0
11.6,0.4,44.1,-1.16,0
11.7,0.4,44.1,-1.15,0
11.8,0.4,44.1,-1.15,0.01
11.9,0.4,44.1,-1.14,0.01
12,0.4,44.1,-1.13,0.02
12.1,0.4,44.1,-1.13,0.02
10.4,0.5,44.09,-1.24,-0.04
10.5,0.5,44.09,-1.23,-0.04
10.6,0.5,44.09,-1.23,-0.04
10.7,0.5,44.09,-1.22,-0.03
10.8,0.5,44.09,-1.21,-0.03
10.9,0.5,44.09,-1.21,-0.03
11,0.5,44.09,-1.2,-0.02
11.1,0.5,44.09,-1.19,-0.02
11.2,0.5,44.1,-1.18,-0.01
11.3,0.5,44.1,-1.18,-0.01
11.4,0.5,44.1,-1.17,-0.01
11.5,0.5,44.1,-1.16,-0
11.6,0.5,44.1,-1.16,0
11.7,0.5,44.1,-1.15,0.01
11.8,0.5,44.1,-1.14,0.01
11.9,0.5,44.1,-1.14,0.01
12,0.5,44.1,-1.13,0.02
12.1,0.5,44.1,-1.12,0.02
10.4,0.6,44.09,-1.24,-0.04
10.5,0.6,44.09,-1.23,-0.04
10.6,0.6,44.09,-1.22,-0.04
10.7,0.6,44.09,-1.22,-0.03
10.8,0.6,44.09,-1.21,-0.03
10.9,0.6,44.09,-1.2,-0.02
11,0.6,44.09,-1.19,-0.02
11.1,0.6,44.09,-1.19,-0.02
11.2,0.6,44.09,-1.18,-0.01
11.3,0.6,44.09,-1.17,-0.01
11.4,0.6,44.09,-1.17,-0.01
11.5,0.6,44.09,-1.16,-0
11.6,0.6,44.09,-1.15,0
11.7,0.6,44.09,-1.15,0.01
11.8,0.6,44.1,-1.14,0.01
11.9,0.6,44.1,-1.13,0.01
12,0.6,44.1,-1.13,0.02
12.1,0.6,44.1,-1.12,0.02
10.4,0.7,44.08,-1.23,-0.04
10.5,0.7,44.09,-1.22,-0.04
10.6,0.7,44.09,-1.22,-0.03
10.7,0.7,44.09,-1.21,-0.03
10.8,0.7,44.09,-1.2,-0.03
10.9,0.7,44.09,-1.2,-0.02
11,0.7,44.09,-1.19,-0.02
11.1,0.7,44.09,-1.18,-0.02
11.2,0.7,44.09,-1.18,-0.01
11.3,0.7,44.09,-1.17,-0.01
11.4,0.7,44.09,-1.16,-0
11.5,0.7,44.09,-1.16,-0
11.6,0.7,44.09,-1.15,0
11.7,0.7,44.09,-1.14,0.01
11.8,0.7,44.09,-1.13,0.01
11.9,0.7,44.09,-1.13,0.02
12,0.7,44.09,-1.12,0.02
12.1,0.7,44.09,-1.11,0.02
10.4,0.8,44.08,-1.23,-0.04
10.5,0.8,44.08,-1.22,-0.04
10.6,0.8,44.08,-1.21,-0.03
10.7,0.8,44.08,-1.21,-0.03
10.8,0.8,44.08,-1.2,-0.03
10.9,0.8,44.08,-1.19,-0.02
11,0.8,44.09,-1.19,-0.02
11.1,0.8,44.09,-1.18,-0.01
11.2,0.8,44.09,-1.17,-0.01
11.3,0.8,44.09,-1.17,-0.01
11.4,0.8,44.09,-1.16,-0
11.5,0.8,44.09,-1.15,0
11.6,0.8,44.09,-1.14,0
11.7,0.8,44.09,-1.14,0.01
11.8,0.8,44.09,-1.13,0.01
11.9,0.8,44.09,-1.12,0.02
12,0.8,44.09,-1.12,0.02
12.1,0.8,44.09,-1.11,0.02
10.4,0.9,44.08,-1.22,-0.04
10.5,0.9,44.08,-1.22,-0.04
10.6,0.9,44.08,-1.21,-0.03
10.7,0.9,44.08,-1.2,-0.03
10.8,0.9,44.08,-1.2,-0.03
10.9,0.9,44.08,-1.19,-0.02
11,0.9,44.08,-1.18,-0.02
11.1,0.9,44.08,-1.17,-0.01
11.2,0.9,44.08,-1.17,-0.01
11.3,0.9,44.08,-1.16,-0.01
11.4,0.9,44.08,-1.15,-0
11.5,0.9,44.09,-1.15,0
11.6,0.9,44.09,-1.14,0.01
11.7,0.9,44.09,-1.13,0.01
11.8,0.9,44.09,-1.13,0.01
11.9,0.9,44.09,-1.12,0.02
12,0.9,44.09,-1.11,0.02
12.1,0.9,44.09,-1.11,0.02
10.4,1,44.08,-1.22,-0.04
10.5,1,44.08,-1.21,-0.04
10.6,1,44.08,-1.2,-0.03
10.7,1,44.08,-1.2,-0.03
10.8,1,44.08,-1.19,-0.02
10.9,1,44.08,-1.18,-0.02
11,1,44.08,-1.18,-0.02
11.1,1,44.08,-1.17,-0.01
11.2,1,44.08,-1.16,-0.01
11.3,1,44.08,-1.16,-0
11.4,1,44.08,-1.15,-0
11.5,1,44.08,-1.14,0
11.6,1,44.08,-1.14,0.01
11.7,1,44.08,-1.13,0.01
11.8,1,44.08,-1.12,0.01
11.9,1,44.08,-1.12,0.02
12,1,44.08,-1.11,0.02
12.1,1,44.09,-1.1,0.03
10.4,1.1,44.07,-1.21,-0.04
10.5,1.1,44.07,-1.21,-0.03
10.6,1.1,44.07,-1.2,-0.03
10.7,1.1,44.07,-1.19,-0.03
10.8,1.1,44.08,-1.19,-0.02
10.9,1.1,44.08,-1.18,-0.02
11,1.1,44.08,-1.17,-0.02
11.1,1.1,44.08,-1.17,-0.01
11.2,1.1,44.08,-1.16,-0.01
11.3,1.1,44.08,-1.15,-0
11.4,1.1,44.08,-1.15,0
11.5,1.1,44.08,-1.14,0
11.6,1.1,44.08,-1.13,0.01
11.7,1.1,44.08,-1.12,0.01
11.8,1.1,44.08,-1.12,0.02
11.9,1.1,44.08,-1.11,0.02
12,1.1,44.08,-1.1,0.02
12.1,1.1,44.08,-1.1,0.03
10.4,1.2,44.07,-1.21,-0.04
10.5,1.2,44.07,-1.2,-0.03
10.6,1.2,44.07,-1.2,-0.03
10.7,1.2,44.07,-1.19,-0.03
10.8,1.2,44.07,-1.18,-0.02
10.9,1.2,44.07,-1.18,-0.02
11,1.2,44.07,-1.17,-0.01
11.1,1.2,44.07,-1.16,-0.01
11.2,1.2,44.07,-1.15,-0.01
11.3,1.2,44.08,-1.15,-0
11.4,1.2,44.08,-1.14,0
11.5,1.2,44.08,-1.13,0
11.6,1.2,44.08,-1.13,0.01
11.7,1.2,44.08,-1.12,0.01
11.8,1.2,44.08,-1.11,0.02
11.9,1.2,44.08,-1.11,0.02
