mass,ta,tb,ewl,rmr
23.1,0,38.97,0.09,-0.15
23.2,0,38.93,0.09,-0.14
23.3,0,38.88,0.09,-0.14
23.4,0,38.84,0.09,-0.13
23.5,0,38.8,0.09,-0.13
23.6,0,38.75,0.09,-0.12
23.7,0,38.71,0.09,-0.12
23.8,0,38.66,0.09,-0.11
23.9,0,38.62,0.09,-0.11
24,0,38.58,0.09,-0.1
24.1,0,38.53,0.09,-0.1
24.2,0,38.49,0.09,-0.09
24.3,0,38.44,0.09,-0.09
24.4,0,38.4,0.09,-0.09
24.5,0,38.36,0.09,-0.08
24.6,0,38.31,0.09,-0.08
24.7,0,38.27,0.09,-0.07
24.8,0,38.23,0.09,-0.07
24.9,0,38.18,0.09,-0.06
25,0,38.14,0.09,-0.06
25.1,0,38.09,0.09,-0.05
25.2,0,38.05,0.09,-0.05
25.3,0,38.01,0.09,-0.04
25.4,0,37.96,0.09,-0.04
25.5,0,37.92,0.09,-0.03
25.6,0,37.88,0.09,-0.03
25.7,0,37.83,0.09,-0.03
25.8,0,37.79,0.09,-0.02
25.9,0,37.74,0.09,-0.02
26,0,37.7,0.09,-0.01
26.1,0,37.66,0.09,-0.01
26.2,0,37.61,0.09,-0
26.3,0,37.57,0.09,0
26.4,0,37.53,0.09,0.01
26.5,0,37.48,0.09,0.01
26.6,0,37.44,0.09,0.02
26.7,0,37.4,0.09,0.02
26.8,0,37.35,0.09,0.03
26.9,0,37.31,0.09,0.03
27,0,37.27,0.09,0.03
27.1,0,37.22,0.09,0.04
27.2,0,37.18,0.09,0.04
27.3,0,37.14,0.09,0.05
27.4,0,37.09,0.09,0.05
27.5,0,37.05,0.09,0.06
27.6,0,37.01,0.09,0.06
27.7,0,36.97,0.09,0.07
27.8,0,36.92,0.09,0.07
27.9,0,36.88,0.09,0.08
28,0,36.84,0.09,0.08
28.1,0,36.79,0.09,0.09
28.2,0,36.75,0.09,0.09
23.1,0.1,38.98,0.09,-0.14
23.2,0.1,38.93,0.09,-0.14
23.3,0.1,38.89,0.09,-0.13
23.4,0.1,38.84,0.09,-0.13
23.5,0.1,38.8,0.09,-0.12
23.6,0.1,38.76,0.09,-0.12
23.7,0.1,38.71,0.09,-0.11
23.8,0.1,38.67,0.09,-0.11
23.9,0.1,38.63,0.09,-0.11
24,0.1,38.58,0.09,-0.1
24.1,0.1,38.54,0.09,-0.1
24.2,0.1,38.49,0.09,-0.09
24.3,0.1,38.45,0.09,-0.09
24.4,0.1,38.41,0.09,-0.08
24.5,0.1,38.36,0.09,-0.08
24.6,0.1,38.32,0.09,-0.07
24.7,0.1,38.28,0.09,-0.07
24.8,0.1,38.23,0.09,-0.06
