mass,ta,tb,ewl,rmr
23.1,0,44.49,0.7,2.55
23.2,0,44.54,0.7,2.56
23.3,0,44.59,0.7,2.56
23.4,0,44.64,0.7,2.57
23.5,0,44.7,0.7,2.58
23.6,0,44.75,0.7,2.58
23.7,0,44.8,0.7,2.59
23.8,0,44.85,0.7,2.6
23.9,0,44.9,0.7,2.61
24,0,44.95,0.7,2.61
24.1,0,45.01,0.7,2.62
24.2,0,45.06,0.7,2.63
24.3,0,45.11,0.7,2.63
24.4,0,45.16,0.7,2.64
24.5,0,45.22,0.7,2.65
24.6,0,45.27,0.7,2.66
24.7,0,45.32,0.7,2.66
24.8,0,45.38,0.7,2.67
24.9,0,45.43,0.7,2.68
25,0,45.48,0.7,2.68
25.1,0,45.54,0.7,2.69
25.2,0,45.59,0.7,2.7
25.3,0,45.65,0.7,2.7
25.4,0,45.7,0.69,2.71
25.5,0,45.76,0.69,2.72
25.6,0,45.81,0.69,2.72
25.7,0,45.87,0.69,2.73
25.8,0,45.93,0.69,2.74
25.9,0,45.98,0.69,2.74
26,0,46.04,0.69,2.75
26.1,0,46.09,0.69,2.76
26.2,0,46.15,0.69,2.76
26.3,0,46.21,0.69,2.77
26.4,0,46.27,0.69,2.77
26.5,0,46.32,0.69,2.78
26.6,0,46.38,0.69,2.79
26.7,0,46.44,0.69,2.79
26.8,0,46.5,0.7,2.8
26.9,0,46.56,0.7,2.81
27,0,46.61,0.7,2.81
27.1,0,46.67,0.7,2.82
27.2,0,46.73,0.7,2.82
27.3,0,46.79,0.7,2.83
27.4,0,46.85,0.7,2.84
27.5,0,46.91,0.7,2.84
27.6,0,46.97,0.7,2.85
27.7,0,47.03,0.7,2.85
27.8,0,47.09,0.7,2.86
27.9,0,47.15,0.7,2.86
28,0,47.21,0.7,2.87
28.1,0,47.27,0.7,2.88
28.2,0,47.33,0.7,2.88
23.1,0.1,44.45,0.7,2.53
23.2,0.1,44.5,0.7,2.54
23.3,0.1,44.55,0.7,2.55
23.4,0.1,44.6,0.7,2.56
23.5,0.1,44.65,0.7,2.56
23.6,0.1,44.7,0.7,2.57
23.7,0.1,44.75,0.7,2.58
23.8,0.1,44.8,0.7,2.59
23.9,0.1,44.85,0.7,2.59
24,0.1,44.9,0.7,2.6
24.1,0.1,44.95,0.7,2.61
24.2,0.1,45.01,0.7,2.61
24.3,0.1,45.06,0.7,2.62
24.4,0.1,45.11,0.7,2.63
24.5,0.1,45.16,0.7,2.63
24.6,0.1,45.22,0.7,2.64
24.7,0.1,45.27,0.7,2.65
24.8,0.1,45.32,0.7,2.65
24.9,0.1,45.38,0.7,2.66
25,0.1,45.43,0.7,2.67
25.1,0.1,45.49,0.7,2.68
25.2,0.1,45.54,0.69,2.68
25.3,0.1,45.6,0.69,2.69
25.4,0.1,45.65,0.69,2.7
25.5,0.1,45.71,0.69,2.7
25.6,0.1,45.76,0.69,2.71
25.7,0.1,45.82,0.69,2.71
25.8,0.1,45.87,0.69,2.72
25.9,0.1,45.93,0.69,2.73
26,0.1,45.98,0.69,2.73
26.1,0.1,46.04,0.69,2.74
26.2,0.1,46.1,0.69,2.75
26.3,0.1,46.15,0.69,2.75
26.4,0.1,46.21,0.69,2.76
26.5,0.1,46.27,0.69,2.77
26.6,0.1,46.33,0.69,2.77
26.7,0.1,46.38,0.69,2.78
26.8,0.1,46.44,0.69,2.78
26.9,0.1,46.5,0.69,2.79
27,0.1,46.56,0.7,2.8
27.1,0.1,46.62,0.7,2.8
27.2,0.1,46.68,0.7,2.81
27.3,0.1,46.73,0.7,2.82
27.4,0.1,46.79,0.7,2.82
27.5,0.1,46.85,0.7,2.83
27.6,0.1,46.91,0.7,2.83
27.7,0.1,46.97,0.7,2.84
27.8,0.1,47.03,0.7,2.84
27.9,0.1,47.09,0.7,2.85
28,0.1,47.15,0.7,2.86
28.1,0.1,47.22,0.7,2.86
28.2,0.1,47.28,0.7,2.87
23.1,0.2,44.4,0.7,2.52
23.2,0.2,44.45,0.7,2.53
23.3,0.2,44.5,0.7,2.54
23.4,0.2,44.55,0.7,2.54
23.5,0.2,44.6,0.7,2.55
23.6,0.2,44.65,0.7,2.56
23.7,0.2,44.7,0.7,2.56
23.8,0.2,44.75,0.7,2.57
23.9,0.2,44.8,0.7,2.58
24,0.2,44.85,0.7,2.59
24.1,0.2,44.9,0.7,2.59
24.2,0.2,44.96,0.7,2.6
24.3,0.2,45.01,0.7,2.61
24.4,0.2,45.06,0.7,2.61
24.5,0.2,45.11,0.7,2.62
24.6,0.2,45.17,0.7,2.63
24.7,0.2,45.22,0.7,2.63
24.8,0.2,45.27,0.7,2.64
24.9,0.2,45.33,0.7,2.65
25,0.2,45.38,0.7,2.65
25.1,0.2,45.43,0.69,2.66
25.2,0.2,45.49,0.69,2.67
25.3,0.2,45.54,0.69,2.67
25.4,0.2,45.6,0.69,2.68
25.5,0.2,45.65,0.69,2.69
25.6,0.2,45.71,0.69,2.69
25.7,0.2,45.76,0.69,2.7
25.8,0.2,45.82,0.69,2.71
25.9,0.2,45.87,0.69,2.71
26,0.2,45.93,0.69,2.72
26.1,0.2,45.99,0.69,2.73
26.2,0.2,46.04,0.69,2.73
26.3,0.2,46.1,0.69,2.74
26.4,0.2,46.16,0.69,2.75
26.5,0.2,46.21,0.69,2.75
26.6,0.2,46.27,0.69,2.76
26.7,0.2,46.33,0.69,2.76
26.8,0.2,46.39,0.69,2.77
26.9,0.2,46.44,0.69,2.78
27,0.2,46.5,0.69,2.78
27.1,0.2,46.56,0.7,2.79
27.2,0.2,46.62,0.7,2.79
27.3,0.2,46.68,0.7,2.8
27.4,0.2,46.74,0.7,2.81
27.5,0.2,46.8,0.7,2.81
27.6,0.2,46.86,0.7,2.82
27.7,0.2,46.92,0.7,2.82
27.8,0.2,46.98,0.7,2.83
27.9,0.2,47.04,0.7,2.84
28,0.2,47.1,0.7,2.84
28.1,0.2,47.16,0.7,2.85
28.2,0.2,47.22,0.7,2.85
23.1,0.3,44.35,0.7,2.51
23.2,0.3,44.4,0.7,2.51
23.3,0.3,44.45,0.7,2.52
23.4,0.3,44.5,0.7,2.53
23.5,0.3,44.55,0.7,2.54
23.6,0.3,44.6,0.7,2.54
23.7,0.3,44.65,0.7,2.55
23.8,0.3,44.7,0.7,2.56
23.9,0.3,44.75,0.7,2.56
24,0.3,44.8,0.7,2.57
24.1,0.3,44.85,0.7,2.58
24.2,0.3,44.91,0.7,2.59
24.3,0.3,44.96,0.7,2.59
24.4,0.3,45.01,0.7,2.6
24.5,0.3,45.06,0.7,2.61
24.6,0.3,45.12,0.7,2.61
24.7,0.3,45.17,0.7,2.62
24.8,0.3,45.22,0.7,2.63
24.9,0.3,45.27,0.7,2.63
25,0.3,45.33,0.69,2.64
25.1,0.3,45.38,0.69,2.65
25.2,0.3,45.44,0.69,2.65
25.3,0.3,45.49,0.69,2.66
25.4,0.3,45.54,0.69,2.67
25.5,0.3,45.6,0.69,2.67
25.6,0.3,45.65,0.69,2.68
25.7,0.3,45.71,0.69,2.69
25.8,0.3,45.77,0.69,2.69
25.9,0.3,45.82,0.69,2.7
26,0.3,45.88,0.69,2.71
26.1,0.3,45.93,0.69,2.71
26.2,0.3,45.99,0.69,2.72
26.3,0.3,46.05,0.69,2.73
26.4,0.3,46.1,0.69,2.73
26.5,0.3,46.16,0.69,2.74
26.6,0.3,46.22,0.69,2.74
26.7,0.3,46.27,0.69,2.75
26.8,0.3,46.33,0.69,2.76
26.9,0.3,46.39,0.69,2.76
27,0.3,46.45,0.69,2.77
27.1,0.3,46.5,0.69,2.77
27.2,0.3,46.56,0.7,2.78
27.3,0.3,46.62,0.7,2.79
27.4,0.3,46.68,0.7,2.79
27.5,0.3,46.74,0.7,2.8
27.6,0.3,46.8,0.7,2.8
27.7,0.3,46.86,0.7,2.81
27.8,0.3,46.92,0.7,2.82
27.9,0.3,46.98,0.7,2.82
28,0.3,47.04,0.7,2.83
28.1,0.3,47.1,0.7,2.83
28.2,0.3,47.16,0.7,2.84
23.1,0.4,44.3,0.7,2.49
23.2,0.4,44.35,0.7,2.5
23.3,0.4,44.4,0.7,2.51
23.4,0.4,44.45,0.7,2.52
23.5,0.4,44.5,0.7,2.52
23.6,0.4,44.55,0.7,2.53
23.7,0.4,44.6,0.7,2.54
23.8,0.4,44.65,0.7,2.54
23.9,0.4,44.7,0.7,2.55
24,0.4,44.75,0.7,2.56
24.1,0.4,44.8,0.7,2.56
24.2,0.4,44.86,0.7,2.57
24.3,0.4,44.91,0.7,2.58
24.4,0.4,44.96,0.7,2.59
24.5,0.4,45.01,0.7,2.59
24.6,0.4,45.06,0.7,2.6
24.7,0.4,45.12,0.7,2.61
24.8,0.4,45.17,0.69,2.61
24.9,0.4,45.22,0.69,2.62
25,0.4,45.28,0.69,2.63
25.1,0.4,45.33,0.69,2.63
