mass,ta,tb,ewl,rmr
23,0,39.87,0.23,0.55
23.1,0,39.87,0.23,0.55
23.2,0,39.87,0.23,0.55
23.3,0,39.87,0.21,0.55
23.4,0,39.87,0.21,0.55
23.5,0,39.87,0.21,0.55
23.6,0,39.87,0.21,0.55
23.7,0,39.87,0.21,0.55
23.8,0,39.87,0.21,0.55
23.9,0,39.87,0.21,0.55
24,0,40.74,0.21,0.55
24.1,0,40.74,0.21,0.55
24.2,0,40.74,0.21,0.55
24.3,0,40.74,0.21,0.55
24.4,0,40.74,0.21,0.55
24.5,0,40.74,0.21,0.55
24.6,0,41.11,0.22,0.56
24.7,0,41.11,0.22,0.56
24.8,0,41.11,0.22,0.56
24.9,0,41.11,0.22,0.56
25,0,41.11,0.23,0.56
25.1,0,41.11,0.23,0.56
25.2,0,41.11,0.23,0.56
25.3,0,41.7,0.28,0.6
25.4,0,41.7,0.28,0.6
25.5,0,41.7,0.28,0.6
25.6,0,41.7,0.28,0.6
25.7,0,41.7,0.28,0.6
25.8,0,41.7,0.28,0.6
25.9,0,41.7,0.28,0.6
26,0,41.7,0.28,0.6
26.1,0,41.41,0.28,0.69
26.2,0,41.41,0.28,0.69
26.3,0,41.41,0.29,0.69
26.4,0,41.41,0.29,0.69
26.5,0,41.41,0.29,0.69
26.6,0,41.41,0.29,0.69
26.7,0,41.41,0.29,0.69
26.8,0,41.41,0.29,0.69
26.9,0,41.17,0.3,0.69
27,0,41.17,0.31,0.69
27.1,0,41.17,0.31,0.69
27.2,0,41.17,0.31,0.69
27.3,0,41.17,0.31,0.69
27.4,0,41.17,0.31,0.69
27.5,0,41.17,0.33,0.69
27.6,0,41.17,0.33,0.69
27.7,0,40.97,0.36,0.69
27.8,0,40.97,0.36,0.69
27.9,0,40.97,0.36,0.69
28,0,40.97,0.36,0.69
28.1,0,40.97,0.36,0.69
28.2,0,40.97,0.36,0.69
28.3,0,40.97,0.36,0.69
28.4,0,40.97,0.36,0.69
28.5,0,40.97,0.36,0.69
28.6,0,40.97,0.36,0.69
28.7,0,40.97,0.36,0.69
28.8,0,40.97,0.36,0.69
28.9,0,40.97,0.36,0.69
29,0,40.97,0.36,0.69
29.1,0,40.97,0.36,0.69
29.2,0,40.97,0.36,0.69
29.3,0,40.97,0.36,0.69
29.4,0,40.97,0.37,0.75
29.5,0,40.97,0.37,0.75
29.6,0,40.97,0.37,0.75
29.7,0,40.97,0.37,0.75
29.8,0,40.97,0.37,0.75
29.9,0,40.97,0.37,0.75
30,0,40.97,0.37,0.75
30.1,0,40.97,0.37,0.75
30.2,0,40.97,0.37,0.75
30.3,0,40.97,0.37,0.75
30.4,0,40.97,0.37,0.75
23,0.1,39.87,0.23,0.55
23.1,0.1,39.87,0.23,0.55
23.2,0.1,39.87,0.23,0.55
23.3,0.1,39.87,0.21,0.55
23.4,0.1,39.87,0.21,0.55
23.5,0.1,39.87,0.21,0.55
23.6,0.1,39.87,0.21,0.55
23.7,0.1,39.87,0.21,0.55
23.8,0.1,39.87,0.21,0.55
23.9,0.1,39.87,0.21,0.55
24,0.1,40.74,0.21,0.55
24.1,0.1,40.74,0.21,0.55
24.2,0.1,40.74,0.21,0.55
24.3,0.1,40.74,0.21,0.55
24.4,0.1,40.74,0.21,0.55
24.5,0.1,40.74,0.21,0.55
24.6,0.1,41.11,0.22,0.56
24.7,0.1,41.11,0.22,0.56
