mass,ta,tb,ewl,rmr
27,0,39.62,0.17,0.51
27.1,0,39.62,0.17,0.51
27.2,0,39.62,0.17,0.51
27.3,0,39.62,0.17,0.51
27.4,0,39.62,0.17,0.51
27.5,0,39.62,0.17,0.51
27.6,0,39.62,0.17,0.51
27.7,0,39.62,0.17,0.51
27.8,0,39.62,0.17,0.51
27.9,0,39.62,0.17,0.51
28,0,39.62,0.17,0.51
28.1,0,39.62,0.17,0.51
28.2,0,39.62,0.17,0.51
28.3,0,39.62,0.17,0.51
28.4,0,39.62,0.17,0.51
28.5,0,39.62,0.17,0.51
28.6,0,39.62,0.17,0.51
28.7,0,39.62,0.17,0.51
28.8,0,39.62,0.17,0.51
28.9,0,39.62,0.17,0.51
29,0,39.62,0.17,0.51
29.1,0,39.62,0.17,0.51
29.2,0,39.62,0.17,0.51
29.3,0,39.62,0.17,0.51
29.4,0,39.62,0.17,0.51
29.5,0,39.62,0.17,0.51
29.6,0,39.62,0.17,0.51
29.7,0,39.62,0.17,0.51
29.8,0,39.62,0.17,0.51
29.9,0,39.62,0.17,0.51
30,0,39.62,0.17,0.51
30.1,0,39.62,0.17,0.51
30.2,0,39.62,0.17,0.51
30.3,0,39.62,0.17,0.51
30.4,0,39.62,0.17,0.51
30.5,0,39.62,0.17,0.51
30.6,0,39.62,0.17,0.51
30.7,0,39.62,0.17,0.51
30.8,0,39.62,0.17,0.51
30.9,0,39.62,0.17,0.51
31,0,39.62,0.17,0.51
31.1,0,39.62,0.17,0.51
31.2,0,39.62,0.17,0.51
31.3,0,39.62,0.17,0.51
31.4,0,39.62,0.17,0.51
31.5,0,39.62,0.17,0.51
31.6,0,39.62,0.17,0.51
31.7,0,39.62,0.17,0.51
27,0.1,39.62,0.17,0.51
27.1,0.1,39.62,0.17,0.51
27.2,0.1,39.62,0.17,0.51
27.3,0.1,39.62,0.17,0.51
27.4,0.1,39.62,0.17,0.51
27.5,0.1,39.62,0.17,0.51
27.6,0.1,39.62,0.17,0.51
27.7,0.1,39.62,0.17,0.51
27.8,0.1,39.62,0.17,0.51
27.9,0.1,39.62,0.17,0.51
28,0.1,39.62,0.17,0.51
28.1,0.1,39.62,0.17,0.51
28.2,0.1,39.62,0.17,0.51
28.3,0.1,39.62,0.17,0.51
28.4,0.1,39.62,0.17,0.51
28.5,0.1,39.62,0.17,0.51
28.6,0.1,39.62,0.17,0.51
28.7,0.1,39.62,0.17,0.51
28.8,0.1,39.62,0.17,0.51
28.9,0.1,39.62,0.17,0.51
29,0.1,39.62,0.17,0.51
29.1,0.1,39.62,0.17,0.51
29.2,0.1,39.62,0.17,0.51
29.3,0.1,39.62,0.17,0.51
29.4,0.1,39.62,0.17,0.51
29.5,0.1,39.62,0.17,0.51
29.6,0.1,39.62,0.17,0.51
29.7,0.1,39.62,0.17,0.51
29.8,0.1,39.62,0.17,0.51
29.9,0.1,39.62,0.17,0.51
30,0.1,39.62,0.17,0.51
30.1,0.1,39.62,0.17,0.51
30.2,0.1,39.62,0.17,0.51
30.3,0.1,39.62,0.17,0.51
30.4,0.1,39.62,0.17,0.51
30.5,0.1,39.62,0.17,0.51
30.6,0.1,39.62,0.17,0.51
30.7,0.1,39.62,0.17,0.51
30.8,0.1,39.62,0.17,0.51
30.9,0.1,39.62,0.17,0.51
31,0.1,39.62,0.17,0.51
31.1,0.1,39.62,0.17,0.51
31.2,0.1,39.62,0.17,0.51
31.3,0.1,39.62,0.17,0.51
31.4,0.1,39.62,0.17,0.51
31.5,0.1,39.62,0.17,0.51
31.6,0.1,39.62,0.17,0.51
31.7,0.1,39.62,0.17,0.51
27,0.2,39.62,0.17,0.51
27.1,0.2,39.62,0.17,0.51
27.2,0.2,39.62,0.17,0.51
27.3,0.2,39.62,0.17,0.51
27.4,0.2,39.62,0.17,0.51
27.5,0.2,39.62,0.17,0.51
27.6,0.2,39.62,0.17,0.51
27.7,0.2,39.62,0.17,0.51
27.8,0.2,39.62,0.17,0.51
27.9,0.2,39.62,0.17,0.51
28,0.2,39.62,0.17,0.51
28.1,0.2,39.62,0.17,0.51
28.2,0.2,39.62,0.17,0.51
28.3,0.2,39.62,0.17,0.51
28.4,0.2,39.62,0.17,0.51
28.5,0.2,39.62,0.17,0.51
28.6,0.2,39.62,0.17,0.51
28.7,0.2,39.62,0.17,0.51
28.8,0.2,39.62,0.17,0.51
28.9,0.2,39.62,0.17,0.51
29,0.2,39.62,0.17,0.51
29.1,0.2,39.62,0.17,0.51
29.2,0.2,39.62,0.17,0.51
29.3,0.2,39.62,0.17,0.51
29.4,0.2,39.62,0.17,0.51
29.5,0.2,39.62,0.17,0.51
29.6,0.2,39.62,0.17,0.51
29.7,0.2,39.62,0.17,0.51
29.8,0.2,39.62,0.17,0.51
29.9,0.2,39.62,0.17,0.51
30,0.2,39.62,0.17,0.51
30.1,0.2,39.62,0.17,0.51
30.2,0.2,39.62,0.17,0.51
30.3,0.2,39.62,0.17,0.51
30.4,0.2,39.62,0.17,0.51
30.5,0.2,39.62,0.17,0.51
30.6,0.2,39.62,0.17,0.51
30.7,0.2,39.62,0.17,0.51
30.8,0.2,39.62,0.17,0.51
30.9,0.2,39.62,0.17,0.51
31,0.2,39.62,0.17,0.51
