mass,ta,tb,ewl,rmr
27,0,39.97,0.23,0.47
27.1,0,39.97,0.23,0.47
27.2,0,39.97,0.23,0.47
27.3,0,39.97,0.23,0.47
27.4,0,39.97,0.23,0.47
27.5,0,40.38,0.25,0.55
27.6,0,40.38,0.25,0.55
27.7,0,40.38,0.25,0.55
27.8,0,40.38,0.25,0.55
27.9,0,40.38,0.25,0.55
28,0,40.38,0.25,0.55
28.1,0,40.38,0.25,0.55
28.2,0,40.38,0.25,0.55
28.3,0,40.38,0.25,0.55
28.4,0,40.38,0.25,0.55
28.5,0,40.38,0.28,0.55
28.6,0,40.38,0.28,0.55
28.7,0,40.38,0.28,0.55
28.8,0,40.38,0.28,0.55
28.9,0,40.38,0.28,0.55
29,0,40.38,0.28,0.67
29.1,0,40.29,0.28,0.59
29.2,0,40.29,0.28,0.59
29.3,0,40.29,0.28,0.59
29.4,0,40.29,0.28,0.59
29.5,0,40.37,0.26,0.52
29.6,0,40.37,0.26,0.52
29.7,0,40.37,0.26,0.52
29.8,0,40.37,0.26,0.52
29.9,0,40.37,0.26,0.52
30,0,40.37,0.26,0.52
30.1,0,40.37,0.37,0.52
30.2,0,40.37,0.37,0.52
30.3,0,40.37,0.37,0.52
30.4,0,40.37,0.37,0.52
30.5,0,40.37,0.37,0.52
30.6,0,40.37,0.37,0.52
30.7,0,40.37,0.25,0.33
30.8,0,40.37,0.25,0.33
30.9,0,40.37,0.25,0.33
31,0,40.37,0.25,0.33
31.1,0,40.37,0.25,0.33
31.2,0,40.37,0.25,0.33
31.3,0,40.68,0.31,0.51
31.4,0,40.68,0.31,0.51
31.5,0,40.68,0.31,0.51
31.6,0,40.68,0.31,0.51
31.7,0,40.68,0.3,0.51
27,0.1,39.97,0.23,0.47
27.1,0.1,39.97,0.23,0.47
27.2,0.1,39.97,0.23,0.47
27.3,0.1,39.97,0.23,0.47
27.4,0.1,39.97,0.23,0.47
27.5,0.1,40.38,0.25,0.55
27.6,0.1,40.38,0.25,0.55
27.7,0.1,40.38,0.25,0.55
27.8,0.1,40.38,0.25,0.55
27.9,0.1,40.38,0.25,0.55
28,0.1,40.38,0.25,0.55
28.1,0.1,40.38,0.25,0.55
28.2,0.1,40.38,0.25,0.55
28.3,0.1,40.38,0.25,0.55
28.4,0.1,40.38,0.25,0.55
28.5,0.1,40.38,0.28,0.55
28.6,0.1,40.38,0.28,0.55
28.7,0.1,40.38,0.28,0.55
28.8,0.1,40.38,0.28,0.55
28.9,0.1,40.38,0.28,0.55
29,0.1,40.38,0.28,0.67
29.1,0.1,40.29,0.28,0.59
29.2,0.1,40.29,0.28,0.59
29.3,0.1,40.29,0.28,0.59
29.4,0.1,40.29,0.28,0.59
29.5,0.1,40.37,0.26,0.52
29.6,0.1,40.37,0.26,0.52
29.7,0.1,40.37,0.26,0.52
