mass,ta,tb,ewl,rmr
27,0,50.18,6,2.43
27.1,0,50.21,6,2.44
27.2,0,50.24,6,2.44
27.3,0,50.26,6,2.45
27.4,0,50.27,6,2.45
27.5,0,50.28,6.01,2.45
27.6,0,50.28,6.01,2.46
27.7,0,50.29,6.01,2.46
27.8,0,50.31,6.01,2.46
27.9,0,50.33,6.01,2.47
28,0,50.36,6.01,2.47
28.1,0,50.34,6.01,2.47
28.2,0,50.32,6.01,2.47
28.3,0,50.32,6.01,2.48
28.4,0,50.32,6.01,2.48
28.5,0,50.33,6.02,2.48
28.6,0,50.34,6.02,2.48
28.7,0,50.36,6.02,2.48
28.8,0,50.41,6.02,2.49
28.9,0,50.47,6.02,2.49
29,0,50.49,6.02,2.54
29.1,0,50.44,6.02,2.49
29.2,0,50.38,6.02,2.5
29.3,0,50.37,6.03,2.49
29.4,0,50.38,6.03,2.49
29.5,0,50.4,6.03,2.49
29.6,0,50.42,6.03,2.49
29.7,0,50.43,6.03,2.49
29.8,0,50.44,6.03,2.5
29.9,0,50.45,6.04,2.5
30,0,50.45,6.04,2.5
30.1,0,50.46,6.04,2.5
30.2,0,50.45,6.04,2.5
30.3,0,50.44,6.04,2.5
30.4,0,50.43,6.04,2.49
30.5,0,50.46,6.05,2.5
30.6,0,50.49,6.05,2.5
30.7,0,50.51,6.05,2.49
30.8,0,50.52,6.05,2.42
30.9,0,50.54,6.05,2.49
31,0,50.57,6.05,2.49
31.1,0,50.59,6.06,2.49
31.2,0,50.61,6.06,2.49
31.3,0,50.62,6.06,2.49
31.4,0,50.64,6.06,2.49
31.5,0,50.66,6.06,2.49
31.6,0,50.67,6.07,2.5
31.7,0,50.67,6.07,2.51
27,0.1,50.11,5.96,2.41
27.1,0.1,50.13,5.96,2.43
27.2,0.1,50.17,5.96,2.43
27.3,0.1,50.19,5.97,2.44
27.4,0.1,50.2,5.97,2.44
27.5,0.1,50.2,5.97,2.44
27.6,0.1,50.21,5.97,2.45
27.7,0.1,50.22,5.97,2.45
27.8,0.1,50.23,5.97,2.45
27.9,0.1,50.26,5.97,2.45
28,0.1,50.28,5.97,2.46
28.1,0.1,50.27,5.97,2.46
28.2,0.1,50.25,5.97,2.46
28.3,0.1,50.25,5.98,2.46
28.4,0.1,50.25,5.98,2.47
28.5,0.1,50.25,5.98,2.47
28.6,0.1,50.27,5.98,2.47
28.7,0.1,50.29,5.98,2.47
28.8,0.1,50.34,5.98,2.47
28.9,0.1,50.4,5.98,2.48
29,0.1,50.42,5.98,2.53
29.1,0.1,50.37,5.99,2.48
29.2,0.1,50.31,5.99,2.49
29.3,0.1,50.3,5.99,2.48
29.4,0.1,50.31,5.99,2.48
29.5,0.1,50.33,5.99,2.48
29.6,0.1,50.35,5.99,2.48
29.7,0.1,50.36,5.99,2.47
29.8,0.1,50.37,6,2.48
29.9,0.1,50.37,6,2.48
30,0.1,50.38,6,2.48
30.1,0.1,50.38,6,2.48
30.2,0.1,50.38,6,2.48
30.3,0.1,50.37,6,2.48
