mass,ta,tb,ewl,rmr
19.6,0,47.89,-0.19,0.76
19.7,0,47.92,-0.2,0.76
19.8,0,47.95,-0.2,0.77
19.9,0,47.96,-0.21,0.77
20,0,47.96,-0.21,0.77
20.1,0,47.96,-0.22,0.77
20.2,0,47.96,-0.22,0.77
20.3,0,47.96,-0.23,0.77
20.4,0,47.95,-0.23,0.77
20.5,0,47.95,-0.23,0.77
20.6,0,47.95,-0.23,0.78
20.7,0,47.95,-0.22,0.78
20.8,0,47.95,-0.22,0.78
20.9,0,47.95,-0.21,0.78
21,0,47.95,-0.2,0.78
21.1,0,47.95,-0.19,0.78
21.2,0,47.96,-0.18,0.78
21.3,0,47.98,-0.16,0.78
21.4,0,48,-0.15,0.79
21.5,0,48.02,-0.14,0.79
21.6,0,48.03,-0.12,0.79
21.7,0,48.03,-0.1,0.79
21.8,0,48.04,-0.09,0.79
21.9,0,48.04,-0.07,0.79
22,0,48.05,-0.05,0.79
22.1,0,48.07,-0.04,0.79
22.2,0,48.08,-0.02,0.8
22.3,0,48.1,-0,0.8
22.4,0,48.11,0.02,0.8
22.5,0,48.13,0.03,0.8
22.6,0,48.15,0.05,0.8
22.7,0,48.17,0.06,0.8
22.8,0,48.19,0.08,0.8
22.9,0,48.21,0.09,0.8
23,0,48.23,0.1,0.81
23.1,0,48.19,0.11,0.81
23.2,0,48.12,0.12,0.81
23.3,0,48.05,0.13,0.81
23.4,0,47.99,0.14,0.81
23.5,0,47.92,0.14,0.81
23.6,0,47.85,0.15,0.81
23.7,0,47.76,0.15,0.81
23.8,0,47.67,0.15,0.82
23.9,0,47.58,0.14,0.82
24,0,47.49,0.14,0.82
24.1,0,47.4,0.14,0.82
24.2,0,47.31,0.13,0.82
24.3,0,47.22,0.12,0.82
24.4,0,47.13,0.11,0.82
24.5,0,47.04,0.1,0.83
19.6,0.1,47.85,-0.19,0.76
19.7,0.1,47.87,-0.19,0.76
19.8,0.1,47.9,-0.2,0.76
19.9,0.1,47.92,-0.21,0.77
20,0.1,47.92,-0.21,0.77
20.1,0.1,47.92,-0.22,0.77
20.2,0.1,47.92,-0.22,0.77
20.3,0.1,47.91,-0.23,0.77
20.4,0.1,47.91,-0.23,0.77
20.5,0.1,47.91,-0.23,0.77
20.6,0.1,47.91,-0.23,0.77
20.7,0.1,47.91,-0.22,0.78
20.8,0.1,47.91,-0.22,0.78
20.9,0.1,47.91,-0.21,0.78
21,0.1,47.91,-0.2,0.78
21.1,0.1,47.91,-0.19,0.78
21.2,0.1,47.92,-0.18,0.78
21.3,0.1,47.94,-0.16,0.78
21.4,0.1,47.97,-0.15,0.79
21.5,0.1,47.99,-0.13,0.79
21.6,0.1,48,-0.12,0.79
21.7,0.1,48,-0.1,0.79
21.8,0.1,48,-0.09,0.79
21.9,0.1,48.01,-0.07,0.79
22,0.1,48.02,-0.05,0.79
22.1,0.1,48.03,-0.03,0.79
22.2,0.1,48.05,-0.02,0.8
22.3,0.1,48.07,0,0.8
22.4,0.1,48.08,0.02,0.8
22.5,0.1,48.1,0.03,0.8
22.6,0.1,48.12,0.05,0.8
22.7,0.1,48.14,0.06,0.8
22.8,0.1,48.16,0.08,0.8
22.9,0.1,48.18,0.09,0.8
23,0.1,48.2,0.1,0.81
23.1,0.1,48.15,0.12,0.81
23.2,0.1,48.09,0.12,0.81
23.3,0.1,48.02,0.13,0.81
23.4,0.1,47.95,0.14,0.81
23.5,0.1,47.89,0.14,0.81
23.6,0.1,47.81,0.15,0.81
23.7,0.1,47.73,0.15,0.81
23.8,0.1,47.64,0.15,0.82
23.9,0.1,47.55,0.15,0.82
24,0.1,47.45,0.14,0.82
24.1,0.1,47.36,0.14,0.82
24.2,0.1,47.27,0.13,0.82
24.3,0.1,47.18,0.12,0.82
24.4,0.1,47.09,0.11,0.82
24.5,0.1,47,0.1,0.82
19.6,0.2,47.8,-0.19,0.76
19.7,0.2,47.83,-0.19,0.76
19.8,0.2,47.86,-0.2,0.76
19.9,0.2,47.87,-0.21,0.77
20,0.2,47.88,-0.21,0.77
20.1,0.2,47.88,-0.22,0.77
20.2,0.2,47.88,-0.22,0.77
20.3,0.2,47.87,-0.23,0.77
20.4,0.2,47.87,-0.23,0.77
20.5,0.2,47.87,-0.23,0.77
20.6,0.2,47.87,-0.22,0.77
20.7,0.2,47.87,-0.22,0.78
20.8,0.2,47.87,-0.21,0.78
20.9,0.2,47.87,-0.21,0.78
21,0.2,47.87,-0.2,0.78
21.1,0.2,47.88,-0.19,0.78
21.2,0.2,47.89,-0.17,0.78
21.3,0.2,47.91,-0.16,0.78
21.4,0.2,47.93,-0.15,0.78
21.5,0.2,47.95,-0.13,0.79
21.6,0.2,47.96,-0.12,0.79
21.7,0.2,47.97,-0.1,0.79
21.8,0.2,47.97,-0.08,0.79
21.9,0.2,47.97,-0.07,0.79
22,0.2,47.99,-0.05,0.79
22.1,0.2,48,-0.03,0.79
22.2,0.2,48.02,-0.01,0.79
22.3,0.2,48.03,0,0.8
22.4,0.2,48.05,0.02,0.8
22.5,0.2,48.07,0.04,0.8
22.6,0.2,48.08,0.05,0.8
22.7,0.2,48.11,0.07,0.8
22.8,0.2,48.13,0.08,0.8
22.9,0.2,48.15,0.09,0.8
23,0.2,48.17,0.11,0.81
23.1,0.2,48.12,0.12,0.81
23.2,0.2,48.05,0.13,0.81
23.3,0.2,47.98,0.13,0.81
23.4,0.2,47.92,0.14,0.81
23.5,0.2,47.85,0.15,0.81
23.6,0.2,47.78,0.15,0.81
23.7,0.2,47.69,0.15,0.81
23.8,0.2,47.6,0.15,0.82
23.9,0.2,47.51,0.15,0.82
24,0.2,47.42,0.14,0.82
24.1,0.2,47.33,0.14,0.82
24.2,0.2,47.24,0.13,0.82
24.3,0.2,47.15,0.12,0.82
24.4,0.2,47.06,0.11,0.82
24.5,0.2,46.96,0.1,0.82
19.6,0.3,47.76,-0.19,0.76
19.7,0.3,47.78,-0.19,0.76
19.8,0.3,47.81,-0.2,0.76
19.9,0.3,47.83,-0.21,0.76
20,0.3,47.84,-0.21,0.77
20.1,0.3,47.84,-0.22,0.77
20.2,0.3,47.83,-0.22,0.77
20.3,0.3,47.83,-0.23,0.77
20.4,0.3,47.83,-0.23,0.77
20.5,0.3,47.83,-0.23,0.77
20.6,0.3,47.83,-0.22,0.77
20.7,0.3,47.83,-0.22,0.78
20.8,0.3,47.83,-0.21,0.78
20.9,0.3,47.83,-0.21,0.78
21,0.3,47.84,-0.2,0.78
21.1,0.3,47.84,-0.19,0.78
21.2,0.3,47.85,-0.17,0.78
21.3,0.3,47.88,-0.16,0.78
21.4,0.3,47.9,-0.15,0.78
21.5,0.3,47.92,-0.13,0.79
21.6,0.3,47.93,-0.12,0.79
21.7,0.3,47.93,-0.1,0.79
21.8,0.3,47.94,-0.08,0.79
21.9,0.3,47.94,-0.07,0.79
22,0.3,47.96,-0.05,0.79
22.1,0.3,47.97,-0.03,0.79
22.2,0.3,47.99,-0.01,0.79
22.3,0.3,48,0,0.8
22.4,0.3,48.02,0.02,0.8
22.5,0.3,48.04,0.04,0.8
22.6,0.3,48.05,0.05,0.8
22.7,0.3,48.08,0.07,0.8
22.8,0.3,48.1,0.08,0.8
22.9,0.3,48.12,0.09,0.8
23,0.3,48.14,0.11,0.8
23.1,0.3,48.08,0.12,0.81
23.2,0.3,48.01,0.13,0.81
23.3,0.3,47.95,0.14,0.81
23.4,0.3,47.88,0.14,0.81
23.5,0.3,47.82,0.15,0.81
23.6,0.3,47.74,0.15,0.81
23.7,0.3,47.65,0.15,0.81
23.8,0.3,47.56,0.15,0.81
23.9,0.3,47.47,0.15,0.82
24,0.3,47.38,0.14,0.82
24.1,0.3,47.29,0.14,0.82
24.2,0.3,47.2,0.13,0.82
24.3,0.3,47.11,0.12,0.82
24.4,0.3,47.02,0.11,0.82
24.5,0.3,46.93,0.1,0.82
19.6,0.4,47.71,-0.19,0.76
19.7,0.4,47.74,-0.19,0.76
19.8,0.4,47.77,-0.2,0.76
19.9,0.4,47.79,-0.21,0.76
20,0.4,47.8,-0.21,0.77
20.1,0.4,47.79,-0.22,0.77
20.2,0.4,47.79,-0.22,0.77
20.3,0.4,47.79,-0.22,0.77
20.4,0.4,47.79,-0.23,0.77
20.5,0.4,47.79,-0.23,0.77
20.6,0.4,47.79,-0.22,0.77
20.7,0.4,47.79,-0.22,0.77
20.8,0.4,47.79,-0.21,0.78
20.9,0.4,47.79,-0.2,0.78
21,0.4,47.8,-0.19,0.78
21.1,0.4,47.81,-0.18,0.78
21.2,0.4,47.82,-0.17,0.78
21.3,0.4,47.84,-0.16,0.78
21.4,0.4,47.86,-0.14,0.78
21.5,0.4,47.89,-0.13,0.78
21.6,0.4,47.9,-0.11,0.79
21.7,0.4,47.9,-0.1,0.79
21.8,0.4,47.9,-0.08,0.79
