mass,ta,tb,ewl,rmr
19.6,0,81.15,-38.15,0.6
19.7,0,81.53,-38.62,0.6
19.8,0,81.91,-39.04,0.6
19.9,0,82.27,-39.43,0.6
20,0,82.61,-39.78,0.6
20.1,0,82.95,-40.1,0.6
20.2,0,83.27,-40.39,0.6
20.3,0,83.57,-40.65,0.6
20.4,0,83.86,-40.89,0.6
20.5,0,84.14,-41.1,0.6
20.6,0,84.4,-41.29,0.6
20.7,0,84.65,-41.46,0.6
20.8,0,84.88,-41.61,0.6
20.9,0,85.1,-41.75,0.6
21,0,85.3,-41.87,0.6
21.1,0,85.48,-41.98,0.6
21.2,0,85.65,-42.07,0.6
21.3,0,85.8,-42.16,0.6
21.4,0,85.94,-42.24,0.6
21.5,0,86.06,-42.31,0.6
21.6,0,86.16,-42.37,0.6
21.7,0,86.24,-42.42,0.6
21.8,0,86.31,-42.47,0.6
21.9,0,86.36,-42.52,0.6
22,0,86.39,-42.56,0.6
22.1,0,86.4,-42.59,0.6
22.2,0,86.39,-42.63,0.6
22.3,0,86.37,-42.66,0.6
22.4,0,86.32,-42.68,0.6
22.5,0,86.26,-42.71,0.6
22.6,0,86.18,-42.73,0.6
22.7,0,86.07,-42.75,0.6
22.8,0,85.95,-42.77,0.6
22.9,0,85.81,-42.78,0.6
23,0,85.64,-42.79,0.6
23.1,0,85.46,-42.79,0.6
23.2,0,85.25,-42.79,0.6
23.3,0,85.02,-42.78,0.6
23.4,0,84.77,-42.77,0.6
23.5,0,84.5,-42.75,0.6
23.6,0,84.21,-42.72,0.6
23.7,0,83.89,-42.68,0.6
23.8,0,83.56,-42.62,0.6
23.9,0,83.2,-42.56,0.6
24,0,82.81,-42.48,0.6
24.1,0,82.41,-42.39,0.6
24.2,0,81.98,-42.28,0.6
24.3,0,81.52,-42.15,0.6
24.4,0,81.04,-42,0.6
24.5,0,80.54,-41.82,0.6
19.6,0.1,80.83,-37.71,0.6
19.7,0.1,81.21,-38.17,0.6
19.8,0.1,81.58,-38.6,0.6
19.9,0.1,81.94,-38.98,0.6
20,0.1,82.29,-39.34,0.6
20.1,0.1,82.62,-39.65,0.6
20.2,0.1,82.94,-39.94,0.6
20.3,0.1,83.24,-40.2,0.6
20.4,0.1,83.53,-40.43,0.6
20.5,0.1,83.81,-40.64,0.6
20.6,0.1,84.07,-40.83,0.6
20.7,0.1,84.31,-41,0.6
20.8,0.1,84.55,-41.15,0.6
20.9,0.1,84.76,-41.29,0.6
21,0.1,84.96,-41.41,0.6
21.1,0.1,85.14,-41.51,0.6
21.2,0.1,85.31,-41.61,0.6
21.3,0.1,85.46,-41.69,0.6
21.4,0.1,85.6,-41.77,0.6
21.5,0.1,85.72,-41.84,0.6
21.6,0.1,85.82,-41.9,0.6
21.7,0.1,85.9,-41.95,0.6
21.8,0.1,85.97,-42,0.6
21.9,0.1,86.01,-42.05,0.6
22,0.1,86.04,-42.09,0.6
22.1,0.1,86.05,-42.12,0.6
22.2,0.1,86.05,-42.15,0.6
22.3,0.1,86.02,-42.18,0.6
22.4,0.1,85.98,-42.21,0.6
22.5,0.1,85.91,-42.24,0.6
22.6,0.1,85.83,-42.26,0.6
22.7,0.1,85.72,-42.28,0.6
22.8,0.1,85.6,-42.29,0.6
22.9,0.1,85.46,-42.31,0.6
23,0.1,85.29,-42.31,0.6
23.1,0.1,85.11,-42.32,0.6
23.2,0.1,84.9,-42.32,0.6
23.3,0.1,84.67,-42.31,0.6
23.4,0.1,84.42,-42.3,0.6
23.5,0.1,84.15,-42.27,0.6
23.6,0.1,83.86,-42.24,0.6
23.7,0.1,83.55,-42.2,0.6
23.8,0.1,83.21,-42.15,0.6
23.9,0.1,82.85,-42.09,0.6
24,0.1,82.47,-42.01,0.6
24.1,0.1,82.06,-41.92,0.6
24.2,0.1,81.63,-41.81,0.6
24.3,0.1,81.18,-41.68,0.6
24.4,0.1,80.7,-41.53,0.6
24.5,0.1,80.2,-41.36,0.6
19.6,0.2,80.51,-37.27,0.6
19.7,0.2,80.89,-37.74,0.6
19.8,0.2,81.26,-38.16,0.6
19.9,0.2,81.62,-38.54,0.6
20,0.2,81.96,-38.89,0.6
20.1,0.2,82.29,-39.21,0.6
20.2,0.2,82.61,-39.49,0.6
20.3,0.2,82.91,-39.75,0.6
20.4,0.2,83.2,-39.98,0.6
20.5,0.2,83.48,-40.19,0.6
20.6,0.2,83.74,-40.38,0.6
20.7,0.2,83.98,-40.54,0.6
20.8,0.2,84.21,-40.69,0.6
20.9,0.2,84.43,-40.83,0.6
21,0.2,84.62,-40.95,0.6
21.1,0.2,84.81,-41.05,0.6
21.2,0.2,84.97,-41.15,0.6
21.3,0.2,85.12,-41.23,0.6
21.4,0.2,85.26,-41.31,0.6
21.5,0.2,85.37,-41.37,0.6
21.6,0.2,85.47,-41.43,0.6
21.7,0.2,85.56,-41.49,0.6
21.8,0.2,85.62,-41.53,0.6
21.9,0.2,85.67,-41.58,0.6
22,0.2,85.7,-41.62,0.6
22.1,0.2,85.71,-41.65,0.6
22.2,0.2,85.7,-41.69,0.6
22.3,0.2,85.68,-41.72,0.6
22.4,0.2,85.63,-41.74,0.6
22.5,0.2,85.57,-41.77,0.6
