mass,ta,tb,ewl,rmr
23.6,0,41.78,0.12,1.03
23.7,0,41.53,0.13,1.03
23.8,0,41.27,0.13,1.04
23.9,0,41.02,0.13,1.05
24,0,40.77,0.14,1.05
24.1,0,40.55,0.14,1.06
24.2,0,40.34,0.14,1.06
24.3,0,40.17,0.15,1.07
24.4,0,40.03,0.15,1.07
24.5,0,39.92,0.15,1.08
24.6,0,39.85,0.16,1.08
24.7,0,39.82,0.16,1.09
24.8,0,39.81,0.17,1.09
24.9,0,39.84,0.17,1.1
25,0,39.89,0.17,1.11
25.1,0,39.96,0.18,1.11
25.2,0,40.04,0.18,1.12
25.3,0,40.12,0.19,1.12
25.4,0,40.2,0.19,1.13
25.5,0,40.26,0.19,1.13
25.6,0,40.29,0.2,1.14
25.7,0,40.28,0.2,1.14
25.8,0,40.22,0.2,1.15
25.9,0,40.12,0.2,1.16
26,0,39.98,0.2,1.16
26.1,0,39.84,0.2,1.17
26.2,0,39.71,0.19,1.17
26.3,0,39.62,0.19,1.18
26.4,0,39.55,0.18,1.18
26.5,0,39.51,0.17,1.19
26.6,0,39.46,0.15,1.19
26.7,0,39.4,0.14,1.2
26.8,0,39.29,0.13,1.2
26.9,0,39.13,0.11,1.21
27,0,38.93,0.1,1.22
27.1,0,38.71,0.08,1.22
27.2,0,38.52,0.07,1.23
27.3,0,38.36,0.06,1.23
27.4,0,38.27,0.06,1.24
27.5,0,38.24,0.07,1.24
27.6,0,38.26,0.08,1.25
27.7,0,38.32,0.1,1.25
27.8,0,38.4,0.12,1.26
27.9,0,38.49,0.15,1.27
28,0,38.58,0.19,1.27
28.1,0,38.68,0.23,1.28
28.2,0,38.76,0.28,1.28
28.3,0,38.82,0.32,1.29
28.4,0,38.84,0.36,1.29
28.5,0,38.82,0.4,1.3
28.6,0,38.72,0.44,1.3
28.7,0,38.55,0.48,1.31
28.8,0,38.27,0.51,1.31
28.9,0,37.92,0.53,1.32
29,0,37.53,0.55,1.33
29.1,0,37.14,0.56,1.33
29.2,0,36.81,0.57,1.34
29.3,0,36.57,0.58,1.34
29.4,0,36.41,0.58,1.35
29.5,0,36.33,0.57,1.35
29.6,0,36.31,0.57,1.36
29.7,0,36.33,0.56,1.36
29.8,0,36.37,0.55,1.37
29.9,0,36.42,0.53,1.37
30,0,36.48,0.52,1.38
30.1,0,36.53,0.5,1.39
30.2,0,36.59,0.49,1.39
30.3,0,36.64,0.47,1.4
30.4,0,36.69,0.45,1.4
30.5,0,36.73,0.43,1.41
30.6,0,36.78,0.42,1.41
30.7,0,36.82,0.4,1.42
30.8,0,36.87,0.38,1.42
30.9,0,36.92,0.36,1.43
31,0,36.97,0.35,1.44
31.1,0,37.02,0.33,1.44
31.2,0,37.08,0.32,1.45
31.3,0,37.15,0.3,1.45
31.4,0,37.21,0.29,1.46
31.5,0,37.28,0.28,1.46
31.6,0,37.36,0.27,1.47
31.7,0,37.43,0.26,1.47
31.8,0,37.51,0.26,1.48
31.9,0,37.59,0.25,1.48
32,0,37.67,0.25,1.49
32.1,0,37.75,0.25,1.5
32.2,0,37.83,0.25,1.5
32.3,0,37.91,0.25,1.51
32.4,0,38,0.26,1.51
32.5,0,38.08,0.27,1.52
32.6,0,38.16,0.28,1.52
32.7,0,38.24,0.29,1.53
32.8,0,38.32,0.3,1.53
32.9,0,38.39,0.32,1.54
33,0,38.47,0.34,1.54
33.1,0,38.54,0.36,1.55
33.2,0,38.62,0.38,1.56
33.3,0,38.69,0.4,1.56
33.4,0,38.76,0.42,1.57
33.5,0,38.83,0.45,1.57
33.6,0,38.9,0.47,1.58
23.6,0.1,41.79,0.12,1.03
23.7,0.1,41.54,0.13,1.03
23.8,0.1,41.29,0.13,1.04
23.9,0.1,41.03,0.13,1.04
24,0.1,40.78,0.14,1.05
24.1,0.1,40.55,0.14,1.05
24.2,0.1,40.35,0.14,1.06
24.3,0.1,40.17,0.15,1.07
24.4,0.1,40.03,0.15,1.07
24.5,0.1,39.92,0.15,1.08
24.6,0.1,39.85,0.16,1.08
24.7,0.1,39.82,0.16,1.09
24.8,0.1,39.81,0.17,1.09
24.9,0.1,39.84,0.17,1.1
25,0.1,39.89,0.17,1.1
25.1,0.1,39.95,0.18,1.11
25.2,0.1,40.03,0.18,1.11
25.3,0.1,40.12,0.19,1.12
25.4,0.1,40.2,0.19,1.13
25.5,0.1,40.26,0.19,1.13
25.6,0.1,40.29,0.2,1.14
25.7,0.1,40.28,0.2,1.14
25.8,0.1,40.22,0.2,1.15
25.9,0.1,40.12,0.2,1.15
26,0.1,39.99,0.2,1.16
26.1,0.1,39.85,0.2,1.16
26.2,0.1,39.72,0.19,1.17
26.3,0.1,39.62,0.19,1.18
26.4,0.1,39.56,0.18,1.18
26.5,0.1,39.51,0.17,1.19
26.6,0.1,39.47,0.15,1.19
26.7,0.1,39.4,0.14,1.2
26.8,0.1,39.3,0.13,1.2
26.9,0.1,39.14,0.11,1.21
27,0.1,38.94,0.1,1.21
27.1,0.1,38.72,0.08,1.22
27.2,0.1,38.52,0.07,1.22
27.3,0.1,38.37,0.06,1.23
27.4,0.1,38.28,0.06,1.24
27.5,0.1,38.25,0.07,1.24
27.6,0.1,38.26,0.08,1.25
27.7,0.1,38.32,0.1,1.25
27.8,0.1,38.4,0.12,1.26
27.9,0.1,38.49,0.15,1.26
28,0.1,38.58,0.19,1.27
28.1,0.1,38.67,0.23,1.27
28.2,0.1,38.76,0.28,1.28
28.3,0.1,38.82,0.32,1.28
28.4,0.1,38.84,0.36,1.29
