mass,ta,tb,ewl,rmr
23.6,0,42.5,0.18,0.5
23.7,0,42.5,0.18,0.5
23.8,0,42.5,0.18,0.5
23.9,0,42.5,0.18,0.5
24,0,42.5,0.18,0.5
24.1,0,42.5,0.18,0.5
24.2,0,42.5,0.18,0.5
24.3,0,42.5,0.18,0.5
24.4,0,42.5,0.18,0.5
24.5,0,42.5,0.18,0.5
24.6,0,42.5,0.18,0.5
24.7,0,42.5,0.18,0.5
24.8,0,40.75,0.15,0.52
24.9,0,40.75,0.15,0.52
25,0,40.75,0.15,0.52
25.1,0,40.75,0.15,0.52
25.2,0,40.75,0.15,0.52
25.3,0,40.75,0.15,0.52
25.4,0,40.75,0.15,0.52
25.5,0,40.75,0.15,0.52
25.6,0,40.75,0.15,0.52
25.7,0,40.75,0.15,0.52
25.8,0,40.75,0.15,0.52
25.9,0,40.75,0.15,0.52
26,0,40.75,0.15,0.52
26.1,0,40.75,0.15,0.52
26.2,0,40.75,0.15,0.52
26.3,0,40.75,0.15,0.52
26.4,0,40.75,0.15,0.52
26.5,0,40.75,0.15,0.52
26.6,0,41.54,0.28,1.02
26.7,0,41.54,0.28,1.02
26.8,0,41.54,0.28,1.02
26.9,0,41.54,0.28,1.02
27,0,41.54,0.28,1.02
27.1,0,41.54,0.28,1.02
27.2,0,41.54,0.28,1.02
27.3,0,41.54,0.28,1.02
27.4,0,41.54,0.28,1.02
27.5,0,41.54,0.28,1.02
27.6,0,41.54,0.28,1.02
27.7,0,41.54,0.28,1.02
27.8,0,41.54,0.28,1.02
27.9,0,41.54,0.28,1.02
28,0,41.54,0.28,1.01
28.1,0,41.54,0.28,1.01
28.2,0,41.54,0.28,1.01
28.3,0,41.54,0.28,1.01
28.4,0,41.4,0.52,0.94
28.5,0,41.4,0.52,0.94
28.6,0,41.4,0.52,0.94
28.7,0,41.4,0.52,0.94
28.8,0,41.4,0.52,0.94
28.9,0,41.4,0.52,0.94
29,0,41.4,0.52,0.94
29.1,0,41.4,0.52,0.94
29.2,0,42.17,0.38,0.94
29.3,0,42.17,0.38,0.94
29.4,0,42.17,0.38,0.94
29.5,0,42.17,0.38,0.94
29.6,0,41.91,0.38,0.94
29.7,0,41.91,0.38,0.94
29.8,0,41.91,0.38,0.94
29.9,0,41.91,0.38,0.94
30,0,41.91,0.38,0.94
30.1,0,41.91,0.38,0.94
30.2,0,41.91,0.38,0.94
30.3,0,41.3,0.38,0.94
30.4,0,41.3,0.38,0.94
30.5,0,41.3,0.38,0.94
30.6,0,41.3,0.38,0.94
30.7,0,41.3,0.38,0.94
30.8,0,41.3,0.38,0.94
30.9,0,41.3,0.38,0.94
31,0,41.3,0.38,0.94
31.1,0,41.3,0.38,0.94
31.2,0,41.3,0.38,0.94
31.3,0,41.49,0.39,0.94
31.4,0,41.49,0.39,0.94
