mass,ta,tb,ewl,rmr
41.4,0,-479.57,3.06,1.53
41.5,0,-477.42,3.07,1.54
41.6,0,-475.25,3.08,1.55
41.7,0,-473.06,3.1,1.55
41.8,0,-470.86,3.11,1.56
41.9,0,-468.64,3.12,1.57
42,0,-466.4,3.14,1.58
42.1,0,-464.14,3.15,1.58
42.2,0,-461.86,3.16,1.59
42.3,0,-459.57,3.18,1.6
42.4,0,-457.26,3.19,1.61
42.5,0,-454.93,3.2,1.61
42.6,0,-452.58,3.22,1.62
42.7,0,-450.22,3.23,1.63
42.8,0,-447.83,3.24,1.64
42.9,0,-445.43,3.26,1.65
43,0,-443.01,3.27,1.65
43.1,0,-440.57,3.29,1.66
43.2,0,-438.12,3.3,1.67
43.3,0,-435.64,3.31,1.68
43.4,0,-433.15,3.33,1.68
43.5,0,-430.64,3.34,1.69
43.6,0,-428.11,3.35,1.7
43.7,0,-425.56,3.37,1.71
43.8,0,-423,3.38,1.71
43.9,0,-420.41,3.4,1.72
44,0,-417.81,3.41,1.73
44.1,0,-415.19,3.42,1.74
44.2,0,-412.55,3.44,1.75
44.3,0,-409.89,3.45,1.75
44.4,0,-407.21,3.46,1.76
44.5,0,-404.52,3.48,1.77
44.6,0,-401.8,3.49,1.78
44.7,0,-399.07,3.51,1.79
44.8,0,-396.32,3.52,1.79
44.9,0,-393.54,3.54,1.8
45,0,-390.75,3.55,1.81
45.1,0,-387.95,3.56,1.82
45.2,0,-385.12,3.58,1.83
45.3,0,-382.27,3.59,1.83
45.4,0,-379.4,3.61,1.84
45.5,0,-376.52,3.62,1.85
45.6,0,-373.61,3.64,1.86
45.7,0,-370.69,3.65,1.87
45.8,0,-367.75,3.67,1.88
45.9,0,-364.78,3.68,1.88
46,0,-361.8,3.69,1.89
46.1,0,-358.8,3.71,1.9
46.2,0,-355.78,3.72,1.91
46.3,0,-352.74,3.74,1.92
46.4,0,-349.68,3.75,1.93
46.5,0,-346.6,3.77,1.93
46.6,0,-343.5,3.78,1.94
46.7,0,-340.38,3.8,1.95
46.8,0,-337.25,3.81,1.96
46.9,0,-334.09,3.83,1.97
47,0,-330.91,3.84,1.98
47.1,0,-327.71,3.86,1.99
47.2,0,-324.5,3.87,1.99
47.3,0,-321.26,3.89,2
47.4,0,-318,3.9,2.01
47.5,0,-314.73,3.92,2.02
47.6,0,-311.43,3.93,2.03
47.7,0,-308.11,3.95,2.04
47.8,0,-304.77,3.96,2.05
47.9,0,-301.42,3.98,2.05
48,0,-298.04,3.99,2.06
48.1,0,-294.64,4.01,2.07
48.2,0,-291.22,4.02,2.08
48.3,0,-287.79,4.04,2.09
48.4,0,-284.33,4.06,2.1
48.5,0,-280.85,4.07,2.11
48.6,0,-277.35,4.09,2.12
48.7,0,-273.83,4.1,2.12
48.8,0,-270.29,4.12,2.13
48.9,0,-266.73,4.13,2.14
49,0,-263.15,4.15,2.15
49.1,0,-259.55,4.16,2.16
49.2,0,-255.92,4.18,2.17
49.3,0,-252.28,4.2,2.18
