mass,ta,tb,ewl,rmr
23.2,0,39.77,0.29,0.91
23.3,0,39.77,0.29,0.92
23.4,0,39.77,0.28,0.93
23.5,0,39.77,0.28,0.93
23.6,0,39.77,0.27,0.94
23.7,0,39.77,0.27,0.94
23.8,0,39.77,0.27,0.95
23.9,0,39.77,0.26,0.95
24,0,39.77,0.26,0.96
24.1,0,39.77,0.25,0.96
24.2,0,39.77,0.25,0.97
24.3,0,39.77,0.25,0.97
24.4,0,39.77,0.24,0.98
24.5,0,39.77,0.24,0.98
24.6,0,39.77,0.23,0.99
24.7,0,39.77,0.23,0.99
24.8,0,39.77,0.23,1
24.9,0,39.77,0.22,1
25,0,39.77,0.22,1.01
25.1,0,39.77,0.22,1.01
25.2,0,39.77,0.21,1.02
25.3,0,39.77,0.21,1.02
25.4,0,39.77,0.2,1.03
25.5,0,39.77,0.2,1.03
25.6,0,39.77,0.2,1.04
25.7,0,39.77,0.19,1.04
25.8,0,39.77,0.19,1.05
25.9,0,39.77,0.19,1.06
26,0,39.77,0.18,1.06
26.1,0,39.77,0.18,1.07
26.2,0,39.77,0.18,1.07
26.3,0,39.77,0.17,1.08
26.4,0,39.77,0.17,1.08
26.5,0,39.77,0.17,1.09
26.6,0,39.77,0.16,1.09
26.7,0,39.77,0.16,1.1
26.8,0,39.77,0.16,1.1
26.9,0,39.77,0.15,1.11
27,0,39.77,0.15,1.11
27.1,0,39.77,0.15,1.12
27.2,0,39.77,0.14,1.12
27.3,0,39.77,0.14,1.13
27.4,0,39.77,0.14,1.13
27.5,0,39.77,0.13,1.14
27.6,0,39.77,0.13,1.14
27.7,0,39.77,0.13,1.15
27.8,0,39.77,0.12,1.15
27.9,0,39.77,0.12,1.16
28,0,39.77,0.12,1.16
28.1,0,39.77,0.12,1.17
28.2,0,39.77,0.11,1.17
28.3,0,39.77,0.11,1.18
28.4,0,39.77,0.11,1.19
28.5,0,39.77,0.1,1.19
28.6,0,39.77,0.1,1.2
28.7,0,39.77,0.1,1.2
28.8,0,39.77,0.09,1.21
28.9,0,39.77,0.09,1.21
29,0,39.77,0.09,1.22
29.1,0,39.77,0.09,1.22
29.2,0,39.77,0.08,1.23
29.3,0,39.77,0.08,1.23
29.4,0,39.77,0.08,1.24
29.5,0,39.77,0.08,1.24
29.6,0,39.77,0.07,1.25
29.7,0,39.77,0.07,1.25
29.8,0,39.77,0.07,1.26
29.9,0,39.77,0.07,1.26
30,0,39.77,0.07,1.27
30.1,0,39.77,0.06,1.27
30.2,0,39.77,0.06,1.28
30.3,0,39.77,0.06,1.28
30.4,0,39.77,0.06,1.29
30.5,0,39.77,0.06,1.29
30.6,0,39.77,0.06,1.3
30.7,0,39.77,0.05,1.3
30.8,0,39.77,0.05,1.31
30.9,0,39.77,0.05,1.31
31,0,39.77,0.05,1.32
31.1,0,39.77,0.05,1.33
31.2,0,39.77,0.05,1.33
31.3,0,39.77,0.04,1.34
31.4,0,39.77,0.04,1.34
31.5,0,39.77,0.04,1.35
31.6,0,39.77,0.04,1.35
31.7,0,39.77,0.04,1.36
31.8,0,39.77,0.04,1.36
31.9,0,39.77,0.04,1.37
32,0,39.77,0.04,1.37
32.1,0,39.77,0.03,1.38
32.2,0,39.77,0.03,1.38
32.3,0,39.77,0.03,1.39
32.4,0,39.77,0.03,1.39
32.5,0,39.77,0.03,1.4
32.6,0,39.77,0.03,1.4
32.7,0,39.77,0.03,1.41
32.8,0,39.77,0.03,1.41
32.9,0,39.77,0.03,1.42
33,0,39.77,0.03,1.42
33.1,0,39.77,0.02,1.43
33.2,0,39.77,0.02,1.43
33.3,0,39.77,0.02,1.44
33.4,0,39.77,0.02,1.44
33.5,0,39.77,0.02,1.45
33.6,0,39.77,0.02,1.46
33.7,0,39.77,0.01,1.46
33.8,0,39.77,0.01,1.47
33.9,0,39.77,0.01,1.47
34,0,39.77,0.01,1.48
34.1,0,39.77,0.01,1.48
34.2,0,39.77,0.01,1.49
34.3,0,39.77,0,1.49
34.4,0,39.77,0,1.5
34.5,0,39.77,0,1.5
34.6,0,39.77,0,1.51
23.2,0.1,39.77,0.27,0.91
23.3,0.1,39.77,0.27,0.92
23.4,0.1,39.77,0.26,0.92
23.5,0.1,39.77,0.26,0.93
23.6,0.1,39.77,0.25,0.93
23.7,0.1,39.77,0.25,0.94
23.8,0.1,39.77,0.25,0.94
23.9,0.1,39.77,0.24,0.95
24,0.1,39.77,0.24,0.95
24.1,0.1,39.77,0.23,0.96
24.2,0.1,39.77,0.23,0.96
24.3,0.1,39.77,0.23,0.97
24.4,0.1,39.77,0.22,0.97
24.5,0.1,39.77,0.22,0.98
24.6,0.1,39.77,0.21,0.98
24.7,0.1,39.77,0.21,0.99
24.8,0.1,39.77,0.21,0.99
24.9,0.1,39.77,0.2,1
25,0.1,39.77,0.2,1
25.1,0.1,39.77,0.2,1.01
25.2,0.1,39.77,0.19,1.02
25.3,0.1,39.77,0.19,1.02
25.4,0.1,39.77,0.18,1.03
25.5,0.1,39.77,0.18,1.03
25.6,0.1,39.77,0.18,1.04
25.7,0.1,39.77,0.17,1.04
25.8,0.1,39.77,0.17,1.05
25.9,0.1,39.77,0.17,1.05
26,0.1,39.77,0.16,1.06
26.1,0.1,39.77,0.16,1.06
26.2,0.1,39.77,0.16,1.07
26.3,0.1,39.77,0.16,1.07
26.4,0.1,39.77,0.15,1.08
26.5,0.1,39.77,0.15,1.08
26.6,0.1,39.77,0.15,1.09
26.7,0.1,39.77,0.14,1.09
26.8,0.1,39.77,0.14,1.1
26.9,0.1,39.77,0.14,1.1
27,0.1,39.77,0.13,1.11
27.1,0.1,39.77,0.13,1.11
27.2,0.1,39.77,0.13,1.12
27.3,0.1,39.77,0.12,1.12
27.4,0.1,39.77,0.12,1.13
27.5,0.1,39.77,0.12,1.13
27.6,0.1,39.77,0.11,1.14
27.7,0.1,39.77,0.11,1.15
27.8,0.1,39.77,0.11,1.15
27.9,0.1,39.77,0.1,1.16
28,0.1,39.77,0.1,1.16
28.1,0.1,39.77,0.1,1.17
28.2,0.1,39.77,0.09,1.17
28.3,0.1,39.77,0.09,1.18
28.4,0.1,39.77,0.09,1.18
28.5,0.1,39.77,0.08,1.19
28.6,0.1,39.77,0.08,1.19
28.7,0.1,39.77,0.08,1.2
28.8,0.1,39.77,0.08,1.2
28.9,0.1,39.77,0.07,1.21
29,0.1,39.77,0.07,1.21
29.1,0.1,39.77,0.07,1.22
29.2,0.1,39.77,0.06,1.22
29.3,0.1,39.77,0.06,1.23
29.4,0.1,39.77,0.06,1.23
29.5,0.1,39.77,0.05,1.24
29.6,0.1,39.77,0.05,1.24
29.7,0.1,39.77,0.05,1.25
29.8,0.1,39.77,0.05,1.25
29.9,0.1,39.77,0.05,1.26
30,0.1,39.77,0.04,1.26
30.1,0.1,39.77,0.04,1.27
30.2,0.1,39.77,0.04,1.28
30.3,0.1,39.77,0.04,1.28
30.4,0.1,39.77,0.04,1.29
30.5,0.1,39.77,0.04,1.29
30.6,0.1,39.77,0.03,1.3
30.7,0.1,39.77,0.03,1.3
30.8,0.1,39.77,0.03,1.31
30.9,0.1,39.77,0.03,1.31
31,0.1,39.77,0.03,1.32
31.1,0.1,39.77,0.03,1.32
31.2,0.1,39.77,0.03,1.33
31.3,0.1,39.77,0.02,1.33
31.4,0.1,39.77,0.02,1.34
31.5,0.1,39.77,0.02,1.34
31.6,0.1,39.77,0.02,1.35
31.7,0.1,39.77,0.02,1.35
31.8,0.1,39.77,0.02,1.36
31.9,0.1,39.77,0.02,1.36
32,0.1,39.77,0.02,1.37
32.1,0.1,39.77,0.02,1.37
32.2,0.1,39.77,0.01,1.38
32.3,0.1,39.77,0.01,1.38
32.4,0.1,39.77,0.01,1.39
32.5,0.1,39.77,0.01,1.39
32.6,0.1,39.77,0.01,1.4
32.7,0.1,39.77,0.01,1.41
32.8,0.1,39.77,0.01,1.41
32.9,0.1,39.77,0.01,1.42
33,0.1,39.77,0.01,1.42
33.1,0.1,39.77,0.01,1.43
33.2,0.1,39.77,0,1.43
33.3,0.1,39.77,0,1.44
33.4,0.1,39.77,0,1.44
33.5,0.1,39.77,0,1.45
33.6,0.1,39.77,-0,1.45
33.7,0.1,39.77,-0,1.46
33.8,0.1,39.77,-0,1.46
33.9,0.1,39.77,-0,1.47
34,0.1,39.77,-0,1.47
34.1,0.1,39.77,-0.01,1.48
34.2,0.1,39.77,-0.01,1.48
34.3,0.1,39.77,-0.01,1.49
34.4,0.1,39.77,-0.01,1.49
34.5,0.1,39.77,-0.01,1.5
34.6,0.1,39.77,-0.01,1.5
23.2,0.2,39.77,0.26,0.91
23.3,0.2,39.77,0.25,0.91
23.4,0.2,39.77,0.25,0.92
23.5,0.2,39.77,0.24,0.92
23.6,0.2,39.77,0.24,0.93
23.7,0.2,39.77,0.23,0.93
23.8,0.2,39.77,0.23,0.94
23.9,0.2,39.77,0.22,0.94
24,0.2,39.77,0.22,0.95
24.1,0.2,39.77,0.22,0.95
24.2,0.2,39.77,0.21,0.96
24.3,0.2,39.77,0.21,0.97
24.4,0.2,39.77,0.2,0.97
24.5,0.2,39.77,0.2,0.98
24.6,0.2,39.77,0.2,0.98
24.7,0.2,39.77,0.19,0.99
24.8,0.2,39.77,0.19,0.99
24.9,0.2,39.77,0.18,1
25,0.2,39.77,0.18,1
25.1,0.2,39.77,0.18,1.01
25.2,0.2,39.77,0.17,1.01
25.3,0.2,39.77,0.17,1.02
25.4,0.2,39.77,0.17,1.02
25.5,0.2,39.77,0.16,1.03
25.6,0.2,39.77,0.16,1.03
25.7,0.2,39.77,0.16,1.04
25.8,0.2,39.77,0.15,1.04
25.9,0.2,39.77,0.15,1.05
26,0.2,39.77,0.15,1.05
26.1,0.2,39.77,0.14,1.06
26.2,0.2,39.77,0.14,1.06
26.3,0.2,39.77,0.14,1.07
26.4,0.2,39.77,0.14,1.07
26.5,0.2,39.77,0.13,1.08
26.6,0.2,39.77,0.13,1.08
26.7,0.2,39.77,0.13,1.09
26.8,0.2,39.77,0.12,1.1
26.9,0.2,39.77,0.12,1.1
27,0.2,39.77,0.12,1.11
27.1,0.2,39.77,0.11,1.11
27.2,0.2,39.77,0.11,1.12
27.3,0.2,39.77,0.11,1.12
27.4,0.2,39.77,0.1,1.13
27.5,0.2,39.77,0.1,1.13
