mass,ta,tb,ewl,rmr
28.2,0,42.99,0.09,0.09
28.3,0,43.02,0.09,0.11
28.4,0,43.06,0.09,0.13
28.5,0,43.09,0.09,0.15
28.6,0,43.12,0.09,0.17
28.7,0,43.16,0.09,0.2
28.8,0,43.19,0.09,0.22
28.9,0,43.24,0.09,0.24
29,0,43.3,0.09,0.26
29.1,0,43.35,0.09,0.29
29.2,0,43.4,0.09,0.31
29.3,0,43.46,0.09,0.33
29.4,0,43.52,0.09,0.35
29.5,0,43.59,0.09,0.38
29.6,0,43.65,0.09,0.4
29.7,0,43.71,0.09,0.42
29.8,0,43.78,0.09,0.44
29.9,0,43.84,0.09,0.47
30,0,43.91,0.09,0.49
30.1,0,43.98,0.09,0.51
30.2,0,44.04,0.09,0.53
30.3,0,44.11,0.09,0.56
30.4,0,44.17,0.09,0.58
30.5,0,44.24,0.09,0.6
30.6,0,44.31,0.09,0.62
30.7,0,44.37,0.09,0.65
30.8,0,44.44,0.09,0.67
30.9,0,44.5,0.09,0.69
31,0,44.57,0.09,0.71
31.1,0,44.65,0.09,0.74
31.2,0,44.72,0.09,0.76
31.3,0,44.8,0.09,0.78
31.4,0,44.88,0.09,0.8
31.5,0,44.95,0.09,0.83
31.6,0,45.03,0.09,0.85
31.7,0,45.11,0.09,0.86
31.8,0,45.18,0.09,0.86
31.9,0,45.26,0.09,0.86
32,0,45.34,0.09,0.86
32.1,0,45.41,0.09,0.86
32.2,0,45.49,0.09,0.86
32.3,0,45.57,0.09,0.86
32.4,0,45.64,0.09,0.86
32.5,0,45.72,0.09,0.86
32.6,0,45.81,0.09,0.86
32.7,0,45.89,0.09,0.86
32.8,0,45.99,0.09,0.86
32.9,0,46.09,0.09,0.86
33,0,46.18,0.09,0.86
33.1,0,46.28,0.09,0.86
33.2,0,46.38,0.09,0.86
33.3,0,46.48,0.09,0.86
28.2,0.1,42.96,0.09,0.09
28.3,0.1,42.99,0.09,0.11
28.4,0.1,43.02,0.09,0.13
28.5,0.1,43.06,0.09,0.15
28.6,0.1,43.09,0.09,0.17
28.7,0.1,43.12,0.09,0.2
28.8,0.1,43.16,0.09,0.22
28.9,0.1,43.21,0.09,0.24
29,0.1,43.26,0.09,0.26
29.1,0.1,43.32,0.09,0.29
29.2,0.1,43.37,0.09,0.31
29.3,0.1,43.43,0.09,0.33
29.4,0.1,43.49,0.09,0.35
29.5,0.1,43.56,0.09,0.38
29.6,0.1,43.62,0.09,0.4
29.7,0.1,43.68,0.09,0.42
29.8,0.1,43.75,0.09,0.44
29.9,0.1,43.81,0.09,0.47
30,0.1,43.88,0.09,0.49
30.1,0.1,43.95,0.09,0.51
30.2,0.1,44.01,0.09,0.53
30.3,0.1,44.08,0.09,0.56
30.4,0.1,44.14,0.09,0.58
30.5,0.1,44.21,0.09,0.6
30.6,0.1,44.27,0.09,0.62
30.7,0.1,44.34,0.09,0.65
30.8,0.1,44.41,0.09,0.67
30.9,0.1,44.47,0.09,0.69
31,0.1,44.55,0.09,0.71
31.1,0.1,44.62,0.09,0.74
31.2,0.1,44.7,0.09,0.76
31.3,0.1,44.77,0.09,0.78
31.4,0.1,44.85,0.09,0.8
31.5,0.1,44.93,0.09,0.83
31.6,0.1,45,0.09,0.85
31.7,0.1,45.08,0.09,0.86
31.8,0.1,45.16,0.09,0.86
31.9,0.1,45.23,0.09,0.86
32,0.1,45.31,0.09,0.86
32.1,0.1,45.39,0.09,0.86
32.2,0.1,45.46,0.09,0.86
32.3,0.1,45.54,0.09,0.86
32.4,0.1,45.62,0.09,0.86
32.5,0.1,45.7,0.09,0.86
32.6,0.1,45.78,0.09,0.86
32.7,0.1,45.87,0.09,0.86
32.8,0.1,45.96,0.09,0.86
32.9,0.1,46.06,0.09,0.86
33,0.1,46.16,0.09,0.86
33.1,0.1,46.26,0.09,0.86
33.2,0.1,46.36,0.09,0.86
33.3,0.1,46.45,0.09,0.86
28.2,0.2,42.92,0.09,0.09
28.3,0.2,42.96,0.09,0.11
28.4,0.2,42.99,0.09,0.13
28.5,0.2,43.02,0.09,0.15
28.6,0.2,43.06,0.09,0.17
28.7,0.2,43.09,0.09,0.2
28.8,0.2,43.13,0.09,0.22
28.9,0.2,43.18,0.09,0.24
29,0.2,43.23,0.09,0.26
29.1,0.2,43.28,0.09,0.29
29.2,0.2,43.34,0.09,0.31
29.3,0.2,43.4,0.09,0.33
29.4,0.2,43.46,0.09,0.35
