mass,ta,tb,ewl,rmr
28.2,0,40.51,0.21,0.68
28.3,0,40.51,0.2,0.65
28.4,0,40.51,0.2,0.65
28.5,0,40.51,0.2,0.65
28.6,0,40.51,0.2,0.65
28.7,0,40.51,0.2,0.65
28.8,0,40.51,0.2,0.65
28.9,0,40.51,0.2,0.65
29,0,40.51,0.2,0.65
29.1,0,40.51,0.2,0.65
29.2,0,40.51,0.2,0.65
29.3,0,40.84,0.25,0.64
29.4,0,40.84,0.25,0.64
29.5,0,40.84,0.25,0.64
29.6,0,40.84,0.25,0.64
29.7,0,40.84,0.25,0.64
29.8,0,40.84,0.25,0.64
29.9,0,40.84,0.25,0.64
30,0,40.84,0.25,0.64
30.1,0,40.84,0.25,0.64
30.2,0,40.84,0.25,0.64
30.3,0,40.84,0.25,0.64
30.4,0,40.84,0.27,0.63
30.5,0,40.84,0.27,0.63
30.6,0,40.84,0.27,0.63
30.7,0,40.84,0.27,0.64
30.8,0,40.84,0.27,0.64
30.9,0,40.84,0.29,0.72
31,0,40.84,0.29,0.72
31.1,0,40.84,0.29,0.72
31.2,0,40.79,0.29,0.77
31.3,0,40.79,0.29,0.78
31.4,0,40.79,0.29,0.78
31.5,0,40.79,0.29,0.78
31.6,0,40.79,0.24,0.77
31.7,0,40.79,0.24,0.77
31.8,0,40.79,0.24,0.77
31.9,0,40.79,0.24,0.77
32,0,40.79,0.24,0.77
32.1,0,40.79,0.24,0.77
32.2,0,40.79,0.24,0.77
32.3,0,39.91,0.24,0.78
32.4,0,39.91,0.24,0.78
32.5,0,39.91,0.24,0.78
32.6,0,39.91,0.24,0.78
32.7,0,39.91,0.24,0.78
32.8,0,39.91,0.24,0.78
32.9,0,39.91,0.24,0.78
33,0,39.91,0.24,0.8
33.1,0,39.91,0.24,0.8
33.2,0,39.91,0.24,0.8
33.3,0,39.91,0.24,0.8
28.2,0.1,40.51,0.21,0.68
28.3,0.1,40.51,0.2,0.65
28.4,0.1,40.51,0.2,0.65
28.5,0.1,40.51,0.2,0.65
28.6,0.1,40.51,0.2,0.65
28.7,0.1,40.51,0.2,0.65
28.8,0.1,40.51,0.2,0.65
28.9,0.1,40.51,0.2,0.65
29,0.1,40.51,0.2,0.65
29.1,0.1,40.51,0.2,0.65
29.2,0.1,40.51,0.2,0.65
29.3,0.1,40.84,0.25,0.64
29.4,0.1,40.84,0.25,0.64
29.5,0.1,40.84,0.25,0.64
29.6,0.1,40.84,0.25,0.64
29.7,0.1,40.84,0.25,0.64
29.8,0.1,40.84,0.25,0.64
29.9,0.1,40.84,0.25,0.64
30,0.1,40.84,0.25,0.64
30.1,0.1,40.84,0.25,0.64
30.2,0.1,40.84,0.25,0.64
30.3,0.1,40.84,0.25,0.64
30.4,0.1,40.84,0.27,0.63
30.5,0.1,40.84,0.27,0.63
30.6,0.1,40.84,0.27,0.63
30.7,0.1,40.84,0.27,0.64
30.8,0.1,40.84,0.27,0.64
30.9,0.1,40.84,0.29,0.72
31,0.1,40.84,0.29,0.72
31.1,0.1,40.84,0.29,0.72
31.2,0.1,40.79,0.29,0.77
31.3,0.1,40.79,0.29,0.78
31.4,0.1,40.79,0.29,0.78
31.5,0.1,40.79,0.29,0.78
31.6,0.1,40.79,0.24,0.77
31.7,0.1,40.79,0.24,0.77
31.8,0.1,40.79,0.24,0.77
31.9,0.1,40.79,0.24,0.77
32,0.1,40.79,0.24,0.77
32.1,0.1,40.79,0.24,0.77
32.2,0.1,40.79,0.24,0.77
32.3,0.1,39.91,0.24,0.78
32.4,0.1,39.91,0.24,0.78
32.5,0.1,39.91,0.24,0.78
32.6,0.1,39.91,0.24,0.78
32.7,0.1,39.91,0.24,0.78
32.8,0.1,39.91,0.24,0.78
32.9,0.1,39.91,0.24,0.78
33,0.1,39.91,0.24,0.8
33.1,0.1,39.91,0.24,0.8
33.2,0.1,39.91,0.24,0.8
33.3,0.1,39.91,0.24,0.8
28.2,0.2,40.51,0.21,0.68
28.3,0.2,40.51,0.2,0.65
28.4,0.2,40.51,0.2,0.65
28.5,0.2,40.51,0.2,0.65
28.6,0.2,40.51,0.2,0.65
28.7,0.2,40.51,0.2,0.65
28.8,0.2,40.51,0.2,0.65
28.9,0.2,40.51,0.2,0.65
29,0.2,40.51,0.2,0.65
29.1,0.2,40.51,0.2,0.65
29.2,0.2,40.51,0.2,0.65
29.3,0.2,40.84,0.25,0.64
29.4,0.2,40.84,0.25,0.64
29.5,0.2,40.84,0.25,0.64
29.6,0.2,40.84,0.25,0.64
29.7,0.2,40.84,0.25,0.64
29.8,0.2,40.84,0.25,0.64
29.9,0.2,40.84,0.25,0.64
30,0.2,40.84,0.25,0.64
30.1,0.2,40.84,0.25,0.64
30.2,0.2,40.84,0.25,0.64
30.3,0.2,40.84,0.25,0.64
30.4,0.2,40.84,0.27,0.63
30.5,0.2,40.84,0.27,0.63
30.6,0.2,40.84,0.27,0.63
30.7,0.2,40.84,0.27,0.64
30.8,0.2,40.84,0.27,0.64
30.9,0.2,40.84,0.29,0.72
31,0.2,40.84,0.29,0.72
31.1,0.2,40.84,0.29,0.72
31.2,0.2,40.79,0.29,0.77
31.3,0.2,40.79,0.29,0.78
31.4,0.2,40.79,0.29,0.78
31.5,0.2,40.79,0.29,0.78
31.6,0.2,40.79,0.24,0.77
31.7,0.2,40.79,0.24,0.77
31.8,0.2,40.79,0.24,0.77
31.9,0.2,40.79,0.24,0.77
32,0.2,40.79,0.24,0.77
32.1,0.2,40.79,0.24,0.77
32.2,0.2,40.79,0.24,0.77
32.3,0.2,39.91,0.24,0.78
32.4,0.2,39.91,0.24,0.78
32.5,0.2,39.91,0.24,0.78
32.6,0.2,39.91,0.24,0.78
32.7,0.2,39.91,0.24,0.78
32.8,0.2,39.91,0.24,0.78
32.9,0.2,39.91,0.24,0.78
33,0.2,39.91,0.24,0.8
33.1,0.2,39.91,0.24,0.8
33.2,0.2,39.91,0.24,0.8
33.3,0.2,39.91,0.24,0.8
28.2,0.3,40.51,0.21,0.68
28.3,0.3,40.51,0.2,0.65
28.4,0.3,40.51,0.2,0.65
28.5,0.3,40.51,0.2,0.65
28.6,0.3,40.51,0.2,0.65
28.7,0.3,40.51,0.2,0.65
28.8,0.3,40.51,0.2,0.65
28.9,0.3,40.51,0.2,0.65
29,0.3,40.51,0.2,0.65
