mass,ta,tb,ewl,rmr
19.1,0,39.61,0.15,0.53
19.2,0,39.61,0.15,0.53
19.3,0,39.61,0.15,0.47
19.4,0,39.61,0.15,0.47
19.5,0,39.61,0.15,0.47
19.6,0,39.61,0.15,0.47
19.7,0,39.61,0.15,0.47
19.8,0,39.61,0.15,0.47
19.9,0,39.61,0.15,0.47
20,0,39.61,0.15,0.47
20.1,0,39.61,0.15,0.47
20.2,0,39.61,0.15,0.47
20.3,0,39.61,0.15,0.47
20.4,0,39.61,0.15,0.47
20.5,0,39.61,0.15,0.47
20.6,0,39.61,0.15,0.47
20.7,0,39.61,0.15,0.47
20.8,0,39.61,0.15,0.47
20.9,0,39.55,0.15,0.47
21,0,39.46,0.14,0.55
21.1,0,39.46,0.14,0.55
21.2,0,39.46,0.14,0.55
21.3,0,39.46,0.14,0.55
21.4,0,39.45,0.14,0.55
21.5,0,39.42,0.14,0.55
21.6,0,39.42,0.14,0.55
21.7,0,39.42,0.14,0.55
21.8,0,39.42,0.14,0.55
21.9,0,39.42,0.14,0.55
22,0,39.42,0.14,0.55
22.1,0,39.42,0.14,0.55
22.2,0,39.42,0.14,0.55
22.3,0,39.42,0.14,0.55
22.4,0,39.42,0.14,0.55
22.5,0,39.42,0.14,0.55
22.6,0,39.42,0.14,0.55
22.7,0,39.42,0.14,0.55
22.8,0,39.42,0.14,0.55
22.9,0,39.42,0.14,0.55
23,0,39.42,0.14,0.55
23.1,0,39.42,0.14,0.55
23.2,0,39.42,0.38,0.54
23.3,0,39.42,0.38,0.54
23.4,0,39.42,0.38,0.54
23.5,0,39.42,0.38,0.54
23.6,0,39.42,0.38,0.54
23.7,0,39.42,0.38,0.54
23.8,0,39.42,0.38,0.54
23.9,0,39.42,0.38,0.54
24,0,39.42,0.38,0.54
24.1,0,39.42,0.38,0.54
24.2,0,39.42,0.3,0.55
24.3,0,39.42,0.3,0.55
24.4,0,39.42,0.3,0.54
24.5,0,39.42,0.3,0.54
24.6,0,39.42,0.3,0.54
24.7,0,39.42,0.3,0.54
24.8,0,39.42,0.3,0.54
24.9,0,39.49,0.21,0.46
25,0,39.49,0.21,0.46
25.1,0,39.49,0.21,0.46
25.2,0,39.49,0.21,0.46
25.3,0,39.61,0.21,0.46
25.4,0,39.62,0.21,0.46
25.5,0,39.62,0.21,0.46
25.6,0,39.9,0.32,0.7
25.7,0,39.91,0.32,0.7
25.8,0,39.91,0.32,0.7
25.9,0,39.91,0.32,0.7
26,0,39.91,0.32,0.7
26.1,0,39.95,0.33,0.72
26.2,0,39.95,0.33,0.72
26.3,0,39.95,0.33,0.72
26.4,0,39.95,0.25,0.74
26.5,0,39.95,0.25,0.74
26.6,0,39.95,0.25,0.74
26.7,0,39.75,0.28,0.64
19.1,0.1,39.61,0.15,0.53
19.2,0.1,39.61,0.15,0.53
19.3,0.1,39.61,0.15,0.47
19.4,0.1,39.61,0.15,0.47
19.5,0.1,39.61,0.15,0.47
19.6,0.1,39.61,0.15,0.47
19.7,0.1,39.61,0.15,0.47
19.8,0.1,39.61,0.15,0.47
19.9,0.1,39.61,0.15,0.47
20,0.1,39.61,0.15,0.47
20.1,0.1,39.61,0.15,0.47
20.2,0.1,39.61,0.15,0.47
20.3,0.1,39.61,0.15,0.47
