mass,ta,tb,ewl,rmr
19.1,0,47.06,0.94,2.68
19.2,0,47.04,0.94,2.68
19.3,0,47.02,0.94,2.67
19.4,0,47,0.94,2.67
19.5,0,46.99,0.94,2.67
19.6,0,46.97,0.94,2.67
19.7,0,46.95,0.94,2.67
19.8,0,46.94,0.94,2.67
19.9,0,46.92,0.94,2.67
20,0,46.91,0.94,2.67
20.1,0,46.89,0.94,2.67
20.2,0,46.88,0.94,2.67
20.3,0,46.87,0.94,2.67
20.4,0,46.85,0.94,2.67
20.5,0,46.84,0.94,2.67
20.6,0,46.83,0.94,2.67
20.7,0,46.81,0.94,2.67
20.8,0,46.8,0.94,2.67
20.9,0,46.79,0.94,2.67
21,0,46.78,0.94,2.67
21.1,0,46.77,0.94,2.67
21.2,0,46.76,0.94,2.66
21.3,0,46.75,0.94,2.66
21.4,0,46.74,0.94,2.66
21.5,0,46.73,0.94,2.66
21.6,0,46.72,0.94,2.66
21.7,0,46.71,0.94,2.66
21.8,0,46.7,0.94,2.66
21.9,0,46.7,0.94,2.66
22,0,46.69,0.94,2.66
22.1,0,46.68,0.94,2.66
22.2,0,46.68,0.94,2.66
22.3,0,46.67,0.94,2.66
22.4,0,46.66,0.94,2.66
22.5,0,46.66,0.94,2.66
22.6,0,46.65,0.94,2.66
22.7,0,46.65,0.94,2.66
22.8,0,46.64,0.94,2.66
22.9,0,46.64,0.94,2.66
23,0,46.63,0.94,2.66
23.1,0,46.63,0.94,2.66
23.2,0,46.63,0.94,2.66
23.3,0,46.63,0.94,2.66
23.4,0,46.62,0.94,2.66
23.5,0,46.62,0.94,2.66
23.6,0,46.62,0.94,2.66
23.7,0,46.62,0.94,2.66
23.8,0,46.62,0.94,2.66
23.9,0,46.62,0.94,2.66
24,0,46.62,0.94,2.66
24.1,0,46.62,0.94,2.66
24.2,0,46.62,0.94,2.66
24.3,0,46.62,0.94,2.66
24.4,0,46.62,0.94,2.66
24.5,0,46.62,0.94,2.66
24.6,0,46.62,0.94,2.66
24.7,0,46.63,0.94,2.66
24.8,0,46.63,0.94,2.66
24.9,0,46.63,0.94,2.66
25,0,46.64,0.94,2.66
25.1,0,46.64,0.94,2.66
25.2,0,46.65,0.94,2.66
25.3,0,46.65,0.94,2.66
25.4,0,46.65,0.94,2.66
25.5,0,46.66,0.94,2.66
25.6,0,46.67,0.94,2.66
25.7,0,46.67,0.94,2.66
25.8,0,46.68,0.94,2.66
25.9,0,46.69,0.94,2.66
26,0,46.69,0.94,2.66
26.1,0,46.7,0.94,2.66
26.2,0,46.71,0.94,2.66
26.3,0,46.72,0.94,2.66
26.4,0,46.73,0.94,2.66
26.5,0,46.74,0.94,2.66
26.6,0,46.74,0.94,2.66
26.7,0,46.75,0.94,2.66
19.1,0.1,47,0.94,2.66
19.2,0.1,46.98,0.94,2.66
19.3,0.1,46.96,0.94,2.66
19.4,0.1,46.95,0.94,2.66
19.5,0.1,46.93,0.94,2.66
19.6,0.1,46.91,0.94,2.66
19.7,0.1,46.9,0.94,2.66
19.8,0.1,46.88,0.94,2.66
19.9,0.1,46.87,0.94,2.66
20,0.1,46.85,0.94,2.66
20.1,0.1,46.84,0.94,2.66
20.2,0.1,46.82,0.94,2.66
20.3,0.1,46.81,0.94,2.66
20.4,0.1,46.8,0.94,2.66
20.5,0.1,46.78,0.94,2.66
20.6,0.1,46.77,0.94,2.65
20.7,0.1,46.76,0.94,2.65
20.8,0.1,46.75,0.94,2.65
