mass,ta,tb,ewl,rmr
19.1,0,45.69,-0.91,1.9
19.2,0,45.7,-0.91,1.92
19.3,0,45.71,-0.92,1.93
19.4,0,45.73,-0.93,1.94
19.5,0,45.74,-0.94,1.96
19.6,0,45.75,-0.95,1.97
19.7,0,45.76,-0.96,1.99
19.8,0,45.77,-0.97,2
19.9,0,45.79,-0.98,2.02
20,0,45.8,-0.99,2.03
20.1,0,45.82,-0.99,2.05
20.2,0,45.83,-1,2.06
20.3,0,45.85,-1.01,2.08
20.4,0,45.86,-1.02,2.09
20.5,0,45.88,-1.03,2.11
20.6,0,45.89,-1.03,2.12
20.7,0,45.91,-1.04,2.14
20.8,0,45.93,-1.05,2.15
20.9,0,45.94,-1.06,2.17
21,0,45.96,-1.06,2.18
21.1,0,45.98,-1.07,2.2
21.2,0,46,-1.07,2.21
21.3,0,46.02,-1.08,2.23
21.4,0,46.04,-1.09,2.25
21.5,0,46.06,-1.09,2.26
21.6,0,46.08,-1.1,2.28
21.7,0,46.1,-1.1,2.29
21.8,0,46.12,-1.1,2.31
21.9,0,46.14,-1.11,2.33
22,0,46.17,-1.11,2.34
22.1,0,46.19,-1.11,2.36
22.2,0,46.21,-1.12,2.37
22.3,0,46.23,-1.12,2.39
22.4,0,46.26,-1.12,2.41
22.5,0,46.28,-1.12,2.42
22.6,0,46.31,-1.12,2.44
22.7,0,46.33,-1.12,2.46
22.8,0,46.36,-1.12,2.47
22.9,0,46.38,-1.12,2.49
23,0,46.41,-1.12,2.51
23.1,0,46.44,-1.12,2.52
23.2,0,46.47,-1.11,2.54
23.3,0,46.49,-1.11,2.56
23.4,0,46.52,-1.11,2.58
23.5,0,46.55,-1.11,2.59
23.6,0,46.58,-1.1,2.61
23.7,0,46.61,-1.1,2.63
23.8,0,46.64,-1.09,2.65
23.9,0,46.67,-1.09,2.66
24,0,46.7,-1.09,2.68
24.1,0,46.73,-1.08,2.7
24.2,0,46.76,-1.07,2.72
24.3,0,46.79,-1.07,2.73
24.4,0,46.83,-1.06,2.75
24.5,0,46.86,-1.06,2.77
24.6,0,46.89,-1.05,2.79
24.7,0,46.93,-1.04,2.81
24.8,0,46.96,-1.04,2.83
24.9,0,47,-1.03,2.84
25,0,47.03,-1.02,2.86
25.1,0,47.07,-1.02,2.88
25.2,0,47.1,-1.01,2.9
25.3,0,47.14,-1,2.92
25.4,0,47.18,-0.99,2.94
25.5,0,47.21,-0.99,2.96
25.6,0,47.25,-0.98,2.97
25.7,0,47.29,-0.97,2.99
25.8,0,47.33,-0.96,3.01
25.9,0,47.37,-0.96,3.03
26,0,47.4,-0.95,3.05
26.1,0,47.44,-0.94,3.07
26.2,0,47.48,-0.93,3.09
26.3,0,47.53,-0.93,3.11
26.4,0,47.57,-0.92,3.13
