mass,ta,tb,ewl,rmr
8.2,0,39.14,0.09,0.22
8.3,0,39.14,0.09,0.22
8.4,0,39.14,0.09,0.22
8.5,0,39.14,0.09,0.22
8.6,0,39.14,0.09,0.22
8.7,0,39.17,0.09,0.22
8.8,0,39.17,0.09,0.22
8.9,0,39.17,0.1,0.22
9,0,39.48,0.1,0.24
9.1,0,39.51,0.1,0.24
9.2,0,39.51,0.1,0.24
9.3,0,39.51,0.1,0.24
9.4,0,39.52,0.1,0.33
9.5,0,39.52,0.1,0.33
9.6,0,39.52,0.1,0.33
9.7,0,39.52,0.1,0.33
9.8,0,39.52,0.1,0.33
9.9,0,39.52,0.1,0.32
10,0,39.52,0.1,0.32
10.1,0,39.52,0.1,0.32
10.2,0,39.52,0.1,0.32
10.3,0,39.52,0.1,0.32
10.4,0,39.52,0.1,0.32
10.5,0,39.52,0.09,0.31
10.6,0,39.52,0.09,0.31
10.7,0,39.52,0.09,0.31
10.8,0,39.52,0.09,0.31
8.2,0.1,39.14,0.09,0.22
8.3,0.1,39.14,0.09,0.22
8.4,0.1,39.14,0.09,0.22
8.5,0.1,39.14,0.09,0.22
8.6,0.1,39.14,0.09,0.22
8.7,0.1,39.17,0.09,0.22
8.8,0.1,39.17,0.09,0.22
8.9,0.1,39.17,0.1,0.22
9,0.1,39.48,0.1,0.24
9.1,0.1,39.51,0.1,0.24
9.2,0.1,39.51,0.1,0.24
9.3,0.1,39.51,0.1,0.24
9.4,0.1,39.52,0.1,0.33
9.5,0.1,39.52,0.1,0.33
9.6,0.1,39.52,0.1,0.33
9.7,0.1,39.52,0.1,0.33
9.8,0.1,39.52,0.1,0.33
9.9,0.1,39.52,0.1,0.32
10,0.1,39.52,0.1,0.32
10.1,0.1,39.52,0.1,0.32
10.2,0.1,39.52,0.1,0.32
10.3,0.1,39.52,0.1,0.32
10.4,0.1,39.52,0.1,0.32
10.5,0.1,39.52,0.09,0.31
10.6,0.1,39.52,0.09,0.31
10.7,0.1,39.52,0.09,0.31
10.8,0.1,39.52,0.09,0.31
8.2,0.2,39.14,0.09,0.22
8.3,0.2,39.14,0.09,0.22
8.4,0.2,39.14,0.09,0.22
8.5,0.2,39.14,0.09,0.22
8.6,0.2,39.14,0.09,0.22
8.7,0.2,39.17,0.09,0.22
8.8,0.2,39.17,0.09,0.22
8.9,0.2,39.17,0.1,0.22
9,0.2,39.48,0.1,0.24
9.1,0.2,39.51,0.1,0.24
9.2,0.2,39.51,0.1,0.24
9.3,0.2,39.51,0.1,0.24
9.4,0.2,39.52,0.1,0.33
9.5,0.2,39.52,0.1,0.33
9.6,0.2,39.52,0.1,0.33
9.7,0.2,39.52,0.1,0.33
9.8,0.2,39.52,0.1,0.33
9.9,0.2,39.52,0.1,0.32
10,0.2,39.52,0.1,0.32
10.1,0.2,39.52,0.1,0.32
10.2,0.2,39.52,0.1,0.32
10.3,0.2,39.52,0.1,0.32
10.4,0.2,39.52,0.1,0.32
10.5,0.2,39.52,0.09,0.31
10.6,0.2,39.52,0.09,0.31
10.7,0.2,39.52,0.09,0.31
10.8,0.2,39.52,0.09,0.31
8.2,0.3,39.14,0.09,0.22
8.3,0.3,39.14,0.09,0.22
8.4,0.3,39.14,0.09,0.22
8.5,0.3,39.14,0.09,0.22
8.6,0.3,39.14,0.09,0.22
8.7,0.3,39.17,0.09,0.22
8.8,0.3,39.17,0.09,0.22
8.9,0.3,39.17,0.1,0.22
9,0.3,39.48,0.1,0.24
9.1,0.3,39.51,0.1,0.24
9.2,0.3,39.51,0.1,0.24
9.3,0.3,39.51,0.1,0.24
9.4,0.3,39.52,0.1,0.33
9.5,0.3,39.52,0.1,0.33
9.6,0.3,39.52,0.1,0.33
9.7,0.3,39.52,0.1,0.33
9.8,0.3,39.52,0.1,0.33
9.9,0.3,39.52,0.1,0.32
10,0.3,39.52,0.1,0.32
10.1,0.3,39.52,0.1,0.32
10.2,0.3,39.52,0.1,0.32
10.3,0.3,39.52,0.1,0.32
10.4,0.3,39.52,0.1,0.32
10.5,0.3,39.52,0.09,0.31
10.6,0.3,39.52,0.09,0.31
10.7,0.3,39.52,0.09,0.31
10.8,0.3,39.52,0.09,0.31
8.2,0.4,39.14,0.09,0.22
8.3,0.4,39.14,0.09,0.22
8.4,0.4,39.14,0.09,0.22
8.5,0.4,39.14,0.09,0.22
8.6,0.4,39.14,0.09,0.22
8.7,0.4,39.17,0.09,0.22
8.8,0.4,39.17,0.09,0.22
8.9,0.4,39.17,0.1,0.22
9,0.4,39.48,0.1,0.24
9.1,0.4,39.51,0.1,0.24
9.2,0.4,39.51,0.1,0.24
9.3,0.4,39.51,0.1,0.24
9.4,0.4,39.52,0.1,0.33
9.5,0.4,39.52,0.1,0.33
9.6,0.4,39.52,0.1,0.33
9.7,0.4,39.52,0.1,0.33
9.8,0.4,39.52,0.1,0.33
