mass,ta,tb,ewl,rmr
8.2,0,145.02,3.71,4.91
8.3,0,145.72,3.72,4.97
8.4,0,146.38,3.72,5.03
8.5,0,147,3.73,5.09
8.6,0,147.58,3.73,5.14
8.7,0,148.1,3.73,5.2
8.8,0,148.58,3.74,5.25
8.9,0,148.99,3.74,5.3
9,0,149.34,3.74,5.35
9.1,0,149.63,3.74,5.39
9.2,0,149.84,3.74,5.43
9.3,0,149.98,3.74,5.47
9.4,0,150.04,3.74,5.51
9.5,0,150.01,3.74,5.54
9.6,0,149.89,3.74,5.57
9.7,0,149.68,3.74,5.59
9.8,0,149.37,3.74,5.61
9.9,0,148.96,3.74,5.63
10,0,148.45,3.73,5.64
10.1,0,147.82,3.73,5.65
10.2,0,147.07,3.73,5.66
10.3,0,146.21,3.72,5.66
10.4,0,145.22,3.72,5.65
10.5,0,144.1,3.71,5.64
10.6,0,142.85,3.71,5.63
10.7,0,141.46,3.7,5.61
10.8,0,139.93,3.69,5.58
8.2,0.1,144.13,3.69,4.87
8.3,0.1,144.83,3.7,4.93
8.4,0.1,145.49,3.7,4.99
8.5,0.1,146.11,3.7,5.05
8.6,0.1,146.69,3.71,5.11
8.7,0.1,147.22,3.71,5.16
8.8,0.1,147.69,3.71,5.21
8.9,0.1,148.1,3.72,5.26
9,0.1,148.46,3.72,5.31
9.1,0.1,148.74,3.72,5.35
9.2,0.1,148.96,3.72,5.39
9.3,0.1,149.09,3.72,5.43
9.4,0.1,149.15,3.72,5.47
9.5,0.1,149.13,3.72,5.5
9.6,0.1,149.01,3.72,5.53
9.7,0.1,148.8,3.72,5.55
9.8,0.1,148.49,3.72,5.57
9.9,0.1,148.09,3.71,5.59
10,0.1,147.57,3.71,5.6
10.1,0.1,146.94,3.71,5.61
10.2,0.1,146.2,3.7,5.62
10.3,0.1,145.34,3.7,5.62
10.4,0.1,144.36,3.69,5.61
10.5,0.1,143.24,3.69,5.6
10.6,0.1,141.99,3.68,5.59
10.7,0.1,140.61,3.68,5.57
10.8,0.1,139.08,3.67,5.54
8.2,0.2,143.25,3.67,4.84
8.3,0.2,143.95,3.67,4.9
8.4,0.2,144.61,3.68,4.96
8.5,0.2,145.23,3.68,5.01
8.6,0.2,145.81,3.69,5.07
8.7,0.2,146.33,3.69,5.12
8.8,0.2,146.8,3.69,5.17
8.9,0.2,147.22,3.69,5.22
9,0.2,147.57,3.7,5.27
9.1,0.2,147.86,3.7,5.31
9.2,0.2,148.07,3.7,5.35
9.3,0.2,148.21,3.7,5.39
9.4,0.2,148.27,3.7,5.43
9.5,0.2,148.25,3.7,5.46
9.6,0.2,148.13,3.7,5.49
9.7,0.2,147.92,3.7,5.51
9.8,0.2,147.62,3.69,5.53
9.9,0.2,147.21,3.69,5.55
10,0.2,146.7,3.69,5.56
10.1,0.2,146.08,3.68,5.57
10.2,0.2,145.34,3.68,5.58
10.3,0.2,144.48,3.68,5.58
10.4,0.2,143.5,3.67,5.57
10.5,0.2,142.39,3.67,5.56
10.6,0.2,141.14,3.66,5.55
10.7,0.2,139.76,3.65,5.53
10.8,0.2,138.24,3.65,5.5
8.2,0.3,142.38,3.64,4.8
8.3,0.3,143.07,3.65,4.86
8.4,0.3,143.73,3.65,4.92
8.5,0.3,144.35,3.66,4.98
8.6,0.3,144.93,3.66,5.03
8.7,0.3,145.45,3.67,5.08
8.8,0.3,145.92,3.67,5.14
8.9,0.3,146.34,3.67,5.18
9,0.3,146.69,3.67,5.23
9.1,0.3,146.98,3.67,5.27
9.2,0.3,147.19,3.68,5.32
9.3,0.3,147.33,3.68,5.35
9.4,0.3,147.39,3.68,5.39
9.5,0.3,147.37,3.68,5.42
9.6,0.3,147.26,3.67,5.45
9.7,0.3,147.05,3.67,5.47
9.8,0.3,146.75,3.67,5.5
9.9,0.3,146.35,3.67,5.51
10,0.3,145.83,3.67,5.53
10.1,0.3,145.21,3.66,5.53
10.2,0.3,144.48,3.66,5.54
10.3,0.3,143.62,3.65,5.54
10.4,0.3,142.64,3.65,5.53
10.5,0.3,141.53,3.64,5.52
