mass,ta,tb,ewl,rmr
44.4,0,39.35,0.22,0.6
44.5,0,39.35,0.22,0.6
44.6,0,39.35,0.22,0.6
44.7,0,39.35,0.22,0.6
44.8,0,39.35,0.22,0.6
44.9,0,40.06,0.23,0.6
45,0,40.06,0.23,0.6
45.1,0,40.06,0.23,0.6
45.2,0,40.06,0.23,0.6
45.3,0,40.06,0.23,0.6
45.4,0,40.06,0.23,0.6
45.5,0,40.06,0.23,0.6
45.6,0,40.06,0.23,0.6
45.7,0,40.06,0.23,0.6
45.8,0,40.06,0.23,0.6
45.9,0,40.06,0.23,0.6
46,0,40.06,0.23,0.6
46.1,0,40.06,0.23,0.6
46.2,0,40.06,0.23,0.6
46.3,0,40.06,0.23,0.6
46.4,0,40.06,0.23,0.79
46.5,0,40.06,0.23,0.79
46.6,0,40.06,0.23,0.79
46.7,0,40.06,0.23,0.79
46.8,0,40.06,0.23,0.79
46.9,0,40.06,0.23,0.79
47,0,40.06,0.23,0.79
47.1,0,40.06,0.23,0.79
47.2,0,40.06,0.23,0.79
47.3,0,40.06,0.23,0.79
47.4,0,40.06,0.23,0.79
47.5,0,40.06,0.23,0.79
47.6,0,40.06,0.23,0.79
47.7,0,40.06,0.25,0.81
47.8,0,40.06,0.25,0.81
47.9,0,40.06,0.25,0.81
48,0,40.06,0.25,0.81
48.1,0,40.06,0.25,0.81
48.2,0,40.06,0.25,0.79
48.3,0,40.06,0.25,0.79
48.4,0,40.06,0.25,0.79
48.5,0,38.86,0.25,0.82
48.6,0,38.86,0.25,0.82
48.7,0,38.86,0.25,0.82
48.8,0,38.86,0.25,0.82
48.9,0,38.86,0.25,0.82
49,0,39.25,0.25,0.82
49.1,0,39.25,0.25,0.82
49.2,0,39.25,0.25,0.82
49.3,0,39.25,0.25,0.82
44.4,0.1,39.35,0.22,0.6
44.5,0.1,39.35,0.22,0.6
44.6,0.1,39.35,0.22,0.6
44.7,0.1,39.35,0.22,0.6
44.8,0.1,39.35,0.22,0.6
44.9,0.1,40.06,0.23,0.6
45,0.1,40.06,0.23,0.6
45.1,0.1,40.06,0.23,0.6
45.2,0.1,40.06,0.23,0.6
45.3,0.1,40.06,0.23,0.6
45.4,0.1,40.06,0.23,0.6
45.5,0.1,40.06,0.23,0.6
45.6,0.1,40.06,0.23,0.6
45.7,0.1,40.06,0.23,0.6
45.8,0.1,40.06,0.23,0.6
45.9,0.1,40.06,0.23,0.6
46,0.1,40.06,0.23,0.6
46.1,0.1,40.06,0.23,0.6
46.2,0.1,40.06,0.23,0.6
46.3,0.1,40.06,0.23,0.6
46.4,0.1,40.06,0.23,0.79
46.5,0.1,40.06,0.23,0.79
46.6,0.1,40.06,0.23,0.79
46.7,0.1,40.06,0.23,0.79
46.8,0.1,40.06,0.23,0.79
46.9,0.1,40.06,0.23,0.79
