mass,ta,tb,ewl,rmr
44.4,0,30.15,7.86,0.58
44.5,0,30.16,7.86,0.58
44.6,0,30.16,7.87,0.58
44.7,0,30.16,7.88,0.58
44.8,0,30.17,7.88,0.58
44.9,0,30.17,7.89,0.58
45,0,30.17,7.89,0.58
45.1,0,30.17,7.89,0.58
45.2,0,30.18,7.9,0.59
45.3,0,30.18,7.9,0.59
45.4,0,30.18,7.9,0.59
45.5,0,30.18,7.91,0.59
45.6,0,30.19,7.91,0.59
45.7,0,30.19,7.91,0.59
45.8,0,30.19,7.91,0.59
45.9,0,30.19,7.91,0.59
46,0,30.2,7.91,0.59
46.1,0,30.2,7.91,0.59
46.2,0,30.2,7.92,0.6
46.3,0,30.2,7.92,0.6
46.4,0,30.21,7.91,0.6
46.5,0,30.21,7.91,0.6
46.6,0,30.21,7.91,0.6
46.7,0,30.22,7.91,0.6
46.8,0,30.22,7.91,0.6
46.9,0,30.22,7.91,0.6
47,0,30.23,7.91,0.6
47.1,0,30.23,7.9,0.6
47.2,0,30.23,7.9,0.6
47.3,0,30.24,7.9,0.6
47.4,0,30.24,7.89,0.61
47.5,0,30.24,7.89,0.61
47.6,0,30.24,7.88,0.61
47.7,0,30.24,7.88,0.61
47.8,0,30.25,7.87,0.61
47.9,0,30.25,7.87,0.61
48,0,30.25,7.86,0.61
48.1,0,30.25,7.86,0.61
48.2,0,30.25,7.85,0.61
48.3,0,30.26,7.84,0.61
48.4,0,30.26,7.84,0.61
48.5,0,30.26,7.83,0.61
48.6,0,30.26,7.82,0.61
48.7,0,30.26,7.81,0.61
48.8,0,30.26,7.81,0.61
48.9,0,30.27,7.8,0.62
49,0,30.27,7.79,0.62
49.1,0,30.27,7.78,0.62
49.2,0,30.28,7.77,0.62
49.3,0,30.28,7.76,0.62
44.4,0.1,30.18,7.81,0.58
44.5,0.1,30.19,7.81,0.58
44.6,0.1,30.19,7.82,0.58
44.7,0.1,30.19,7.83,0.58
44.8,0.1,30.19,7.83,0.58
44.9,0.1,30.2,7.83,0.58
45,0.1,30.2,7.84,0.58
45.1,0.1,30.2,7.84,0.58
45.2,0.1,30.21,7.85,0.59
45.3,0.1,30.21,7.85,0.59
45.4,0.1,30.21,7.85,0.59
45.5,0.1,30.21,7.86,0.59
45.6,0.1,30.22,7.86,0.59
45.7,0.1,30.22,7.86,0.59
45.8,0.1,30.22,7.86,0.59
45.9,0.1,30.22,7.86,0.59
46,0.1,30.23,7.86,0.59
46.1,0.1,30.23,7.86,0.59
46.2,0.1,30.23,7.87,0.6
46.3,0.1,30.23,7.87,0.6
46.4,0.1,30.24,7.86,0.6
46.5,0.1,30.24,7.86,0.6
46.6,0.1,30.24,7.86,0.6
46.7,0.1,30.24,7.86,0.6
46.8,0.1,30.25,7.86,0.6
46.9,0.1,30.25,7.86,0.6
47,0.1,30.26,7.86,0.6
47.1,0.1,30.26,7.85,0.6
47.2,0.1,30.26,7.85,0.6
47.3,0.1,30.27,7.85,0.61
47.4,0.1,30.27,7.84,0.61
47.5,0.1,30.27,7.84,0.61
47.6,0.1,30.27,7.83,0.61
47.7,0.1,30.27,7.83,0.61
47.8,0.1,30.28,7.82,0.61
47.9,0.1,30.28,7.82,0.61
48,0.1,30.28,7.81,0.61
48.1,0.1,30.28,7.81,0.61
48.2,0.1,30.28,7.8,0.61
48.3,0.1,30.28,7.79,0.61
48.4,0.1,30.29,7.79,0.61
48.5,0.1,30.29,7.78,0.61
48.6,0.1,30.29,7.77,0.61
48.7,0.1,30.29,7.76,0.61
48.8,0.1,30.29,7.76,0.62
48.9,0.1,30.3,7.75,0.62
49,0.1,30.3,7.74,0.62
49.1,0.1,30.3,7.73,0.62
49.2,0.1,30.31,7.72,0.62
49.3,0.1,30.31,7.71,0.62
44.4,0.2,30.21,7.76,0.58
44.5,0.2,30.22,7.76,0.58
44.6,0.2,30.22,7.77,0.58
44.7,0.2,30.22,7.78,0.58
44.8,0.2,30.22,7.78,0.58
44.9,0.2,30.23,7.79,0.58
45,0.2,30.23,7.79,0.58
45.1,0.2,30.23,7.79,0.58
45.2,0.2,30.24,7.8,0.59
45.3,0.2,30.24,7.8,0.59
45.4,0.2,30.24,7.8,0.59
45.5,0.2,30.24,7.81,0.59
45.6,0.2,30.25,7.81,0.59
45.7,0.2,30.25,7.81,0.59
45.8,0.2,30.25,7.81,0.59
45.9,0.2,30.25,7.81,0.59
46,0.2,30.25,7.81,0.59
46.1,0.2,30.26,7.81,0.6
46.2,0.2,30.26,7.82,0.6
46.3,0.2,30.26,7.82,0.6
46.4,0.2,30.26,7.81,0.6
46.5,0.2,30.27,7.81,0.6
46.6,0.2,30.27,7.81,0.6
46.7,0.2,30.27,7.81,0.6
46.8,0.2,30.28,7.81,0.6
46.9,0.2,30.28,7.81,0.6
47,0.2,30.29,7.81,0.6
47.1,0.2,30.29,7.8,0.6
47.2,0.2,30.29,7.8,0.61
47.3,0.2,30.3,7.8,0.61
47.4,0.2,30.3,7.79,0.61
47.5,0.2,30.3,7.79,0.61
47.6,0.2,30.3,7.78,0.61
47.7,0.2,30.3,7.78,0.61
47.8,0.2,30.31,7.77,0.61
47.9,0.2,30.31,7.77,0.61
48,0.2,30.31,7.76,0.61
48.1,0.2,30.31,7.76,0.61
