mass,ta,tb,ewl,rmr
44.4,0,139.76,6.2,5.39
44.5,0,140.38,6.2,5.41
44.6,0,140.96,6.2,5.44
44.7,0,141.51,6.2,5.46
44.8,0,142.03,6.2,5.48
44.9,0,142.52,6.2,5.5
45,0,142.97,6.2,5.53
45.1,0,143.4,6.2,5.55
45.2,0,143.79,6.2,5.57
45.3,0,144.15,6.2,5.6
45.4,0,144.49,6.2,5.62
45.5,0,144.8,6.2,5.64
45.6,0,145.08,6.2,5.67
45.7,0,145.33,6.2,5.69
45.8,0,145.55,6.2,5.71
45.9,0,145.75,6.2,5.74
46,0,145.92,6.2,5.76
46.1,0,146.07,6.2,5.79
46.2,0,146.19,6.2,5.81
46.3,0,146.29,6.2,5.83
46.4,0,146.36,6.21,5.86
46.5,0,146.41,6.21,5.88
46.6,0,146.44,6.21,5.9
46.7,0,146.45,6.21,5.93
46.8,0,146.43,6.21,5.95
46.9,0,146.4,6.21,5.98
47,0,146.34,6.21,6
47.1,0,146.26,6.21,6.03
47.2,0,146.17,6.21,6.05
47.3,0,146.05,6.21,6.07
47.4,0,145.92,6.21,6.1
47.5,0,145.77,6.21,6.12
47.6,0,145.61,6.22,6.15
47.7,0,145.42,6.22,6.17
47.8,0,145.22,6.22,6.2
47.9,0,145.01,6.22,6.22
48,0,144.78,6.22,6.25
48.1,0,144.54,6.22,6.27
48.2,0,144.28,6.22,6.29
48.3,0,144.01,6.22,6.32
48.4,0,143.73,6.23,6.34
48.5,0,143.43,6.23,6.37
48.6,0,143.12,6.23,6.39
48.7,0,142.81,6.23,6.42
48.8,0,142.48,6.23,6.44
48.9,0,142.14,6.23,6.47
49,0,141.79,6.23,6.49
49.1,0,141.44,6.24,6.52
49.2,0,141.07,6.24,6.55
49.3,0,140.7,6.24,6.57
44.4,0.1,138.92,6.16,5.36
44.5,0.1,139.53,6.16,5.38
44.6,0.1,140.12,6.16,5.41
44.7,0.1,140.67,6.16,5.43
44.8,0.1,141.19,6.16,5.45
44.9,0.1,141.67,6.16,5.47
45,0.1,142.13,6.16,5.5
45.1,0.1,142.55,6.16,5.52
45.2,0.1,142.94,6.16,5.54
45.3,0.1,143.31,6.16,5.57
45.4,0.1,143.64,6.16,5.59
45.5,0.1,143.95,6.16,5.61
45.6,0.1,144.23,6.16,5.64
45.7,0.1,144.48,6.17,5.66
45.8,0.1,144.7,6.17,5.68
45.9,0.1,144.9,6.17,5.71
46,0.1,145.07,6.17,5.73
46.1,0.1,145.22,6.17,5.76
46.2,0.1,145.34,6.17,5.78
46.3,0.1,145.44,6.17,5.8
46.4,0.1,145.51,6.17,5.83
46.5,0.1,145.56,6.17,5.85
46.6,0.1,145.59,6.17,5.87
46.7,0.1,145.6,6.17,5.9
46.8,0.1,145.58,6.17,5.92
46.9,0.1,145.55,6.17,5.95
47,0.1,145.49,6.17,5.97
47.1,0.1,145.41,6.18,5.99
47.2,0.1,145.32,6.18,6.02
47.3,0.1,145.21,6.18,6.04
47.4,0.1,145.07,6.18,6.07
47.5,0.1,144.93,6.18,6.09
47.6,0.1,144.76,6.18,6.12
47.7,0.1,144.58,6.18,6.14
47.8,0.1,144.38,6.18,6.16
47.9,0.1,144.16,6.18,6.19
48,0.1,143.93,6.19,6.21
48.1,0.1,143.69,6.19,6.24
48.2,0.1,143.44,6.19,6.26
48.3,0.1,143.17,6.19,6.29
48.4,0.1,142.88,6.19,6.31
48.5,0.1,142.59,6.19,6.34
48.6,0.1,142.28,6.19,6.36
48.7,0.1,141.97,6.19,6.39
48.8,0.1,141.64,6.2,6.41
48.9,0.1,141.3,6.2,6.44
49,0.1,140.96,6.2,6.46
49.1,0.1,140.6,6.2,6.49
49.2,0.1,140.24,6.2,6.51
49.3,0.1,139.87,6.2,6.54
44.4,0.2,138.08,6.13,5.33
44.5,0.2,138.7,6.13,5.35
44.6,0.2,139.28,6.13,5.38
44.7,0.2,139.83,6.13,5.4
44.8,0.2,140.35,6.13,5.42
44.9,0.2,140.83,6.13,5.45
45,0.2,141.29,6.13,5.47
45.1,0.2,141.71,6.13,5.49
45.2,0.2,142.1,6.13,5.51
45.3,0.2,142.47,6.13,5.54
45.4,0.2,142.8,6.13,5.56
45.5,0.2,143.11,6.13,5.58
45.6,0.2,143.38,6.13,5.61
45.7,0.2,143.63,6.13,5.63
45.8,0.2,143.86,6.13,5.65
45.9,0.2,144.06,6.13,5.68
46,0.2,144.23,6.13,5.7
46.1,0.2,144.37,6.13,5.72
46.2,0.2,144.5,6.13,5.75
46.3,0.2,144.59,6.13,5.77
46.4,0.2,144.67,6.13,5.8
46.5,0.2,144.72,6.14,5.82
46.6,0.2,144.75,6.14,5.84
46.7,0.2,144.75,6.14,5.87
46.8,0.2,144.74,6.14,5.89
46.9,0.2,144.7,6.14,5.91
47,0.2,144.65,6.14,5.94
47.1,0.2,144.57,6.14,5.96
47.2,0.2,144.48,6.14,5.99
47.3,0.2,144.36,6.14,6.01
47.4,0.2,144.23,6.14,6.04
47.5,0.2,144.08,6.14,6.06
47.6,0.2,143.92,6.15,6.08
