mass,ta,tb,ewl,rmr
25.4,0,39.74,0.16,0.41
25.5,0,39.3,0.16,0.5
25.6,0,39.3,0.16,0.5
25.7,0,39.3,0.16,0.5
25.8,0,39.3,0.16,0.5
25.9,0,39.3,0.16,0.5
26,0,38.85,0.22,0.5
26.1,0,38.85,0.22,0.5
26.2,0,38.85,0.22,0.5
26.3,0,38.85,0.22,0.5
26.4,0,38.85,0.22,0.5
26.5,0,38.85,0.22,0.5
26.6,0,39.73,0.25,0.55
26.7,0,39.73,0.25,0.55
26.8,0,39.38,0.25,0.55
26.9,0,39.31,0.14,0.5
27,0,39.31,0.14,0.5
27.1,0,39.31,0.14,0.5
27.2,0,39.31,0.14,0.5
27.3,0,39.31,0.14,0.5
27.4,0,39.31,0.14,0.5
27.5,0,39.31,0.14,0.5
27.6,0,39.31,0.14,0.5
27.7,0,39.31,0.14,0.5
27.8,0,39.31,0.14,0.5
27.9,0,39.31,0.14,0.5
28,0,39.31,0.14,0.5
28.1,0,39.31,0.14,0.5
28.2,0,39.47,0.14,0.36
28.3,0,39.47,0.14,0.36
28.4,0,39.47,0.14,0.36
28.5,0,39.47,0.14,0.36
28.6,0,39.47,0.14,0.36
28.7,0,39.47,0.14,0.36
28.8,0,39.47,0.14,0.36
28.9,0,39.47,0.14,0.36
29,0,39.66,0.14,0.41
29.1,0,39.66,0.14,0.41
29.2,0,39.66,0.14,0.41
29.3,0,39.66,0.14,0.41
29.4,0,39.66,0.14,0.41
29.5,0,39.66,0.14,0.41
29.6,0,39.66,0.14,0.41
29.7,0,39.66,0.17,0.48
29.8,0,39.66,0.17,0.48
29.9,0,39.66,0.17,0.48
30,0,39.66,0.17,0.48
30.1,0,39.66,0.17,0.48
30.2,0,39.66,0.17,0.48
25.4,0.1,39.74,0.16,0.41
25.5,0.1,39.3,0.16,0.5
25.6,0.1,39.3,0.16,0.5
25.7,0.1,39.3,0.16,0.5
25.8,0.1,39.3,0.16,0.5
25.9,0.1,39.3,0.16,0.5
26,0.1,38.85,0.22,0.5
26.1,0.1,38.85,0.22,0.5
26.2,0.1,38.85,0.22,0.5
26.3,0.1,38.85,0.22,0.5
26.4,0.1,38.85,0.22,0.5
26.5,0.1,38.85,0.22,0.5
26.6,0.1,39.73,0.25,0.55
26.7,0.1,39.73,0.25,0.55
26.8,0.1,39.38,0.25,0.55
26.9,0.1,39.31,0.14,0.5
27,0.1,39.31,0.14,0.5
27.1,0.1,39.31,0.14,0.5
27.2,0.1,39.31,0.14,0.5
27.3,0.1,39.31,0.14,0.5
27.4,0.1,39.31,0.14,0.5
27.5,0.1,39.31,0.14,0.5
27.6,0.1,39.31,0.14,0.5
27.7,0.1,39.31,0.14,0.5
27.8,0.1,39.31,0.14,0.5
27.9,0.1,39.31,0.14,0.5
28,0.1,39.31,0.14,0.5
28.1,0.1,39.31,0.14,0.5
28.2,0.1,39.47,0.14,0.36
28.3,0.1,39.47,0.14,0.36
28.4,0.1,39.47,0.14,0.36
28.5,0.1,39.47,0.14,0.36
28.6,0.1,39.47,0.14,0.36
28.7,0.1,39.47,0.14,0.36
28.8,0.1,39.47,0.14,0.36
28.9,0.1,39.47,0.14,0.36
29,0.1,39.66,0.14,0.41
29.1,0.1,39.66,0.14,0.41
29.2,0.1,39.66,0.14,0.41
29.3,0.1,39.66,0.14,0.41
29.4,0.1,39.66,0.14,0.41
29.5,0.1,39.66,0.14,0.41
29.6,0.1,39.66,0.14,0.41
29.7,0.1,39.66,0.17,0.48
29.8,0.1,39.66,0.17,0.48
29.9,0.1,39.66,0.17,0.48
30,0.1,39.66,0.17,0.48
30.1,0.1,39.66,0.17,0.48
30.2,0.1,39.66,0.17,0.48
25.4,0.2,39.74,0.16,0.41
25.5,0.2,39.3,0.16,0.5
25.6,0.2,39.3,0.16,0.5
25.7,0.2,39.3,0.16,0.5
25.8,0.2,39.3,0.16,0.5
25.9,0.2,39.3,0.16,0.5
26,0.2,38.85,0.22,0.5
26.1,0.2,38.85,0.22,0.5
26.2,0.2,38.85,0.22,0.5
26.3,0.2,38.85,0.22,0.5
26.4,0.2,38.85,0.22,0.5
26.5,0.2,38.85,0.22,0.5
26.6,0.2,39.73,0.25,0.55
26.7,0.2,39.73,0.25,0.55
26.8,0.2,39.38,0.25,0.55
26.9,0.2,39.31,0.14,0.5
27,0.2,39.31,0.14,0.5
27.1,0.2,39.31,0.14,0.5
27.2,0.2,39.31,0.14,0.5
27.3,0.2,39.31,0.14,0.5
