mass,ta,tb,ewl,rmr
25.4,0,44.81,3.45,2.41
25.5,0,44.79,3.48,2.41
25.6,0,44.77,3.47,2.41
25.7,0,44.75,3.48,2.41
25.8,0,44.73,3.48,2.41
25.9,0,44.72,3.49,2.41
26,0,44.7,3.49,2.41
26.1,0,44.69,3.49,2.41
26.2,0,44.67,3.49,2.41
26.3,0,44.66,3.5,2.41
26.4,0,44.65,3.5,2.41
26.5,0,44.64,3.5,2.41
26.6,0,44.63,3.51,2.41
26.7,0,44.63,3.55,2.41
26.8,0,44.62,3.53,2.41
26.9,0,44.61,3.48,2.41
27,0,44.61,3.5,2.41
27.1,0,44.61,3.5,2.41
27.2,0,44.6,3.51,2.41
27.3,0,44.6,3.51,2.41
27.4,0,44.6,3.5,2.41
27.5,0,44.6,3.51,2.41
27.6,0,44.6,3.51,2.41
27.7,0,44.61,3.51,2.41
27.8,0,44.61,3.51,2.41
27.9,0,44.62,3.5,2.41
28,0,44.62,3.5,2.41
28.1,0,44.63,3.5,2.41
28.2,0,44.64,3.5,2.41
28.3,0,44.65,3.5,2.41
28.4,0,44.66,3.5,2.41
28.5,0,44.67,3.5,2.41
28.6,0,44.68,3.5,2.41
28.7,0,44.69,3.49,2.41
28.8,0,44.71,3.47,2.41
28.9,0,44.72,3.49,2.41
29,0,44.74,3.49,2.41
29.1,0,44.76,3.47,2.41
29.2,0,44.78,3.49,2.41
29.3,0,44.8,3.49,2.41
29.4,0,44.82,3.48,2.41
29.5,0,44.84,3.48,2.41
29.6,0,44.86,3.48,2.4
29.7,0,44.89,3.48,2.4
29.8,0,44.91,3.48,2.4
29.9,0,44.94,3.47,2.4
30,0,44.96,3.47,2.4
30.1,0,44.99,3.47,2.4
30.2,0,45.02,3.49,2.4
25.4,0.1,44.76,3.43,2.39
25.5,0.1,44.74,3.45,2.4
25.6,0.1,44.72,3.45,2.4
25.7,0.1,44.71,3.46,2.4
25.8,0.1,44.69,3.46,2.4
25.9,0.1,44.67,3.46,2.4
26,0.1,44.66,3.47,2.4
26.1,0.1,44.64,3.47,2.4
26.2,0.1,44.63,3.47,2.4
26.3,0.1,44.62,3.47,2.4
26.4,0.1,44.61,3.48,2.4
26.5,0.1,44.6,3.48,2.4
26.6,0.1,44.59,3.48,2.4
26.7,0.1,44.58,3.53,2.4
26.8,0.1,44.57,3.51,2.4
26.9,0.1,44.57,3.46,2.4
27,0.1,44.56,3.48,2.4
27.1,0.1,44.56,3.48,2.4
27.2,0.1,44.56,3.48,2.4
27.3,0.1,44.56,3.48,2.4
27.4,0.1,44.56,3.48,2.4
27.5,0.1,44.56,3.48,2.4
27.6,0.1,44.56,3.48,2.4
27.7,0.1,44.56,3.48,2.4
