mass,ta,tb,ewl,rmr
25.4,0,42.57,0.32,1.84
25.5,0,42.57,0.24,1.85
25.6,0,42.57,0.15,1.86
25.7,0,42.57,0.07,1.88
25.8,0,42.57,-0.02,1.89
25.9,0,42.57,-0.11,1.9
26,0,42.57,-0.19,1.91
26.1,0,42.57,-0.28,1.92
26.2,0,42.57,-0.37,1.93
26.3,0,42.57,-0.46,1.94
26.4,0,42.57,-0.55,1.95
26.5,0,42.57,-0.63,1.96
26.6,0,42.57,-0.72,1.97
26.7,0,42.57,-0.81,1.98
26.8,0,42.57,-0.9,1.99
26.9,0,42.57,-0.99,2
27,0,42.57,-1.07,2
27.1,0,42.57,-1.16,2.01
27.2,0,42.57,-1.25,2.02
27.3,0,42.57,-1.33,2.03
27.4,0,42.57,-1.42,2.04
27.5,0,42.57,-1.51,2.05
27.6,0,42.57,-1.59,2.06
27.7,0,42.57,-1.67,2.06
27.8,0,42.57,-1.76,2.07
27.9,0,42.57,-1.84,2.08
28,0,42.57,-1.92,2.09
28.1,0,42.57,-2.01,2.09
28.2,0,42.57,-2.09,2.1
28.3,0,42.57,-2.17,2.11
28.4,0,42.57,-2.25,2.11
28.5,0,42.57,-2.32,2.12
28.6,0,42.57,-2.4,2.13
28.7,0,42.57,-2.48,2.13
28.8,0,42.57,-2.55,2.14
28.9,0,42.57,-2.62,2.15
29,0,42.57,-2.7,2.15
29.1,0,42.57,-2.77,2.16
29.2,0,42.57,-2.84,2.16
29.3,0,42.57,-2.9,2.17
29.4,0,42.57,-2.97,2.17
29.5,0,42.57,-3.03,2.18
29.6,0,42.57,-3.1,2.18
29.7,0,42.57,-3.16,2.19
29.8,0,42.57,-3.22,2.19
29.9,0,42.57,-3.28,2.2
30,0,42.57,-3.33,2.2
30.1,0,42.57,-3.39,2.21
30.2,0,42.57,-3.44,2.21
25.4,0.1,42.57,0.33,1.83
25.5,0.1,42.57,0.25,1.85
25.6,0.1,42.57,0.16,1.86
25.7,0.1,42.57,0.08,1.87
25.8,0.1,42.57,-0.01,1.88
25.9,0.1,42.57,-0.1,1.89
26,0.1,42.57,-0.18,1.9
26.1,0.1,42.57,-0.27,1.91
26.2,0.1,42.57,-0.36,1.92
26.3,0.1,42.57,-0.45,1.93
26.4,0.1,42.57,-0.53,1.94
26.5,0.1,42.57,-0.62,1.95
26.6,0.1,42.57,-0.71,1.96
26.7,0.1,42.57,-0.8,1.97
26.8,0.1,42.57,-0.88,1.98
26.9,0.1,42.57,-0.97,1.99
27,0.1,42.57,-1.06,2
27.1,0.1,42.57,-1.14,2.01
27.2,0.1,42.57,-1.23,2.01
27.3,0.1,42.57,-1.32,2.02
27.4,0.1,42.57,-1.4,2.03
