mass,ta,tb,ewl,rmr
21.5,0,41.62,0.12,0.54
21.6,0,41.62,0.12,0.54
21.7,0,41.62,0.12,0.54
21.8,0,41.62,0.12,0.54
21.9,0,41.62,0.12,0.54
22,0,40.71,0.12,0.54
22.1,0,40.71,0.12,0.54
22.2,0,40.71,0.12,0.54
22.3,0,40.71,0.12,0.54
22.4,0,40.71,0.12,0.54
22.5,0,40.71,0.12,0.54
22.6,0,40.71,0.12,0.54
22.7,0,40.71,0.12,0.54
22.8,0,40.71,0.12,0.54
22.9,0,40.71,0.12,0.54
23,0,40.71,0.12,0.54
23.1,0,40.71,0.12,0.54
23.2,0,40.71,0.12,0.54
23.3,0,40.71,0.12,0.54
23.4,0,40.71,0.12,0.54
23.5,0,40.71,0.12,0.54
23.6,0,40.71,0.12,0.54
23.7,0,40.71,0.12,0.54
23.8,0,40.71,0.12,0.54
23.9,0,40.71,0.12,0.54
24,0,40.71,0.12,0.54
24.1,0,41.09,0.29,0.63
24.2,0,41.09,0.29,0.63
24.3,0,41.09,0.29,0.63
24.4,0,41.09,0.29,0.63
24.5,0,41.09,0.29,0.63
24.6,0,41.09,0.29,0.63
24.7,0,41.09,0.29,0.63
24.8,0,41.09,0.29,0.63
24.9,0,41.09,0.29,0.63
25,0,41.09,0.29,0.63
25.1,0,41.09,0.29,0.63
25.2,0,41.09,0.29,0.63
25.3,0,41.09,0.29,0.63
25.4,0,41.09,0.29,0.63
25.5,0,41.09,0.29,0.63
25.6,0,41.09,0.29,0.63
25.7,0,41.09,0.29,0.63
25.8,0,41.09,0.29,0.63
25.9,0,41.09,0.29,0.63
26,0,41.09,0.29,0.63
26.1,0,41.09,0.29,0.63
26.2,0,41.09,0.29,0.63
26.3,0,41.09,0.29,0.63
26.4,0,41.09,0.29,0.63
26.5,0,41.09,0.29,0.63
26.6,0,41.09,0.29,0.63
26.7,0,41.09,0.29,0.63
26.8,0,41.09,0.29,0.63
26.9,0,41.09,0.29,0.63
27,0,41.09,0.29,0.63
27.1,0,41.09,0.29,0.63
27.2,0,41.09,0.29,0.63
27.3,0,41.09,0.29,0.63
27.4,0,41.09,0.29,0.63
27.5,0,41.08,0.31,0.63
27.6,0,41.08,0.31,0.63
27.7,0,41.08,0.31,0.63
27.8,0,41.08,0.31,0.63
27.9,0,41.08,0.31,0.63
28,0,41.08,0.31,0.63
28.1,0,41.08,0.31,0.63
28.2,0,41.08,0.31,0.63
28.3,0,41.08,0.31,0.63
28.4,0,41.08,0.31,0.63
28.5,0,41.08,0.31,0.63
28.6,0,41.08,0.31,0.63
28.7,0,41.08,0.31,0.63
28.8,0,41.08,0.31,0.63
28.9,0,41.08,0.31,0.63
29,0,41.08,0.31,0.63
29.1,0,41.08,0.31,0.63
29.2,0,41.08,0.31,0.63
29.3,0,40.47,0.18,0.53
29.4,0,40.47,0.18,0.53
29.5,0,41.35,0.13,0.57
29.6,0,41.35,0.13,0.57
29.7,0,41.35,0.13,0.57
29.8,0,41.35,0.13,0.57
29.9,0,40.85,0.21,0.8
30,0,40.85,0.21,0.8
30.1,0,40.85,0.21,0.8
30.2,0,40.85,0.21,0.8
30.3,0,40.85,0.21,0.8
30.4,0,40.85,0.21,0.8
30.5,0,40.85,0.21,0.8
30.6,0,40.99,0.18,0.7
30.7,0,40.99,0.18,0.7
30.8,0,40.99,0.18,0.7
30.9,0,40.99,0.18,0.7
31,0,40.99,0.18,0.7
31.1,0,40.99,0.18,0.7
31.2,0,40.99,0.18,0.7
31.3,0,40.99,0.18,0.7
31.4,0,40.99,0.18,0.7
31.5,0,40.96,0.23,0.7
31.6,0,40.96,0.23,0.7
31.7,0,40.96,0.23,0.7
31.8,0,40.96,0.23,0.7
31.9,0,40.96,0.23,0.7
32,0,40.96,0.23,0.7
32.1,0,40.96,0.23,0.7
32.2,0,40.96,0.23,0.7
32.3,0,40.96,0.23,0.7
32.4,0,40.96,0.23,0.7
32.5,0,40.96,0.23,0.7
32.6,0,40.96,0.23,0.7
32.7,0,40.96,0.23,0.7
32.8,0,40.96,0.23,0.7
32.9,0,40.96,0.23,0.7
33,0,40.96,0.23,0.7
33.1,0,40.96,0.23,0.7
33.2,0,40.96,0.23,0.7
33.3,0,40.96,0.23,0.7
33.4,0,40.96,0.23,0.7
33.5,0,40.96,0.23,0.7
33.6,0,40.96,0.23,0.7
33.7,0,40.96,0.23,0.7
33.8,0,40.96,0.23,0.7
33.9,0,40.96,0.23,0.7
34,0,40.96,0.23,0.7
34.1,0,40.96,0.23,0.7
34.2,0,40.96,0.23,0.7
34.3,0,40.96,0.23,0.7
21.5,0.1,41.62,0.12,0.54
21.6,0.1,41.62,0.12,0.54
21.7,0.1,41.62,0.12,0.54
21.8,0.1,41.62,0.12,0.54
21.9,0.1,41.62,0.12,0.54
22,0.1,40.71,0.12,0.54
22.1,0.1,40.71,0.12,0.54
22.2,0.1,40.71,0.12,0.54
22.3,0.1,40.71,0.12,0.54
22.4,0.1,40.71,0.12,0.54
22.5,0.1,40.71,0.12,0.54
22.6,0.1,40.71,0.12,0.54
22.7,0.1,40.71,0.12,0.54
22.8,0.1,40.71,0.12,0.54
22.9,0.1,40.71,0.12,0.54
23,0.1,40.71,0.12,0.54
23.1,0.1,40.71,0.12,0.54
23.2,0.1,40.71,0.12,0.54
23.3,0.1,40.71,0.12,0.54
23.4,0.1,40.71,0.12,0.54
23.5,0.1,40.71,0.12,0.54
23.6,0.1,40.71,0.12,0.54
23.7,0.1,40.71,0.12,0.54
23.8,0.1,40.71,0.12,0.54
23.9,0.1,40.71,0.12,0.54
24,0.1,40.71,0.12,0.54
24.1,0.1,41.09,0.29,0.63
24.2,0.1,41.09,0.29,0.63
24.3,0.1,41.09,0.29,0.63
24.4,0.1,41.09,0.29,0.63
24.5,0.1,41.09,0.29,0.63
24.6,0.1,41.09,0.29,0.63
24.7,0.1,41.09,0.29,0.63
24.8,0.1,41.09,0.29,0.63
24.9,0.1,41.09,0.29,0.63
25,0.1,41.09,0.29,0.63
25.1,0.1,41.09,0.29,0.63
25.2,0.1,41.09,0.29,0.63
25.3,0.1,41.09,0.29,0.63
25.4,0.1,41.09,0.29,0.63
25.5,0.1,41.09,0.29,0.63
25.6,0.1,41.09,0.29,0.63
25.7,0.1,41.09,0.29,0.63
25.8,0.1,41.09,0.29,0.63
25.9,0.1,41.09,0.29,0.63
26,0.1,41.09,0.29,0.63
26.1,0.1,41.09,0.29,0.63
26.2,0.1,41.09,0.29,0.63
26.3,0.1,41.09,0.29,0.63
26.4,0.1,41.09,0.29,0.63
26.5,0.1,41.09,0.29,0.63
26.6,0.1,41.09,0.29,0.63
26.7,0.1,41.09,0.29,0.63
26.8,0.1,41.09,0.29,0.63
26.9,0.1,41.09,0.29,0.63
27,0.1,41.09,0.29,0.63
27.1,0.1,41.09,0.29,0.63
27.2,0.1,41.09,0.29,0.63
27.3,0.1,41.09,0.29,0.63
27.4,0.1,41.09,0.29,0.63
27.5,0.1,41.08,0.31,0.63
27.6,0.1,41.08,0.31,0.63
27.7,0.1,41.08,0.31,0.63
27.8,0.1,41.08,0.31,0.63
27.9,0.1,41.08,0.31,0.63
28,0.1,41.08,0.31,0.63
28.1,0.1,41.08,0.31,0.63
28.2,0.1,41.08,0.31,0.63
28.3,0.1,41.08,0.31,0.63
28.4,0.1,41.08,0.31,0.63
28.5,0.1,41.08,0.31,0.63
28.6,0.1,41.08,0.31,0.63
28.7,0.1,41.08,0.31,0.63
28.8,0.1,41.08,0.31,0.63
28.9,0.1,41.08,0.31,0.63
29,0.1,41.08,0.31,0.63
29.1,0.1,41.08,0.31,0.63
29.2,0.1,41.08,0.31,0.63
29.3,0.1,40.47,0.18,0.53
29.4,0.1,40.47,0.18,0.53
29.5,0.1,41.35,0.13,0.57
29.6,0.1,41.35,0.13,0.57
29.7,0.1,41.35,0.13,0.57
29.8,0.1,41.35,0.13,0.57
29.9,0.1,40.85,0.21,0.8
30,0.1,40.85,0.21,0.8
30.1,0.1,40.85,0.21,0.8
30.2,0.1,40.85,0.21,0.8
30.3,0.1,40.85,0.21,0.8
30.4,0.1,40.85,0.21,0.8
30.5,0.1,40.85,0.21,0.8
30.6,0.1,40.99,0.18,0.7
30.7,0.1,40.99,0.18,0.7
30.8,0.1,40.99,0.18,0.7
30.9,0.1,40.99,0.18,0.7
31,0.1,40.99,0.18,0.7
31.1,0.1,40.99,0.18,0.7
31.2,0.1,40.99,0.18,0.7
31.3,0.1,40.99,0.18,0.7
31.4,0.1,40.99,0.18,0.7
31.5,0.1,40.96,0.23,0.7
31.6,0.1,40.96,0.23,0.7
31.7,0.1,40.96,0.23,0.7
31.8,0.1,40.96,0.23,0.7
31.9,0.1,40.96,0.23,0.7
32,0.1,40.96,0.23,0.7
32.1,0.1,40.96,0.23,0.7
32.2,0.1,40.96,0.23,0.7
32.3,0.1,40.96,0.23,0.7
32.4,0.1,40.96,0.23,0.7
32.5,0.1,40.96,0.23,0.7
32.6,0.1,40.96,0.23,0.7
32.7,0.1,40.96,0.23,0.7
32.8,0.1,40.96,0.23,0.7
32.9,0.1,40.96,0.23,0.7
33,0.1,40.96,0.23,0.7
33.1,0.1,40.96,0.23,0.7
33.2,0.1,40.96,0.23,0.7
33.3,0.1,40.96,0.23,0.7
33.4,0.1,40.96,0.23,0.7
33.5,0.1,40.96,0.23,0.7
33.6,0.1,40.96,0.23,0.7
33.7,0.1,40.96,0.23,0.7
33.8,0.1,40.96,0.23,0.7
33.9,0.1,40.96,0.23,0.7
34,0.1,40.96,0.23,0.7
34.1,0.1,40.96,0.23,0.7
34.2,0.1,40.96,0.23,0.7
34.3,0.1,40.96,0.23,0.7
21.5,0.2,41.62,0.12,0.54
21.6,0.2,41.62,0.12,0.54
21.7,0.2,41.62,0.12,0.54
21.8,0.2,41.62,0.12,0.54
21.9,0.2,41.62,0.12,0.54
22,0.2,40.71,0.12,0.54
22.1,0.2,40.71,0.12,0.54
22.2,0.2,40.71,0.12,0.54
22.3,0.2,40.71,0.12,0.54
22.4,0.2,40.71,0.12,0.54
22.5,0.2,40.71,0.12,0.54
22.6,0.2,40.71,0.12,0.54
22.7,0.2,40.71,0.12,0.54
22.8,0.2,40.71,0.12,0.54
22.9,0.2,40.71,0.12,0.54
23,0.2,40.71,0.12,0.54
23.1,0.2,40.71,0.12,0.54
23.2,0.2,40.71,0.12,0.54
23.3,0.2,40.71,0.12,0.54
23.4,0.2,40.71,0.12,0.54
23.5,0.2,40.71,0.12,0.54
23.6,0.2,40.71,0.12,0.54
23.7,0.2,40.71,0.12,0.54
23.8,0.2,40.71,0.12,0.54
23.9,0.2,40.71,0.12,0.54
24,0.2,40.71,0.12,0.54
24.1,0.2,41.09,0.29,0.63
24.2,0.2,41.09,0.29,0.63
24.3,0.2,41.09,0.29,0.63
24.4,0.2,41.09,0.29,0.63
24.5,0.2,41.09,0.29,0.63
24.6,0.2,41.09,0.29,0.63
24.7,0.2,41.09,0.29,0.63
24.8,0.2,41.09,0.29,0.63
24.9,0.2,41.09,0.29,0.63
25,0.2,41.09,0.29,0.63
25.1,0.2,41.09,0.29,0.63
25.2,0.2,41.09,0.29,0.63
25.3,0.2,41.09,0.29,0.63
25.4,0.2,41.09,0.29,0.63
25.5,0.2,41.09,0.29,0.63
25.6,0.2,41.09,0.29,0.63
25.7,0.2,41.09,0.29,0.63
25.8,0.2,41.09,0.29,0.63
25.9,0.2,41.09,0.29,0.63
26,0.2,41.09,0.29,0.63
26.1,0.2,41.09,0.29,0.63
26.2,0.2,41.09,0.29,0.63
26.3,0.2,41.09,0.29,0.63
26.4,0.2,41.09,0.29,0.63
26.5,0.2,41.09,0.29,0.63
26.6,0.2,41.09,0.29,0.63
26.7,0.2,41.09,0.29,0.63
26.8,0.2,41.09,0.29,0.63
26.9,0.2,41.09,0.29,0.63
27,0.2,41.09,0.29,0.63
27.1,0.2,41.09,0.29,0.63
27.2,0.2,41.09,0.29,0.63
27.3,0.2,41.09,0.29,0.63
27.4,0.2,41.09,0.29,0.63
27.5,0.2,41.08,0.31,0.63
27.6,0.2,41.08,0.31,0.63
27.7,0.2,41.08,0.31,0.63
27.8,0.2,41.08,0.31,0.63
27.9,0.2,41.08,0.31,0.63
28,0.2,41.08,0.31,0.63
28.1,0.2,41.08,0.31,0.63
28.2,0.2,41.08,0.31,0.63
28.3,0.2,41.08,0.31,0.63
28.4,0.2,41.08,0.31,0.63
28.5,0.2,41.08,0.31,0.63
28.6,0.2,41.08,0.31,0.63
28.7,0.2,41.08,0.31,0.63
28.8,0.2,41.08,0.31,0.63
28.9,0.2,41.08,0.31,0.63
29,0.2,41.08,0.31,0.63
29.1,0.2,41.08,0.31,0.63
29.2,0.2,41.08,0.31,0.63
29.3,0.2,40.47,0.18,0.53
29.4,0.2,40.47,0.18,0.53
29.5,0.2,41.35,0.13,0.57
29.6,0.2,41.35,0.13,0.57
29.7,0.2,41.35,0.13,0.57
29.8,0.2,41.35,0.13,0.57
29.9,0.2,40.85,0.21,0.8
30,0.2,40.85,0.21,0.8
30.1,0.2,40.85,0.21,0.8
30.2,0.2,40.85,0.21,0.8
30.3,0.2,40.85,0.21,0.8
30.4,0.2,40.85,0.21,0.8
30.5,0.2,40.85,0.21,0.8
30.6,0.2,40.99,0.18,0.7
30.7,0.2,40.99,0.18,0.7
30.8,0.2,40.99,0.18,0.7
30.9,0.2,40.99,0.18,0.7
31,0.2,40.99,0.18,0.7
31.1,0.2,40.99,0.18,0.7
31.2,0.2,40.99,0.18,0.7
31.3,0.2,40.99,0.18,0.7
31.4,0.2,40.99,0.18,0.7
31.5,0.2,40.96,0.23,0.7
31.6,0.2,40.96,0.23,0.7
31.7,0.2,40.96,0.23,0.7
31.8,0.2,40.96,0.23,0.7
31.9,0.2,40.96,0.23,0.7
32,0.2,40.96,0.23,0.7
32.1,0.2,40.96,0.23,0.7
32.2,0.2,40.96,0.23,0.7
32.3,0.2,40.96,0.23,0.7
32.4,0.2,40.96,0.23,0.7
32.5,0.2,40.96,0.23,0.7
32.6,0.2,40.96,0.23,0.7
32.7,0.2,40.96,0.23,0.7
32.8,0.2,40.96,0.23,0.7
32.9,0.2,40.96,0.23,0.7
33,0.2,40.96,0.23,0.7
33.1,0.2,40.96,0.23,0.7
33.2,0.2,40.96,0.23,0.7
33.3,0.2,40.96,0.23,0.7
33.4,0.2,40.96,0.23,0.7
33.5,0.2,40.96,0.23,0.7
33.6,0.2,40.96,0.23,0.7
33.7,0.2,40.96,0.23,0.7
33.8,0.2,40.96,0.23,0.7
33.9,0.2,40.96,0.23,0.7
34,0.2,40.96,0.23,0.7
34.1,0.2,40.96,0.23,0.7
34.2,0.2,40.96,0.23,0.7
34.3,0.2,40.96,0.23,0.7
21.5,0.3,41.62,0.12,0.54
21.6,0.3,41.62,0.12,0.54
21.7,0.3,41.62,0.12,0.54
21.8,0.3,41.62,0.12,0.54
21.9,0.3,41.62,0.12,0.54
22,0.3,40.71,0.12,0.54
22.1,0.3,40.71,0.12,0.54
22.2,0.3,40.71,0.12,0.54
22.3,0.3,40.71,0.12,0.54
22.4,0.3,40.71,0.12,0.54
22.5,0.3,40.71,0.12,0.54
22.6,0.3,40.71,0.12,0.54
22.7,0.3,40.71,0.12,0.54
22.8,0.3,40.71,0.12,0.54
22.9,0.3,40.71,0.12,0.54
23,0.3,40.71,0.12,0.54
23.1,0.3,40.71,0.12,0.54
23.2,0.3,40.71,0.12,0.54
23.3,0.3,40.71,0.12,0.54
23.4,0.3,40.71,0.12,0.54
23.5,0.3,40.71,0.12,0.54
23.6,0.3,40.71,0.12,0.54
23.7,0.3,40.71,0.12,0.54
23.8,0.3,40.71,0.12,0.54
23.9,0.3,40.71,0.12,0.54
24,0.3,40.71,0.12,0.54
24.1,0.3,41.09,0.29,0.63
24.2,0.3,41.09,0.29,0.63
24.3,0.3,41.09,0.29,0.63
24.4,0.3,41.09,0.29,0.63
24.5,0.3,41.09,0.29,0.63
24.6,0.3,41.09,0.29,0.63
24.7,0.3,41.09,0.29,0.63
24.8,0.3,41.09,0.29,0.63
24.9,0.3,41.09,0.29,0.63
25,0.3,41.09,0.29,0.63
25.1,0.3,41.09,0.29,0.63
25.2,0.3,41.09,0.29,0.63
25.3,0.3,41.09,0.29,0.63
25.4,0.3,41.09,0.29,0.63
25.5,0.3,41.09,0.29,0.63
25.6,0.3,41.09,0.29,0.63
25.7,0.3,41.09,0.29,0.63
25.8,0.3,41.09,0.29,0.63
25.9,0.3,41.09,0.29,0.63
26,0.3,41.09,0.29,0.63
26.1,0.3,41.09,0.29,0.63
26.2,0.3,41.09,0.29,0.63
26.3,0.3,41.09,0.29,0.63
26.4,0.3,41.09,0.29,0.63
26.5,0.3,41.09,0.29,0.63
26.6,0.3,41.09,0.29,0.63
26.7,0.3,41.09,0.29,0.63
26.8,0.3,41.09,0.29,0.63
26.9,0.3,41.09,0.29,0.63
27,0.3,41.09,0.29,0.63
27.1,0.3,41.09,0.29,0.63
27.2,0.3,41.09,0.29,0.63
27.3,0.3,41.09,0.29,0.63
27.4,0.3,41.09,0.29,0.63
27.5,0.3,41.08,0.31,0.63
27.6,0.3,41.08,0.31,0.63
27.7,0.3,41.08,0.31,0.63
27.8,0.3,41.08,0.31,0.63
27.9,0.3,41.08,0.31,0.63
28,0.3,41.08,0.31,0.63
28.1,0.3,41.08,0.31,0.63
28.2,0.3,41.08,0.31,0.63
28.3,0.3,41.08,0.31,0.63
28.4,0.3,41.08,0.31,0.63
28.5,0.3,41.08,0.31,0.63
28.6,0.3,41.08,0.31,0.63
28.7,0.3,41.08,0.31,0.63
28.8,0.3,41.08,0.31,0.63
28.9,0.3,41.08,0.31,0.63
29,0.3,41.08,0.31,0.63
29.1,0.3,41.08,0.31,0.63
29.2,0.3,41.08,0.31,0.63
29.3,0.3,40.47,0.18,0.53
29.4,0.3,40.47,0.18,0.53
29.5,0.3,41.35,0.13,0.57
29.6,0.3,41.35,0.13,0.57
29.7,0.3,41.35,0.13,0.57
29.8,0.3,41.35,0.13,0.57
29.9,0.3,40.85,0.21,0.8
