mass,ta,tb,ewl,rmr
21.5,0,52.61,7.98,2.48
21.6,0,52.6,7.97,2.48
21.7,0,52.58,7.96,2.48
21.8,0,52.56,7.95,2.47
21.9,0,52.55,7.94,2.47
22,0,52.53,7.93,2.47
22.1,0,52.52,7.92,2.46
22.2,0,52.5,7.91,2.46
22.3,0,52.49,7.91,2.46
22.4,0,52.47,7.9,2.46
22.5,0,52.46,7.89,2.45
22.6,0,52.44,7.88,2.45
22.7,0,52.43,7.87,2.45
22.8,0,52.41,7.86,2.45
22.9,0,52.4,7.85,2.44
23,0,52.38,7.85,2.44
23.1,0,52.37,7.84,2.44
23.2,0,52.36,7.83,2.44
23.3,0,52.34,7.82,2.44
23.4,0,52.33,7.81,2.43
23.5,0,52.32,7.8,2.43
23.6,0,52.3,7.79,2.43
23.7,0,52.29,7.79,2.43
23.8,0,52.28,7.78,2.43
23.9,0,52.27,7.77,2.42
24,0,52.26,7.76,2.42
24.1,0,52.24,7.75,2.42
24.2,0,52.23,7.74,2.42
24.3,0,52.22,7.73,2.42
24.4,0,52.21,7.73,2.42
24.5,0,52.2,7.72,2.42
24.6,0,52.19,7.71,2.42
24.7,0,52.18,7.7,2.41
24.8,0,52.17,7.69,2.41
24.9,0,52.16,7.69,2.41
25,0,52.15,7.68,2.41
25.1,0,52.14,7.67,2.41
25.2,0,52.13,7.66,2.41
25.3,0,52.12,7.65,2.41
25.4,0,52.11,7.64,2.41
25.5,0,52.1,7.64,2.41
25.6,0,52.09,7.63,2.41
25.7,0,52.08,7.62,2.41
25.8,0,52.07,7.61,2.41
25.9,0,52.07,7.6,2.41
26,0,52.06,7.6,2.41
26.1,0,52.05,7.59,2.41
26.2,0,52.04,7.58,2.41
26.3,0,52.04,7.57,2.41
26.4,0,52.03,7.56,2.41
26.5,0,52.02,7.56,2.41
26.6,0,52.01,7.55,2.41
26.7,0,52.01,7.54,2.41
26.8,0,52,7.53,2.41
26.9,0,52,7.53,2.41
27,0,51.99,7.52,2.41
27.1,0,51.98,7.51,2.41
27.2,0,51.98,7.5,2.41
27.3,0,51.97,7.49,2.41
27.4,0,51.97,7.49,2.41
27.5,0,51.96,7.48,2.41
27.6,0,51.96,7.47,2.41
27.7,0,51.95,7.46,2.41
27.8,0,51.95,7.46,2.41
27.9,0,51.95,7.45,2.42
28,0,51.94,7.44,2.42
28.1,0,51.94,7.43,2.42
28.2,0,51.93,7.43,2.42
28.3,0,51.93,7.42,2.42
28.4,0,51.93,7.41,2.42
28.5,0,51.93,7.4,2.42
28.6,0,51.92,7.4,2.42
28.7,0,51.92,7.39,2.43
28.8,0,51.92,7.38,2.43
28.9,0,51.92,7.37,2.43
29,0,51.91,7.37,2.43
29.1,0,51.91,7.36,2.43
29.2,0,51.91,7.35,2.44
29.3,0,51.91,7.35,2.44
29.4,0,51.91,7.34,2.44
29.5,0,51.91,7.33,2.44
29.6,0,51.91,7.32,2.44
29.7,0,51.91,7.32,2.45
29.8,0,51.91,7.31,2.45
29.9,0,51.91,7.3,2.45
30,0,51.91,7.3,2.45
30.1,0,51.91,7.29,2.46
30.2,0,51.91,7.28,2.46
30.3,0,51.91,7.27,2.46
30.4,0,51.91,7.27,2.46
30.5,0,51.91,7.26,2.47
30.6,0,51.91,7.25,2.47
