mass,ta,tb,ewl,rmr
12,0,30.41,0.2,-0.15
12.1,0,30.43,0.21,-0.15
12.2,0,30.45,0.21,-0.16
12.3,0,30.47,0.21,-0.16
12.4,0,30.49,0.21,-0.16
12.5,0,30.51,0.22,-0.16
12.6,0,30.53,0.22,-0.16
12.7,0,30.56,0.22,-0.16
12.8,0,30.58,0.22,-0.16
12.9,0,30.6,0.22,-0.16
13,0,30.62,0.23,-0.16
13.1,0,30.64,0.23,-0.16
13.2,0,30.66,0.23,-0.16
13.3,0,30.68,0.23,-0.16
13.4,0,30.71,0.23,-0.16
13.5,0,30.73,0.24,-0.17
13.6,0,30.75,0.24,-0.17
13.7,0,30.77,0.24,-0.17
13.8,0,30.79,0.24,-0.17
13.9,0,30.81,0.24,-0.17
14,0,30.84,0.25,-0.17
14.1,0,30.86,0.25,-0.17
14.2,0,30.88,0.25,-0.17
14.3,0,30.9,0.25,-0.17
14.4,0,30.92,0.26,-0.17
14.5,0,30.94,0.26,-0.17
12,0.1,30.44,0.21,-0.15
12.1,0.1,30.46,0.21,-0.15
12.2,0.1,30.48,0.21,-0.15
12.3,0.1,30.5,0.22,-0.15
12.4,0.1,30.52,0.22,-0.16
12.5,0.1,30.54,0.22,-0.16
12.6,0.1,30.56,0.22,-0.16
12.7,0.1,30.59,0.22,-0.16
12.8,0.1,30.61,0.23,-0.16
12.9,0.1,30.63,0.23,-0.16
13,0.1,30.65,0.23,-0.16
13.1,0.1,30.67,0.23,-0.16
13.2,0.1,30.69,0.23,-0.16
13.3,0.1,30.71,0.23,-0.16
13.4,0.1,30.74,0.24,-0.16
13.5,0.1,30.76,0.24,-0.16
13.6,0.1,30.78,0.24,-0.16
13.7,0.1,30.8,0.24,-0.17
13.8,0.1,30.82,0.25,-0.17
13.9,0.1,30.84,0.25,-0.17
14,0.1,30.86,0.25,-0.17
14.1,0.1,30.89,0.25,-0.17
14.2,0.1,30.91,0.25,-0.17
14.3,0.1,30.93,0.26,-0.17
14.4,0.1,30.95,0.26,-0.17
14.5,0.1,30.97,0.26,-0.17
12,0.2,30.46,0.21,-0.15
12.1,0.2,30.49,0.21,-0.15
12.2,0.2,30.51,0.22,-0.15
12.3,0.2,30.53,0.22,-0.15
12.4,0.2,30.55,0.22,-0.15
12.5,0.2,30.57,0.22,-0.15
12.6,0.2,30.59,0.22,-0.16
12.7,0.2,30.61,0.23,-0.16
12.8,0.2,30.64,0.23,-0.16
12.9,0.2,30.66,0.23,-0.16
13,0.2,30.68,0.23,-0.16
13.1,0.2,30.7,0.23,-0.16
13.2,0.2,30.72,0.24,-0.16
13.3,0.2,30.74,0.24,-0.16
13.4,0.2,30.77,0.24,-0.16
13.5,0.2,30.79,0.24,-0.16
13.6,0.2,30.81,0.24,-0.16
13.7,0.2,30.83,0.25,-0.16
13.8,0.2,30.85,0.25,-0.16
13.9,0.2,30.87,0.25,-0.17
14,0.2,30.89,0.25,-0.17
14.1,0.2,30.92,0.26,-0.17
14.2,0.2,30.94,0.26,-0.17
14.3,0.2,30.96,0.26,-0.17
14.4,0.2,30.98,0.26,-0.17
14.5,0.2,31,0.27,-0.17
12,0.3,30.49,0.22,-0.15
12.1,0.3,30.52,0.22,-0.15
12.2,0.3,30.54,0.22,-0.15
12.3,0.3,30.56,0.22,-0.15
12.4,0.3,30.58,0.22,-0.15
12.5,0.3,30.6,0.23,-0.15
12.6,0.3,30.62,0.23,-0.15
12.7,0.3,30.64,0.23,-0.15
12.8,0.3,30.67,0.23,-0.16
12.9,0.3,30.69,0.23,-0.16
13,0.3,30.71,0.23,-0.16
13.1,0.3,30.73,0.24,-0.16
13.2,0.3,30.75,0.24,-0.16
13.3,0.3,30.77,0.24,-0.16
13.4,0.3,30.79,0.24,-0.16
13.5,0.3,30.82,0.25,-0.16
13.6,0.3,30.84,0.25,-0.16
13.7,0.3,30.86,0.25,-0.16
13.8,0.3,30.88,0.25,-0.16
13.9,0.3,30.9,0.26,-0.16
14,0.3,30.92,0.26,-0.16
14.1,0.3,30.94,0.26,-0.17
14.2,0.3,30.97,0.26,-0.17
14.3,0.3,30.99,0.26,-0.17
14.4,0.3,31.01,0.27,-0.17
14.5,0.3,31.03,0.27,-0.17
12,0.4,30.52,0.22,-0.15
12.1,0.4,30.54,0.22,-0.15
12.2,0.4,30.57,0.22,-0.15
12.3,0.4,30.59,0.23,-0.15
12.4,0.4,30.61,0.23,-0.15
12.5,0.4,30.63,0.23,-0.15
12.6,0.4,30.65,0.23,-0.15
12.7,0.4,30.67,0.23,-0.15
12.8,0.4,30.7,0.23,-0.15
12.9,0.4,30.72,0.24,-0.15
13,0.4,30.74,0.24,-0.16
13.1,0.4,30.76,0.24,-0.16
13.2,0.4,30.78,0.24,-0.16
13.3,0.4,30.8,0.24,-0.16
13.4,0.4,30.82,0.25,-0.16
13.5,0.4,30.85,0.25,-0.16
13.6,0.4,30.87,0.25,-0.16
13.7,0.4,30.89,0.25,-0.16
13.8,0.4,30.91,0.26,-0.16
13.9,0.4,30.93,0.26,-0.16
14,0.4,30.95,0.26,-0.16
14.1,0.4,30.97,0.26,-0.16
14.2,0.4,31,0.27,-0.16
14.3,0.4,31.02,0.27,-0.17
14.4,0.4,31.04,0.27,-0.17
14.5,0.4,31.06,0.27,-0.17
