mass,ta,tb,ewl,rmr
12,0,39.94,0.13,0.42
12.1,0,39.94,0.13,0.42
12.2,0,40.01,0.11,0.29
12.3,0,40.01,0.11,0.29
12.4,0,40.01,0.11,0.29
12.5,0,40.01,0.11,0.29
12.6,0,40.01,0.11,0.29
12.7,0,40.01,0.11,0.29
12.8,0,38.75,0.11,0.26
12.9,0,38.75,0.11,0.26
13,0,38.75,0.11,0.26
13.1,0,38.75,0.11,0.26
13.2,0,38.75,0.11,0.26
13.3,0,40.68,0.11,0.31
13.4,0,40.68,0.11,0.31
13.5,0,40.68,0.11,0.42
13.6,0,40.68,0.1,0.42
13.7,0,40.49,0.1,0.31
13.8,0,40.49,0.1,0.31
13.9,0,40.38,0.1,0.31
14,0,40.38,0.1,0.31
14.1,0,40.38,0.1,0.37
14.2,0,40.38,0.1,0.37
14.3,0,40.19,0.11,0.32
14.4,0,40.19,0.11,0.32
14.5,0,40.2,0.11,0.27
12,0.1,39.94,0.13,0.42
12.1,0.1,39.94,0.13,0.42
12.2,0.1,40.01,0.11,0.29
12.3,0.1,40.01,0.11,0.29
12.4,0.1,40.01,0.11,0.29
12.5,0.1,40.01,0.11,0.29
12.6,0.1,40.01,0.11,0.29
12.7,0.1,40.01,0.11,0.29
12.8,0.1,38.75,0.11,0.26
12.9,0.1,38.75,0.11,0.26
13,0.1,38.75,0.11,0.26
13.1,0.1,38.75,0.11,0.26
13.2,0.1,38.75,0.11,0.26
13.3,0.1,40.68,0.11,0.31
13.4,0.1,40.68,0.11,0.31
13.5,0.1,40.68,0.11,0.42
13.6,0.1,40.68,0.1,0.42
13.7,0.1,40.49,0.1,0.31
13.8,0.1,40.49,0.1,0.31
13.9,0.1,40.38,0.1,0.31
14,0.1,40.38,0.1,0.31
14.1,0.1,40.38,0.1,0.37
14.2,0.1,40.38,0.1,0.37
14.3,0.1,40.19,0.11,0.32
14.4,0.1,40.19,0.11,0.32
14.5,0.1,40.2,0.11,0.27
12,0.2,39.94,0.13,0.42
12.1,0.2,39.94,0.13,0.42
12.2,0.2,40.01,0.11,0.29
12.3,0.2,40.01,0.11,0.29
12.4,0.2,40.01,0.11,0.29
12.5,0.2,40.01,0.11,0.29
12.6,0.2,40.01,0.11,0.29
12.7,0.2,40.01,0.11,0.29
12.8,0.2,38.75,0.11,0.26
12.9,0.2,38.75,0.11,0.26
13,0.2,38.75,0.11,0.26
13.1,0.2,38.75,0.11,0.26
13.2,0.2,38.75,0.11,0.26
13.3,0.2,40.68,0.11,0.31
13.4,0.2,40.68,0.11,0.31
13.5,0.2,40.68,0.11,0.42
13.6,0.2,40.68,0.1,0.42
13.7,0.2,40.49,0.1,0.31
13.8,0.2,40.49,0.1,0.31
13.9,0.2,40.38,0.1,0.31
14,0.2,40.38,0.1,0.31
14.1,0.2,40.38,0.1,0.37
14.2,0.2,40.38,0.1,0.37
14.3,0.2,40.19,0.11,0.32
14.4,0.2,40.19,0.11,0.32
14.5,0.2,40.2,0.11,0.27
12,0.3,39.94,0.13,0.42
12.1,0.3,39.94,0.13,0.42
12.2,0.3,40.01,0.11,0.29
12.3,0.3,40.01,0.11,0.29
12.4,0.3,40.01,0.11,0.29
12.5,0.3,40.01,0.11,0.29
12.6,0.3,40.01,0.11,0.29
12.7,0.3,40.01,0.11,0.29
12.8,0.3,38.75,0.11,0.26
12.9,0.3,38.75,0.11,0.26
13,0.3,38.75,0.11,0.26
13.1,0.3,38.75,0.11,0.26
13.2,0.3,38.75,0.11,0.26
13.3,0.3,40.68,0.11,0.31
13.4,0.3,40.68,0.11,0.31
13.5,0.3,40.68,0.11,0.42
13.6,0.3,40.68,0.1,0.42
13.7,0.3,40.49,0.1,0.31
13.8,0.3,40.49,0.1,0.31
13.9,0.3,40.38,0.1,0.31
14,0.3,40.38,0.1,0.31
14.1,0.3,40.38,0.1,0.37
14.2,0.3,40.38,0.1,0.37
14.3,0.3,40.19,0.11,0.32
14.4,0.3,40.19,0.11,0.32
14.5,0.3,40.2,0.11,0.27
12,0.4,39.94,0.13,0.42
12.1,0.4,39.94,0.13,0.42
12.2,0.4,40.01,0.11,0.29
12.3,0.4,40.01,0.11,0.29
12.4,0.4,40.01,0.11,0.29
12.5,0.4,40.01,0.11,0.29
12.6,0.4,40.01,0.11,0.29
12.7,0.4,40.01,0.11,0.29
12.8,0.4,38.75,0.11,0.26
12.9,0.4,38.75,0.11,0.26
13,0.4,38.75,0.11,0.26
13.1,0.4,38.75,0.11,0.26
13.2,0.4,38.75,0.11,0.26
13.3,0.4,40.68,0.11,0.31
13.4,0.4,40.68,0.11,0.31
13.5,0.4,40.68,0.11,0.42
13.6,0.4,40.68,0.1,0.42
13.7,0.4,40.49,0.1,0.31
13.8,0.4,40.49,0.1,0.31
13.9,0.4,40.38,0.1,0.31
14,0.4,40.38,0.1,0.31
14.1,0.4,40.38,0.1,0.37
14.2,0.4,40.38,0.1,0.37
14.3,0.4,40.19,0.11,0.32
14.4,0.4,40.19,0.11,0.32
14.5,0.4,40.2,0.11,0.27
12,0.5,39.94,0.13,0.42
12.1,0.5,39.94,0.13,0.42
12.2,0.5,40.01,0.11,0.29
12.3,0.5,40.01,0.11,0.29
12.4,0.5,40.01,0.11,0.29
12.5,0.5,40.01,0.11,0.29
12.6,0.5,40.01,0.11,0.29
12.7,0.5,40.01,0.11,0.29
12.8,0.5,38.75,0.11,0.26
12.9,0.5,38.75,0.11,0.26
13,0.5,38.75,0.11,0.26
13.1,0.5,38.75,0.11,0.26
13.2,0.5,38.75,0.11,0.26
13.3,0.5,40.68,0.11,0.31
13.4,0.5,40.68,0.11,0.31
13.5,0.5,40.68,0.11,0.42
13.6,0.5,40.68,0.1,0.42
13.7,0.5,40.49,0.1,0.31
13.8,0.5,40.49,0.1,0.31
13.9,0.5,40.38,0.1,0.31
14,0.5,40.38,0.1,0.31
14.1,0.5,40.38,0.1,0.37
14.2,0.5,40.38,0.1,0.37
14.3,0.5,40.19,0.11,0.32
14.4,0.5,40.19,0.11,0.32
14.5,0.5,40.2,0.11,0.27
12,0.6,39.94,0.13,0.42
12.1,0.6,39.94,0.13,0.42
12.2,0.6,40.01,0.11,0.29
12.3,0.6,40.01,0.11,0.29
12.4,0.6,40.01,0.11,0.29
12.5,0.6,40.01,0.11,0.29
12.6,0.6,40.01,0.11,0.29
12.7,0.6,40.01,0.11,0.29
12.8,0.6,38.75,0.11,0.26
12.9,0.6,38.75,0.11,0.26
13,0.6,38.75,0.11,0.26
13.1,0.6,38.75,0.11,0.26
13.2,0.6,38.75,0.11,0.26
13.3,0.6,40.68,0.11,0.31
13.4,0.6,40.68,0.11,0.31
13.5,0.6,40.68,0.11,0.42
13.6,0.6,40.68,0.1,0.42
13.7,0.6,40.49,0.1,0.31
13.8,0.6,40.49,0.1,0.31
