mass,ta,tb,ewl,rmr
12,0,36.3,2.85,0.43
12.1,0,36.49,2.84,0.43
12.2,0,36.62,2.83,0.43
12.3,0,36.7,2.83,0.43
12.4,0,36.75,2.82,0.43
12.5,0,36.78,2.81,0.43
12.6,0,36.81,2.81,0.43
12.7,0,36.86,2.8,0.43
12.8,0,36.95,2.8,0.43
12.9,0,37.1,2.79,0.43
13,0,37.31,2.79,0.43
13.1,0,37.56,2.79,0.43
13.2,0,37.83,2.79,0.43
13.3,0,38.11,2.79,0.43
13.4,0,38.35,2.79,0.43
13.5,0,38.53,2.79,0.43
13.6,0,38.65,2.79,0.43
13.7,0,38.69,2.79,0.43
13.8,0,38.67,2.8,0.43
13.9,0,38.61,2.8,0.43
14,0,38.52,2.8,0.43
14.1,0,38.42,2.81,0.43
14.2,0,38.31,2.82,0.43
14.3,0,38.2,2.82,0.43
14.4,0,38.08,2.83,0.43
14.5,0,37.96,2.84,0.43
12,0.1,36.31,2.83,0.43
12.1,0.1,36.49,2.82,0.43
12.2,0.1,36.62,2.82,0.43
12.3,0.1,36.71,2.81,0.43
12.4,0.1,36.75,2.8,0.43
12.5,0.1,36.78,2.79,0.43
12.6,0.1,36.81,2.79,0.43
12.7,0.1,36.86,2.78,0.43
12.8,0.1,36.95,2.78,0.43
12.9,0.1,37.1,2.78,0.43
13,0.1,37.31,2.77,0.43
13.1,0.1,37.56,2.77,0.43
13.2,0.1,37.83,2.77,0.43
13.3,0.1,38.11,2.77,0.43
13.4,0.1,38.35,2.77,0.43
13.5,0.1,38.54,2.77,0.43
13.6,0.1,38.65,2.77,0.43
13.7,0.1,38.7,2.77,0.43
13.8,0.1,38.68,2.78,0.43
13.9,0.1,38.62,2.78,0.43
14,0.1,38.53,2.79,0.43
14.1,0.1,38.42,2.79,0.43
14.2,0.1,38.31,2.8,0.43
14.3,0.1,38.2,2.8,0.43
14.4,0.1,38.08,2.81,0.43
14.5,0.1,37.96,2.82,0.43
12,0.2,36.32,2.81,0.43
12.1,0.2,36.5,2.81,0.43
12.2,0.2,36.63,2.8,0.43
12.3,0.2,36.71,2.79,0.43
12.4,0.2,36.76,2.78,0.43
12.5,0.2,36.78,2.78,0.43
12.6,0.2,36.81,2.77,0.43
12.7,0.2,36.86,2.77,0.43
12.8,0.2,36.95,2.76,0.43
12.9,0.2,37.1,2.76,0.43
13,0.2,37.3,2.76,0.43
13.1,0.2,37.56,2.75,0.43
13.2,0.2,37.84,2.75,0.43
13.3,0.2,38.11,2.75,0.43
13.4,0.2,38.36,2.75,0.43
13.5,0.2,38.54,2.75,0.43
13.6,0.2,38.66,2.75,0.43
13.7,0.2,38.7,2.76,0.43
13.8,0.2,38.68,2.76,0.43
13.9,0.2,38.62,2.76,0.43
14,0.2,38.53,2.77,0.43
14.1,0.2,38.42,2.77,0.43
14.2,0.2,38.31,2.78,0.43
14.3,0.2,38.2,2.79,0.43
14.4,0.2,38.09,2.79,0.43
14.5,0.2,37.96,2.8,0.43
12,0.3,36.33,2.8,0.43
12.1,0.3,36.51,2.79,0.43
12.2,0.3,36.64,2.78,0.43
12.3,0.3,36.72,2.77,0.43
12.4,0.3,36.76,2.76,0.43
12.5,0.3,36.79,2.76,0.43
12.6,0.3,36.81,2.75,0.43
12.7,0.3,36.86,2.75,0.43
12.8,0.3,36.95,2.74,0.43
12.9,0.3,37.1,2.74,0.43
13,0.3,37.3,2.74,0.43
13.1,0.3,37.56,2.74,0.43
13.2,0.3,37.84,2.73,0.43
13.3,0.3,38.12,2.73,0.43
13.4,0.3,38.36,2.73,0.43
13.5,0.3,38.55,2.73,0.43
13.6,0.3,38.66,2.74,0.43
13.7,0.3,38.71,2.74,0.43
13.8,0.3,38.69,2.74,0.43
13.9,0.3,38.62,2.75,0.43
14,0.3,38.53,2.75,0.43
14.1,0.3,38.43,2.75,0.43
14.2,0.3,38.32,2.76,0.43
14.3,0.3,38.21,2.77,0.43
14.4,0.3,38.09,2.77,0.43
14.5,0.3,37.97,2.78,0.43
12,0.4,36.34,2.78,0.43
12.1,0.4,36.52,2.77,0.43
12.2,0.4,36.64,2.76,0.43
12.3,0.4,36.72,2.75,0.43
12.4,0.4,36.77,2.75,0.43
12.5,0.4,36.79,2.74,0.43
12.6,0.4,36.82,2.73,0.43
12.7,0.4,36.86,2.73,0.43
12.8,0.4,36.95,2.73,0.43
12.9,0.4,37.1,2.72,0.43
13,0.4,37.3,2.72,0.43
13.1,0.4,37.56,2.72,0.43
13.2,0.4,37.84,2.72,0.43
13.3,0.4,38.12,2.72,0.43
13.4,0.4,38.36,2.72,0.43
13.5,0.4,38.55,2.72,0.43
13.6,0.4,38.67,2.72,0.43
13.7,0.4,38.71,2.72,0.43
13.8,0.4,38.69,2.72,0.43
13.9,0.4,38.63,2.73,0.43
14,0.4,38.54,2.73,0.43
14.1,0.4,38.43,2.74,0.43
